Date,Open,High,Low,Close,Adj Close,Volume
1999-11-18,32.546494,35.765381,28.612303,31.473534,28.043863,62546300
1999-11-19,30.713520,30.758226,28.478184,28.880543,25.733427,15234100
1999-11-22,29.551144,31.473534,28.657009,31.473534,28.043863,6577800
1999-11-23,30.400572,31.205294,28.612303,28.612303,25.494417,5975600
1999-11-24,28.701717,29.998211,28.612303,29.372318,26.171616,4843200
1999-11-26,29.238197,29.685265,29.148785,29.461731,26.251286,1729400
1999-11-29,29.327610,30.355865,29.014664,30.132332,26.848808,4074700
1999-11-30,30.042919,30.713520,29.282904,30.177038,26.888647,4310000
1999-12-01,30.177038,31.071173,29.953505,30.713520,27.366665,2957300
1999-12-02,31.294706,32.188843,30.892345,31.562946,28.123529,3069800
1999-12-03,32.144135,32.680614,31.697067,31.831188,28.362541,3041600
1999-12-06,32.367668,33.217094,32.322960,32.725323,29.159243,2250700
1999-12-07,32.725323,32.904148,31.697067,32.367668,28.840559,2215900
1999-12-08,32.367668,32.635910,32.054722,32.322960,28.800726,1887800
1999-12-09,32.367668,32.859444,32.367668,32.770027,29.199080,2029000
1999-12-10,32.680614,32.859444,32.010014,32.010014,28.521883,1664700
1999-12-13,32.546494,33.082977,31.741774,32.546494,28.999901,4020500
1999-12-14,32.457081,32.457081,30.087626,30.758226,27.406502,2328900
1999-12-15,30.042919,30.266453,29.327610,29.819386,26.569967,2917700
1999-12-16,30.042919,33.798283,30.042919,33.798283,30.115282,2583900
1999-12-17,33.172390,33.708870,32.501789,32.859444,29.278749,3708000
1999-12-20,33.082977,33.574749,32.993561,33.530045,29.876276,1196800
1999-12-21,33.395924,33.395924,32.904148,33.351215,29.716932,2259400
1999-12-22,33.351215,34.021816,33.127682,34.021816,30.314459,1905700
1999-12-23,33.977112,35.765381,33.932404,35.586552,31.708685,2159400
1999-12-27,35.720673,38.045422,35.452431,37.777184,33.660595,2029600
1999-12-28,38.805435,43.991417,38.581902,43.991417,39.197670,3560000
1999-12-29,45.064377,56.554005,45.019672,51.502148,45.889961,10518500
1999-12-30,54.363377,57.224606,53.111588,56.688126,50.510822,6671100
1999-12-31,56.866951,57.179901,54.542202,55.302216,49.275936,1931100
2000-01-03,56.330471,56.464592,48.193848,51.502148,45.889961,4674300
2000-01-04,48.730328,49.266811,46.316166,47.567955,42.384472,4765000
2000-01-05,47.389126,47.567955,43.141987,44.617310,39.755348,5758600
2000-01-06,44.080830,44.349072,41.577251,42.918453,38.241627,2534400
2000-01-07,42.247852,47.165592,42.203148,46.494991,41.428425,2819600
2000-01-10,49.356224,49.803291,48.327969,49.311516,43.938042,2148400
2000-01-11,49.311516,49.311516,47.523247,48.640915,43.340515,1855900
2000-01-12,48.640915,48.640915,45.824390,47.657368,42.464149,1429800
2000-01-13,48.909157,49.937412,47.210300,48.372677,43.101509,1134300
2000-01-14,47.925610,49.624462,47.925610,48.909157,43.579525,1316900
2000-01-18,49.087982,52.128040,48.730328,51.144493,45.571278,2101700
2000-01-19,51.502148,51.502148,49.937412,50.071529,44.615234,2624800
2000-01-20,50.608013,50.697426,48.283260,48.730328,43.420181,2007900
2000-01-21,49.445637,49.624462,47.523247,49.177395,43.818520,1918300
2000-01-24,48.998569,51.368027,48.640915,48.998569,43.659199,2095800
2000-01-25,49.177395,49.803291,47.523247,48.417381,43.141346,1153700
2000-01-26,48.596210,49.535049,48.551502,48.864449,43.539688,1022300
2000-01-27,49.982117,50.429184,48.104435,48.953861,43.619358,868500
2000-01-28,49.713879,49.713879,48.238556,48.685623,43.380363,1609200
2000-01-31,48.327969,48.372677,46.316166,47.344421,42.185307,1040300
2000-02-01,47.389126,51.502148,47.389126,50.786839,45.252598,1404200
2000-02-02,51.412731,54.721031,51.189198,54.721031,48.758083,1945100
2000-02-03,53.782188,55.615166,52.798641,55.615166,49.554771,1779500
2000-02-04,55.615166,55.615166,53.648067,54.542202,48.598736,1145600
2000-02-07,55.570457,57.224606,54.542202,56.866951,50.670162,1274200
2000-02-08,57.761086,58.789341,55.972816,56.509300,50.351479,1169700
2000-02-09,55.525749,56.285767,54.139843,54.184551,48.280056,1182800
2000-02-10,55.078682,56.375179,53.871601,54.855148,48.877571,1066800
2000-02-11,54.721031,54.944565,53.513950,53.916309,48.041046,751700
2000-02-14,53.826897,55.033978,53.513950,54.676323,48.718239,837600
2000-02-15,54.765736,59.370529,54.765736,58.565807,52.183887,2017500
2000-02-16,57.224606,58.565807,56.777538,57.939915,51.626209,1801700
2000-02-17,57.939915,69.384834,55.525749,69.384834,61.823978,944900
2000-02-18,63.304722,68.580116,62.991776,67.060089,59.752552,4060000
2000-02-22,68.669525,69.653076,64.377686,65.450645,58.318485,2227900
2000-02-23,65.540054,71.888412,65.540054,70.815453,63.098698,1690000
2000-02-24,72.514305,82.573318,71.888412,76.359085,68.038239,2956300
2000-02-25,73.944923,81.500359,73.855507,77.342636,68.914604,2048200
2000-02-28,77.342636,78.102646,70.278969,72.246063,64.373398,1675300
2000-02-29,72.559013,76.448502,72.469597,74.302574,66.205826,958000
2000-03-01,74.749641,79.935623,74.570816,78.057938,69.551971,1037800
2000-03-02,78.639130,78.683830,73.319031,75.319603,67.112038,1188300
2000-03-03,75.062592,79.935623,75.062592,77.253220,68.834953,1215800
2000-03-06,80.829758,115.879829,80.472099,113.733902,101.340324,5693400
2000-03-07,111.587982,115.164520,93.705292,101.573677,90.505196,7710800
2000-03-08,104.434906,108.726753,100.143059,108.726753,96.878784,3953900
2000-03-09,105.150215,110.157364,103.719597,109.442062,97.516167,2514500
2000-03-10,109.442062,110.783264,100.143059,101.573677,90.505196,2479300
2000-03-13,93.034691,99.383049,92.632332,93.884117,83.653587,2626700
2000-03-14,95.135910,97.281830,85.032188,86.820457,77.359627,3522900
2000-03-15,91.648781,91.648781,81.008583,81.723892,72.818443,3046200
2000-03-16,82.975677,87.982834,80.114449,84.451004,75.248375,2769500
2000-03-17,85.345139,90.844063,84.495705,86.641632,77.200310,1563800
2000-03-20,86.149857,86.909874,80.829758,81.366234,72.499756,1420600
2000-03-21,79.220314,82.260368,75.643776,82.260368,73.296448,2528200
2000-03-22,81.232117,86.507507,78.013237,85.434547,76.124733,1967900
2000-03-23,85.300430,88.519310,83.690987,85.613373,76.284081,1951800
2000-03-24,84.942772,86.552216,83.154503,85.836906,76.483253,1230500
2000-03-27,84.540413,85.479256,80.963875,81.723892,72.818443,846700
2000-03-28,81.545067,87.222816,81.187408,85.211014,75.925560,1392500
2000-03-29,85.121605,86.552216,78.683830,80.114449,71.384377,1250300
2000-03-30,77.387337,80.472099,70.904861,75.107300,66.922867,2034200
2000-03-31,75.822601,75.822601,64.377686,74.391991,66.285500,3732900
2000-04-03,73.676682,73.855507,65.629471,70.100143,62.461315,2030800
2000-04-04,70.100143,73.229614,58.655220,66.881256,59.593208,3519800
2000-04-05,66.344780,71.441345,64.467094,69.340126,61.784134,2109100
2000-04-06,70.368385,75.107300,69.429543,75.107300,66.922867,1375000
2000-04-07,76.895569,89.413445,76.582619,87.267525,77.757973,2975200
2000-04-10,87.267525,87.267525,75.375534,76.627327,68.277245,2956000
2000-04-11,72.246063,75.017883,71.217812,72.201363,64.333580,1896100
2000-04-12,70.100143,70.994278,59.370529,61.516453,54.813004,4351500
2000-04-13,62.947067,69.384834,62.231758,64.377686,57.362446,3736500
2000-04-14,62.768242,63.975323,57.939915,59.146996,52.701736,2862600
2000-04-17,57.269314,59.102287,52.262161,56.866951,50.670162,2757500
2000-04-18,55.793991,62.947067,53.737484,62.231758,55.450367,3758200
2000-04-19,62.231758,64.332977,60.085838,62.410587,55.609707,2423900
2000-04-20,62.857655,65.629471,62.500000,64.332977,57.322613,1453000
2000-04-24,62.321175,66.076538,60.845852,65.540054,58.398159,1698500
2000-04-25,67.685982,68.356583,64.377686,64.377686,57.362446,1123200
2000-04-26,68.043633,68.088341,65.540054,65.718887,58.557499,976500
2000-04-27,63.751789,66.702431,63.662376,64.914162,57.840469,2281200
2000-04-28,64.377686,64.422386,62.187054,63.394135,56.486076,1779300
2000-05-01,63.394135,68.848358,63.394135,68.222458,60.788250,1895600
2000-05-02,70.278969,74.481400,69.697784,72.078400,64.224014,4259400
2000-05-03,69.742493,70.100143,64.109444,65.450645,58.318485,2327300
