Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375000,7.375000,7.250000,7.250000,4.834583,20800
1994-02-23,7.125000,7.125000,6.750000,6.937500,4.626199,31600
1994-02-24,6.937500,6.937500,6.812500,6.812500,4.542843,32000
1994-02-25,6.687500,6.687500,6.250000,6.437500,4.292778,49800
1994-02-28,6.500000,6.750000,6.437500,6.625000,4.417808,170400
1994-03-01,6.625000,6.625000,6.500000,6.562500,4.376132,41600
1994-03-02,6.437500,6.562500,6.437500,6.562500,4.376132,67000
1994-03-03,6.625000,6.625000,6.500000,6.500000,4.334455,27800
1994-03-04,6.500000,6.750000,6.437500,6.750000,4.501163,358200
1994-03-07,6.437500,6.812500,6.437500,6.750000,4.501163,690800
1994-03-08,6.750000,6.812500,6.750000,6.812500,4.542843,515200
1994-03-09,6.812500,6.875000,6.812500,6.875000,4.584518,540400
1994-03-10,6.875000,6.875000,6.812500,6.875000,4.584518,1832200
1994-03-11,6.937500,7.187500,6.937500,7.187500,4.792907,1895400
1994-03-14,7.187500,7.625000,7.187500,7.562500,5.042970,1413800
1994-03-15,7.562500,7.687500,7.437500,7.437500,4.959617,1665200
1994-03-16,7.437500,7.437500,7.312500,7.437500,4.959617,717000
1994-03-17,7.437500,7.687500,7.437500,7.562500,5.059981,971200
1994-03-18,7.625000,7.687500,7.625000,7.625000,5.101797,1178000
1994-03-21,7.625000,7.687500,7.625000,7.687500,5.143614,659400
1994-03-22,7.687500,7.875000,7.687500,7.812500,5.227251,374000
1994-03-23,7.812500,7.937500,7.750000,7.875000,5.269071,430200
1994-03-24,7.812500,7.875000,7.750000,7.750000,5.185434,747000
1994-03-25,7.812500,7.812500,7.625000,7.687500,5.143614,370000
1994-03-28,7.687500,7.687500,7.625000,7.625000,5.101797,1116200
1994-03-29,7.625000,7.687500,7.500000,7.500000,5.018161,595800
1994-03-30,7.500000,7.500000,7.312500,7.375000,4.934526,653000
1994-03-31,7.375000,7.437500,7.250000,7.375000,4.934526,448400
1994-04-04,7.125000,7.375000,7.125000,7.375000,4.934526,386600
1994-04-05,7.312500,7.687500,7.312500,7.625000,5.101797,361600
1994-04-06,7.625000,7.687500,7.375000,7.375000,4.934526,551400
1994-04-07,7.500000,7.500000,7.375000,7.437500,4.976343,338400
1994-04-08,7.312500,7.500000,7.312500,7.500000,5.018161,166000
1994-04-11,7.500000,7.625000,7.250000,7.250000,4.850887,424800
1994-04-12,7.125000,7.250000,7.125000,7.125000,4.767253,602800
1994-04-13,7.125000,7.312500,7.000000,7.000000,4.683617,504600
1994-04-14,7.062500,7.062500,6.937500,6.937500,4.641798,378200
1994-04-15,6.875000,7.062500,6.875000,6.875000,4.599981,197600
1994-04-18,7.000000,7.250000,7.000000,7.250000,4.850887,184800
1994-04-19,7.187500,7.312500,7.187500,7.250000,4.850887,122200
1994-04-20,7.312500,7.312500,7.125000,7.125000,4.767253,201400
1994-04-21,7.125000,7.312500,6.875000,6.875000,4.599981,858200
1994-04-22,7.000000,7.250000,7.000000,7.250000,4.850887,411400
