Date,Open,High,Low,Close,Adj Close,Volume
1986-09-08,5.312500,5.562500,5.312500,5.343750,4.250537,1090000
1986-09-09,5.343750,5.343750,5.156250,5.156250,4.101399,998000
1986-09-10,5.156250,5.187500,5.125000,5.156250,4.101399,3112800
1986-09-11,5.125000,5.125000,4.906250,5.000000,3.977111,263600
1986-09-12,5.000000,5.000000,4.843750,4.937500,3.927395,749600
1986-09-15,4.937500,4.937500,4.906250,4.906250,3.902541,175600
1986-09-16,4.875000,4.875000,4.750000,4.781250,3.803114,206400
1986-09-17,4.781250,4.781250,4.718750,4.750000,3.778254,108400
1986-09-18,4.750000,4.906250,4.750000,4.906250,3.902541,643200
1986-09-19,4.906250,4.937500,4.906250,4.937500,3.927395,212400
1986-09-22,4.968750,5.062500,4.968750,5.062500,4.026825,200000
1986-09-23,5.062500,5.093750,5.000000,5.062500,4.026825,405600
1986-09-24,5.062500,5.343750,5.062500,5.250000,4.175965,1560000
1986-09-25,5.218750,5.218750,5.156250,5.187500,4.126251,414000
1986-09-26,5.187500,5.187500,5.156250,5.187500,4.126251,314400
1986-09-29,5.187500,5.218750,5.156250,5.218750,4.151110,951600
1986-09-30,5.218750,5.343750,5.218750,5.312500,4.225679,331600
1986-10-01,5.343750,5.437500,5.343750,5.375000,4.275395,1872400
1986-10-02,5.375000,5.625000,5.343750,5.625000,4.474249,2767200
1986-10-03,5.625000,5.750000,5.531250,5.593750,4.449397,3138400
1986-10-06,5.593750,5.625000,5.531250,5.562500,4.424537,925200
1986-10-07,5.562500,5.593750,5.437500,5.500000,4.374824,1152000
1986-10-08,5.500000,5.562500,5.437500,5.562500,4.424537,2980400
1986-10-09,5.562500,5.625000,5.500000,5.562500,4.424537,4265200
1986-10-10,5.562500,5.625000,5.531250,5.593750,4.449397,996400
1986-10-13,5.593750,5.593750,5.437500,5.468750,4.349965,1656000
1986-10-14,5.375000,5.375000,5.125000,5.218750,4.151110,2104000
1986-10-15,5.281250,5.406250,5.281250,5.312500,4.225679,3973200
1986-10-16,5.312500,5.312500,5.187500,5.281250,4.200824,1820400
1986-10-17,5.250000,5.250000,5.000000,5.125000,4.076540,2462800
1986-10-20,5.125000,5.187500,5.093750,5.125000,4.076540,599600
1986-10-21,5.125000,5.125000,5.031250,5.062500,4.026825,1184800
1986-10-22,5.062500,5.125000,5.031250,5.125000,4.076540,1871600
1986-10-23,5.125000,5.281250,5.125000,5.187500,4.126251,1907200
1986-10-24,5.187500,5.218750,5.093750,5.093750,4.051683,997200
1986-10-27,5.093750,5.093750,4.937500,5.000000,3.977111,412400
1986-10-28,5.000000,5.000000,4.937500,4.968750,3.952256,474800
1986-10-29,4.968750,4.968750,4.906250,4.906250,3.902541,407600
1986-10-30,4.906250,5.031250,4.906250,4.906250,3.902541,740400
1986-10-31,4.968750,5.031250,4.968750,5.000000,3.977111,1260800
1986-11-03,5.000000,5.000000,4.937500,4.968750,3.952256,352400
1986-11-04,4.968750,5.000000,4.843750,4.937500,3.927395,992400
1986-11-05,4.937500,5.187500,4.906250,5.187500,4.126251,4848800
1986-11-06,5.187500,5.343750,5.156250,5.250000,4.175965,1708400
1986-11-07,5.250000,5.281250,5.125000,5.156250,4.101399,988400
1986-11-10,5.156250,5.218750,5.125000,5.187500,4.126251,714800
1986-11-11,5.187500,5.281250,5.187500,5.250000,4.175965,806800
1986-11-12,5.250000,5.312500,5.187500,5.250000,4.175965,360400
1986-11-13,5.312500,5.375000,5.312500,5.343750,4.250537,1512400
1986-11-14,5.312500,5.312500,5.187500,5.187500,4.126251,974400
1986-11-17,5.125000,5.125000,5.000000,5.062500,4.026825,1936800
1986-11-18,5.062500,5.156250,4.968750,5.093750,4.051683,3282000
1986-11-19,5.062500,5.062500,4.937500,5.000000,3.977111,2298800
1986-11-20,5.000000,5.031250,4.937500,5.000000,3.977111,828000
1986-11-21,5.000000,5.031250,4.937500,4.968750,3.952256,546000
1986-11-24,4.968750,5.031250,4.968750,4.968750,3.952256,1268800
1986-11-25,4.968750,4.968750,4.875000,4.875000,3.877684,1481200
1986-11-26,4.875000,4.968750,4.875000,4.968750,3.952256,682000
1986-11-28,4.968750,4.968750,4.937500,4.937500,3.927395,118000
1986-12-01,4.937500,4.968750,4.906250,4.937500,3.927395,219200
