Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.945999,4.032724,3.945999,3.989362,1.850167,271500
1980-03-18,3.989362,4.003816,3.945999,3.974907,1.843463,376100
1980-03-19,4.018270,4.104995,4.018270,4.047179,1.876981,858700
1980-03-20,4.047179,4.047179,4.018270,4.032724,1.870278,144400
1980-03-21,4.032724,4.032724,3.989362,4.032724,1.870278,106300
1980-03-24,4.003816,4.003816,3.888182,3.888182,1.803243,744500
1980-03-25,3.888182,3.902637,3.830365,3.844820,1.783131,112400
1980-03-26,3.844820,3.902637,3.830365,3.859274,1.789835,94200
1980-03-27,3.844820,3.844820,3.815911,3.830365,1.776428,133100
1980-03-28,3.859274,4.047179,3.859274,4.003816,1.856869,152200
1980-03-31,4.003816,4.032724,3.989362,4.018270,1.863573,181600
1980-04-01,4.018270,4.018270,3.931545,3.960453,1.836759,336400
1980-04-02,3.931545,3.931545,3.815911,3.902637,1.809945,1004800
1980-04-03,3.815911,3.815911,3.729186,3.772549,1.749613,418500
1980-04-07,3.772549,3.801457,3.743640,3.787003,1.756318,635600
1980-04-08,3.787003,3.844820,3.729186,3.815911,1.769725,486800
1980-04-09,3.873728,3.960453,3.873728,3.945999,1.830055,211800
1980-04-10,3.989362,4.047179,3.989362,4.047179,1.876981,40600
1980-04-11,4.104995,4.235083,4.104995,4.235083,1.964126,82100
1980-04-14,4.235083,4.235083,4.191720,4.191720,1.944015,133100
1980-04-15,4.191720,4.191720,4.133904,4.162812,1.930608,142600
1980-04-16,4.133904,4.133904,4.061633,4.076087,1.890388,457400
1980-04-17,4.076087,4.076087,3.931545,3.931545,1.823352,449600
1980-04-18,3.931545,3.960453,3.815911,3.844820,1.783131,270600
1980-04-21,3.815911,3.815911,3.772549,3.787003,1.756318,140000
1980-04-22,3.815911,4.076087,3.815911,4.076087,1.890388,378700
1980-04-23,4.076087,4.162812,4.032724,4.090541,1.897090,315600
1980-04-24,4.090541,4.220629,4.076087,4.191720,1.944015,84700
1980-04-25,4.191720,4.307354,4.177267,4.263992,1.977533,35400
1980-04-28,4.263992,4.292900,4.235083,4.278446,1.984235,110600
1980-04-29,4.278446,4.350717,4.249537,4.321808,2.004347,255900
1980-04-30,4.321808,4.394080,4.292900,4.394080,2.037866,267200
1980-05-01,4.394080,4.480805,4.379625,4.379625,2.031161,677100
1980-05-02,4.365171,4.365171,4.321808,4.336263,2.011050,364000
1980-05-05,4.365171,4.394080,4.365171,4.365171,2.024457,681400
1980-05-06,4.365171,4.408534,4.321808,4.379625,2.031161,608800
1980-05-07,4.379625,4.379625,4.278446,4.278446,1.984235,327700
1980-05-08,4.278446,4.278446,4.162812,4.162812,1.930608,134000
1980-05-09,4.162812,4.162812,4.018270,4.047179,1.876981,79500
1980-05-12,4.018270,4.018270,3.873728,3.931545,1.823352,614000
1980-05-13,3.931545,3.945999,3.873728,3.945999,1.830055,604400
1980-05-14,3.945999,4.018270,3.931545,4.003816,1.856869,443600
1980-05-15,4.003816,4.003816,3.945999,3.945999,1.830055,678000
1980-05-16,3.945999,3.974907,3.917091,3.960453,1.836759,126200
1980-05-19,3.960453,3.989362,3.945999,3.960453,1.836759,402900
1980-05-20,3.960453,3.989362,3.931545,3.989362,1.850167,83800
1980-05-21,3.989362,3.989362,3.917091,3.974907,1.843463,269800
1980-05-22,3.974907,4.379625,3.960453,4.191720,1.944015,1090500
1980-05-23,4.249537,4.336263,4.249537,4.336263,2.011050,1250500
1980-05-27,4.336263,4.379625,4.336263,4.365171,2.024457,104600
1980-05-28,4.365171,4.365171,4.307354,4.350717,2.017753,63100
1980-05-29,4.350717,4.350717,4.235083,4.278446,1.984235,704800
1980-05-30,4.278446,4.336263,4.191720,4.336263,2.011050,71700
1980-06-02,4.336263,4.336263,4.278446,4.292900,1.990939,31900
1980-06-03,4.292900,4.336263,4.235083,4.336263,2.011050,316500
1980-06-04,4.336263,4.451896,4.321808,4.451896,2.064679,223900
1980-06-05,4.451896,4.596438,4.437442,4.451896,2.064679,204000
1980-06-06,4.451896,4.451896,4.365171,4.379625,2.031161,180700
1980-06-09,4.379625,4.379625,4.278446,4.278446,1.984235,113200
1980-06-10,4.278446,4.379625,4.278446,4.350717,2.017753,154700
1980-06-11,4.350717,4.379625,4.336263,4.365171,2.024457,411600
1980-06-12,4.365171,4.394080,4.336263,4.394080,2.037866,173800
1980-06-13,4.408534,4.538621,4.408534,4.509713,2.091492,61400
1980-06-16,4.509713,4.639801,4.495259,4.610893,2.138417,236900
1980-06-17,4.610893,4.625347,4.553076,4.581984,2.125011,119300
1980-06-18,4.581984,4.596438,4.509713,4.538621,2.104898,50100
1980-06-19,4.538621,4.581984,4.509713,4.524168,2.098196,46600
1980-06-20,4.495259,4.495259,4.437442,4.451896,2.064679,94200
1980-06-23,4.466351,4.553076,4.466351,4.466351,2.071382,318200
1980-06-24,4.466351,4.480805,4.379625,4.451896,2.064679,535300
1980-06-25,4.451896,4.610893,4.437442,4.567530,2.118306,326800
1980-06-26,4.567530,4.610893,4.509713,4.581984,2.125011,259400
1980-06-27,4.581984,4.712072,4.581984,4.654255,2.158527,201400
1980-06-30,4.596438,4.596438,4.480805,4.480805,2.078085,671900
1980-07-01,4.480805,4.495259,4.451896,4.480805,2.078085,236900
1980-07-02,4.480805,4.567530,4.466351,4.567530,2.118306,195400
1980-07-03,4.625347,4.827706,4.625347,4.798798,2.225562,223900
1980-07-07,4.798798,4.914431,4.798798,4.914431,2.279190,522300
1980-07-08,4.914431,4.943339,4.914431,4.943339,2.292598,170300
1980-07-09,4.943339,4.943339,4.899977,4.899977,2.272488,291400
1980-07-10,4.899977,4.914431,4.784343,4.813251,2.232267,130500
1980-07-11,4.827706,4.899977,4.827706,4.856614,2.252376,274100
1980-07-14,4.856614,4.914431,4.813251,4.914431,2.279190,212700
1980-07-15,5.001156,5.145699,5.001156,5.131244,2.379742,525700
1980-07-16,5.131244,5.160152,5.087882,5.116790,2.373038,205800
1980-07-17,5.073427,5.073427,5.058973,5.073427,2.352928,283600
1980-07-18,5.073427,5.102336,4.943339,5.015611,2.326115,311300
