Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,5.000000,5.037037,4.876543,4.901235,2.003375,3713600
1980-01-03,4.901235,4.975308,4.753087,4.962963,2.028607,4124600
1980-01-04,5.074074,5.444445,5.074074,5.444445,2.225411,8118000
1980-01-07,5.555555,5.802469,5.555555,5.641975,2.306152,11324000
1980-01-08,5.641975,5.728395,5.481482,5.728395,2.341476,6600000
1980-01-09,5.728395,5.728395,5.580247,5.580247,2.280920,5943800
1980-01-10,5.592593,5.765432,5.592593,5.679012,2.321291,4139000
1980-01-11,5.679012,5.716049,5.580247,5.679012,2.321291,2817200
1980-01-14,5.679012,5.765432,5.666667,5.728395,2.341476,1991000
1980-01-15,5.728395,6.024692,5.716049,5.987654,2.447449,5478200
1980-01-16,5.987654,6.148148,5.962963,5.975308,2.442401,4703600
1980-01-17,5.987654,6.123457,5.987654,6.098765,2.492863,2444600
1980-01-18,6.098765,6.185185,6.049383,6.160494,2.518095,2583800
1980-01-21,6.234568,6.370370,6.234568,6.370370,2.603882,2835200
1980-01-22,6.333333,6.333333,6.148148,6.197531,2.533235,3906000
1980-01-23,6.197531,6.518518,6.197531,6.518518,2.664439,3666800
1980-01-24,6.518518,6.592593,6.395061,6.419753,2.624067,5593400
1980-01-25,6.419753,6.543210,6.345679,6.530864,2.669485,3391400
1980-01-28,6.530864,6.716049,6.518518,6.703704,2.740134,3268200
1980-01-29,6.703704,6.740741,6.530864,6.592593,2.694717,3389600
1980-01-30,6.592593,6.765432,6.592593,6.765432,2.765363,2053200
1980-01-31,6.765432,6.802469,6.469136,6.469136,2.644253,4328000
1980-02-01,6.481482,6.654321,6.481482,6.654321,2.719947,3143000
1980-02-04,6.654321,6.654321,6.382716,6.469136,2.644253,2559800
1980-02-05,6.469136,6.654321,6.432099,6.654321,2.719947,4051800
1980-02-06,6.654321,6.703704,6.518518,6.703704,2.740134,3519800
1980-02-07,6.679012,6.679012,6.567901,6.666667,2.724994,2693600
1980-02-08,6.617284,6.617284,6.506173,6.592593,2.712801,2563400
1980-02-11,6.567901,6.567901,6.209877,6.320988,2.601036,3079800
1980-02-12,6.320988,6.345679,6.222222,6.345679,2.611196,4105200
1980-02-13,6.345679,6.358025,6.197531,6.246913,2.570554,4400000
1980-02-14,6.246913,6.308642,5.950617,5.950617,2.448632,3113000
1980-02-15,5.962963,6.148148,5.962963,6.098765,2.509594,2650400
1980-02-19,6.098765,6.234568,6.061728,6.148148,2.529914,2021400
1980-02-20,6.172840,6.320988,6.172840,6.308642,2.595955,1877600
1980-02-21,6.308642,6.308642,6.086420,6.098765,2.509594,3588200
1980-02-22,6.098765,6.222222,6.074074,6.148148,2.529914,2107800
1980-02-25,6.148148,6.222222,6.074074,6.160494,2.534994,1579400
1980-02-26,6.160494,6.209877,6.111111,6.148148,2.529914,1919600
1980-02-27,6.135802,6.135802,5.864198,5.888889,2.423231,2819000
1980-02-28,5.888889,5.925926,5.777778,5.802469,2.387670,3600200
1980-02-29,5.802469,5.950617,5.790123,5.950617,2.448632,2478800
1980-03-03,5.950617,6.135802,5.950617,6.037037,2.484193,2126600
1980-03-04,6.037037,6.135802,6.000000,6.098765,2.509594,2470400
1980-03-05,6.098765,6.160494,5.888889,5.913580,2.433391,2041400
1980-03-06,5.913580,5.975308,5.790123,5.851852,2.407990,3576000
1980-03-07,5.851852,5.851852,5.641975,5.703704,2.347028,4560200
1980-03-10,5.703704,5.851852,5.592593,5.617284,2.311467,3237600
1980-03-11,5.641975,5.765432,5.641975,5.765432,2.372429,2583800
1980-03-12,5.765432,5.913580,5.740741,5.851852,2.407990,3713600
1980-03-13,5.851852,5.876543,5.753087,5.790123,2.382590,2246400
1980-03-14,5.790123,5.851852,5.740741,5.740741,2.362269,1452600
1980-03-17,5.740741,5.765432,5.456790,5.469136,2.250506,1960200
1980-03-18,5.469136,5.592593,5.419753,5.592593,2.301307,5232800
1980-03-19,5.592593,5.728395,5.567901,5.691358,2.341949,1836200
1980-03-20,5.691358,5.728395,5.580247,5.592593,2.301307,1868600
1980-03-21,5.592593,5.604939,5.543210,5.555555,2.286068,1255400
1980-03-24,5.555555,5.555555,5.185185,5.185185,2.133661,1861400
1980-03-25,5.185185,5.604939,5.111111,5.543210,2.280986,4788800
1980-03-26,5.543210,5.555555,5.037037,5.037037,2.072701,6959600
1980-03-27,5.037037,5.432099,4.666667,5.382716,2.214944,8233400
1980-03-28,5.382716,5.419753,5.160494,5.333333,2.194624,4621400
1980-03-31,5.308642,5.308642,5.172840,5.259259,2.164144,2585600
1980-04-01,5.259259,5.283951,5.209877,5.283951,2.174303,1768400
1980-04-02,5.296296,5.481482,5.296296,5.395061,2.220026,2288600
1980-04-03,5.432099,5.493827,5.432099,5.481482,2.255586,1970000
1980-04-07,5.469136,5.469136,5.308642,5.358025,2.204785,1846800
1980-04-08,5.358025,5.543210,5.345679,5.493827,2.260665,2136000
1980-04-09,5.506173,5.679012,5.506173,5.679012,2.336869,3042000
1980-04-10,5.679012,5.851852,5.617284,5.753087,2.367349,2703800
1980-04-11,5.753087,5.790123,5.716049,5.740741,2.362269,1048800
1980-04-14,5.728395,5.728395,5.604939,5.641975,2.321629,1356600
1980-04-15,5.574074,5.574074,5.388889,5.407407,2.225104,1399800
1980-04-16,5.407407,5.555555,5.148148,5.203704,2.141282,1741400
1980-04-17,5.203704,5.296296,5.148148,5.203704,2.141282,1847000
1980-04-18,5.203704,5.296296,5.018518,5.037037,2.072701,1975400
