Date,Open,High,Low,Close,Adj Close,Volume
1981-10-27,3.586545,3.586545,3.528582,3.549549,1.319195,14549100
1981-10-28,3.560646,3.634644,3.552015,3.627246,1.348071,15726400
1981-10-29,3.597648,3.597648,3.497746,3.521179,1.308651,22954700
1981-10-30,3.453346,3.495280,3.397844,3.424981,1.272899,38308300
1981-11-02,3.397844,3.408946,3.291776,3.318913,1.233478,61622100
1981-11-03,3.333710,3.333710,3.302879,3.385513,1.258230,32819100
1981-11-04,3.330011,3.330011,3.247376,3.291776,1.223393,39342000
1981-11-05,3.306578,3.349745,3.257246,3.301646,1.227061,28210400
1981-11-06,3.341114,3.341114,3.247376,3.326312,1.236228,25572000
1981-11-09,3.312743,3.367013,3.293015,3.384280,1.257772,55292200
1981-11-10,3.370712,3.381814,3.295481,3.353444,1.246312,16375100
1981-11-11,3.341114,3.381814,3.341114,3.360847,1.249064,12010500
1981-11-12,3.347279,3.347279,3.333710,3.385513,1.258230,12297500
1981-11-13,3.370712,3.501445,3.370712,3.511315,1.304985,29262100
1981-11-16,3.507615,3.507615,3.494047,3.478012,1.292609,25505600
1981-11-17,3.508849,3.518713,3.368246,3.450880,1.282524,13809700
1981-11-18,3.450880,3.511315,3.384280,3.354677,1.246770,13442400
1981-11-19,3.464449,3.474313,3.330011,3.416344,1.269689,21135400
1981-11-20,3.426214,3.429913,3.381814,3.349745,1.244937,17641600
1981-11-23,3.406480,3.436078,3.371944,3.397844,1.262813,17048800
1981-11-24,3.381814,3.450880,3.354677,3.395377,1.261897,19309300
1981-11-25,3.384280,3.429913,3.339880,3.399076,1.263272,16110800
1981-11-27,3.437311,3.474313,3.375644,3.447181,1.281149,14962700
1981-11-30,3.457045,3.487881,3.447181,3.487881,1.296276,11300200
1981-12-01,3.505144,3.548311,3.505144,3.511315,1.304985,17686100
1981-12-02,3.512547,3.517480,3.453346,3.480478,1.293525,14000300
1981-12-03,3.481711,3.570511,3.481711,3.498979,1.300401,13926400
1981-12-04,3.511315,3.579147,3.501445,3.542145,1.316444,12389200
1981-12-07,3.549549,3.560646,3.464449,3.491581,1.297651,11595400
1981-12-08,3.627246,3.730848,3.627246,3.672879,1.365030,33564900
1981-12-09,null,null,null,null,null,null
1981-12-10,null,null,null,null,null,null
1981-12-11,null,null,null,null,null,null
1981-12-14,null,null,null,null,null,null
1981-12-15,null,null,null,null,null,null
1981-12-16,null,null,null,null,null,null
1981-12-17,null,null,null,null,null,null
1981-12-18,null,null,null,null,null,null
1981-12-21,null,null,null,null,null,null
1981-12-22,null,null,null,null,null,null
1981-12-23,null,null,null,null,null,null
1981-12-24,null,null,null,null,null,null
1981-12-28,null,null,null,null,null,null
1981-12-29,null,null,null,null,null,null
1981-12-30,null,null,null,null,null,null
1981-12-31,4.108557,4.131682,4.085432,4.131682,1.535546,193600
1982-01-04,4.208766,4.255016,4.147099,4.224182,1.569924,901300
1982-01-05,4.131682,4.193349,4.070015,4.070015,1.512627,993000
1982-01-06,3.992931,4.039182,3.931264,3.977515,1.478249,871500
1982-01-07,4.039182,4.116265,3.962098,4.116265,1.529816,746700
1982-01-08,4.162515,4.224182,4.085432,4.100848,1.524086,1457700
1982-01-11,4.023765,4.131682,3.915848,3.931264,1.461060,527600
1982-01-12,3.992931,4.039182,3.931264,4.039182,1.501167,564000
1982-01-13,4.039182,4.100848,3.962098,3.962098,1.472520,811500
1982-01-14,4.023765,4.116265,3.931264,4.054598,1.506897,1208000
1982-01-15,4.116265,4.162515,4.054598,4.116265,1.529816,680000
1982-01-18,4.131682,4.208766,4.054598,4.208766,1.564193,398000
