Date,Open,High,Low,Close,Adj Close,Volume
1984-09-07,3.927080,3.927080,3.864580,3.864580,1.030908,118400
1984-09-10,3.864580,3.875000,3.833330,3.854170,1.028132,254400
1984-09-11,3.927080,3.958330,3.916670,3.916670,1.044805,747200
1984-09-12,3.927080,3.979170,3.885420,3.958330,1.055918,1231200
1984-09-13,3.979170,4.020830,3.968750,4.020830,1.072590,188000
1984-09-14,4.052080,4.104170,4.041670,4.104170,1.094821,1092000
1984-09-17,4.114580,4.145830,4.083330,4.125000,1.100378,1891200
1984-09-18,4.083330,4.093750,4.052080,4.052080,1.093071,1260800
1984-09-19,4.052080,4.052080,4.000000,4.010420,1.081833,1030400
1984-09-20,4.020830,4.031250,4.000000,4.031250,1.087451,144800
1984-09-21,4.041670,4.041670,4.010420,4.020830,1.084641,518400
1984-09-24,4.020830,4.020830,3.968750,3.968750,1.070592,663200
1984-09-25,3.979170,3.979170,3.927080,3.958330,1.067781,147200
1984-09-26,3.958330,3.979170,3.927080,3.947920,1.064973,240800
1984-09-27,3.958330,3.958330,3.937500,3.947920,1.064973,120800
1984-09-28,3.958330,3.958330,3.906250,3.927080,1.059351,208800
1984-10-01,3.927080,3.927080,3.802080,3.812500,1.028442,796800
1984-10-02,3.812500,3.833330,3.739580,3.833330,1.034062,1241600
1984-10-03,3.833330,3.833330,3.802080,3.812500,1.028442,499200
1984-10-04,3.812500,3.927080,3.812500,3.927080,1.059351,552800
1984-10-05,3.927080,3.958330,3.927080,3.958330,1.067781,828800
1984-10-08,3.958330,3.989580,3.958330,3.989580,1.076210,350400
1984-10-09,3.989580,4.052080,3.989580,4.020830,1.084641,975200
1984-10-10,4.020830,4.052080,4.020830,4.052080,1.093071,372800
1984-10-11,4.083330,4.135420,4.083330,4.083330,1.101500,903200
1984-10-12,4.083330,4.114580,4.072920,4.114580,1.109930,620000
1984-10-15,4.114580,4.177080,4.104170,4.145830,1.118360,324800
1984-10-16,4.145830,4.197920,4.145830,4.177080,1.126790,800000
1984-10-17,4.177080,4.177080,4.135420,4.135420,1.115552,300800
1984-10-18,4.135420,4.239580,4.114580,4.239580,1.143650,1124000
1984-10-19,4.270830,4.427080,4.270830,4.270830,1.152080,2177600
1984-10-22,4.177080,4.177080,4.052080,4.145830,1.118360,1527200
1984-10-23,4.145830,4.166670,3.947920,3.989580,1.076210,6003200
1984-10-24,3.958330,3.958330,3.927080,3.947920,1.064973,1577600
1984-10-25,3.947920,3.958330,3.927080,3.927080,1.059351,2444000
1984-10-26,3.927080,3.927080,3.895830,3.895830,1.050921,1730400
1984-10-29,3.895830,3.916670,3.895830,3.895830,1.050921,1294400
1984-10-30,3.895830,3.979170,3.895830,3.958330,1.067781,3240800
1984-10-31,3.958330,3.989580,3.947920,3.947920,1.064973,713600
1984-11-01,3.947920,3.958330,3.927080,3.927080,1.059351,476000
1984-11-02,3.927080,3.947920,3.875000,3.875000,1.045302,1944800
1984-11-05,3.875000,3.895830,3.864580,3.864580,1.042491,1296800
1984-11-06,3.895830,3.989580,3.895830,3.989580,1.076210,792000
1984-11-07,3.989580,4.052080,3.989580,4.010420,1.081833,5667200
1984-11-08,3.989580,3.989580,3.958330,3.989580,1.076210,1802400
1984-11-09,3.989580,4.020830,3.989580,4.020830,1.084641,2907200
1984-11-12,4.020830,4.041670,3.989580,4.010420,1.081833,1001600
1984-11-13,4.010420,4.020830,4.010420,4.020830,1.084641,257600
1984-11-14,4.020830,4.052080,4.020830,4.041670,1.090262,2789600
1984-11-15,4.020830,4.020830,4.010420,4.010420,1.081833,1570400
1984-11-16,4.010420,4.010420,3.958330,3.958330,1.067781,1088000
1984-11-19,3.958330,3.958330,3.875000,3.895830,1.050921,428000
1984-11-20,3.895830,3.958330,3.895830,3.958330,1.067781,669600
1984-11-21,3.958330,3.989580,3.947920,3.947920,1.064973,382400
1984-11-23,3.958330,4.072920,3.958330,4.072920,1.098692,322400
1984-11-26,4.072920,4.114580,4.072920,4.104170,1.107122,1167200
1984-11-27,4.083330,4.083330,4.052080,4.052080,1.093071,405600
1984-11-28,4.052080,4.072920,4.010420,4.010420,1.081833,608000
1984-11-29,4.010420,4.020830,3.979170,3.979170,1.073402,571200
1984-11-30,3.979170,3.989580,3.927080,3.947920,1.064973,2242400
1984-12-03,3.947920,3.947920,3.895830,3.895830,1.050921,879200
1984-12-04,3.895830,3.958330,3.895830,3.958330,1.067781,368000
1984-12-05,3.958330,3.958330,3.927080,3.927080,1.059351,595200
1984-12-06,3.927080,3.927080,3.895830,3.927080,1.059351,391200
1984-12-07,3.895830,3.895830,3.833330,3.833330,1.034062,879200
1984-12-10,3.833330,3.864580,3.812500,3.843750,1.036873,369600
1984-12-11,3.843750,3.916670,3.833330,3.864580,1.042491,1697600
1984-12-12,3.864580,3.864580,3.833330,3.864580,1.042491,1138400
1984-12-13,3.864580,3.947920,3.864580,3.927080,1.059351,1263200
1984-12-14,3.927080,4.010420,3.927080,3.989580,1.076210,537600
1984-12-17,3.989580,4.020830,3.989580,4.020830,1.084641,641600
1984-12-18,4.052080,4.145830,4.052080,4.145830,1.118360,1771200
1984-12-19,4.177080,4.260420,4.177080,4.197920,1.132411,3152000
1984-12-20,4.197920,4.197920,4.145830,4.177080,1.126790,1400000
1984-12-21,4.177080,4.177080,4.135420,4.177080,1.126790,953600
1984-12-24,4.177080,4.270830,4.177080,4.270830,1.152080,520800
1984-12-26,4.270830,4.322920,4.239580,4.260420,1.149271,520800
1984-12-27,4.239580,4.239580,4.177080,4.177080,1.126790,568800
1984-12-28,4.177080,4.260420,4.177080,4.260420,1.149271,309600
1984-12-31,4.260420,4.385420,4.260420,4.385420,1.182990,585600
1985-01-02,4.375000,4.375000,4.312500,4.312500,1.163320,487200
1985-01-03,4.312500,4.322920,4.270830,4.270830,1.152080,518400
1985-01-04,4.270830,4.270830,4.218750,4.270830,1.152080,1140800
1985-01-07,4.270830,4.322920,4.250000,4.312500,1.163320,501600
1985-01-08,4.312500,4.312500,4.250000,4.270830,1.152080,1992800
1985-01-09,4.270830,4.270830,4.229170,4.239580,1.143650,542400
1985-01-10,4.229170,4.229170,4.145830,4.229170,1.140841,4253600
1985-01-11,4.229170,4.250000,4.218750,4.250000,1.146460,1169600
1985-01-14,4.250000,4.250000,4.197920,4.250000,1.146460,1786400
1985-01-15,4.250000,4.260420,4.208330,4.229170,1.140841,2609600
1985-01-16,4.229170,4.260420,4.218750,4.250000,1.146460,1912800
