Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875000,13.125000,12.875000,13.000000,11.463906,5783000
1998-08-19,13.000000,13.250000,13.000000,13.000000,11.463906,388700
1998-08-20,13.125000,13.250000,13.000000,13.000000,11.463906,348500
1998-08-21,13.000000,13.000000,13.000000,13.000000,11.463906,804000
1998-08-24,13.000000,13.000000,13.000000,13.000000,11.463906,119700
1998-08-25,13.000000,13.000000,12.875000,13.000000,11.463906,294100
1998-08-26,13.000000,13.000000,12.125000,12.250000,10.802526,383800
1998-08-27,12.250000,12.375000,10.750000,11.125000,9.810455,435300
1998-08-28,11.375000,11.375000,10.000000,10.000000,8.818388,192400
1998-08-31,10.000000,10.125000,7.625000,8.125000,7.164941,150800
1998-09-01,8.250000,9.000000,6.687500,8.500000,7.495630,440700
1998-09-02,8.500000,10.500000,8.500000,9.562500,8.432585,509200
1998-09-03,9.750000,9.750000,8.500000,8.750000,7.716090,165900
1998-09-04,9.000000,9.000000,8.125000,8.375000,7.385401,155700
1998-09-08,9.000000,10.000000,8.750000,9.875000,8.708158,149300
1998-09-09,9.875000,10.000000,9.500000,9.500000,8.377469,116900
1998-09-10,9.375000,9.375000,9.000000,9.250000,8.157008,80700
1998-09-11,9.312500,9.375000,9.000000,9.000000,7.936550,84800
1998-09-14,9.250000,9.625000,9.000000,9.000000,7.936550,90800
1998-09-15,9.125000,9.250000,8.625000,8.750000,7.716090,200400
1998-09-16,8.750000,8.750000,7.750000,7.875000,6.944481,221300
1998-09-17,7.875000,8.625000,7.875000,8.281200,7.302684,87300
1998-09-18,8.375000,8.687500,7.750000,8.250000,7.275170,147300
1998-09-21,7.875000,8.000000,6.875000,7.000000,6.172872,472900
1998-09-22,7.125000,8.125000,7.062500,8.000000,7.054711,728300
1998-09-23,8.250000,8.625000,8.000000,8.375000,7.385401,382500
1998-09-24,8.500000,9.375000,8.500000,9.062500,7.991665,280800
1998-09-25,8.750000,9.437500,8.750000,9.375000,8.267240,44400
1998-09-28,9.500000,9.875000,9.375000,9.375000,8.267240,26500
1998-09-29,9.500000,9.750000,9.250000,9.531200,8.404983,88300
1998-09-30,9.500000,10.062500,9.375000,9.625000,8.487699,172300
1998-10-01,9.625000,9.625000,8.875000,8.875000,7.826321,85500
1998-10-02,8.875000,9.250000,8.875000,8.875000,7.826321,58700
1998-10-05,8.750000,8.875000,8.000000,8.000000,7.054711,63000
1998-10-06,9.000000,9.125000,8.000000,8.375000,7.385401,129500
1998-10-07,8.375000,8.625000,7.812500,7.812500,6.889366,340400
1998-10-08,7.750000,7.812500,6.000000,6.312500,5.566608,346800
1998-10-09,7.000000,7.125000,6.125000,6.250000,5.511493,271500
1998-10-12,6.500000,6.500000,6.000000,6.250000,5.511493,660400
1998-10-13,6.250000,7.500000,6.250000,7.000000,6.172872,228600
1998-10-14,6.875000,7.625000,6.875000,7.625000,6.724021,46400
1998-10-15,7.500000,7.625000,7.375000,7.562500,6.668906,44100
1998-10-16,7.812500,8.375000,7.500000,7.875000,6.944481,421600
1998-10-19,8.125000,8.562500,8.000000,8.562500,7.550746,50600
1998-10-20,8.625000,9.500000,8.500000,9.375000,8.267240,354800
1998-10-21,9.437500,10.375000,9.437500,10.000000,8.818388,156000
1998-10-22,10.125000,11.500000,10.000000,11.437500,10.086032,134600
1998-10-23,11.625000,13.125000,11.375000,13.000000,11.463906,411400
1998-10-26,13.000000,13.000000,12.625000,12.750000,11.243445,125500
1998-10-27,12.875000,13.375000,12.375000,12.437500,10.967869,417500
1998-10-28,12.375000,12.750000,12.250000,12.750000,11.243445,53000
1998-10-29,12.625000,13.062500,11.750000,12.000000,10.582065,280000
1998-10-30,12.000000,12.875000,11.875000,12.875000,11.353675,198600
1998-11-02,12.937500,13.312500,12.625000,12.875000,11.353675,105900
1998-11-03,12.812500,12.875000,12.625000,12.750000,11.243445,24900
1998-11-04,12.875000,12.875000,12.250000,12.500000,11.022985,105800
1998-11-05,12.500000,13.250000,12.312500,13.250000,11.684366,81800
1998-11-06,13.250000,13.312500,12.875000,13.250000,11.684366,55600
1998-11-09,12.875000,13.312500,12.750000,13.250000,11.684366,84200
1998-11-10,13.250000,13.312500,12.875000,13.000000,11.463906,22600
1998-11-11,12.875000,13.125000,12.625000,12.750000,11.243445,22200
1998-11-12,12.750000,12.750000,12.250000,12.500000,11.022985,23700
1998-11-13,12.562500,12.562500,10.500000,11.812500,10.416721,96600
1998-11-16,11.687500,12.250000,11.250000,11.500000,10.141146,70500
1998-11-17,11.750000,12.000000,11.125000,11.750000,10.361606,188500
