Date,Open,High,Low,Close,Adj Close,Volume
1982-03-31,5.680555,5.805555,5.555555,5.805555,2.334809,1474200
1982-04-01,5.680555,5.805555,5.555555,5.805555,2.334809,1474200
1982-04-02,5.944445,6.055555,5.833333,6.000000,2.413008,1710900
1982-04-05,6.055555,6.111111,6.000000,6.055555,2.435350,1604700
1982-04-06,5.986111,6.027778,5.944445,6.027778,2.424180,1361700
1982-04-07,6.055555,6.097222,6.013889,6.055555,2.435350,1206000
1982-04-08,6.083333,6.152778,6.013889,6.111111,2.457693,1188000
1982-04-12,6.083333,6.138889,6.013889,6.027778,2.424180,805500
1982-04-13,6.055555,6.097222,6.013889,6.083333,2.446523,1282500
1982-04-14,6.041667,6.069445,6.013889,6.055555,2.435350,207000
1982-04-15,6.013889,6.055555,5.972222,6.041667,2.429766,331200
1982-04-16,6.055555,6.083333,6.013889,6.041667,2.429766,576900
1982-04-19,6.083333,6.111111,6.041667,6.055555,2.435350,713700
1982-04-20,6.041667,6.069445,6.013889,6.041667,2.429766,508500
1982-04-21,6.000000,6.027778,5.972222,5.972222,2.401837,254700
1982-04-22,6.000000,6.027778,5.958333,5.986111,2.407423,576000
1982-04-23,5.680555,5.694445,5.652778,5.694445,2.290123,3060900
1982-04-26,5.597222,5.694445,5.500000,5.569445,2.239852,3427200
1982-04-27,5.513889,5.569445,5.458333,5.472222,2.200753,2219400
1982-04-28,5.486111,5.527778,5.444445,5.444445,2.189583,542700
1982-04-29,5.472222,5.513889,5.416667,5.416667,2.178411,423900
1982-04-30,5.361111,5.388889,5.333333,5.347222,2.150482,2470500
1982-05-03,5.305555,5.347222,5.263889,5.291667,2.128138,1687500
1982-05-04,5.291667,5.305555,5.277778,5.305555,2.133724,1632600
1982-05-05,5.277778,5.305555,5.250000,5.291667,2.128138,587700
1982-05-06,5.291667,5.333333,5.250000,5.305555,2.133724,1586700
1982-05-07,5.250000,5.305555,5.194445,5.222222,2.100211,2665800
1982-05-10,5.250000,5.291667,5.208333,5.236111,2.105797,1100700
1982-05-11,5.319445,5.361111,5.277778,5.347222,2.150482,941400
1982-05-12,5.222222,5.361111,5.083333,5.083333,2.044354,2474100
1982-05-13,4.597222,4.652778,4.527778,4.569445,1.837685,15327900
1982-05-14,4.680555,4.708333,4.638889,4.694445,1.887956,4312800
1982-05-17,4.694445,4.722222,4.666667,4.694445,1.887956,1360800
1982-05-18,4.680555,4.694445,4.652778,4.666667,1.876785,1487700
1982-05-19,4.611111,4.638889,4.569445,4.583333,1.843271,2322900
1982-05-20,4.527778,4.569445,4.486111,4.555555,1.832099,2007900
1982-05-21,4.500000,4.527778,4.472222,4.486111,1.804171,1656000
1982-05-24,4.430555,4.486111,4.361111,4.375000,1.759484,3863700
1982-05-25,4.430555,4.458333,4.388889,4.388889,1.765072,2444400
1982-05-26,4.347222,4.388889,4.291667,4.319445,1.737144,2028600
1982-05-27,4.291667,4.319445,4.263889,4.305555,1.731556,1105200
1982-05-28,4.291667,4.319445,4.250000,4.263889,1.714800,1545300
1982-06-01,4.222222,4.250000,4.180555,4.222222,1.698044,1088100
1982-06-02,4.250000,4.277778,4.222222,4.250000,1.709214,1796400
1982-06-03,4.222222,4.263889,4.166667,4.236111,1.703628,1359000
1982-06-04,4.152778,4.236111,4.055555,4.083333,1.642186,1927800
1982-06-07,3.972222,4.013889,3.916667,3.972222,1.622895,1387800
1982-06-08,3.861111,3.944444,3.777778,3.833333,1.566149,1832400
1982-06-09,3.791667,3.861111,3.722222,3.722222,1.520753,3247200
1982-06-10,3.791667,3.861111,3.722222,3.750000,1.532102,2754900
1982-06-11,3.833333,3.875000,3.777778,3.833333,1.566149,3304800
1982-06-14,3.750000,3.819444,3.666667,3.666667,1.498055,4736700
1982-06-15,3.722222,3.750000,3.694444,3.750000,1.532102,1662300
1982-06-16,3.750000,3.791667,3.694444,3.763889,1.537777,1773000
1982-06-17,3.708333,3.763889,3.638889,3.666667,1.498055,3891600
1982-06-18,3.611111,3.666667,3.541667,3.555556,1.452660,1819800
1982-06-21,3.597222,3.638889,3.555556,3.555556,1.452660,1149300
1982-06-22,3.611111,3.708333,3.500000,3.708333,1.515079,2377800
1982-06-23,3.708333,3.750000,3.652778,3.750000,1.532102,1052100
1982-06-24,3.805556,3.847222,3.750000,3.750000,1.532102,1432800
1982-06-25,3.791667,3.833333,3.750000,3.791667,1.549125,535500
1982-06-28,3.791667,3.805556,3.763889,3.791667,1.549125,373500
1982-06-29,3.777778,3.819444,3.736111,3.777778,1.543451,1080000
1982-06-30,3.805556,3.847222,3.763889,3.777778,1.543451,1343700
1982-07-01,3.736111,3.777778,3.694444,3.722222,1.520753,2231100
1982-07-02,3.666667,3.694444,3.625000,3.666667,1.498055,353700
1982-07-06,3.541667,3.638889,3.444444,3.583333,1.464009,1067400
1982-07-07,3.527778,3.583333,3.472222,3.472222,1.418613,2426400
1982-07-08,3.583333,3.694444,3.458333,3.638889,1.486706,3788100
1982-07-09,3.666667,3.722222,3.611111,3.638889,1.486706,2414700
1982-07-12,3.597222,3.638889,3.555556,3.611111,1.475358,5817600
1982-07-13,3.611111,3.680556,3.555556,3.583333,1.464009,2309400
1982-07-14,3.597222,3.638889,3.555556,3.611111,1.475358,5817600
1982-07-15,3.638889,3.652778,3.625000,3.652778,1.492381,5258700
1982-07-16,3.652778,3.680556,3.625000,3.680556,1.503730,2407500
1982-07-19,3.694444,3.722222,3.666667,3.680556,1.503730,729000
1982-07-20,3.680556,3.708333,3.652778,3.652778,1.492381,1065600
1982-07-21,3.708333,3.722222,3.680556,3.694444,1.509404,2344500
1982-07-22,3.750000,3.819444,3.666667,3.819444,1.560475,2825100
1982-07-23,3.847222,3.875000,3.805556,3.847222,1.571824,1725300
1982-07-26,3.791667,3.833333,3.736111,3.750000,1.532102,655200
1982-07-27,3.736111,3.750000,3.722222,3.750000,1.532102,2628900
1982-07-28,3.694444,3.722222,3.666667,3.694444,1.509404,2241900
1982-07-29,3.750000,3.791667,3.694444,3.763889,1.537777,2802600
1982-07-30,3.763889,3.791667,3.722222,3.722222,1.520753,583200
1982-08-02,3.791667,3.819444,3.750000,3.791667,1.549125,3060000
1982-08-03,3.805556,3.847222,3.763889,3.763889,1.537777,851400
1982-08-04,3.791667,3.819444,3.750000,3.805556,1.554801,1365300
1982-08-05,3.750000,3.777778,3.722222,3.750000,1.532102,1467900
1982-08-06,3.736111,3.763889,3.708333,3.722222,1.520753,827100
1982-08-09,3.680556,3.722222,3.638889,3.666667,1.498055,1173600
1982-08-10,3.666667,3.708333,3.625000,3.625000,1.481032,1104300
1982-08-11,3.708333,3.777778,3.625000,3.777778,1.543451,1999800
1982-08-12,3.833333,3.916667,3.750000,3.805556,1.554801,1404000
1982-08-13,3.875000,3.930556,3.805556,3.930556,1.605870,783000
1982-08-16,3.930556,3.972222,3.875000,3.875000,1.583172,773100
1982-08-17,4.027778,4.097222,3.944444,4.097222,1.673964,2520900
1982-08-18,4.222222,4.388889,4.041667,4.138889,1.690987,2708100
1982-08-19,4.069445,4.138889,4.000000,4.000000,1.634242,897300
1982-08-20,4.111111,4.194445,4.013889,4.194445,1.713685,1468800
1982-08-23,4.138889,4.194445,4.069445,4.166667,1.702336,1809000
1982-08-24,4.208333,4.250000,4.152778,4.194445,1.713685,1518300
1982-08-25,4.194445,4.250000,4.138889,4.152778,1.696661,3152700
1982-08-26,4.263889,4.361111,4.152778,4.291667,1.753406,1206000
1982-08-27,4.222222,4.263889,4.180555,4.194445,1.713685,1261800
1982-08-30,4.194445,4.222222,4.152778,4.180555,1.708010,994500
1982-08-31,4.208333,4.277778,4.125000,4.277778,1.747731,1538100
1982-09-01,4.236111,4.291667,4.180555,4.222222,1.725033,1389600
1982-09-02,4.152778,4.236111,4.069445,4.222222,1.725033,2134800
1982-09-03,4.208333,4.291667,4.111111,4.125000,1.685312,3523500
1982-09-07,4.013889,4.055555,3.972222,4.013889,1.665716,1977300
