Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.800000,8.640000,7.780000,8.580000,5.724619,27551000
2002-12-09,8.540000,8.560000,8.228000,8.404000,5.607189,3149500
2002-12-10,8.410000,8.660000,8.330000,8.550000,5.704603,1723000
2002-12-11,8.540000,9.100000,8.460000,9.012000,6.012853,2549000
2002-12-12,9.012000,9.012000,8.720000,8.782000,5.859395,1355500
2002-12-13,8.782000,8.794000,8.650000,8.730000,5.824698,987500
2002-12-16,8.700000,8.750000,8.590000,8.620000,5.751307,798000
2002-12-17,8.600000,8.800000,8.560000,8.654000,5.773993,1646000
2002-12-18,8.640000,8.640000,8.510000,8.534000,5.693926,742000
2002-12-19,8.510000,8.540000,8.434000,8.460000,5.644553,684000
2002-12-20,8.480000,8.920000,8.400000,8.890000,5.931452,904500
2002-12-23,8.870000,8.910000,8.670000,8.680000,5.791339,638500
2002-12-24,8.720000,8.720000,8.592000,8.610000,5.744634,218000
2002-12-26,8.620000,8.630000,8.510000,8.520000,5.684587,325000
2002-12-27,8.500000,8.500000,8.350000,8.400000,5.604518,830500
2002-12-30,8.460000,8.570000,8.420000,8.464000,5.647220,1076500
2002-12-31,8.454000,8.760000,8.454000,8.732000,5.826033,1778000
2003-01-02,8.732000,8.790000,8.690000,8.744000,5.834043,315000
2003-01-03,8.744000,9.160000,8.704000,9.160000,6.111597,861500
2003-01-06,9.006000,9.670000,9.006000,9.620000,6.418510,1874500
2003-01-07,9.600000,9.720000,9.450000,9.604000,6.407837,1383000
2003-01-08,9.606000,9.654000,9.534000,9.602000,6.406500,411000
2003-01-09,9.620000,9.840000,9.532000,9.810000,6.545283,649000
2003-01-10,9.770000,9.870000,9.742000,9.798000,6.537271,844000
2003-01-13,9.800000,9.936000,9.774000,9.924000,6.621340,810000
2003-01-14,9.924000,10.000000,9.814000,9.820000,6.551954,554000
2003-01-15,9.680000,9.680000,9.352000,9.410000,6.278399,1459000
2003-01-16,9.400000,9.400000,9.054000,9.076000,6.055550,725000
2003-01-17,9.050000,9.104000,8.960000,9.004000,6.007512,590500
2003-01-21,9.010000,9.040000,8.852000,8.890000,5.931452,468000
2003-01-22,8.860000,8.880000,8.820000,8.830000,5.891418,163500
2003-01-23,8.840000,9.150000,8.826000,9.086000,6.062224,476000
2003-01-24,9.070000,9.420000,9.000000,9.398000,6.270394,685000
2003-01-27,9.358000,9.380000,9.240000,9.250000,6.171647,209000
2003-01-28,9.260000,9.316000,9.200000,9.202000,6.139619,364500
2003-01-29,9.180000,9.400000,9.152000,9.300000,6.205007,401500
2003-01-30,9.300000,9.318000,8.760000,8.840000,5.898093,735000
2003-01-31,8.800000,8.810000,8.402000,8.500000,5.671241,2886000
2003-02-03,8.490000,8.580000,8.432000,8.470000,5.651225,780000
2003-02-04,8.440000,8.440000,8.310000,8.400000,5.604518,740000
2003-02-05,8.390000,8.400000,8.270000,8.348000,5.569829,1159000
2003-02-06,8.340000,8.404000,8.290000,8.300000,5.537800,1077500
2003-02-07,8.320000,8.430000,8.310000,8.422000,5.619199,744500
2003-02-10,8.422000,8.680000,8.410000,8.600000,5.737964,278500
2003-02-11,8.600000,8.706000,8.580000,8.582000,5.725951,222500
2003-02-12,8.550000,8.590000,8.496000,8.582000,5.725951,355500
2003-02-13,8.570000,8.744000,8.564000,8.700000,5.804683,265500
2003-02-14,8.740000,8.960000,8.740000,8.900000,5.938121,958000
2003-02-18,8.950000,8.960000,8.830000,8.904000,5.940792,753500
2003-02-19,8.906000,9.000000,8.880000,8.954000,5.974151,420500
2003-02-20,8.960000,9.020000,8.940000,9.006000,6.008847,159000
2003-02-21,9.008000,9.132000,9.000000,9.072000,6.052882,206000
2003-02-24,9.000000,9.160000,9.000000,9.108000,6.076903,182500
2003-02-25,9.100000,9.160000,9.070000,9.144000,6.100921,144500
2003-02-26,9.148000,9.200000,9.020000,9.068000,6.050215,214000
2003-02-27,9.048000,9.050000,8.660000,8.660000,5.777994,945000
2003-02-28,8.650000,8.760000,8.574000,8.610000,5.744634,565000
2003-03-03,8.612000,8.712000,8.600000,8.626000,5.755310,211000
2003-03-04,8.620000,8.648000,8.564000,8.564000,5.713944,151000
2003-03-05,8.566000,8.592000,8.440000,8.450000,5.637882,269500
2003-03-06,8.422000,8.530000,8.422000,8.468000,5.668676,352500
2003-03-07,8.470000,8.548000,8.442000,8.466000,5.667335,175500
2003-03-10,8.456000,8.532000,8.454000,8.472000,5.671352,163000
2003-03-11,8.474000,8.540000,8.434000,8.454000,5.659303,104500
2003-03-12,8.480000,8.510000,8.380000,8.476000,5.674032,312000
2003-03-13,8.500000,8.540000,8.482000,8.504000,5.692774,204000
2003-03-14,8.500000,8.680000,8.500000,8.640000,5.783814,471500
2003-03-17,8.640000,9.238000,8.640000,9.190000,6.151998,607000
2003-03-18,9.194000,9.366000,9.140000,9.210000,6.165388,478500
2003-03-19,9.220000,9.390000,9.220000,9.390000,6.285886,149500
2003-03-20,9.392000,9.392000,9.110000,9.110000,6.098442,571000
2003-03-21,9.140000,9.426000,9.140000,9.420000,6.305965,632500
2003-03-24,9.400000,9.642000,9.346000,9.600000,6.426460,1112000
2003-03-25,9.590000,9.710000,9.590000,9.686000,6.484031,545500
2003-03-26,9.680000,9.782000,9.680000,9.700000,6.493402,1076000
2003-03-27,9.680000,9.780000,9.560000,9.780000,6.546958,777500
2003-03-28,9.760000,9.760000,9.680000,9.730000,6.513487,306500
2003-03-31,9.710000,9.710000,9.552000,9.630000,6.446543,435000
2003-04-01,9.632000,9.638000,9.516000,9.594000,6.422448,232000
2003-04-02,9.474000,9.660000,9.446000,9.632000,6.447886,536000
2003-04-03,9.640000,9.840000,9.640000,9.656000,6.463948,633000
2003-04-04,9.670000,9.760000,9.652000,9.680000,6.480015,321500
2003-04-07,9.740000,9.770000,9.334000,9.340000,6.252412,1109500
2003-04-08,9.320000,9.354000,9.230000,9.292000,6.220279,398000
2003-04-09,9.310000,9.380000,9.250000,9.350000,6.259108,390000
2003-04-10,9.360000,9.430000,9.310000,9.424000,6.308643,224500
2003-04-11,9.440000,9.440000,9.326000,9.354000,6.261783,178500
2003-04-14,9.354000,9.520000,9.340000,9.502000,6.360856,212500
2003-04-15,9.494000,9.534000,9.486000,9.500000,6.359519,198500
2003-04-16,9.510000,9.582000,9.504000,9.522000,6.374249,280000
2003-04-17,9.722000,9.934000,9.708000,9.808000,6.565700,1067500
2003-04-21,9.768000,9.778000,9.654000,9.744000,6.522859,243500
2003-04-22,9.802000,10.110000,9.636000,9.958000,6.666117,1607000
2003-04-23,10.058000,10.250000,10.000000,10.100000,6.761173,1540000
2003-04-24,10.100000,10.320000,10.100000,10.320000,6.908446,644000
2003-04-25,10.320000,10.540000,10.320000,10.490000,7.022247,905000
2003-04-28,10.530000,11.238000,10.530000,11.080000,7.417209,2717500
2003-04-29,11.082000,11.224000,10.956000,11.130000,7.450677,1455000
2003-04-30,11.120000,11.350000,11.024000,11.308000,7.569835,885500
2003-05-01,11.308000,11.360000,11.156000,11.156000,7.468085,1156500
2003-05-02,11.130000,11.498000,11.130000,11.400000,7.631422,740500
2003-05-05,11.410000,11.600000,11.332000,11.360000,7.604647,693000
2003-05-06,11.360000,11.360000,11.206000,11.300000,7.564482,661000
2003-05-07,11.260000,11.320000,11.060000,11.120000,7.443986,704500
2003-05-08,11.080000,11.116000,10.990000,11.076000,7.414530,707000
2003-05-09,11.100000,11.260000,11.010000,11.144000,7.460054,461000
2003-05-12,11.130000,11.450000,11.100000,11.340000,7.591260,457500
2003-05-13,11.320000,11.800000,11.320000,11.720000,7.845639,1083500
2003-05-14,11.708000,11.848000,11.668000,11.698000,7.830909,763000
2003-05-15,11.690000,11.774000,11.640000,11.724000,7.848317,279500
2003-05-16,11.714000,12.000000,11.620000,12.000000,8.033076,498000
2003-05-19,11.880000,11.898000,11.674000,11.710000,7.838944,547500
2003-05-20,11.690000,11.860000,11.690000,11.708000,7.837605,461500
2003-05-21,11.690000,11.840000,11.612000,11.834000,7.921951,355000
2003-05-22,11.884000,12.040000,11.860000,11.940000,7.992911,583000
2003-05-23,11.950000,12.046000,11.944000,12.036000,8.057174,161000
2003-05-27,11.930000,11.930000,11.840000,11.906000,7.970151,409000
2003-05-28,11.906000,12.130000,11.906000,12.090000,8.093328,506500
2003-05-29,12.090000,12.124000,11.974000,12.048000,8.065209,856500
2003-05-30,12.048000,12.360000,12.040000,12.296000,8.231228,820000
2003-06-02,12.310000,12.556000,12.310000,12.410000,8.307541,704500
2003-06-03,12.370000,12.510000,12.370000,12.464000,8.343690,741000
2003-06-04,12.470000,12.692000,12.464000,12.640000,8.461509,547000
2003-06-05,12.640000,12.722000,12.570000,12.602000,8.436069,363000
2003-06-06,12.574000,12.574000,12.200000,12.200000,8.185147,1028000
2003-06-09,12.170000,12.438000,12.156000,12.400000,8.319330,1836500
2003-06-10,12.410000,12.550000,12.356000,12.440000,8.346168,1206000
2003-06-11,12.420000,12.512000,12.420000,12.470000,8.366297,1197500
2003-06-12,12.500000,12.900000,12.458000,12.828000,8.606483,999000
2003-06-13,12.828000,12.960000,12.828000,12.904000,8.657470,723500
2003-06-16,12.940000,13.170000,12.940000,13.124000,8.805071,1098500
2003-06-17,13.154000,13.900000,13.140000,13.880000,9.312285,2332000
2003-06-18,13.860000,13.982000,13.710000,13.920000,9.339120,2033500
2003-06-19,13.920000,14.000000,13.526000,13.600000,9.124428,4392500
2003-06-20,13.630000,13.638000,13.210000,13.254000,8.892288,2196000
2003-06-23,13.250000,13.270000,13.056000,13.202000,8.857403,1210000
2003-06-24,13.202000,13.780000,13.202000,13.694000,9.187492,1717500
2003-06-25,13.696000,13.696000,13.400000,13.402000,8.991588,988000
2003-06-26,13.410000,13.836000,13.410000,13.830000,9.278739,887500
2003-06-27,13.750000,13.920000,13.724000,13.920000,9.339120,1059500
2003-06-30,13.940000,14.008000,13.852000,13.926000,9.343143,1994000
2003-07-01,14.040000,14.960000,14.000000,14.914000,10.006009,4302500
2003-07-02,14.914000,14.930000,14.632000,14.930000,10.016743,1524500
2003-07-03,14.800000,14.820000,14.624000,14.770000,9.909397,1028000
2003-07-07,14.840000,14.896000,14.760000,14.850000,9.963070,640000
2003-07-08,14.820000,15.170000,14.814000,14.882000,9.984541,1011000
2003-07-09,14.870000,15.364000,14.870000,15.304000,10.267664,824000
2003-07-10,15.300000,15.500000,15.160000,15.500000,10.399165,1142000
2003-07-11,15.550000,15.616000,15.016000,15.142000,10.158978,801000
2003-07-14,15.190000,15.560000,15.190000,15.470000,10.379036,703000
2003-07-15,15.520000,15.640000,15.426000,15.566000,10.443442,801000
2003-07-16,15.580000,15.596000,15.230000,15.300000,10.264979,616000
2003-07-17,15.280000,15.284000,14.820000,14.890000,9.989907,819500
2003-07-18,14.900000,15.082000,14.872000,14.960000,10.036869,420500
2003-07-21,14.950000,14.960000,14.722000,14.724000,9.878537,631000
2003-07-22,15.000000,15.568000,15.000000,15.544000,10.428686,2640000
2003-07-23,15.544000,15.796000,15.442000,15.796000,10.597755,1047500
2003-07-24,15.816000,15.860000,15.160000,15.182000,10.185813,1156500
2003-07-25,15.182000,15.716000,15.182000,15.698000,10.532007,501500
2003-07-28,15.696000,15.696000,15.540000,15.580000,10.452834,622000
2003-07-29,15.606000,15.624000,15.184000,15.270000,10.244854,472500
2003-07-30,15.278000,15.296000,15.030000,15.076000,10.114697,727000
2003-07-31,15.076000,15.154000,14.730000,14.730000,9.882563,1230500
2003-08-01,14.710000,14.710000,14.154000,14.370000,9.641031,3295500
2003-08-04,14.364000,14.680000,14.200000,14.630000,9.815470,956500
2003-08-05,14.650000,14.950000,14.650000,14.936000,10.020767,935000
2003-08-06,14.948000,14.996000,14.782000,14.996000,10.061027,586000
2003-08-07,14.994000,15.010000,14.862000,15.010000,10.070416,646000
2003-08-08,15.030000,15.060000,14.960000,15.010000,10.070416,159000
2003-08-11,15.020000,15.080000,14.980000,15.030000,10.083835,305000
2003-08-12,15.070000,15.104000,14.986000,15.100000,10.130801,387000
2003-08-13,15.120000,15.516000,15.120000,15.396000,10.329387,842000
2003-08-14,15.410000,15.678000,15.410000,15.642000,10.494434,440500
2003-08-15,15.650000,15.700000,15.600000,15.700000,10.533347,178000
2003-08-18,15.700000,15.720000,15.520000,15.584000,10.455522,659000
2003-08-19,15.400000,15.400000,14.300000,14.320000,9.607485,5842000
2003-08-20,14.500000,14.868000,14.448000,14.680000,9.849014,2692500
2003-08-21,14.680000,14.720000,13.660000,14.380000,9.647740,5955500
2003-08-22,14.330000,14.332000,13.650000,13.650000,9.157972,3098500
2003-08-25,13.652000,13.652000,13.110000,13.282000,8.911076,2706500
2003-08-26,13.600000,14.076000,13.534000,14.062000,9.434389,3710000
2003-08-27,14.100000,14.596000,14.080000,14.570000,9.775216,2253500
2003-08-28,14.568000,14.590000,14.284000,14.286000,9.584676,1464000
2003-08-29,14.200000,14.200000,14.000000,14.078000,9.445126,991000
2003-09-02,14.050000,14.080000,13.840000,13.920000,9.339120,1962000
2003-09-03,13.940000,14.270000,13.740000,14.196000,9.524292,1387000
2003-09-04,14.196000,14.286000,14.120000,14.188000,9.518927,825500
2003-09-05,14.190000,14.210000,14.036000,14.070000,9.439757,572000
2003-09-08,14.100000,14.432000,14.080000,14.432000,9.701937,625000
2003-09-09,14.396000,14.536000,14.138000,14.416000,9.691179,647000
2003-09-10,14.400000,14.402000,14.194000,14.322000,9.627984,657000
2003-09-11,14.312000,14.440000,14.290000,14.290000,9.606477,667500
2003-09-12,14.340000,14.392000,14.100000,14.316000,9.623954,803500
2003-09-15,14.300000,14.320000,14.100000,14.260000,9.586308,456000
2003-09-16,14.270000,14.332000,14.240000,14.300000,9.613198,155000
2003-09-17,14.340000,14.712000,14.304000,14.472000,9.728827,1052500
2003-09-18,14.450000,14.780000,14.450000,14.750000,9.915712,590500
2003-09-19,14.790000,14.830000,14.664000,14.670000,9.861930,302500
2003-09-22,14.672000,14.672000,14.434000,14.496000,9.744962,621000
2003-09-23,14.496000,14.496000,13.886000,14.050000,9.445136,1534000
2003-09-24,14.030000,14.080000,13.700000,13.936000,9.368497,1619000
2003-09-25,14.090000,14.090000,13.682000,13.696000,9.207159,1595000
2003-09-26,13.696000,13.780000,13.274000,13.296000,8.938257,1312500
2003-09-29,13.340000,13.340000,13.234000,13.294000,8.936915,1196000
2003-09-30,13.220000,13.796000,13.118000,13.762000,9.251526,2236000
2003-10-01,13.762000,13.934000,13.704000,13.810000,9.283794,1300500
2003-10-02,13.840000,14.290000,13.840000,14.204000,9.548662,1047500
2003-10-03,14.244000,14.442000,14.200000,14.350000,9.646808,741000
2003-10-06,14.330000,14.614000,14.310000,14.582000,9.802774,1063000
2003-10-07,14.582000,14.652000,14.506000,14.580000,9.801430,401000
2003-10-08,14.680000,14.730000,14.580000,14.670000,9.861930,1033500
2003-10-09,14.700000,14.744000,14.490000,14.510000,9.754373,286500
2003-10-10,14.510000,14.610000,14.500000,14.522000,9.762437,744500
2003-10-13,14.500000,14.940000,14.480000,14.940000,10.043439,1226500
2003-10-14,14.940000,15.010000,14.840000,14.910000,10.023271,1130500
2003-10-15,14.700000,14.880000,14.520000,14.870000,9.996381,1691500
2003-10-16,14.860000,14.860000,14.680000,14.686000,9.872688,850500
2003-10-17,14.656000,14.656000,14.120000,14.120000,9.492191,1559000
2003-10-20,14.120000,14.120000,13.710000,13.784000,9.266312,1692500
2003-10-21,13.780000,14.040000,13.780000,14.002000,9.412866,562500
2003-10-22,13.850000,13.852000,13.400000,13.444000,9.037750,1380000
2003-10-23,13.396000,13.400000,12.770000,13.074000,8.789017,2634000
2003-10-24,13.400000,13.570000,13.284000,13.550000,9.109009,1362000
2003-10-27,13.550000,13.660000,13.520000,13.600000,9.142620,603500
2003-10-28,13.620000,13.880000,13.600000,13.600000,9.142620,813000
2003-10-29,13.600000,13.800000,13.600000,13.796000,9.274384,537500
2003-10-30,13.800000,13.820000,13.468000,13.468000,9.053886,828500
2003-10-31,13.480000,13.612000,13.480000,13.590000,9.135900,641500
2003-11-03,13.590000,13.690000,13.564000,13.600000,9.142620,695000
2003-11-04,13.590000,13.590000,13.188000,13.200000,8.873720,1495000
2003-11-05,13.180000,13.350000,13.100000,13.260000,8.914058,535000
2003-11-06,13.310000,13.496000,13.164000,13.270000,8.920778,940500
2003-11-07,13.272000,13.490000,13.268000,13.484000,9.064642,788000
2003-11-10,13.464000,13.568000,13.310000,13.510000,9.082113,511500
2003-11-11,13.550000,13.750000,13.550000,13.650000,9.176232,1511500
2003-11-12,13.656000,13.930000,13.656000,13.864000,9.320097,892500
2003-11-13,13.814000,13.858000,13.350000,13.454000,9.044474,1728500
2003-11-14,13.400000,13.748000,13.400000,13.530000,9.095562,6930000
2003-11-17,13.480000,13.480000,13.140000,13.170000,8.853555,930000
2003-11-18,13.300000,13.440000,13.260000,13.270000,8.920778,1302500
2003-11-19,13.300000,13.674000,13.300000,13.642000,9.170856,1684000
2003-11-20,13.660000,13.794000,13.528000,13.580000,9.129178,1215000
2003-11-21,13.594000,13.730000,13.490000,13.576000,9.126484,712000
2003-11-24,13.630000,13.738000,13.554000,13.728000,9.228672,716500
2003-11-25,13.728000,13.736000,13.600000,13.690000,9.203122,754500
2003-11-26,13.740000,13.770000,13.688000,13.700000,9.209846,374000
2003-11-28,13.700000,13.712000,13.660000,13.694000,9.205814,243000
2003-12-01,13.726000,13.824000,13.676000,13.796000,9.274384,1089000
2003-12-02,13.840000,13.956000,13.816000,13.860000,9.317407,1350000
2003-12-03,13.740000,13.742000,13.570000,13.670000,9.189677,2643500
2003-12-04,13.700000,13.800000,13.520000,13.800000,9.277069,1032000
2003-12-05,13.820000,14.290000,13.820000,14.126000,9.496227,1475500
2003-12-08,14.104000,14.116000,13.940000,14.000000,9.439590,911500
2003-12-09,14.020000,14.020000,13.852000,13.866000,9.349239,715500
2003-12-10,13.866000,13.866000,13.490000,13.566000,9.146959,569000
2003-12-11,13.570000,13.810000,13.570000,13.720000,9.250796,356000
2003-12-12,13.680000,13.740000,13.594000,13.650000,9.203598,538000
2003-12-15,13.740000,13.830000,13.590000,13.590000,9.163144,1006500
2003-12-16,13.620000,13.750000,13.582000,13.734000,9.260237,747000
2003-12-17,13.740000,13.768000,13.662000,13.754000,9.273717,461000
2003-12-18,13.880000,14.150000,13.850000,14.068000,9.485437,922000
2003-12-19,14.130000,14.396000,14.100000,14.394000,9.705246,1126500
2003-12-22,14.470000,14.600000,14.360000,14.440000,9.736263,1033000
2003-12-23,14.456000,14.480000,14.410000,14.480000,9.763231,362500
2003-12-24,14.470000,14.470000,14.380000,14.392000,9.703896,151500
2003-12-26,14.442000,14.470000,14.284000,14.302000,9.643216,152000
2003-12-29,14.400000,14.578000,14.400000,14.480000,9.763231,504500
2003-12-30,14.520000,14.552000,14.466000,14.536000,9.800990,397000
2003-12-31,14.540000,14.544000,14.420000,14.472000,9.757839,547000
2004-01-02,14.500000,14.620000,14.500000,14.580000,9.830661,760500
2004-01-05,14.582000,15.650000,14.580000,15.622000,10.533232,2337000
2004-01-06,15.622000,15.750000,15.140000,15.168000,10.227120,2456000
2004-01-07,15.188000,15.320000,15.000000,15.000000,10.113842,892500
2004-01-08,15.040000,15.098000,14.860000,14.888000,10.038327,830000
2004-01-09,14.900000,15.190000,14.890000,15.060000,10.154301,853500
2004-01-12,15.090000,15.096000,14.944000,14.996000,10.111148,450500
2004-01-13,14.996000,15.000000,14.762000,14.798000,9.977643,330500
2004-01-14,14.810000,14.930000,14.666000,14.688000,9.903476,809500
2004-01-15,14.720000,15.072000,14.712000,14.982000,10.101710,996000
2004-01-16,15.100000,16.500000,15.100000,15.940000,10.747646,4520500
2004-01-20,16.080000,16.430000,15.960000,16.400000,11.057805,1437000
2004-01-21,16.500000,16.653999,16.120001,16.444000,11.087471,1249500
2004-01-22,16.590000,17.379999,16.580000,17.360001,11.705093,3153500
2004-01-23,17.260000,17.559999,17.082001,17.122000,11.544613,1062000
2004-01-26,17.219999,17.226000,16.760000,17.090000,11.523042,789000
2004-01-27,17.100000,17.360001,16.972000,17.150000,11.563496,1234500
2004-01-28,17.160000,17.160000,16.940001,17.002001,11.463705,1095500
2004-01-29,17.020000,17.100000,16.870001,16.997999,11.461008,1024500
2004-01-30,16.997999,17.549999,16.930000,17.483999,11.788700,740500
2004-02-02,17.544001,17.698000,17.120001,17.459999,11.772512,1329000
2004-02-03,17.299999,17.299999,16.422001,17.200001,11.597208,2818000
2004-02-04,17.150000,17.150000,16.780001,16.874001,11.377405,939500
2004-02-05,16.874001,17.056000,16.802000,17.032000,11.483931,1101500
2004-02-06,17.032000,17.232000,17.032000,17.120001,11.543271,482000
2004-02-09,17.219999,17.500000,17.204000,17.299999,11.664637,828500
2004-02-10,17.299999,17.320000,17.072001,17.100000,11.529782,972000
2004-02-11,17.150000,17.299999,16.924000,17.000000,11.462358,1065000
2004-02-12,17.000000,17.090000,16.862000,16.889999,11.388188,700500
2004-02-13,16.969999,17.080000,16.580000,16.620001,11.206142,992500
2004-02-17,16.820000,17.080000,16.820000,17.072001,11.510903,1023500
2004-02-18,17.271999,17.271999,16.980000,17.059999,11.502810,482000
2004-02-19,17.129999,17.260000,17.100000,17.118000,11.541925,514000
2004-02-20,17.129999,17.170000,16.997999,16.997999,11.461008,388000
2004-02-23,17.150000,17.400000,17.128000,17.370001,11.711833,1333000
2004-02-24,17.370001,17.450001,17.246000,17.299999,11.664637,592500
2004-02-25,17.299999,17.520000,17.299999,17.520000,11.812969,409500
2004-02-26,17.520000,19.011999,17.520000,18.290001,12.332149,5430000
2004-02-27,18.448000,18.719999,18.299999,18.650000,12.574877,1071500
2004-03-01,18.700001,19.139999,18.700001,18.972000,12.791993,971500
