Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.718750,3.781250,3.718750,3.718750,1.756691,73600
1980-03-18,3.718750,3.765625,3.687500,3.765625,1.778835,14400
1980-03-19,3.765625,3.781250,3.750000,3.765625,1.778835,29600
1980-03-20,3.781250,3.812500,3.781250,3.812500,1.800977,13600
1980-03-21,3.781250,3.781250,3.765625,3.765625,1.778835,24000
1980-03-24,3.765625,3.781250,3.734375,3.765625,1.778835,30400
1980-03-25,3.765625,3.796875,3.750000,3.796875,1.793597,34400
1980-03-26,3.796875,3.859375,3.765625,3.843750,1.815740,54400
1980-03-27,3.796875,3.796875,3.687500,3.718750,1.756691,73600
1980-03-28,3.750000,3.781250,3.750000,3.765625,1.778835,30400
1980-03-31,3.765625,3.781250,3.734375,3.750000,1.771453,28000
1980-04-01,3.750000,3.750000,3.687500,3.687500,1.741929,40000
1980-04-02,3.687500,3.703125,3.687500,3.687500,1.741929,42400
1980-04-03,3.656250,3.656250,3.625000,3.625000,1.712405,408800
1980-04-07,3.625000,3.656250,3.531250,3.531250,1.668118,108000
1980-04-08,3.531250,3.531250,3.531250,3.531250,1.668118,7200
1980-04-09,3.531250,3.593750,3.531250,3.562500,1.682881,12000
1980-04-10,3.546875,3.546875,3.531250,3.531250,1.668118,29600
1980-04-11,3.531250,3.546875,3.500000,3.500000,1.653356,50400
1980-04-14,3.500000,3.500000,3.453125,3.484375,1.645975,64000
1980-04-15,3.437500,3.437500,3.406250,3.406250,1.609071,18400
1980-04-16,3.421875,3.500000,3.421875,3.468750,1.638595,23200
1980-04-17,3.468750,3.500000,3.468750,3.468750,1.638595,12000
1980-04-18,3.500000,3.562500,3.500000,3.562500,1.682881,6400
1980-04-21,3.562500,3.625000,3.562500,3.562500,1.682881,120000
1980-04-22,3.531250,3.531250,3.437500,3.437500,1.623832,104800
1980-04-23,3.468750,3.515625,3.468750,3.500000,1.653356,93600
1980-04-24,3.500000,3.593750,3.484375,3.593750,1.697642,44000
1980-04-25,3.593750,3.609375,3.562500,3.593750,1.697642,24000
