Date,Open,High,Low,Close,Adj Close,Volume
2001-12-13,2.378333,2.950000,2.378333,2.866667,2.866667,28186800
2001-12-14,2.868333,2.881667,2.741667,2.783333,2.783333,5653600
2001-12-17,2.783333,2.850000,2.766667,2.830000,2.830000,878400
2001-12-18,2.816667,2.895000,2.783333,2.876667,2.876667,1792800
2001-12-19,2.875000,3.550000,2.866667,3.451667,3.451667,1676400
2001-12-20,3.400000,3.800000,3.291667,3.308333,3.308333,1927600
2001-12-21,3.348333,3.350000,3.308333,3.316667,3.316667,1622800
2001-12-24,3.323333,3.375000,3.268333,3.325000,3.325000,484000
2001-12-26,3.316667,3.433333,3.303333,3.386667,3.386667,1057600
2001-12-27,3.416667,3.481667,3.380000,3.466667,3.466667,1186000
2001-12-28,3.441667,3.633333,3.441667,3.583333,3.583333,554400
2001-12-31,3.646667,3.850000,3.545000,3.658333,3.658333,225600
2002-01-02,3.778333,3.778333,3.640000,3.666667,3.666667,724000
2002-01-03,3.648333,3.675000,3.648333,3.666667,3.666667,164400
2002-01-04,3.673333,3.673333,3.565000,3.625000,3.625000,274800
2002-01-07,3.575000,3.615000,3.400000,3.428333,3.428333,394800
2002-01-08,3.435000,3.533333,3.425000,3.533333,3.533333,592000
2002-01-09,3.533333,3.533333,3.453333,3.453333,3.453333,348400
2002-01-10,3.475000,3.475000,3.306667,3.426667,3.426667,276000
2002-01-11,3.376667,3.616667,3.375000,3.533333,3.533333,97200
2002-01-14,3.566667,3.566667,3.463333,3.493333,3.493333,64800
2002-01-15,3.500000,3.508333,3.466667,3.500000,3.500000,47200
2002-01-16,3.500000,3.510000,3.341667,3.341667,3.341667,74800
2002-01-17,3.336667,3.420000,3.033333,3.258333,3.258333,518400
2002-01-18,3.220000,3.281667,3.186667,3.250000,3.250000,416800
2002-01-22,3.216667,3.366667,3.200000,3.366667,3.366667,235200
2002-01-23,3.310000,3.618333,3.310000,3.618333,3.618333,115600
2002-01-24,3.598333,3.640000,3.500000,3.591667,3.591667,54000
2002-01-25,3.591667,3.608333,3.525000,3.608333,3.608333,126400
2002-01-28,3.575000,3.575000,3.291667,3.386667,3.386667,692400
2002-01-29,3.373333,3.500000,3.373333,3.416667,3.416667,371200
2002-01-30,3.418333,3.418333,3.351667,3.353333,3.353333,534000
2002-01-31,3.343333,3.393333,3.016667,3.083333,3.083333,1617600
2002-02-01,3.200000,3.333333,3.166667,3.233333,3.233333,908800
2002-02-04,3.233333,3.266667,3.091667,3.133333,3.133333,3652800
2002-02-05,3.135000,3.186667,3.135000,3.183333,3.183333,22800
2002-02-06,3.183333,3.361667,3.183333,3.350000,3.350000,285600
2002-02-07,3.325000,3.350000,3.201667,3.201667,3.201667,49200
2002-02-08,3.201667,3.201667,3.201667,3.201667,3.201667,4000
2002-02-11,3.266667,3.306667,3.208333,3.208333,3.208333,18000
2002-02-12,3.200000,3.241667,3.171667,3.211667,3.211667,24400
2002-02-13,3.200000,3.200000,3.125000,3.130000,3.130000,418800
2002-02-14,3.150000,3.211667,3.150000,3.211667,3.211667,69600
2002-02-15,3.190000,3.191667,3.100000,3.166667,3.166667,481600
2002-02-19,3.175000,3.183333,3.126667,3.126667,3.126667,15600
2002-02-20,3.128333,3.175000,3.126667,3.143333,3.143333,181600
2002-02-21,3.165000,3.191667,3.126667,3.158333,3.158333,277200
2002-02-22,3.158333,3.180000,3.133333,3.133333,3.133333,285600
2002-02-25,3.158333,3.178333,3.126667,3.150000,3.150000,1034800
2002-02-26,3.150000,3.190000,3.135000,3.151667,3.151667,112800
2002-02-27,3.136667,3.166667,3.128333,3.138333,3.138333,664000
2002-02-28,3.133333,3.141667,3.116667,3.125000,3.125000,716400
2002-03-01,3.150000,3.166667,3.126667,3.130000,3.130000,580000
2002-03-04,3.130000,3.156667,3.091667,3.140000,3.140000,332400
2002-03-05,3.141667,3.183333,3.133333,3.148333,3.148333,155200
2002-03-06,3.150000,3.198333,3.125000,3.150000,3.150000,134400
2002-03-07,3.200000,3.200000,3.150000,3.150000,3.150000,36400
2002-03-08,3.143333,3.183333,3.108333,3.183333,3.183333,79200
2002-03-11,3.125000,3.181667,3.083333,3.145000,3.145000,89200
2002-03-12,3.175000,3.250000,3.141667,3.250000,3.250000,346800
2002-03-13,3.256667,3.456667,3.250000,3.456667,3.456667,362800
2002-03-14,3.425000,3.678333,3.425000,3.666667,3.666667,748800
2002-03-15,3.658333,3.808333,3.658333,3.766667,3.766667,437200
2002-03-18,3.830000,3.926667,3.800000,3.816667,3.816667,497200
2002-03-19,3.850000,3.850000,3.805000,3.850000,3.850000,201600
2002-03-20,3.826667,3.868333,3.795000,3.833333,3.833333,118000
2002-03-21,3.833333,3.841667,3.775000,3.841667,3.841667,486000
2002-03-22,3.795000,3.855000,3.783333,3.846667,3.846667,210000
2002-03-25,3.841667,3.841667,3.781667,3.825000,3.825000,30400
2002-03-26,3.808333,3.841667,3.781667,3.833333,3.833333,70000
2002-03-27,3.843333,3.851667,3.811667,3.825000,3.825000,123600
2002-03-28,3.831667,3.873333,3.550000,3.816667,3.816667,834400
2002-04-01,3.823333,3.825000,3.780000,3.825000,3.825000,163200
2002-04-02,3.825000,3.825000,3.803333,3.816667,3.816667,54000
2002-04-03,3.816667,3.833333,3.816667,3.828333,3.828333,288000
2002-04-04,3.825000,3.833333,3.768333,3.816667,3.816667,31200
2002-04-05,3.816667,3.816667,3.816667,3.816667,3.816667,28000
2002-04-08,3.800000,3.825000,3.775000,3.825000,3.825000,112800
2002-04-09,3.821667,4.183333,3.791667,4.183333,4.183333,525600
2002-04-10,4.190000,4.436666,4.190000,4.425000,4.425000,354400
2002-04-11,4.423333,4.773334,4.295000,4.731667,4.731667,94000
2002-04-12,4.708333,4.871666,4.708333,4.825000,4.825000,172000
2002-04-15,4.825000,4.833333,4.720000,4.766667,4.766667,42000
2002-04-16,4.758333,4.833333,4.750000,4.830000,4.830000,96000
2002-04-17,4.833333,4.833333,4.646667,4.646667,4.646667,202000
2002-04-18,4.641667,4.833333,4.458333,4.833333,4.833333,397200
2002-04-19,4.833333,4.931667,4.770000,4.876667,4.876667,261600
2002-04-22,4.915000,4.975000,4.833333,4.870000,4.870000,248800
2002-04-23,4.828333,5.000000,4.706666,4.998333,4.998333,188400
2002-04-24,4.941667,4.998333,4.816667,4.938334,4.938334,146400
2002-04-25,4.996666,5.030000,4.778333,4.778333,4.778333,84000
2002-04-26,4.775000,4.775000,4.441667,4.583333,4.583333,344800
2002-04-29,4.616667,4.625000,4.500000,4.501667,4.501667,56400
2002-04-30,4.458333,4.500000,4.241667,4.298333,4.298333,299200
2002-05-01,4.246666,4.246666,3.986667,3.988333,3.988333,187600
2002-05-02,3.983333,4.085000,3.941667,4.056667,4.056667,61600
2002-05-03,4.066667,4.198333,4.065000,4.198333,4.198333,27600
2002-05-06,4.130000,4.130000,4.048333,4.065000,4.065000,140800
2002-05-07,4.050000,4.060000,4.028333,4.028333,4.028333,79600
2002-05-08,4.033333,4.043334,3.985000,3.986667,3.986667,56400
2002-05-09,4.000000,4.350000,4.000000,4.330000,4.330000,331600
2002-05-10,4.315000,4.316667,4.253334,4.316667,4.316667,19200
2002-05-13,4.268333,4.268333,4.041667,4.191667,4.191667,103200
