Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,8.184125,8.254375,8.078750,8.078750,0.555675,241200
1980-01-03,8.078750,8.149000,7.938250,8.078750,0.555675,93400
1980-01-04,8.078750,8.149000,8.078750,8.113875,0.558091,283900
1980-01-07,8.113875,8.219250,8.078750,8.113875,0.558091,329000
1980-01-08,8.149000,8.324625,8.149000,8.324625,0.572587,553000
1980-01-09,8.430000,8.711000,8.430000,8.675875,0.596747,129500
1980-01-10,8.675875,8.711000,8.535375,8.605625,0.591915,238600
1980-01-11,8.605625,8.886625,8.570500,8.781250,0.603995,196600
1980-01-14,8.746125,8.746125,8.605625,8.640750,0.594330,407100
1980-01-15,8.640750,8.640750,8.430000,8.500250,0.584667,105300
1980-01-16,8.500250,8.535375,8.359750,8.430000,0.579835,77800
1980-01-17,8.359750,8.359750,8.254375,8.254375,0.567755,162500
1980-01-18,8.254375,8.394875,8.184125,8.254375,0.567755,81300
1980-01-21,8.254375,8.324625,8.219250,8.289500,0.570171,195700
1980-01-22,8.289500,8.289500,8.008500,8.113875,0.558091,170100
1980-01-23,8.149000,8.254375,8.149000,8.219250,0.565338,95300
1980-01-24,8.219250,8.219250,8.149000,8.184125,0.562923,123300
1980-01-25,8.184125,8.184125,8.113875,8.113875,0.558091,117400
1980-01-28,8.149000,8.324625,8.149000,8.254375,0.567755,144400
1980-01-29,8.254375,8.324625,8.219250,8.254375,0.567755,85400
1980-01-30,8.254375,8.359750,8.254375,8.359750,0.575003,180300
1980-01-31,8.359750,8.535375,8.219250,8.430000,0.579835,145900
1980-02-01,8.430000,8.430000,8.289500,8.324625,0.572587,114100
1980-02-04,8.324625,8.324625,8.219250,8.219250,0.565338,162200
1980-02-05,8.219250,8.324625,8.184125,8.219250,0.565338,69700
1980-02-06,8.219250,8.289500,7.973375,8.113875,0.558091,261200
1980-02-07,8.113875,8.254375,8.113875,8.113875,0.558091,235100
1980-02-08,8.043625,8.043625,7.903125,8.008500,0.563928,87000
1980-02-11,8.008500,8.149000,7.973375,8.149000,0.573821,189300
1980-02-12,8.149000,8.219250,8.078750,8.113875,0.571348,239100
1980-02-13,8.113875,8.149000,7.903125,7.973375,0.561455,181700
1980-02-14,7.973375,8.078750,7.903125,7.973375,0.561455,67800
1980-02-15,7.903125,7.903125,7.622125,7.727500,0.544141,107400
1980-02-19,7.657250,7.657250,7.376250,7.376250,0.519407,139500
1980-02-20,7.376250,7.587000,7.306000,7.516750,0.529301,435800
1980-02-21,7.516750,7.587000,7.411375,7.411375,0.521881,650000
1980-02-22,7.411375,7.516750,7.376250,7.446500,0.524354,141800
1980-02-25,7.446500,7.446500,7.341125,7.376250,0.519407,66900
1980-02-26,7.376250,7.446500,7.341125,7.376250,0.519407,50700
1980-02-27,7.376250,7.551875,7.235750,7.270875,0.511987,165800
1980-02-28,7.235750,7.235750,6.919625,7.060125,0.497147,122400
1980-02-29,7.060125,7.411375,7.060125,7.411375,0.521881,161000
1980-03-03,7.481625,7.587000,7.481625,7.516750,0.529301,186700
1980-03-04,7.516750,7.551875,7.411375,7.411375,0.521881,105500
1980-03-05,7.411375,7.446500,7.341125,7.341125,0.516934,128800
1980-03-06,7.341125,7.411375,7.306000,7.306000,0.514461,98400
1980-03-07,7.306000,7.551875,7.200625,7.411375,0.521881,201600
1980-03-10,7.411375,7.551875,7.341125,7.551875,0.531774,64700
1980-03-11,7.551875,7.657250,7.481625,7.657250,0.539194,158700
1980-03-12,7.657250,7.797750,7.622125,7.797750,0.549088,65700
1980-03-13,7.797750,7.973375,7.797750,7.832875,0.551561,127400
1980-03-14,7.832875,7.832875,7.727500,7.762625,0.546614,84200
1980-03-17,7.762625,7.832875,7.762625,7.762625,0.546614,198800
1980-03-18,7.762625,7.868000,7.622125,7.797750,0.549088,290300
1980-03-19,7.868000,8.008500,7.868000,7.973375,0.561455,190000
1980-03-20,7.973375,7.973375,7.832875,7.868000,0.554034,137600
1980-03-21,7.832875,7.832875,7.587000,7.622125,0.536721,264000
1980-03-24,7.622125,7.622125,7.306000,7.341125,0.516934,94100
1980-03-25,7.341125,7.481625,7.306000,7.376250,0.519407,209200
1980-03-26,7.446500,7.551875,7.446500,7.481625,0.526828,74000
1980-03-27,7.481625,7.587000,7.341125,7.587000,0.534247,123300
1980-03-28,7.587000,7.727500,7.446500,7.551875,0.531774,96700
1980-03-31,7.551875,7.657250,7.481625,7.551875,0.531774,163900
1980-04-01,7.551875,7.727500,7.551875,7.657250,0.539194,131100
1980-04-02,7.657250,7.762625,7.622125,7.762625,0.546614,243400
1980-04-03,7.727500,7.727500,7.622125,7.657250,0.539194,96000
1980-04-07,7.657250,7.727500,7.481625,7.551875,0.531774,657800
1980-04-08,7.551875,7.587000,7.516750,7.587000,0.534247,92000
1980-04-09,7.587000,7.727500,7.516750,7.692375,0.541668,284200
1980-04-10,7.692375,7.727500,7.622125,7.657250,0.539194,120200
1980-04-11,7.657250,7.762625,7.657250,7.657250,0.539194,561800
1980-04-14,7.657250,7.727500,7.657250,7.657250,0.539194,477800
1980-04-15,7.692375,7.727500,7.692375,7.692375,0.541668,567200
1980-04-16,7.692375,7.832875,7.692375,7.762625,0.546614,561800
1980-04-17,7.762625,7.832875,7.727500,7.832875,0.551561,539000
1980-04-18,7.868000,7.938250,7.868000,7.868000,0.554034,860000
1980-04-21,7.903125,7.973375,7.903125,7.938250,0.558981,568900
1980-04-22,7.938250,8.113875,7.938250,8.078750,0.568875,388600
1980-04-23,8.078750,8.184125,8.078750,8.113875,0.571348,314500
1980-04-24,8.113875,8.254375,8.078750,8.219250,0.578768,314100
1980-04-25,8.219250,8.324625,8.113875,8.289500,0.583715,1112400
1980-04-28,8.289500,8.359750,8.254375,8.289500,0.583715,630800
1980-04-29,8.289500,8.289500,8.219250,8.219250,0.578768,133800
1980-04-30,8.219250,8.254375,7.938250,8.149000,0.573821,190200
1980-05-01,8.149000,8.149000,8.008500,8.078750,0.568875,546800
1980-05-02,8.078750,8.149000,8.043625,8.149000,0.573821,149700
