Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.390471,6.430041,6.251978,6.271763,1.535213,1383000
1980-01-03,6.251978,6.251978,6.172840,6.212409,1.520686,1438600
1980-01-04,6.212409,6.331118,6.212409,6.331118,1.549742,765100
1980-01-07,6.331118,6.410256,6.311333,6.331118,1.549742,837700
1980-01-08,6.331118,6.588319,6.271763,6.588319,1.612701,1896600
1980-01-09,6.588319,6.608104,6.390471,6.390471,1.564271,1205400
1980-01-10,6.390471,6.449826,6.291548,6.390471,1.564271,1950900
1980-01-11,6.390471,6.449826,6.331118,6.410256,1.569114,963400
1980-01-14,6.430041,6.548749,6.430041,6.548749,1.603015,1268000
1980-01-15,6.548749,6.647673,6.509180,6.627889,1.622388,1794300
1980-01-16,6.627889,6.667458,6.528965,6.548749,1.603015,915400
1980-01-17,6.548749,6.568534,6.509180,6.509180,1.593329,619100
1980-01-18,6.509180,6.528965,6.430041,6.528965,1.598172,558500
1980-01-21,6.528965,6.568534,6.509180,6.509180,1.593329,512300
1980-01-22,6.509180,6.548749,6.331118,6.370687,1.559428,959000
1980-01-23,6.370687,6.687243,6.350902,6.687243,1.636915,864900
1980-01-24,6.627889,6.627889,6.469611,6.489395,1.588486,699400
1980-01-25,6.489395,6.746597,6.449826,6.707027,1.641758,953300
1980-01-28,6.707027,6.707027,6.588319,6.588319,1.612701,586300
1980-01-29,6.568534,6.568534,6.370687,6.489395,1.588486,1225000
1980-01-30,6.489395,6.489395,6.410256,6.469611,1.583643,886400
1980-01-31,6.469611,6.588319,6.449826,6.449826,1.578800,1184600
1980-02-01,6.449826,6.489395,6.331118,6.469611,1.583643,1079700
1980-02-04,6.469611,6.489395,6.370687,6.370687,1.559428,616000
1980-02-05,6.370687,6.430041,6.370687,6.370687,1.559428,591300
1980-02-06,6.350902,6.350902,6.212409,6.331118,1.549742,1141600
1980-02-07,6.331118,6.430041,6.291548,6.331118,1.549742,845900
1980-02-08,6.331118,6.350902,6.291548,6.291548,1.540056,914800
1980-02-11,6.291548,6.331118,6.251978,6.251978,1.530371,1470800
1980-02-12,6.251978,6.331118,6.192624,6.311333,1.544900,555300
1980-02-13,6.350902,6.568534,6.350902,6.350902,1.554585,1630600
1980-02-14,6.350902,6.469611,6.350902,6.370687,1.559428,1063900
1980-02-15,6.370687,6.449826,6.331118,6.390471,1.564271,884500
1980-02-19,6.390471,6.430041,6.350902,6.370687,1.559428,688000
1980-02-20,6.390471,6.489395,6.390471,6.489395,1.588486,782100
1980-02-21,6.449826,6.449826,6.311333,6.370687,1.578680,971000
1980-02-22,6.350902,6.350902,6.251978,6.271763,1.554166,1042400
1980-02-25,6.232194,6.232194,6.014562,6.054131,1.500237,874400
1980-02-26,6.054131,6.093700,5.994777,6.014562,1.490432,1207300
1980-02-27,6.014562,6.014562,5.895853,5.895853,1.461015,597000
1980-02-28,5.895853,5.974992,5.895853,5.935422,1.470821,973600
1980-02-29,5.935422,6.034346,5.915638,6.014562,1.490432,320900
1980-03-03,6.014562,6.014562,5.935422,5.935422,1.470821,1053200
1980-03-04,5.935422,5.974992,5.915638,5.974992,1.480626,454800
1980-03-05,5.974992,6.014562,5.757360,5.796929,1.436501,694900
1980-03-06,5.796929,5.836499,5.698006,5.737575,1.421793,540800
1980-03-07,5.737575,5.757360,5.618867,5.678221,1.407085,1375400
1980-03-10,5.678221,5.698006,5.579297,5.579297,1.382571,918600
1980-03-11,5.579297,5.638651,5.480373,5.579297,1.382571,802300
1980-03-12,5.579297,5.579297,5.223172,5.421019,1.343349,1622400
1980-03-13,5.421019,5.579297,5.401235,5.519943,1.367864,1494200
