Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,12.750000,13.000000,12.750000,12.875000,1.759774,67400
1980-01-03,12.875000,12.875000,12.500000,12.625000,1.725604,88300
1980-01-04,12.625000,12.875000,12.625000,12.875000,1.759774,59500
1980-01-07,12.875000,13.000000,12.750000,12.875000,1.759774,88000
1980-01-08,12.875000,13.125000,12.750000,13.125000,1.793946,177900
1980-01-09,13.125000,13.125000,12.875000,12.875000,1.759774,190900
1980-01-10,12.875000,13.000000,12.875000,12.875000,1.759774,158200
1980-01-11,12.875000,13.000000,12.875000,12.875000,1.759774,87400
1980-01-14,12.875000,12.875000,12.750000,12.750000,1.742689,126400
1980-01-15,12.750000,12.875000,12.750000,12.875000,1.759774,138000
1980-01-16,12.875000,13.000000,12.750000,12.875000,1.759774,151300
1980-01-17,12.875000,12.875000,12.625000,12.875000,1.759774,159800
1980-01-18,12.875000,12.875000,12.750000,12.875000,1.759774,53600
1980-01-21,12.875000,12.875000,12.625000,12.750000,1.742689,96500
1980-01-22,12.750000,12.750000,12.500000,12.625000,1.725604,425300
1980-01-23,12.625000,12.625000,12.500000,12.625000,1.725604,81300
1980-01-24,12.625000,12.750000,12.500000,12.625000,1.725604,339700
1980-01-25,12.625000,12.750000,12.500000,12.625000,1.725604,49800
1980-01-28,12.625000,12.625000,12.375000,12.500000,1.708519,123400
1980-01-29,12.500000,12.500000,12.375000,12.500000,1.708519,72000
1980-01-30,12.500000,12.625000,12.500000,12.500000,1.708519,43700
1980-01-31,12.500000,12.625000,12.375000,12.500000,1.708519,205200
1980-02-01,12.500000,12.625000,12.250000,12.250000,1.674348,164600
1980-02-04,12.250000,12.500000,12.250000,12.250000,1.674348,173200
1980-02-05,12.250000,12.500000,12.250000,12.250000,1.674348,95400
1980-02-06,12.250000,12.500000,12.125000,12.375000,1.691434,107700
1980-02-07,12.375000,12.500000,12.250000,12.375000,1.691434,73300
1980-02-08,12.375000,12.375000,12.125000,12.375000,1.691434,381000
1980-02-11,12.250000,12.250000,12.000000,12.125000,1.657263,170100
1980-02-12,12.125000,12.250000,12.000000,12.250000,1.674348,98900
1980-02-13,12.250000,12.625000,12.000000,12.125000,1.657263,190200
1980-02-14,12.125000,12.250000,12.000000,12.125000,1.657263,126700
1980-02-15,12.125000,12.125000,12.000000,12.125000,1.657263,111600
1980-02-19,12.125000,12.125000,11.500000,11.750000,1.606008,251600
1980-02-20,11.500000,11.500000,11.250000,11.375000,1.554753,273300
1980-02-21,11.375000,11.500000,11.250000,11.250000,1.537667,210800
1980-02-22,11.250000,11.500000,11.250000,11.500000,1.571838,123200
1980-02-25,11.500000,11.500000,11.250000,11.375000,1.554753,287200
1980-02-26,11.375000,11.500000,11.000000,11.125000,1.520582,438600
1980-02-27,11.125000,11.250000,11.000000,11.125000,1.520582,543100
1980-02-28,11.125000,11.250000,11.000000,11.250000,1.537667,215200
1980-02-29,11.250000,11.625000,11.125000,11.625000,1.588922,128600
1980-03-03,11.625000,11.875000,11.250000,11.500000,1.571838,516500
1980-03-04,11.250000,11.250000,10.875000,11.000000,1.556976,435000
1980-03-05,11.000000,11.000000,10.750000,10.875000,1.539283,190500
1980-03-06,10.875000,10.875000,10.375000,10.500000,1.486204,589000
1980-03-07,10.500000,10.750000,10.250000,10.625000,1.503897,226100
1980-03-10,10.625000,11.000000,10.625000,10.875000,1.539283,172700
1980-03-11,11.000000,11.500000,11.000000,11.500000,1.627748,187900
1980-03-12,11.500000,11.500000,11.125000,11.250000,1.592361,109600
1980-03-13,11.250000,11.500000,11.125000,11.375000,1.610054,82500
1980-03-14,11.375000,11.500000,11.250000,11.375000,1.610054,124700
1980-03-17,11.375000,11.375000,11.250000,11.250000,1.592361,73100
1980-03-18,11.250000,11.500000,11.250000,11.500000,1.627748,77500
1980-03-19,11.500000,11.500000,11.375000,11.500000,1.627748,99900
1980-03-20,11.500000,11.500000,11.250000,11.250000,1.592361,106700
1980-03-21,11.250000,11.375000,10.750000,10.750000,1.521590,301500
1980-03-24,10.750000,10.875000,10.625000,10.750000,1.521590,93000
1980-03-25,10.750000,11.000000,10.750000,10.750000,1.521590,120700
1980-03-26,10.750000,10.875000,10.750000,10.750000,1.521590,89200
1980-03-27,10.750000,10.875000,10.500000,10.500000,1.486204,407800
1980-03-28,10.500000,10.875000,10.500000,10.875000,1.539283,128100
1980-03-31,10.875000,11.000000,10.875000,11.000000,1.556976,145300
1980-04-01,11.000000,11.375000,11.000000,11.250000,1.592361,143600
1980-04-02,11.375000,11.875000,11.375000,11.875000,1.680826,166900
1980-04-03,11.875000,12.000000,11.750000,11.750000,1.663133,130800
1980-04-07,11.750000,12.000000,11.625000,11.625000,1.645441,109600
1980-04-08,11.500000,11.500000,11.250000,11.375000,1.610054,119900
1980-04-09,11.375000,11.625000,11.250000,11.500000,1.627748,176900
1980-04-10,11.625000,12.250000,11.625000,12.250000,1.733904,131400
1980-04-11,12.250000,12.625000,12.250000,12.375000,1.751597,170100
