Date,Open,High,Low,Close,Adj Close,Volume
2000-03-27,3.812500,4.156250,3.812500,4.125000,4.125000,3675600
2000-03-28,4.125000,4.125000,4.000000,4.015625,4.015625,1077600
2000-03-29,4.000000,4.031250,3.953125,4.000000,4.000000,437200
2000-03-30,4.000000,4.000000,3.843750,3.843750,3.843750,1883600
2000-03-31,3.734375,3.734375,3.390625,3.390625,3.390625,7931600
2000-04-03,3.500000,3.703125,3.437500,3.437500,3.437500,11486800
2000-04-04,3.531250,3.578125,3.093750,3.500000,3.500000,13136800
2000-04-05,3.468750,3.562500,3.453125,3.484375,3.484375,6349600
2000-04-06,3.500000,3.593750,3.468750,3.578125,3.578125,7181200
2000-04-07,3.593750,3.812500,3.593750,3.609375,3.609375,13904800
2000-04-10,3.687500,3.750000,3.625000,3.640625,3.640625,5280800
2000-04-11,3.578125,3.656250,3.562500,3.578125,3.578125,6590000
2000-04-12,3.546875,3.640625,3.531250,3.578125,3.578125,8546400
2000-04-13,3.578125,3.656250,3.578125,3.613275,3.613275,6874400
2000-04-14,3.609375,3.625000,3.531250,3.609375,3.609375,2626000
2000-04-17,3.578125,3.609375,3.515625,3.562500,3.562500,2992000
2000-04-18,3.609375,3.625000,3.484375,3.515625,3.515625,2896000
2000-04-19,3.562500,3.656250,3.562500,3.593750,3.593750,4662400
2000-04-20,3.578125,3.687500,3.562500,3.656250,3.656250,4558800
2000-04-24,3.593750,3.656250,3.531250,3.562500,3.562500,3815200
2000-04-25,3.578125,3.781250,3.468750,3.765625,3.765625,4635600
2000-04-26,3.781250,4.125000,3.750000,3.828125,3.828125,5321200
2000-04-27,3.765625,3.765625,3.640625,3.703125,3.703125,4085200
2000-04-28,3.687500,3.750000,3.625000,3.750000,3.750000,3539200
2000-05-01,3.750000,3.750000,3.609375,3.687500,3.687500,4310000
2000-05-02,3.656250,3.687500,3.609375,3.640625,3.640625,2684400
2000-05-03,3.546875,3.640625,3.515625,3.562500,3.562500,4164400
2000-05-04,3.593750,3.687500,3.562500,3.687500,3.687500,3610400
2000-05-05,3.718750,3.843750,3.718750,3.781250,3.781250,1710800
2000-05-08,3.843750,3.906250,3.796875,3.812500,3.812500,1435600
2000-05-09,3.859375,3.875000,3.750000,3.750000,3.750000,1343600
2000-05-10,3.750000,3.843750,3.718750,3.796875,3.796875,775200
2000-05-11,3.796875,3.875000,3.687500,3.734375,3.734375,2287200
2000-05-12,3.734375,3.921875,3.734375,3.921875,3.921875,768400
2000-05-15,3.875000,4.218750,3.875000,4.093750,4.093750,1328400
2000-05-16,4.125000,4.234375,4.078125,4.125000,4.125000,1263600
2000-05-17,4.125000,4.125000,3.953125,4.000000,4.000000,2517200
2000-05-18,4.000000,4.031250,3.859375,3.890625,3.890625,2078800
2000-05-19,3.890625,3.906250,3.828125,3.828125,3.828125,630400
2000-05-22,3.859375,3.921875,3.828125,3.890625,3.890625,629600
2000-05-23,3.875000,4.000000,3.875000,3.906250,3.906250,867200
2000-05-24,3.906250,4.187500,3.906250,4.109375,4.109375,2265600
2000-05-25,4.078125,4.406250,4.078125,4.328125,4.328125,3015200
2000-05-26,4.359375,4.531250,4.328125,4.500000,4.500000,2294000
2000-05-30,4.500000,4.953125,4.500000,4.937500,4.937500,3808800
2000-05-31,4.937500,5.156250,4.937500,5.078125,5.078125,3260000
2000-06-01,5.015625,5.062500,4.843750,4.968750,4.968750,1439200
2000-06-02,4.968750,5.031250,4.640625,4.796875,4.796875,1328000
2000-06-05,4.734375,4.734375,4.515625,4.531250,4.531250,2012800
2000-06-06,4.562500,4.562500,4.203125,4.281250,4.281250,3908800
2000-06-07,4.375000,4.656250,4.375000,4.625000,4.625000,2362400
2000-06-08,4.562500,4.625000,4.546875,4.625000,4.625000,1389600
2000-06-09,4.593750,4.750000,4.578125,4.625000,4.625000,1259200
2000-06-12,4.656250,4.734375,4.593750,4.656250,4.656250,828800
2000-06-13,4.625000,4.640625,4.546875,4.593750,4.593750,917200
2000-06-14,4.656250,4.656250,4.546875,4.609375,4.609375,1511600
2000-06-15,4.609375,4.656250,4.578125,4.578125,4.578125,719200
2000-06-16,4.593750,4.609375,4.468750,4.500000,4.500000,1062000
