Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.218750,6.218750,6.093750,6.093750,2.066854,174800
1980-01-03,6.031250,6.031250,5.906250,5.968750,2.024458,346800
1980-01-04,5.968750,6.093750,5.968750,6.093750,2.066854,134000
1980-01-07,6.093750,6.093750,5.968750,6.000000,2.035058,296000
1980-01-08,6.000000,6.062500,6.000000,6.062500,2.056256,128800
1980-01-09,6.125000,6.187500,6.125000,6.125000,2.077453,244000
1980-01-10,6.125000,6.218750,6.093750,6.187500,2.098652,49200
1980-01-11,6.187500,6.218750,6.156250,6.187500,2.098652,53600
1980-01-14,6.187500,6.218750,6.156250,6.187500,2.098652,71200
1980-01-15,6.187500,6.187500,6.093750,6.125000,2.077453,159200
1980-01-16,6.125000,6.187500,6.093750,6.156250,2.088053,198800
1980-01-17,6.156250,6.187500,6.093750,6.093750,2.066854,37200
1980-01-18,6.093750,6.156250,6.031250,6.062500,2.056256,54400
1980-01-21,6.062500,6.093750,6.000000,6.093750,2.066854,160800
1980-01-22,6.093750,6.093750,6.062500,6.062500,2.056256,92400
1980-01-23,6.062500,6.062500,6.000000,6.031250,2.045656,104400
1980-01-24,6.062500,6.125000,6.062500,6.125000,2.077453,88000
1980-01-25,6.062500,6.062500,6.031250,6.031250,2.045656,123600
1980-01-28,5.937500,5.937500,5.843750,5.875000,2.026256,587600
1980-01-29,5.875000,5.937500,5.843750,5.906250,2.037034,220000
1980-01-30,5.906250,6.000000,5.875000,6.000000,2.069367,445600
1980-01-31,6.000000,6.156250,6.000000,6.000000,2.069367,1103600
1980-02-01,6.031250,6.125000,6.031250,6.125000,2.112479,68800
1980-02-04,6.125000,6.156250,6.062500,6.125000,2.112479,122800
1980-02-05,6.125000,6.187500,6.062500,6.125000,2.112479,487200
1980-02-06,6.125000,6.156250,6.000000,6.000000,2.069367,639200
1980-02-07,6.000000,6.062500,5.968750,6.000000,2.069367,107200
1980-02-08,6.000000,6.000000,5.937500,6.000000,2.069367,52400
1980-02-11,5.968750,5.968750,5.843750,5.843750,2.015478,1003200
1980-02-12,5.843750,5.937500,5.812500,5.937500,2.047812,155600
1980-02-13,5.937500,6.125000,5.937500,6.031250,2.080146,209200
1980-02-14,6.031250,6.093750,5.937500,6.093750,2.101702,151600
1980-02-15,6.062500,6.062500,6.031250,6.031250,2.080146,73600
1980-02-19,6.000000,6.000000,5.937500,5.937500,2.047812,27600
1980-02-20,5.937500,6.000000,5.812500,6.000000,2.069367,73600
1980-02-21,5.937500,5.937500,5.812500,5.937500,2.047812,92000
1980-02-22,5.906250,5.906250,5.781250,5.812500,2.004700,78800
1980-02-25,5.781250,5.781250,5.687500,5.718750,1.972365,122400
1980-02-26,5.718750,5.750000,5.718750,5.750000,1.983143,38400
1980-02-27,5.750000,5.750000,5.562500,5.562500,1.918475,151600
1980-02-28,5.562500,5.593750,5.500000,5.500000,1.896920,216800
1980-02-29,5.531250,5.718750,5.531250,5.718750,1.972365,149200
1980-03-03,5.656250,5.656250,5.531250,5.562500,1.918475,222000
1980-03-04,5.500000,5.500000,5.468750,5.468750,1.886142,384000
1980-03-05,5.468750,5.625000,5.468750,5.500000,1.896920,696800
1980-03-06,5.531250,5.593750,5.531250,5.531250,1.907698,91600
1980-03-07,5.531250,5.562500,5.468750,5.500000,1.896920,134000
1980-03-10,5.500000,5.562500,5.468750,5.562500,1.918475,64400
1980-03-11,5.562500,5.687500,5.531250,5.656250,1.950811,110400
1980-03-12,5.656250,5.656250,5.562500,5.625000,1.940032,49200
1980-03-13,5.625000,5.718750,5.593750,5.625000,1.940032,72400
1980-03-14,5.625000,5.656250,5.562500,5.656250,1.950811,241200
1980-03-17,5.593750,5.593750,5.500000,5.500000,1.896920,47600
1980-03-18,5.500000,5.593750,5.500000,5.593750,1.929253,151200
1980-03-19,5.593750,5.656250,5.531250,5.625000,1.940032,225200
1980-03-20,5.593750,5.593750,5.500000,5.500000,1.896920,110400
1980-03-21,5.500000,5.531250,5.500000,5.531250,1.907698,48800
1980-03-24,5.531250,5.531250,5.500000,5.531250,1.907698,104800
1980-03-25,5.531250,5.531250,5.500000,5.500000,1.896920,108000
1980-03-26,5.500000,5.531250,5.468750,5.468750,1.886142,100800
1980-03-27,5.468750,5.468750,5.281250,5.312500,1.832253,266400
1980-03-28,5.343750,5.437500,5.343750,5.437500,1.875365,80800
1980-03-31,5.437500,5.562500,5.437500,5.531250,1.907698,190000
1980-04-01,5.500000,5.531250,5.468750,5.500000,1.896920,182800
1980-04-02,5.500000,5.656250,5.468750,5.562500,1.918475,54400
1980-04-03,5.562500,5.593750,5.500000,5.500000,1.896920,50800
1980-04-07,5.500000,5.500000,5.437500,5.437500,1.875365,453200
1980-04-08,5.437500,5.531250,5.437500,5.500000,1.896920,75600
1980-04-09,5.500000,5.593750,5.500000,5.593750,1.929253,56800
1980-04-10,5.593750,5.625000,5.562500,5.593750,1.929253,47600
1980-04-11,5.625000,5.781250,5.625000,5.781250,1.993922,108400
1980-04-14,5.781250,5.781250,5.718750,5.718750,1.972365,42400
1980-04-15,5.718750,5.843750,5.718750,5.812500,2.004700,73200
1980-04-16,5.812500,5.937500,5.812500,5.875000,2.026256,80800
1980-04-17,5.875000,6.000000,5.812500,5.937500,2.047812,64400
1980-04-18,5.937500,5.968750,5.875000,5.906250,2.037034,49200
1980-04-21,5.906250,5.906250,5.750000,5.781250,1.993922,33600
1980-04-22,5.781250,5.875000,5.781250,5.875000,2.026256,66000
1980-04-23,5.875000,5.968750,5.781250,5.781250,1.993922,142400
1980-04-24,5.781250,6.000000,5.781250,6.000000,2.069367,416400
1980-04-25,5.937500,5.937500,5.781250,5.937500,2.086941,224400
1980-04-28,5.937500,5.937500,5.843750,5.843750,2.053990,30000
1980-04-29,5.843750,5.968750,5.843750,5.968750,2.097925,575600
1980-04-30,5.968750,6.031250,5.906250,6.031250,2.119893,190400
1980-05-01,6.000000,6.000000,5.968750,6.000000,2.108909,53200
1980-05-02,6.000000,6.000000,5.937500,6.000000,2.108909,69600
1980-05-05,6.000000,6.218750,6.000000,6.187500,2.174814,542000
1980-05-06,6.187500,6.218750,6.093750,6.187500,2.174814,464000
1980-05-07,6.187500,6.437500,6.125000,6.375000,2.240716,570800
1980-05-08,6.375000,6.500000,6.375000,6.437500,2.262684,469200
1980-05-09,6.437500,6.437500,6.375000,6.406250,2.251700,59600
1980-05-12,6.406250,6.437500,6.250000,6.406250,2.251700,175600
1980-05-13,6.406250,6.437500,6.375000,6.375000,2.240716,99600
1980-05-14,6.375000,6.531250,6.375000,6.500000,2.284652,585200
1980-05-15,6.500000,6.593750,6.500000,6.593750,2.317604,936000
1980-05-16,6.562500,6.562500,6.531250,6.562500,2.306620,35600
1980-05-19,6.562500,6.625000,6.375000,6.375000,2.240716,589600
1980-05-20,6.375000,6.406250,6.250000,6.281250,2.207763,196800
1980-05-21,6.250000,6.250000,6.125000,6.187500,2.174814,214400
1980-05-22,6.187500,6.250000,6.187500,6.250000,2.196783,138000
1980-05-23,6.406250,6.500000,6.406250,6.500000,2.284652,708000
1980-05-27,6.500000,6.500000,6.375000,6.375000,2.240716,52000
1980-05-28,6.375000,6.437500,6.375000,6.406250,2.251700,109200
1980-05-29,6.406250,6.531250,6.406250,6.406250,2.251700,245200
1980-05-30,6.406250,6.500000,6.375000,6.500000,2.284652,52800
1980-06-02,6.468750,6.468750,6.406250,6.468750,2.273668,133200
1980-06-03,6.437500,6.437500,6.375000,6.375000,2.240716,47600
1980-06-04,6.375000,6.406250,6.343750,6.375000,2.240716,78800
1980-06-05,6.375000,6.500000,6.375000,6.500000,2.284652,334000
1980-06-06,6.500000,6.500000,6.468750,6.500000,2.284652,190000
1980-06-09,6.468750,6.468750,6.406250,6.437500,2.262684,58000
1980-06-10,6.437500,6.468750,6.375000,6.437500,2.262684,59600
1980-06-11,6.437500,6.468750,6.375000,6.375000,2.240716,70800
1980-06-12,6.375000,6.437500,6.343750,6.406250,2.251700,172800
1980-06-13,6.406250,6.500000,6.406250,6.437500,2.262684,136800
1980-06-16,6.437500,6.468750,6.375000,6.406250,2.251700,23600
1980-06-17,6.437500,6.656250,6.437500,6.562500,2.306620,364000
