Date,Open,High,Low,Close,Adj Close,Volume
1993-06-22,1.625000,1.625000,1.406250,1.437500,1.321095,22363200
1993-06-23,1.468750,1.500000,1.437500,1.468750,1.349815,3168800
1993-06-24,1.468750,1.500000,1.468750,1.468750,1.349815,703200
1993-06-25,1.468750,1.531250,1.468750,1.500000,1.378534,1654400
1993-06-28,1.500000,1.531250,1.500000,1.500000,1.378534,1398400
1993-06-29,1.531250,1.531250,1.468750,1.531250,1.407253,756800
1993-06-30,1.468750,1.468750,1.406250,1.406250,1.292376,1027200
1993-07-01,1.468750,1.468750,1.406250,1.468750,1.349815,627200
1993-07-02,1.468750,1.468750,1.406250,1.406250,1.292376,213600
1993-07-06,1.406250,1.468750,1.406250,1.406250,1.292376,141600
1993-07-07,1.343750,1.375000,1.250000,1.328125,1.220577,1111200
1993-07-08,1.281250,1.375000,1.281250,1.312500,1.206217,648800
1993-07-09,1.281250,1.343750,1.281250,1.343750,1.234936,255200
1993-07-12,1.281250,1.343750,1.281250,1.312500,1.206217,828000
1993-07-13,1.281250,1.375000,1.281250,1.359375,1.249296,182400
1993-07-14,1.343750,1.500000,1.343750,1.468750,1.349815,583200
1993-07-15,1.468750,1.500000,1.437500,1.500000,1.378534,230400
1993-07-16,1.500000,1.500000,1.437500,1.437500,1.321095,128800
1993-07-19,1.500000,1.500000,1.437500,1.468750,1.349815,692000
1993-07-20,1.437500,1.500000,1.437500,1.468750,1.349815,68800
1993-07-21,1.437500,1.500000,1.437500,1.437500,1.321095,35200
1993-07-22,1.468750,1.500000,1.468750,1.468750,1.349815,448800
1993-07-23,1.468750,1.500000,1.343750,1.390625,1.278016,332800
1993-07-26,1.343750,1.343750,1.281250,1.343750,1.234936,286400
1993-07-27,1.281250,1.343750,1.281250,1.281250,1.177498,411200
1993-07-28,1.312500,1.343750,1.281250,1.281250,1.177498,70400
1993-07-29,1.343750,1.375000,1.281250,1.375000,1.263656,144800
1993-07-30,1.312500,1.375000,1.296875,1.343750,1.234936,984800
1993-08-02,1.312500,1.343750,1.312500,1.312500,1.206217,64000
1993-08-03,1.312500,1.343750,1.312500,1.312500,1.206217,64000
1993-08-04,1.343750,1.343750,1.312500,1.312500,1.206217,65600
1993-08-05,1.312500,1.343750,1.312500,1.312500,1.206217,39200
1993-08-06,1.312500,1.343750,1.312500,1.312500,1.206217,23200
1993-08-09,1.312500,1.343750,1.312500,1.312500,1.206217,51200
1993-08-10,1.281250,1.312500,1.218750,1.250000,1.148778,568800
1993-08-11,1.218750,1.218750,1.062500,1.187500,1.091339,1015200
1993-08-12,1.187500,1.187500,1.125000,1.140625,1.048260,1605600
1993-08-13,1.125000,1.187500,1.125000,1.125000,1.033900,319200
1993-08-16,1.125000,1.250000,1.125000,1.187500,1.091339,200000
1993-08-17,1.187500,1.250000,1.187500,1.187500,1.091339,459200
1993-08-18,1.187500,1.250000,1.187500,1.218750,1.120059,50400
1993-08-19,1.187500,1.218750,1.125000,1.203125,1.105699,548000
1993-08-20,1.125000,1.218750,1.125000,1.187500,1.091339,8000
1993-08-23,1.218750,1.218750,1.171875,1.171875,1.076980,49600
1993-08-24,1.156250,1.218750,1.156250,1.156250,1.062620,9600
1993-08-25,1.187500,1.218750,1.156250,1.156250,1.062620,48000
1993-08-26,1.156250,1.218750,1.140625,1.156250,1.062620,176800
1993-08-27,1.156250,1.218750,1.156250,1.156250,1.062620,64000
1993-08-30,1.218750,1.218750,1.156250,1.156250,1.062620,89600
