Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.530864,1.629630,1.530864,1.530864,1.002624,94800
1980-03-18,1.530864,1.629630,1.530864,1.530864,1.002624,89400
1980-03-19,1.530864,1.629630,1.530864,1.530864,1.002624,26100
1980-03-20,1.530864,1.604938,1.506173,1.506173,0.986453,42300
1980-03-21,1.506173,1.530864,1.432099,1.432099,0.937939,77400
1980-03-24,1.432099,1.530864,1.432099,1.432099,0.937939,72900
1980-03-25,1.432099,1.530864,1.432099,1.432099,0.937939,63300
1980-03-26,1.432099,1.530864,1.432099,1.432099,0.937939,78600
1980-03-27,1.432099,1.456790,1.358025,1.358025,0.889425,252900
1980-03-28,1.432099,1.530864,1.432099,1.432099,0.937939,39000
1980-03-31,1.456790,1.555556,1.456790,1.456790,0.954110,67500
1980-04-01,1.456790,1.530864,1.432099,1.432099,0.937939,149700
1980-04-02,1.432099,1.530864,1.432099,1.432099,0.937939,30000
1980-04-03,1.432099,1.530864,1.432099,1.432099,0.937939,65100
1980-04-07,1.432099,1.506173,1.407407,1.407407,0.921768,113400
1980-04-08,1.506173,1.604938,1.506173,1.506173,0.986453,238800
1980-04-09,1.506173,1.580247,1.481481,1.481481,0.970282,63300
1980-04-10,1.481481,1.555556,1.456790,1.456790,0.954110,35100
1980-04-11,1.456790,1.555556,1.456790,1.456790,0.954110,52500
1980-04-14,1.456790,1.530864,1.432099,1.432099,0.937939,28800
1980-04-15,1.432099,1.481481,1.382716,1.382716,0.905596,63300
1980-04-16,1.407407,1.506173,1.407407,1.407407,0.921768,82800
1980-04-17,1.407407,1.481481,1.382716,1.382716,0.905596,65100
1980-04-18,1.382716,1.481481,1.382716,1.382716,0.905596,142200
1980-04-21,1.382716,1.481481,1.382716,1.382716,0.905596,79500
1980-04-22,1.407407,1.506173,1.407407,1.407407,0.921768,97200
1980-04-23,1.432099,1.530864,1.432099,1.432099,0.937939,129900
1980-04-24,1.481481,1.580247,1.481481,1.481481,0.970282,93600
1980-04-25,1.481481,1.580247,1.481481,1.481481,0.970282,151500
1980-04-28,1.481481,1.580247,1.481481,1.481481,0.970282,87600
1980-04-29,1.481481,1.555556,1.456790,1.456790,0.954110,115200
1980-04-30,1.481481,1.580247,1.481481,1.481481,0.970282,93600
1980-05-01,1.481481,1.580247,1.481481,1.481481,0.970282,117300
1980-05-02,1.481481,1.580247,1.481481,1.481481,0.970282,12600
1980-05-05,1.506173,1.604938,1.506173,1.506173,0.986453,26100
1980-05-06,1.530864,1.629630,1.530864,1.530864,1.002624,48900
1980-05-07,1.530864,1.629630,1.530864,1.530864,1.002624,32400
1980-05-08,1.530864,1.629630,1.530864,1.530864,1.002624,24600
1980-05-09,1.530864,1.604938,1.506173,1.506173,0.986453,84900
1980-05-12,1.506173,1.604938,1.506173,1.506173,0.986453,32400
1980-05-13,1.506173,1.604938,1.506173,1.506173,0.986453,16200
1980-05-14,1.506173,1.604938,1.506173,1.506173,0.986453,55200
1980-05-15,1.506173,1.604938,1.506173,1.506173,0.986453,18000
1980-05-16,1.506173,1.604938,1.506173,1.506173,0.986453,12600
1980-05-19,1.506173,1.604938,1.506173,1.506173,0.986453,129600
1980-05-20,1.506173,1.604938,1.506173,1.506173,0.986453,22800
1980-05-21,1.530864,1.629630,1.530864,1.530864,1.002624,67500
1980-05-22,1.580247,1.679012,1.580247,1.580247,1.034967,105600
1980-05-23,1.580247,1.679012,1.580247,1.580247,1.034967,35100
1980-05-27,1.604938,1.703704,1.604938,1.604938,1.051139,108000
1980-05-28,1.604938,1.679012,1.580247,1.580247,1.034967,64800
1980-05-29,1.580247,1.654321,1.555556,1.555556,1.018796,115200
1980-05-30,1.555556,1.654321,1.555556,1.555556,1.018796,28800
1980-06-02,1.580247,1.679012,1.580247,1.580247,1.034967,99000
1980-06-03,1.580247,1.679012,1.580247,1.580247,1.034967,54300
1980-06-04,1.580247,1.679012,1.580247,1.580247,1.034967,36300
1980-06-05,1.580247,1.679012,1.580247,1.580247,1.034967,91800
1980-06-06,1.580247,1.654321,1.555556,1.555556,1.018796,83700
1980-06-09,1.555556,1.654321,1.555556,1.555556,1.018796,99000
1980-06-10,1.555556,1.654321,1.555556,1.555556,1.018796,93600
1980-06-11,1.555556,1.654321,1.555556,1.555556,1.018796,18000
1980-06-12,1.580247,1.679012,1.580247,1.580247,1.034967,48900
1980-06-13,1.604938,1.703704,1.604938,1.604938,1.051139,90900
1980-06-16,1.604938,1.703704,1.604938,1.604938,1.051139,32700
1980-06-17,1.604938,1.679012,1.580247,1.580247,1.034967,74700
1980-06-18,1.580247,1.679012,1.580247,1.580247,1.034967,111000
1980-06-19,1.580247,1.679012,1.580247,1.580247,1.034967,66600
1980-06-20,1.580247,1.654321,1.555556,1.555556,1.018796,85500
1980-06-23,1.555556,1.654321,1.555556,1.555556,1.018796,61200
1980-06-24,1.555556,1.654321,1.555556,1.555556,1.018796,70500
1980-06-25,1.580247,1.679012,1.580247,1.580247,1.034967,32400
1980-06-26,1.580247,1.654321,1.555556,1.555556,1.018796,62400
1980-06-27,1.555556,1.654321,1.555556,1.555556,1.018796,46200
1980-06-30,1.555556,1.629630,1.530864,1.530864,1.002624,66600
1980-07-01,1.530864,1.629630,1.530864,1.530864,1.002624,63300
1980-07-02,1.555556,1.654321,1.555556,1.555556,1.018796,91800
1980-07-03,1.629630,1.728395,1.629630,1.629630,1.067310,232500
1980-07-07,1.679012,1.703704,1.679012,1.679012,1.099653,57000
1980-07-08,1.703704,1.728395,1.703704,1.703704,1.115824,269100
1980-07-09,1.703704,1.703704,1.679012,1.679012,1.099653,105300
1980-07-10,1.753086,1.765432,1.753086,1.753086,1.148167,220500
1980-07-11,1.777778,1.802469,1.777778,1.777778,1.164338,167700
1980-07-14,1.827160,1.851852,1.827160,1.827160,1.196681,113400
1980-07-15,1.827160,1.851852,1.827160,1.827160,1.196681,506700
1980-07-16,1.851852,1.901235,1.851852,1.851852,1.212852,103800
1980-07-17,1.851852,1.901235,1.851852,1.851852,1.212852,62400
1980-07-18,1.925926,1.950617,1.925926,1.925926,1.261366,290100
1980-07-21,1.925926,1.950617,1.925926,1.925926,1.261366,123300
