Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.237500,1.256250,1.237500,1.237500,0.567542,472000
1980-03-18,1.237500,1.250000,1.231250,1.243750,0.570408,236000
1980-03-19,1.243750,1.243750,1.231250,1.237500,0.567542,628000
1980-03-20,1.237500,1.243750,1.225000,1.237500,0.567542,2100000
1980-03-21,1.237500,1.243750,1.212500,1.218750,0.558943,106000
1980-03-24,1.218750,1.225000,1.156250,1.156250,0.530279,604000
1980-03-25,1.156250,1.175000,1.106250,1.118750,0.513081,1182000
1980-03-26,1.118750,1.137500,1.112500,1.112500,0.510214,170000
1980-03-27,1.100000,1.100000,1.081250,1.087500,0.498749,524000
1980-03-28,1.100000,1.143750,1.100000,1.125000,0.515947,2270000
1980-03-31,1.125000,1.125000,1.106250,1.106250,0.507348,354000
1980-04-01,1.106250,1.125000,1.100000,1.125000,0.515947,388000
1980-04-02,1.125000,1.143750,1.112500,1.143750,0.524546,164000
1980-04-03,1.143750,1.156250,1.137500,1.143750,0.524546,1116000
1980-04-07,1.143750,1.150000,1.125000,1.125000,0.515947,934000
1980-04-08,1.125000,1.162500,1.125000,1.137500,0.521680,804000
1980-04-09,1.143750,1.162500,1.143750,1.162500,0.533145,138000
1980-04-10,1.181250,1.225000,1.181250,1.212500,0.556076,230000
1980-04-11,1.212500,1.243750,1.212500,1.225000,0.561809,222000
1980-04-14,1.225000,1.243750,1.200000,1.212500,0.556076,964000
1980-04-15,1.200000,1.200000,1.181250,1.181250,0.541744,180000
1980-04-16,1.181250,1.193750,1.156250,1.156250,0.530279,170000
1980-04-17,1.150000,1.150000,1.087500,1.087500,0.498749,1444000
1980-04-18,1.093750,1.118750,1.093750,1.118750,0.513081,1018000
1980-04-21,1.112500,1.112500,1.093750,1.093750,0.501615,352000
1980-04-22,1.106250,1.131250,1.106250,1.131250,0.518813,760000
1980-04-23,1.131250,1.137500,1.131250,1.131250,0.518813,456000
1980-04-24,1.131250,1.137500,1.131250,1.137500,0.521680,116000
1980-04-25,1.125000,1.125000,1.100000,1.100000,0.504482,1032000
1980-04-28,1.100000,1.112500,1.087500,1.100000,0.504482,696000
1980-04-29,1.100000,1.131250,1.100000,1.131250,0.518813,586000
1980-04-30,1.131250,1.137500,1.106250,1.137500,0.521680,1036000
1980-05-01,1.137500,1.150000,1.131250,1.143750,0.524546,1054000
1980-05-02,1.137500,1.137500,1.125000,1.125000,0.515947,302000
1980-05-05,1.125000,1.150000,1.125000,1.150000,0.527413,596000
1980-05-06,1.150000,1.168750,1.150000,1.150000,0.527413,208000
1980-05-07,1.150000,1.175000,1.150000,1.162500,0.533145,278000
1980-05-08,1.162500,1.187500,1.150000,1.162500,0.533145,742000
1980-05-09,1.168750,1.187500,1.168750,1.175000,0.538878,326000
1980-05-12,1.175000,1.175000,1.162500,1.162500,0.533145,172000
1980-05-13,1.162500,1.181250,1.156250,1.181250,0.541744,82000
1980-05-14,1.181250,1.193750,1.168750,1.168750,0.536012,134000
1980-05-15,1.168750,1.181250,1.162500,1.181250,0.541744,144000
1980-05-16,1.193750,1.218750,1.193750,1.200000,0.550344,1072000
1980-05-19,1.200000,1.212500,1.200000,1.212500,0.556076,94000
1980-05-20,1.212500,1.212500,1.193750,1.193750,0.547477,606000
1980-05-21,1.181250,1.181250,1.137500,1.137500,0.521680,430000
1980-05-22,1.137500,1.175000,1.131250,1.162500,0.533145,786000
1980-05-23,1.175000,1.225000,1.175000,1.200000,0.550344,604000
1980-05-27,1.200000,1.212500,1.200000,1.200000,0.550344,98000
1980-05-28,1.200000,1.212500,1.187500,1.193750,0.547477,160000
1980-05-29,1.193750,1.206250,1.175000,1.181250,0.541744,350000
1980-05-30,1.175000,1.175000,1.156250,1.175000,0.538878,178000
1980-06-02,1.175000,1.187500,1.175000,1.187500,0.544611,46000
1980-06-03,1.187500,1.187500,1.162500,1.168750,0.536012,1074000
1980-06-04,1.168750,1.200000,1.168750,1.187500,0.544611,450000
1980-06-05,1.212500,1.237500,1.212500,1.225000,0.561809,1068000
1980-06-06,1.225000,1.231250,1.200000,1.200000,0.550344,238000
1980-06-09,1.200000,1.218750,1.181250,1.187500,0.544611,338000
1980-06-10,1.187500,1.200000,1.168750,1.168750,0.536012,1426000
1980-06-11,1.168750,1.225000,1.162500,1.200000,0.550344,1442000
1980-06-12,1.200000,1.225000,1.200000,1.212500,0.556076,342000
1980-06-13,1.212500,1.218750,1.200000,1.212500,0.556076,1508000
1980-06-16,1.212500,1.225000,1.200000,1.212500,0.556076,1192000
1980-06-17,1.212500,1.225000,1.212500,1.225000,0.561809,734000
1980-06-18,1.218750,1.218750,1.181250,1.218750,0.558943,178000
1980-06-19,1.218750,1.225000,1.193750,1.193750,0.547477,454000
1980-06-20,1.187500,1.187500,1.162500,1.175000,0.538878,126000
1980-06-23,1.175000,1.193750,1.168750,1.175000,0.538878,208000
1980-06-24,1.175000,1.193750,1.156250,1.168750,0.536012,810000
1980-06-25,1.168750,1.175000,1.150000,1.162500,0.533145,218000
1980-06-26,1.162500,1.181250,1.150000,1.168750,0.536012,522000
1980-06-27,1.168750,1.193750,1.168750,1.193750,0.547477,164000
1980-06-30,1.193750,1.212500,1.181250,1.181250,0.541744,558000
1980-07-01,1.181250,1.200000,1.181250,1.181250,0.541744,1698000
1980-07-02,1.181250,1.212500,1.181250,1.212500,0.556076,1040000
1980-07-03,1.212500,1.231250,1.206250,1.231250,0.564675,308000
1980-07-07,1.231250,1.250000,1.231250,1.231250,0.564675,290000
1980-07-08,1.231250,1.250000,1.206250,1.218750,0.558943,614000
1980-07-09,1.218750,1.225000,1.200000,1.200000,0.550344,528000
1980-07-10,1.206250,1.218750,1.206250,1.218750,0.558943,200000
1980-07-11,1.218750,1.237500,1.212500,1.237500,0.567542,878000
1980-07-14,1.250000,1.281250,1.250000,1.275000,0.584740,1204000
1980-07-15,1.275000,1.293750,1.250000,1.250000,0.573275,930000
1980-07-16,1.250000,1.275000,1.237500,1.262500,0.579007,726000
1980-07-17,1.275000,1.293750,1.275000,1.293750,0.593339,202000
1980-07-18,1.293750,1.325000,1.281250,1.312500,0.601938,1464000
1980-07-21,1.312500,1.325000,1.312500,1.312500,0.601938,202000
1980-07-22,1.312500,1.325000,1.312500,1.312500,0.601938,968000
1980-07-23,1.312500,1.325000,1.312500,1.312500,0.601938,562000
1980-07-24,1.312500,1.318750,1.287500,1.293750,0.593339,244000
1980-07-25,1.281250,1.281250,1.250000,1.262500,0.579007,96000
1980-07-28,1.262500,1.262500,1.237500,1.250000,0.573275,516000
1980-07-29,1.250000,1.256250,1.231250,1.231250,0.564675,228000
1980-07-30,1.231250,1.262500,1.218750,1.262500,0.579007,1088000
1980-07-31,1.262500,1.262500,1.231250,1.262500,0.579007,1078000
1980-08-01,1.262500,1.262500,1.243750,1.262500,0.579007,336000
1980-08-04,1.262500,1.268750,1.250000,1.268750,0.581873,594000
1980-08-05,1.268750,1.268750,1.250000,1.262500,0.579007,610000
1980-08-06,1.262500,1.262500,1.243750,1.262500,0.579007,688000
1980-08-07,1.262500,1.293750,1.256250,1.287500,0.590473,826000
1980-08-08,1.300000,1.318750,1.300000,1.318750,0.604805,1946000
1980-08-11,1.318750,1.331250,1.287500,1.325000,0.607671,522000
