Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,5.000000,5.000000,5.000000,5.000000,1.031555,300
1980-01-03,5.041667,5.083333,5.041667,5.041667,1.040152,2100
1980-01-04,5.041667,5.041667,5.041667,5.041667,1.040152,2100
1980-01-07,5.083333,5.166667,5.083333,5.083333,1.048748,2400
1980-01-08,5.083333,5.166667,5.041667,5.166667,1.065940,10500
1980-01-09,5.083333,5.083333,5.083333,5.083333,1.048748,900
1980-01-10,5.083333,5.125000,4.916667,4.916667,1.014363,2700
1980-01-11,5.125000,5.125000,5.125000,5.125000,1.057344,900
1980-01-14,5.083333,5.083333,5.083333,5.083333,1.048748,900
1980-01-15,5.083333,5.166667,5.083333,5.166667,1.065940,6300
1980-01-16,5.166667,5.250000,5.083333,5.208333,1.074537,10800
1980-01-17,5.291667,5.291667,5.291667,5.291667,1.091729,900
1980-01-18,5.375000,5.458333,5.375000,5.375000,1.108922,3900
1980-01-21,5.375000,5.458333,5.375000,5.416667,1.117518,6300
1980-01-22,5.458333,5.583333,5.458333,5.541667,1.143307,5100
1980-01-23,5.541667,5.625000,5.541667,5.625000,1.160500,1500
1980-01-24,5.625000,5.625000,5.625000,5.625000,1.160500,1500
1980-01-25,5.583333,5.583333,5.583333,5.583333,1.151903,1200
1980-01-28,5.583333,5.625000,5.583333,5.583333,1.151903,1800
1980-01-29,5.583333,5.583333,5.583333,5.583333,1.151903,600
1980-01-30,5.666667,5.750000,5.666667,5.708333,1.177692,2400
1980-01-31,5.750000,5.750000,5.750000,5.750000,1.186288,3000
1980-02-01,5.750000,5.833333,5.750000,5.791667,1.194885,6300
1980-02-04,5.791667,5.875000,5.791667,5.791667,1.194885,2400
1980-02-05,5.750000,5.750000,5.666667,5.666667,1.169096,5700
1980-02-06,5.666667,5.666667,5.666667,5.666667,1.169096,0
1980-02-07,5.666667,5.833333,5.666667,5.750000,1.186288,8700
1980-02-08,5.750000,5.750000,5.750000,5.750000,1.186288,3000
1980-02-11,5.750000,6.083333,5.750000,6.083333,1.255059,12000
1980-02-12,6.125000,6.166667,6.125000,6.125000,1.263655,10800
1980-02-13,6.125000,6.291667,6.125000,6.250000,1.289445,11400
1980-02-14,6.333333,6.416667,6.333333,6.375000,1.315233,17100
1980-02-15,6.458333,6.541667,6.458333,6.500000,1.341021,13500
1980-02-19,6.541667,6.625000,6.541667,6.583333,1.358214,37800
1980-02-20,6.666667,7.000000,6.666667,6.666667,1.375408,13800
1980-02-21,6.666667,6.666667,6.583333,6.625000,1.366811,8100
1980-02-22,6.625000,6.666667,6.583333,6.666667,1.375408,8100
1980-02-25,6.625000,6.625000,6.583333,6.583333,1.358214,23100
1980-02-26,6.583333,6.666667,6.500000,6.625000,1.366811,8400
1980-02-27,6.625000,6.666667,6.625000,6.666667,1.375408,1500
1980-02-28,6.666667,6.708333,6.625000,6.625000,1.366811,2700
1980-02-29,6.625000,6.625000,6.458333,6.458333,1.332426,6900
1980-03-03,6.458333,6.500000,6.458333,6.458333,1.332426,1500
1980-03-04,6.375000,6.375000,6.291667,6.291667,1.298040,1800
1980-03-05,6.208333,6.208333,6.041667,6.041667,1.246462,8400
1980-03-06,5.958333,5.958333,5.875000,5.875000,1.212077,3300
1980-03-07,5.791667,5.791667,5.791667,5.791667,1.194885,300
1980-03-10,5.666667,5.666667,5.625000,5.625000,1.160500,4500
1980-03-11,5.750000,5.833333,5.750000,5.833333,1.203481,10200
1980-03-12,5.875000,5.916667,5.875000,5.916667,1.220674,3600
1980-03-13,5.958333,6.041667,5.958333,6.000000,1.237866,900
1980-03-14,6.000000,6.000000,5.958333,6.000000,1.237866,1500
1980-03-17,6.000000,6.083333,5.875000,6.083333,1.255059,21600
1980-03-18,6.166667,6.166667,6.166667,6.166667,1.272251,7500
1980-03-19,6.250000,6.333333,6.250000,6.333333,1.306636,4500
1980-03-20,6.333333,6.500000,6.333333,6.500000,1.341021,9300
1980-03-21,6.541667,6.541667,6.541667,6.541667,1.349618,1800
1980-03-24,6.625000,6.750000,6.625000,6.625000,1.366811,31800
1980-03-25,6.625000,6.708333,6.583333,6.583333,1.358214,26100
1980-03-26,6.541667,6.541667,6.333333,6.333333,1.306636,19800
1980-03-27,6.250000,6.250000,5.500000,5.500000,1.134711,14100
1980-03-28,5.500000,5.833333,5.500000,5.833333,1.203481,6000
1980-03-31,5.833333,5.833333,5.833333,5.833333,1.203481,1200
1980-04-01,5.916667,5.916667,5.916667,5.916667,1.220674,1200
1980-04-02,5.916667,5.916667,5.916667,5.916667,1.220674,2100
1980-04-03,5.916667,6.041667,5.916667,6.041667,1.246462,6900
1980-04-07,6.041667,6.041667,5.833333,5.833333,1.203481,9300
1980-04-08,5.833333,5.833333,5.833333,5.833333,1.203481,0
