Date,Open,High,Low,Close,Adj Close,Volume
2001-06-15,5.450000,5.620000,5.437500,5.462500,5.185573,4937600
2001-06-18,5.462500,5.500000,5.355000,5.375000,5.102509,3216800
2001-06-19,5.412500,5.412500,5.200000,5.212500,4.948247,4008400
2001-06-20,5.187500,5.200000,4.950000,5.200000,4.936380,5226800
2001-06-21,5.175000,5.175000,4.997500,5.000000,4.746520,4319200
2001-06-22,5.000000,5.025000,5.000000,5.000000,4.746520,1360000
2001-06-25,5.000000,5.002500,5.000000,5.000000,4.746520,130800
2001-06-26,5.000000,5.012500,5.000000,5.002500,4.748893,728800
2001-06-27,5.000000,5.002500,4.900000,4.950000,4.699055,4140800
2001-06-28,4.950000,5.000000,4.925000,4.925000,4.675323,2248800
2001-06-29,4.925000,5.162500,4.925000,5.162500,4.900782,780800
2001-07-02,5.162500,5.162500,4.925000,4.950000,4.699055,380400
2001-07-03,4.937500,4.937500,4.750000,4.777500,4.535300,919200
2001-07-05,4.812500,4.875000,4.812500,4.875000,4.627857,673200
2001-07-06,4.862500,4.875000,4.850000,4.855000,4.608871,391600
2001-07-09,4.867500,4.937500,4.787500,4.787500,4.544793,2055200
2001-07-10,4.787500,4.787500,4.487500,4.500000,4.271868,3034400
2001-07-11,4.520000,4.600000,4.487500,4.525000,4.295600,2623600
2001-07-12,4.525000,4.525000,4.487500,4.525000,4.295600,1444000
2001-07-13,4.550000,4.725000,4.550000,4.672500,4.435623,1692800
2001-07-16,4.627500,4.627500,4.457500,4.487500,4.260002,695600
2001-07-17,4.462500,4.520000,4.352500,4.397500,4.174564,1402800
2001-07-18,4.372500,4.512500,4.372500,4.460000,4.233896,549600
2001-07-19,4.485000,4.637500,4.475000,4.537500,4.307467,695200
2001-07-20,4.525000,4.537500,4.475000,4.522500,4.293227,1542800
2001-07-23,4.522500,4.530000,4.475000,4.500000,4.271868,308000
2001-07-24,4.475000,4.725000,4.462500,4.500000,4.271868,851200
2001-07-25,4.512500,4.850000,4.440000,4.800000,4.556659,1179600
2001-07-26,4.775000,4.800000,4.725000,4.775000,4.532927,384400
2001-07-27,4.737500,4.737500,4.612500,4.617500,4.383411,343600
2001-07-30,4.630000,4.642500,4.552500,4.622500,4.388158,106800
2001-07-31,4.635000,4.660000,4.437500,4.517500,4.288481,1671200
2001-08-01,4.542500,4.575000,4.497500,4.500000,4.271868,490800
2001-08-02,4.500000,4.562500,4.497500,4.550000,4.319333,692000
2001-08-03,4.560000,4.560000,4.487500,4.487500,4.260002,274400
2001-08-06,4.462500,4.467500,4.387500,4.400000,4.176938,196400
2001-08-07,4.400000,4.400000,4.312500,4.312500,4.093874,111200
2001-08-08,4.312500,4.375000,4.247500,4.247500,4.032168,737600
2001-08-09,4.247500,4.247500,4.050000,4.057500,3.851801,1316800
2001-08-10,4.032500,4.062500,4.000000,4.062500,3.856547,368000
2001-08-13,4.075000,4.075000,4.000000,4.000000,3.797216,34800
2001-08-14,4.000000,4.037500,3.950000,4.037500,3.832815,56800
2001-08-15,4.075000,4.262500,4.072500,4.225000,4.010809,946800
2001-08-16,4.230000,4.245000,4.187500,4.190000,3.977584,934400
2001-08-17,4.190000,4.200000,4.162500,4.162500,3.951478,149600
2001-08-20,4.175000,4.215000,4.175000,4.215000,4.001317,324400
2001-08-21,4.240000,4.240000,4.172500,4.175000,3.963344,94400
2001-08-22,4.175000,4.235000,4.150000,4.160000,3.949105,95200
2001-08-23,4.147500,4.157500,4.112500,4.120000,3.911132,319200
2001-08-24,4.107500,4.107500,4.050000,4.055000,3.849427,358400
2001-08-27,4.042500,4.250000,4.042500,4.125000,3.915879,305200
2001-08-28,4.112500,4.112500,4.067500,4.112500,3.904013,302400
2001-08-29,4.087500,4.125000,4.062500,4.105000,3.896893,546800
2001-08-30,4.090000,4.090000,3.950000,3.997500,3.794843,674000
2001-08-31,4.010000,4.067500,4.010000,4.067500,3.861294,286400
2001-09-04,4.067500,4.237500,4.067500,4.180000,3.968091,666000
2001-09-05,4.167500,4.177500,4.075000,4.125000,3.915879,330000
2001-09-06,4.125000,4.125000,4.022500,4.025000,3.820949,1445600
2001-09-07,4.000000,4.002500,3.950000,3.962500,3.761617,220000
2001-09-10,3.937500,3.987500,3.882500,3.892500,3.695166,461200
2001-09-17,3.867500,3.867500,3.400000,3.475000,3.298831,1533200
2001-09-18,3.450000,3.600000,3.450000,3.560000,3.379522,1156800
2001-09-19,3.550000,3.552500,3.462500,3.500000,3.322564,420000
2001-09-20,3.475000,3.587500,3.462500,3.562500,3.381896,887200
2001-09-21,3.537500,3.587500,3.475000,3.500000,3.322564,906800
2001-09-24,3.550000,3.550000,3.475000,3.500000,3.322564,279200
2001-09-25,3.500000,3.500000,3.227500,3.227500,3.063879,288000
2001-09-26,3.202500,3.205000,2.825000,2.875000,2.729249,588000
2001-09-27,2.850000,2.950000,2.747500,2.950000,2.800447,2769200
2001-09-28,2.950000,2.950000,2.875000,2.887500,2.741115,650400
2001-10-01,2.887500,2.887500,2.840000,2.840000,2.696023,161600
2001-10-02,2.842500,2.842500,2.825000,2.827500,2.684157,523600
2001-10-03,2.812500,2.995000,2.765000,2.995000,2.843165,541600
2001-10-04,2.970000,3.107500,2.967500,3.107500,2.949962,762400
2001-10-05,3.132500,3.150000,2.925000,2.937500,2.788580,799600
2001-10-08,2.925000,3.025000,2.925000,3.025000,2.871645,240800
2001-10-09,3.037500,3.037500,2.975000,3.037500,2.883511,119200
2001-10-10,3.062500,3.227500,3.050000,3.177500,3.016413,145600
2001-10-11,3.202500,3.487500,3.202500,3.427500,3.253739,120000
2001-10-12,3.402500,3.402500,3.272500,3.275000,3.108971,80000
2001-10-15,3.250000,3.275000,3.162500,3.162500,3.002174,114000
2001-10-16,3.137500,3.182500,3.110000,3.152500,2.992681,205600
2001-10-17,3.175000,3.175000,3.112500,3.125000,2.966575,140800
2001-10-18,3.150000,3.150000,3.100000,3.150000,2.990308,1000800
2001-10-19,3.137500,3.162500,3.125000,3.162500,3.002174,397600
2001-10-22,3.175000,3.225000,3.175000,3.225000,3.061505,14400
2001-10-23,3.250000,3.287500,3.250000,3.277500,3.111344,101600
2001-10-24,3.277500,3.277500,3.250000,3.255000,3.089985,70000
2001-10-25,3.250000,3.375000,3.250000,3.375000,3.203901,140800
2001-10-26,3.372500,3.445000,3.350000,3.437500,3.263232,285600
2001-10-29,3.420000,3.425000,3.362500,3.400000,3.227634,248400
2001-10-30,3.412500,3.412500,3.337500,3.337500,3.168302,240800
2001-10-31,3.337500,3.410000,3.237500,3.275000,3.108971,278400
2001-11-01,3.250000,3.272500,3.097500,3.250000,3.085238,92400
2001-11-02,3.250000,3.337500,3.250000,3.337500,3.168302,58800
2001-11-05,3.360000,3.450000,3.360000,3.450000,3.275099,2104000
2001-11-06,3.437500,3.450000,3.412500,3.430000,3.256113,541200
2001-11-07,3.430000,3.430000,3.385000,3.405000,3.232380,263200
2001-11-08,3.390000,3.402500,3.387500,3.390000,3.218141,308400
2001-11-09,3.365000,3.425000,3.365000,3.425000,3.251366,54000
2001-11-12,3.450000,3.450000,3.412500,3.412500,3.239500,206800
2001-11-13,3.412500,3.417500,3.402500,3.405000,3.232380,656000
2001-11-14,3.405000,3.405000,3.380000,3.380000,3.208647,262000
2001-11-15,3.355000,3.355000,3.225000,3.252500,3.087611,1140000
2001-11-16,3.377500,3.377500,3.287500,3.287500,3.120837,647200
2001-11-19,3.287500,3.412500,3.287500,3.400000,3.227634,821200
2001-11-20,3.387500,3.400000,3.312500,3.312500,3.144569,530000
2001-11-21,3.325000,3.330000,3.300000,3.302500,3.135077,716000
2001-11-23,3.300000,3.307500,3.300000,3.307500,3.139823,130400
2001-11-26,3.307500,3.307500,3.297500,3.300000,3.132703,147200
2001-11-27,3.282500,3.312500,3.272500,3.275000,3.108971,858000
2001-11-28,3.272500,3.297500,3.252500,3.252500,3.087611,500000
