Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,3.781250,3.875000,3.664063,3.671875,0.996457,1054400
1980-01-03,3.671875,3.875000,3.609375,3.875000,1.051580,2376000
1980-01-04,3.906250,4.250000,3.906250,4.250000,1.153346,3537600
1980-01-07,4.250000,4.390625,4.250000,4.296875,1.166066,2745600
1980-01-08,4.296875,4.312500,4.195313,4.312500,1.170306,3411200
1980-01-09,4.312500,4.382813,4.218750,4.242188,1.151225,2337600
1980-01-10,4.242188,4.421875,4.218750,4.257813,1.155466,2539200
1980-01-11,4.257813,4.343750,4.234375,4.320313,1.172427,785600
1980-01-14,4.320313,4.382813,4.296875,4.320313,1.172427,2110400
1980-01-15,4.320313,4.523438,4.320313,4.500000,1.226513,2859200
1980-01-16,4.500000,4.523438,4.421875,4.460938,1.215866,2241600
1980-01-17,4.460938,4.500000,4.421875,4.468750,1.217995,1086400
1980-01-18,4.468750,4.523438,4.445313,4.476563,1.220124,1398400
1980-01-21,4.500000,4.609375,4.500000,4.593750,1.252065,2048000
1980-01-22,4.593750,4.687500,4.562500,4.562500,1.243548,2112000
1980-01-23,4.562500,4.750000,4.562500,4.750000,1.294652,1230400
1980-01-24,4.750000,4.804688,4.718750,4.742188,1.292523,2220800
1980-01-25,4.742188,4.859375,4.710938,4.835938,1.318075,1960000
1980-01-28,4.835938,5.062500,4.812500,4.992188,1.360661,1153600
1980-01-29,4.992188,5.179688,4.890625,5.000000,1.362791,3643200
1980-01-30,5.000000,5.328125,5.000000,5.328125,1.452226,1806400
1980-01-31,5.296875,5.296875,5.000000,5.023438,1.369180,2539200
1980-02-01,5.023438,5.109375,4.953125,5.023438,1.369180,1848000
1980-02-04,5.007813,5.007813,4.765625,4.789063,1.305299,2168000
1980-02-05,4.789063,4.890625,4.718750,4.882813,1.330851,1582400
1980-02-06,4.882813,4.898438,4.687500,4.765625,1.298910,1934400
1980-02-07,4.765625,4.828125,4.750000,4.789063,1.305299,1939200
1980-02-08,4.789063,4.828125,4.757813,4.781250,1.303170,2644800
1980-02-11,4.781250,4.796875,4.625000,4.671875,1.273358,2188800
1980-02-12,4.671875,4.796875,4.578125,4.796875,1.307428,1612800
1980-02-13,4.796875,4.843750,4.640625,4.671875,1.273358,1539200
1980-02-14,4.625000,4.625000,4.484375,4.484375,1.222254,1920000
1980-02-15,4.484375,4.546875,4.453125,4.531250,1.235030,1636800
1980-02-19,4.531250,4.531250,4.453125,4.500000,1.226513,1160000
1980-02-20,4.500000,4.585938,4.484375,4.585938,1.249936,1377600
1980-02-21,4.585938,4.640625,4.546875,4.562500,1.243548,1392000
1980-02-22,4.562500,4.593750,4.523438,4.585938,1.249936,3067200
1980-02-25,4.585938,4.609375,4.546875,4.585938,1.249936,708800
1980-02-26,4.585938,4.640625,4.562500,4.640625,1.264841,456000
1980-02-27,4.640625,4.656250,4.500000,4.500000,1.226513,1816000
1980-02-28,4.500000,4.515625,4.468750,4.484375,1.222254,1675200
1980-02-29,4.484375,4.515625,4.484375,4.515625,1.230771,993600
1980-03-03,4.515625,4.671875,4.500000,4.601563,1.254195,875200
1980-03-04,4.601563,4.671875,4.601563,4.609375,1.256324,1624000
1980-03-05,4.609375,4.648438,4.562500,4.585938,1.249936,2928000
1980-03-06,4.570313,4.570313,4.453125,4.523438,1.232901,1683200
1980-03-07,4.484375,4.484375,4.390625,4.406250,1.200961,1235200
1980-03-10,4.406250,4.445313,4.343750,4.390625,1.196701,1374400
1980-03-11,4.453125,4.515625,4.453125,4.500000,1.226513,1835200
1980-03-12,4.500000,4.687500,4.468750,4.687500,1.277617,1792000
1980-03-13,4.687500,4.718750,4.531250,4.531250,1.235030,1984000
1980-03-14,4.531250,4.593750,4.476563,4.484375,1.222254,1960000
1980-03-17,4.414063,4.414063,4.187500,4.187500,1.141338,2803200
1980-03-18,4.187500,4.250000,4.140625,4.250000,1.158373,2692800
1980-03-19,4.265625,4.359375,4.265625,4.343750,1.183925,1227200
1980-03-20,4.343750,4.390625,4.328125,4.367188,1.190314,326400
1980-03-21,4.320313,4.320313,4.164063,4.218750,1.149856,1441600
1980-03-24,4.203125,4.203125,4.031250,4.054688,1.105139,2180800
1980-03-25,4.109375,4.375000,4.109375,4.273438,1.164761,2169600
1980-03-26,4.218750,4.218750,4.062500,4.070313,1.109397,2019200
1980-03-27,4.070313,4.218750,3.882813,4.218750,1.149856,2224000
1980-03-28,4.218750,4.265625,4.171875,4.218750,1.149856,2691200
1980-03-31,4.218750,4.250000,4.195313,4.195313,1.143467,764800
1980-04-01,4.195313,4.265625,4.195313,4.226563,1.151984,756800
1980-04-02,4.234375,4.328125,4.234375,4.250000,1.158373,1161600
1980-04-03,4.250000,4.257813,4.210938,4.257813,1.160502,536000
1980-04-07,4.250000,4.250000,4.140625,4.140625,1.128562,648000
1980-04-08,4.140625,4.218750,4.093750,4.203125,1.145597,1622400
1980-04-09,4.250000,4.390625,4.250000,4.390625,1.196701,1281600
1980-04-10,4.390625,4.531250,4.312500,4.359375,1.188184,2288000
1980-04-11,4.359375,4.421875,4.359375,4.367188,1.190314,1232000
1980-04-14,4.359375,4.359375,4.296875,4.320313,1.182615,412800
1980-04-15,4.320313,4.328125,4.187500,4.203125,1.150536,601600
1980-04-16,4.203125,4.312500,4.125000,4.140625,1.133428,1251200
1980-04-17,4.140625,4.140625,4.046875,4.046875,1.107765,857600
1980-04-18,4.046875,4.078125,3.992188,3.992188,1.092796,427200
1980-04-21,3.984375,3.984375,3.656250,3.734375,1.022224,1374400
1980-04-22,4.070313,4.179688,4.070313,4.070313,1.114181,4300800
1980-04-23,4.070313,4.156250,4.031250,4.054688,1.109904,2438400
1980-04-24,4.062500,4.125000,4.062500,4.078125,1.116320,902400
1980-04-25,4.171875,4.281250,4.171875,4.265625,1.167645,1025600
1980-04-28,4.281250,4.406250,4.281250,4.296875,1.176199,1372800
1980-04-29,4.296875,4.296875,4.226563,4.281250,1.171922,1067200
1980-04-30,4.281250,4.281250,4.125000,4.234375,1.159091,1673600
1980-05-01,4.226563,4.226563,4.031250,4.046875,1.107765,1555200
1980-05-02,4.015625,4.015625,3.898438,3.976563,1.088519,1593600
1980-05-05,3.976563,3.984375,3.906250,3.906250,1.069272,1704000
1980-05-06,3.906250,3.937500,3.750000,3.750000,1.026501,1168000
1980-05-07,3.750000,3.890625,3.742188,3.851563,1.054302,1961600
1980-05-08,3.851563,3.890625,3.765625,3.781250,1.035055,982400
1980-05-09,3.781250,3.804688,3.734375,3.765625,1.030778,1777600
1980-05-12,3.765625,3.859375,3.718750,3.789063,1.037193,1072000
1980-05-13,3.804688,3.875000,3.804688,3.843750,1.052163,796800
1980-05-14,3.843750,3.898438,3.843750,3.890625,1.064995,712000
1980-05-15,3.890625,3.960938,3.859375,3.882813,1.062856,1289600
1980-05-16,3.882813,3.906250,3.859375,3.875000,1.060717,702400
1980-05-19,3.875000,3.898438,3.851563,3.867188,1.058579,763200
1980-05-20,3.867188,3.875000,3.859375,3.859375,1.056441,804800
1980-05-21,3.859375,3.859375,3.789063,3.812500,1.043609,313600
1980-05-22,3.812500,3.960938,3.812500,3.945313,1.079965,697600
1980-05-23,4.000000,4.062500,4.000000,4.000000,1.094934,1145600
1980-05-27,4.000000,4.007813,3.968750,3.968750,1.086380,441600
1980-05-28,3.968750,3.968750,3.890625,3.953125,1.082103,1166400
1980-05-29,3.953125,3.976563,3.921875,3.921875,1.073549,584000
1980-05-30,3.921875,3.968750,3.906250,3.953125,1.082103,446400
1980-06-02,3.968750,4.078125,3.968750,4.015625,1.099211,1502400
1980-06-03,4.015625,4.125000,4.007813,4.078125,1.116320,1681600
1980-06-04,4.078125,4.187500,4.078125,4.125000,1.129151,825600
1980-06-05,4.125000,4.156250,4.078125,4.078125,1.116320,1086400
1980-06-06,4.078125,4.117188,4.007813,4.062500,1.112042,961600
1980-06-09,4.062500,4.093750,4.031250,4.046875,1.107765,443200
1980-06-10,4.046875,4.109375,4.015625,4.109375,1.124874,502400
1980-06-11,4.125000,4.156250,4.125000,4.132813,1.131290,745600
1980-06-12,4.156250,4.250000,4.156250,4.226563,1.156952,1001600
1980-06-13,4.226563,4.328125,4.218750,4.273438,1.169783,694400
1980-06-16,4.273438,4.281250,4.226563,4.250000,1.163368,328000
1980-06-17,4.250000,4.265625,4.203125,4.234375,1.159091,468800
1980-06-18,4.234375,4.234375,4.156250,4.226563,1.156952,539200
1980-06-19,4.226563,4.242188,4.140625,4.171875,1.141982,396800
1980-06-20,4.140625,4.140625,4.078125,4.085938,1.118459,376000
1980-06-23,4.085938,4.132813,4.078125,4.125000,1.129151,476800
1980-06-24,4.125000,4.187500,4.117188,4.187500,1.146259,606400
1980-06-25,4.203125,4.296875,4.203125,4.242188,1.161229,755200
1980-06-26,4.242188,4.265625,4.187500,4.187500,1.146259,377600
1980-06-27,4.171875,4.171875,4.140625,4.171875,1.141982,827200
1980-06-30,4.171875,4.187500,4.132813,4.132813,1.131290,520000
1980-07-01,4.109375,4.109375,4.046875,4.093750,1.120597,1123200
1980-07-02,4.093750,4.093750,4.046875,4.070313,1.114181,1040000
1980-07-03,4.070313,4.171875,4.062500,4.156250,1.137705,1894400
1980-07-07,4.156250,4.218750,4.148438,4.195313,1.148398,1203200
1980-07-08,4.195313,4.226563,4.164063,4.226563,1.156952,2200000
1980-07-09,4.226563,4.406250,4.171875,4.320313,1.182615,1449600
1980-07-10,4.320313,4.367188,4.312500,4.343750,1.189030,1444800
1980-07-11,4.343750,4.359375,4.312500,4.328125,1.184753,694400
1980-07-14,4.328125,4.671875,4.304688,4.671875,1.284413,1894400
1980-07-15,4.671875,4.710938,4.500000,4.515625,1.241457,2150400
1980-07-16,4.546875,4.687500,4.546875,4.609375,1.267230,966400
1980-07-17,4.609375,4.828125,4.593750,4.765625,1.310187,1344000
1980-07-18,4.765625,4.828125,4.671875,4.718750,1.297301,1464000
