Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,6.437500,6.437500,6.375000,6.437500,2.551123,88400
1980-01-03,6.437500,6.500000,6.250000,6.500000,2.575892,134000
1980-01-04,6.500000,6.500000,6.250000,6.500000,2.575892,111600
1980-01-07,6.437500,6.437500,6.312500,6.375000,2.526356,580600
1980-01-08,6.375000,6.562500,6.312500,6.562500,2.600660,308000
1980-01-09,6.562500,6.625000,6.437500,6.625000,2.625430,163600
1980-01-10,6.625000,6.750000,6.625000,6.750000,2.674966,126000
1980-01-11,6.750000,6.875000,6.750000,6.875000,2.724501,271400
1980-01-14,6.937500,7.312500,6.937500,7.312500,2.897879,280000
1980-01-15,7.312500,7.562500,7.312500,7.312500,2.897879,243200
1980-01-16,7.312500,7.375000,7.062500,7.125000,2.823575,303800
1980-01-17,7.125000,7.125000,6.875000,6.937500,2.749270,233400
1980-01-18,6.937500,6.937500,6.687500,6.875000,2.724501,131200
1980-01-21,6.875000,7.000000,6.875000,6.937500,2.749270,124800
1980-01-22,6.937500,7.062500,6.875000,6.937500,2.749270,191000
1980-01-23,6.937500,6.937500,6.812500,6.937500,2.749270,154200
1980-01-24,6.937500,6.937500,6.500000,6.937500,2.749270,69400
1980-01-25,6.875000,6.875000,6.750000,6.812500,2.699733,143000
1980-01-28,6.812500,6.875000,6.750000,6.875000,2.724501,46600
1980-01-29,6.875000,6.937500,6.812500,6.937500,2.749270,165600
1980-01-30,6.937500,6.937500,6.875000,6.937500,2.749270,133400
1980-01-31,6.937500,7.000000,6.875000,6.875000,2.724501,204400
1980-02-01,6.875000,6.875000,6.812500,6.875000,2.724501,76600
1980-02-04,6.875000,6.937500,6.812500,6.875000,2.724501,120200
1980-02-05,6.875000,6.875000,6.812500,6.875000,2.724501,64800
1980-02-06,6.875000,7.062500,6.875000,6.937500,2.749270,175200
1980-02-07,7.000000,7.187500,7.000000,7.187500,2.848342,290800
1980-02-08,7.000000,7.000000,6.937500,7.000000,2.838205,117200
1980-02-11,6.875000,6.875000,6.625000,6.687500,2.711501,357600
1980-02-12,6.687500,6.750000,6.375000,6.437500,2.610136,377600
1980-02-13,6.437500,6.500000,6.375000,6.500000,2.635476,317600
1980-02-14,6.500000,6.500000,6.375000,6.437500,2.610136,263400
1980-02-15,6.437500,6.437500,6.312500,6.375000,2.584795,378000
1980-02-19,6.375000,6.375000,6.250000,6.312500,2.559454,727600
1980-02-20,6.312500,6.375000,6.250000,6.375000,2.584795,143600
1980-02-21,6.312500,6.312500,6.187500,6.250000,2.534112,215000
1980-02-22,6.250000,6.312500,6.062500,6.125000,2.483431,589000
1980-02-25,6.125000,6.187500,6.000000,6.062500,2.458089,202400
1980-02-26,6.062500,6.125000,6.000000,6.000000,2.432748,263400
1980-02-27,6.000000,6.125000,6.000000,6.125000,2.483431,123800
1980-02-28,6.125000,6.125000,6.062500,6.062500,2.458089,145000
1980-02-29,6.062500,6.187500,6.062500,6.187500,2.508771,79800
1980-03-03,6.187500,6.312500,6.000000,6.000000,2.432748,481600
1980-03-04,5.937500,5.937500,5.750000,5.812500,2.356725,518600
1980-03-05,5.812500,5.812500,5.562500,5.562500,2.255360,754200
1980-03-06,5.562500,5.625000,5.500000,5.562500,2.255360,249000
1980-03-07,5.562500,5.875000,5.437500,5.500000,2.230019,471200
1980-03-10,5.500000,5.500000,5.375000,5.437500,2.204679,250000
1980-03-11,5.437500,5.562500,5.437500,5.562500,2.255360,253000
1980-03-12,5.562500,5.562500,5.437500,5.562500,2.255360,286400
1980-03-13,5.562500,5.562500,5.437500,5.500000,2.230019,470400
1980-03-14,5.500000,5.562500,5.437500,5.562500,2.255360,382400
1980-03-17,5.562500,5.625000,5.500000,5.625000,2.280701,210600
1980-03-18,5.625000,5.750000,5.625000,5.750000,2.331383,293400
1980-03-19,5.750000,5.812500,5.687500,5.687500,2.306042,100800
1980-03-20,5.687500,5.687500,5.625000,5.625000,2.280701,97800
1980-03-21,5.625000,5.687500,5.625000,5.687500,2.306042,117800
1980-03-24,5.687500,5.687500,5.625000,5.687500,2.306042,129800
1980-03-25,5.687500,5.687500,5.625000,5.687500,2.306042,73600
1980-03-26,5.687500,5.875000,5.625000,5.625000,2.280701,66600
1980-03-27,5.625000,5.625000,5.500000,5.625000,2.280701,78800
1980-03-28,5.625000,5.687500,5.562500,5.625000,2.280701,140800
1980-03-31,5.812500,5.875000,5.812500,5.875000,2.382065,131600
1980-04-01,5.875000,5.937500,5.812500,5.937500,2.407408,66000
1980-04-02,5.937500,5.937500,5.875000,5.937500,2.407408,371200
1980-04-03,5.937500,5.937500,5.875000,5.937500,2.407408,112600
1980-04-07,5.937500,5.937500,5.937500,5.937500,2.407408,81400
1980-04-08,5.937500,5.937500,5.812500,5.875000,2.382065,81400
1980-04-09,5.875000,5.937500,5.812500,5.937500,2.407408,129400
1980-04-10,5.937500,5.937500,5.875000,5.937500,2.407408,135800
1980-04-11,5.937500,6.062500,5.937500,6.000000,2.432748,182000
1980-04-14,6.000000,6.000000,5.937500,6.000000,2.432748,93600
1980-04-15,6.000000,6.000000,5.875000,5.937500,2.407408,122000
1980-04-16,5.937500,6.000000,5.875000,5.875000,2.382065,118000
1980-04-17,5.875000,5.937500,5.875000,5.875000,2.382065,81000
1980-04-18,5.875000,5.937500,5.812500,5.937500,2.407408,148200
1980-04-21,5.937500,5.937500,5.812500,5.812500,2.356725,467000
1980-04-22,5.812500,6.062500,5.812500,6.062500,2.458089,153600
1980-04-23,6.062500,6.062500,5.875000,6.000000,2.432748,101600
1980-04-24,6.000000,6.000000,5.937500,5.937500,2.407408,86000
1980-04-25,5.875000,5.875000,5.750000,5.812500,2.356725,186200
1980-04-28,5.812500,6.000000,5.812500,5.937500,2.407408,103600
1980-04-29,5.937500,6.000000,5.875000,5.875000,2.382065,68600
1980-04-30,5.937500,6.000000,5.937500,6.000000,2.432748,50800
1980-05-01,6.000000,6.062500,5.937500,6.000000,2.432748,390600
1980-05-02,5.937500,5.937500,5.875000,5.937500,2.407408,49200
1980-05-05,5.937500,5.937500,5.875000,5.937500,2.407408,76200
1980-05-06,5.937500,5.937500,5.875000,5.937500,2.407408,132800
1980-05-07,5.937500,6.062500,5.875000,6.062500,2.458089,180600
1980-05-08,6.062500,6.250000,6.000000,6.187500,2.508771,125000
1980-05-09,6.187500,6.250000,5.937500,6.000000,2.432748,165000
1980-05-12,5.875000,5.875000,5.750000,5.812500,2.422330,102400
1980-05-13,5.812500,5.875000,5.750000,5.875000,2.448375,171800
1980-05-14,5.875000,5.937500,5.875000,5.937500,2.474422,209200
1980-05-15,5.937500,5.937500,5.812500,5.937500,2.474422,234000
1980-05-16,5.937500,6.062500,5.875000,6.000000,2.500468,98800
1980-05-19,6.000000,6.000000,5.937500,6.000000,2.500468,92400
1980-05-20,6.000000,6.000000,5.875000,6.000000,2.500468,74600
1980-05-21,6.000000,6.000000,5.937500,5.937500,2.474422,81600
1980-05-22,5.937500,6.062500,5.937500,6.062500,2.526516,121200
1980-05-23,6.062500,6.187500,6.062500,6.125000,2.552562,99000
1980-05-27,6.125000,6.375000,6.125000,6.375000,2.656748,318600
1980-05-28,6.375000,6.625000,6.375000,6.625000,2.760935,411400
1980-05-29,6.625000,6.625000,6.375000,6.375000,2.656748,216600
1980-05-30,6.375000,6.500000,6.312500,6.375000,2.656748,172800
1980-06-02,6.437500,6.500000,6.437500,6.500000,2.708841,61800
1980-06-03,6.500000,6.500000,6.375000,6.437500,2.682793,180800
