Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.105074,0.105074,0.105074,0.105074,0.064489,10000
1980-03-18,0.101234,0.101234,0.098765,0.098765,0.060617,24900
1980-03-19,0.101234,0.110013,0.101234,0.110013,0.067521,92400
1980-03-20,0.107545,0.107545,0.107545,0.107545,0.066006,14800
1980-03-21,0.105074,0.105074,0.105074,0.105074,0.064489,1300
1980-03-24,0.103155,0.103155,0.101234,0.101234,0.062132,45100
1980-03-25,0.098765,0.098765,0.094376,0.094376,0.057923,67500
1980-03-26,0.092455,0.092455,0.092455,0.092455,0.056744,1300
1980-03-27,0.089986,0.089986,0.079286,0.079286,0.048662,70800
1980-03-28,0.083676,0.085597,0.083676,0.085597,0.052535,128200
1980-03-31,0.085597,0.088065,0.083676,0.088065,0.054050,151800
1980-04-01,0.088065,0.088065,0.088065,0.088065,0.054050,0
1980-04-02,0.092455,0.092455,0.092455,0.092455,0.056744,10000
1980-04-03,0.092455,0.092455,0.089986,0.092455,0.056744,31600
1980-04-07,0.092455,0.092455,0.092455,0.092455,0.056744,0
1980-04-08,0.089986,0.089986,0.089986,0.089986,0.055229,1300
1980-04-09,0.089986,0.089986,0.089986,0.089986,0.055229,1300
1980-04-10,0.092455,0.096845,0.092455,0.096845,0.059438,67500
1980-04-11,0.098765,0.101234,0.098765,0.098765,0.060617,24900
1980-04-14,0.098765,0.101234,0.096845,0.096845,0.059438,55300
1980-04-15,0.096845,0.098765,0.094376,0.094376,0.057923,112600
1980-04-16,0.089986,0.089986,0.089986,0.089986,0.055229,1300
1980-04-17,0.089986,0.089986,0.088065,0.088065,0.054050,67500
1980-04-18,0.088065,0.092455,0.088065,0.092455,0.056744,55300
1980-04-21,0.092455,0.096845,0.092455,0.092455,0.056744,60700
1980-04-22,0.092455,0.105074,0.089986,0.105074,0.064489,389400
1980-04-23,0.107545,0.111934,0.107545,0.111934,0.068700,47200
1980-04-24,0.111934,0.118792,0.111934,0.118792,0.072909,237600
1980-04-25,0.116324,0.116324,0.113853,0.113853,0.069877,77500
1980-04-28,0.113853,0.122632,0.113853,0.122632,0.075266,91000
1980-04-29,0.118792,0.118792,0.116324,0.116324,0.071394,60700
1980-04-30,0.116324,0.116324,0.111934,0.111934,0.068700,45100
1980-05-01,0.111934,0.111934,0.111934,0.111934,0.068700,55300
1980-05-02,0.110013,0.110013,0.107545,0.110013,0.067521,67500
1980-05-05,0.110013,0.113853,0.110013,0.113853,0.069877,24900
1980-05-06,0.113853,0.118792,0.113853,0.113853,0.069877,105900
1980-05-07,0.113853,0.116324,0.113853,0.113853,0.069877,14800
1980-05-08,0.111934,0.111934,0.111934,0.111934,0.068700,24900
1980-05-09,0.111934,0.111934,0.111934,0.111934,0.068700,1300
1980-05-12,0.113853,0.116324,0.113853,0.116324,0.071394,14800
