Date,Open,High,Low,Close,Adj Close,Volume
1985-05-23,4.781421,5.009108,4.781421,4.838343,0.544573,3920200
1985-05-24,4.838343,4.866803,4.781421,4.838343,0.544573,682500
1985-05-28,4.838343,4.923725,4.838343,4.923725,0.554183,639000
1985-05-29,4.952186,4.980647,4.952186,4.980647,0.560589,297700
1985-05-30,4.980647,4.980647,4.952186,4.980647,0.560589,252500
1985-05-31,4.980647,4.980647,4.923725,4.952186,0.557386,56200
1985-06-03,4.980647,5.151412,4.980647,5.151412,0.579809,471700
1985-06-04,5.151412,5.265255,5.122951,5.151412,0.579809,484800
1985-06-05,5.151412,5.208333,5.122951,5.151412,0.579809,284600
1985-06-06,5.151412,5.236794,5.122951,5.236794,0.589419,123400
1985-06-07,5.265255,5.350637,5.265255,5.265255,0.592623,159800
1985-06-10,5.265255,5.293716,5.236794,5.236794,0.589419,190100
1985-06-11,5.236794,5.293716,5.236794,5.265255,0.592623,141400
1985-06-12,5.265255,5.293716,5.236794,5.236794,0.589419,108400
1985-06-13,5.236794,5.265255,5.179873,5.208333,0.586216,132100
1985-06-14,5.179873,5.179873,5.009108,5.066029,0.570199,140900
1985-06-17,5.066029,5.066029,4.952186,4.952186,0.557386,134800
1985-06-18,4.952186,5.009108,4.952186,5.009108,0.563792,145800
1985-06-19,5.009108,5.236794,5.009108,5.179873,0.583013,172100
1985-06-20,5.179873,5.179873,5.122951,5.122951,0.576606,31600
1985-06-21,5.122951,5.236794,5.122951,5.208333,0.586216,146600
1985-06-24,5.208333,5.236794,5.151412,5.151412,0.579809,16200
1985-06-25,5.151412,5.179873,5.122951,5.122951,0.576606,34600
1985-06-26,5.122951,5.151412,5.122951,5.151412,0.579809,95300
1985-06-27,5.151412,5.151412,5.122951,5.122951,0.576606,25400
1985-06-28,5.122951,5.179873,5.066029,5.066029,0.570199,43400
1985-07-01,5.122951,5.151412,5.122951,5.151412,0.579809,81200
1985-07-02,5.151412,5.151412,5.122951,5.151412,0.579809,88200
1985-07-03,5.151412,5.151412,5.151412,5.151412,0.579809,22300
1985-07-05,5.179873,5.208333,5.179873,5.179873,0.583013,20600
1985-07-08,5.179873,5.236794,5.179873,5.208333,0.586216,44300
1985-07-09,5.208333,5.236794,5.208333,5.236794,0.589419,22300
1985-07-10,5.236794,5.236794,5.151412,5.151412,0.579809,261300
1985-07-11,5.179873,5.208333,5.179873,5.179873,0.583013,8300
1985-07-12,5.179873,5.208333,5.179873,5.179873,0.583013,13100
1985-07-15,5.179873,5.265255,5.179873,5.236794,0.589419,47400
1985-07-16,5.236794,5.265255,5.208333,5.208333,0.586216,23700
1985-07-17,5.208333,5.236794,5.208333,5.208333,0.586216,24500
1985-07-18,5.208333,5.236794,5.179873,5.208333,0.586216,47400
1985-07-19,5.208333,5.236794,5.179873,5.179873,0.583013,17500
1985-07-22,5.179873,5.179873,5.179873,5.179873,0.583013,6500
1985-07-23,5.179873,5.208333,5.179873,5.208333,0.586216,13600
1985-07-24,5.208333,5.236794,5.151412,5.236794,0.589419,50000
1985-07-25,5.179873,5.179873,5.179873,5.179873,0.583013,19300
1985-07-26,5.179873,5.179873,5.151412,5.151412,0.579809,9600
1985-07-29,5.151412,5.151412,5.094490,5.122951,0.576606,49600
1985-07-30,5.122951,5.122951,5.094490,5.122951,0.576606,23700
1985-07-31,5.122951,5.122951,5.094490,5.094490,0.573403,7900
1985-08-01,5.094490,5.151412,5.094490,5.151412,0.579809,9600
1985-08-02,5.151412,5.151412,5.094490,5.151412,0.579809,177800
1985-08-05,5.151412,5.179873,5.094490,5.122951,0.576606,30300
1985-08-06,5.122951,5.151412,5.122951,5.122951,0.576606,21900
1985-08-07,5.122951,5.151412,5.037568,5.037568,0.566996,42600
1985-08-08,5.037568,5.066029,5.009108,5.009108,0.563792,42600
1985-08-09,5.009108,5.009108,4.952186,4.952186,0.557386,15300
1985-08-12,4.952186,4.980647,4.923725,4.980647,0.560589,12200
1985-08-13,4.980647,4.980647,4.923725,4.952186,0.557386,14400
1985-08-14,4.952186,5.037568,4.923725,4.952186,0.557386,57900
