Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,7.687500,8.041667,7.687500,7.770833,4.770487,747600
1980-03-18,7.770833,8.104167,7.562500,8.041667,4.936749,1204800
1980-03-19,8.062500,8.250000,8.062500,8.062500,4.949538,745200
1980-03-20,8.062500,8.166667,7.833333,7.875000,4.834434,430800
1980-03-21,7.875000,7.958333,7.729167,7.729167,4.744905,453000
1980-03-24,7.687500,7.687500,7.208333,7.270833,4.463537,810000
1980-03-25,7.270833,7.437500,7.000000,7.083333,4.348432,2117400
1980-03-26,7.083333,7.208333,6.937500,6.979167,4.284486,816600
1980-03-27,6.895833,6.895833,6.270833,6.833333,4.194958,1286400
1980-03-28,6.937500,7.333333,6.937500,7.208333,4.425166,837600
1980-03-31,7.208333,7.354167,7.083333,7.250000,4.450746,399600
1980-04-01,7.250000,7.312500,7.062500,7.145833,4.386800,631200
1980-04-02,7.166667,7.312500,7.166667,7.250000,4.450746,486000
1980-04-03,7.250000,7.312500,7.145833,7.166667,4.399588,483600
1980-04-07,7.125000,7.125000,7.000000,7.000000,4.297275,315000
1980-04-08,7.000000,7.208333,6.958333,7.166667,4.399588,348000
1980-04-09,7.166667,7.395833,7.166667,7.375000,4.527485,824400
1980-04-10,7.375000,7.437500,7.312500,7.437500,4.565853,516000
1980-04-11,7.479167,7.708333,7.479167,7.708333,4.732118,829200
1980-04-14,7.708333,7.791667,7.604167,7.791667,4.783277,594600
1980-04-15,7.791667,7.895833,7.666667,7.687500,4.719325,346200
1980-04-16,7.687500,7.729167,7.375000,7.395833,4.540273,456600
1980-04-17,7.395833,7.416667,7.250000,7.395833,4.540273,353400
1980-04-18,7.395833,7.520833,7.312500,7.395833,4.540273,268800
1980-04-21,7.395833,7.437500,7.166667,7.270833,4.463537,346800
1980-04-22,7.270833,7.958333,7.270833,7.958333,4.885591,852000
1980-04-23,7.958333,7.958333,7.729167,7.812500,4.796066,838800
1980-04-24,7.812500,7.833333,7.604167,7.750000,4.757697,589200
1980-04-25,7.750000,7.750000,7.541667,7.750000,4.757697,379800
1980-04-28,7.791667,8.000000,7.791667,7.833333,4.808853,469200
1980-04-29,7.875000,8.062500,7.875000,8.041667,4.936749,319800
1980-04-30,8.041667,8.041667,7.875000,7.958333,4.885591,215400
1980-05-01,7.958333,8.104167,7.854167,7.854167,4.821642,627000
1980-05-02,7.854167,7.875000,7.729167,7.729167,4.744905,1040400
1980-05-05,7.729167,7.770833,7.666667,7.666667,4.706538,316200
1980-05-06,7.666667,7.666667,7.500000,7.500000,4.604219,381000
1980-05-07,7.479167,7.479167,7.291667,7.312500,4.489116,545400
1980-05-08,7.312500,7.312500,7.208333,7.250000,4.450746,782400
1980-05-09,7.187500,7.187500,7.083333,7.125000,4.374010,482400
1980-05-12,7.125000,7.145833,7.062500,7.125000,4.374010,250800
1980-05-13,7.166667,7.395833,7.166667,7.395833,4.540273,430200
1980-05-14,7.395833,7.479167,7.291667,7.291667,4.476327,750600
