Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.595625,9.743250,9.448000,9.713725,3.652152,180700
1982-01-04,9.595625,9.713725,9.448000,9.507050,3.574444,80800
1982-01-05,9.359425,9.448000,9.270850,9.270850,3.485638,152400
1982-01-06,9.152750,9.329900,8.975600,9.093700,3.419037,364000
1982-01-07,9.093700,9.182275,8.975600,9.152750,3.441235,362400
1982-01-08,8.975600,9.034650,8.916550,8.975600,3.374632,270500
1982-01-11,8.739400,8.975600,8.473675,8.473675,3.185918,453800
1982-01-12,8.591775,8.709875,8.444150,8.709875,3.274725,175600
1982-01-13,8.621300,8.739400,8.503200,8.591775,3.230322,154900
1982-01-14,8.532725,8.562250,8.473675,8.562250,3.219221,262900
1982-01-15,8.503200,8.562250,8.414625,8.562250,3.219221,393700
1982-01-18,8.503200,8.562250,8.444150,8.562250,3.219221,83800
1982-01-19,8.532725,8.650825,8.385100,8.444150,3.174817,574000
1982-01-20,8.267000,8.473675,8.030800,8.089850,3.041609,791200
1982-01-21,7.883175,8.178425,7.558400,7.587925,2.852896,296700
1982-01-22,7.587925,7.735550,7.440300,7.440300,2.797392,690900
1982-01-25,7.233625,7.351725,7.086000,7.263150,2.730788,483400
1982-01-26,7.381250,7.499350,7.263150,7.322200,2.752990,330600
1982-01-27,7.528875,7.676500,7.351725,7.646975,2.875098,201900
1982-01-28,8.030800,8.326050,7.706025,8.326050,3.130414,270900
1982-01-29,8.267000,8.414625,8.089850,8.385100,3.152616,206100
1982-02-01,8.030800,8.207950,7.853650,7.912700,2.975003,266200
1982-02-02,8.030800,8.148900,7.912700,8.089850,3.041609,202300
1982-02-03,8.030800,8.089850,7.971750,7.971750,2.997205,37600
1982-02-04,7.912700,7.971750,7.853650,7.942225,2.986105,347100
1982-02-05,8.119375,8.237475,8.001275,8.119375,3.052710,174800
1982-02-08,8.060325,8.207950,7.912700,7.971750,2.997205,85500
1982-02-09,7.942225,8.001275,7.853650,7.912700,2.975003,120200
1982-02-10,8.060325,8.148900,7.942225,8.001275,3.008305,80800
1982-02-11,7.971750,8.030800,7.912700,8.030800,3.019407,76200
1982-02-12,8.089850,8.148900,8.001275,8.060325,3.030506,234500
1982-02-16,7.942225,8.001275,7.853650,7.942225,2.986105,246800
1982-02-17,8.060325,8.119375,8.001275,8.060325,3.030506,215900
1982-02-18,8.089850,8.148900,8.030800,8.060325,3.030506,185800
1982-02-19,7.942225,8.030800,7.824125,7.853650,2.952802,530400
1982-02-22,7.912700,8.030800,7.794600,7.794600,2.930600,106600
1982-02-23,7.794600,7.883175,7.706025,7.883175,2.963902,127400
1982-02-24,7.706025,7.794600,7.587925,7.794600,2.930600,372900
1982-02-25,7.794600,7.853650,7.735550,7.765075,2.919499,265800
1982-02-26,7.706025,7.765075,7.646975,7.676500,2.886197,163800
1982-03-01,7.292675,7.617450,6.938375,7.292675,2.741887,578300
1982-03-02,6.997425,7.204100,6.790750,6.849800,2.575377,591000
1982-03-03,6.613600,6.731700,6.465975,6.613600,2.505576,327600
1982-03-04,6.554550,6.672650,6.436450,6.672650,2.527950,160000
1982-03-05,6.731700,6.790750,6.643125,6.790750,2.572691,295000
1982-03-08,6.849800,7.026950,6.643125,6.672650,2.527950,144700
1982-03-09,6.849800,7.026950,6.643125,6.967900,2.639805,116800
1982-03-10,6.908850,6.967900,6.849800,6.879325,2.606247,108300
1982-03-11,6.849800,6.908850,6.761225,6.820275,2.583877,72300
1982-03-12,6.790750,6.849800,6.702175,6.761225,2.561506,213300
1982-03-15,6.849800,6.967900,6.731700,6.908850,2.617433,127000
1982-03-16,6.967900,7.026950,6.879325,6.967900,2.639805,168000
1982-03-17,6.938375,6.967900,6.908850,6.908850,2.617433,147700
1982-03-18,6.967900,7.026950,6.908850,6.967900,2.639805,726500
1982-03-19,6.967900,7.056475,6.849800,7.026950,2.662176,487200
1982-03-22,7.056475,7.086000,6.997425,7.056475,2.673361,499100
1982-03-23,7.115525,7.145050,7.056475,7.086000,2.684547,374200
1982-03-24,7.115525,7.174575,7.056475,7.115525,2.695732,110400
1982-03-25,7.056475,7.145050,6.967900,7.056475,2.673361,110400
1982-03-26,7.086000,7.115525,7.026950,7.026950,2.662176,27500
1982-03-29,7.026950,7.086000,6.938375,6.938375,2.628619,135900
1982-03-30,6.938375,6.997425,6.879325,6.938375,2.628619,115100
1982-03-31,6.908850,6.997425,6.820275,6.820275,2.583877,83800
1982-04-01,6.938375,7.026950,6.820275,7.026950,2.662176,196800
1982-04-02,7.056475,7.086000,6.997425,7.086000,2.684547,226900
1982-04-05,6.997425,7.026950,6.967900,6.967900,2.639805,111300
1982-04-06,6.879325,6.967900,6.790750,6.938375,2.628619,142200
1982-04-07,6.997425,7.056475,6.938375,7.056475,2.673361,422900
1982-04-08,6.997425,7.056475,6.938375,7.026950,2.662176,203200
1982-04-12,7.086000,7.204100,6.967900,7.174575,2.718103,119300
1982-04-13,7.381250,7.646975,7.086000,7.499350,2.841145,444900
1982-04-14,7.410775,7.528875,7.292675,7.292675,2.762846,138000
1982-04-15,7.469825,7.558400,7.381250,7.528875,2.852331,248000
1982-04-16,7.617450,7.676500,7.528875,7.676500,2.908258,134200
1982-04-19,7.587925,7.706025,7.440300,7.646975,2.897075,119800
1982-04-20,7.617450,7.646975,7.558400,7.587925,2.874703,123600
1982-04-21,7.469825,7.617450,7.322200,7.469825,2.829960,188800
1982-04-22,7.528875,7.558400,7.469825,7.469825,2.829960,462700
1982-04-23,7.499350,7.528875,7.469825,7.499350,2.841145,334400
1982-04-26,7.587925,7.646975,7.499350,7.617450,2.885886,293800
1982-04-27,7.587925,7.676500,7.499350,7.499350,2.841145,293800
1982-04-28,7.499350,7.558400,7.440300,7.440300,2.818774,67300
1982-04-29,7.292675,7.469825,7.115525,7.145050,2.706918,121900
1982-04-30,7.174575,7.233625,7.086000,7.115525,2.695732,240800
1982-05-03,7.174575,7.204100,7.115525,7.204100,2.729289,66400
1982-05-04,7.145050,7.204100,7.086000,7.204100,2.729289,142600
1982-05-05,7.145050,7.204100,7.086000,7.115525,2.695732,200600
