Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,15.750000,16.125000,15.625000,15.625000,6.140039,1648000
1980-01-03,15.625000,15.875000,15.312500,15.875000,6.238277,2441200
1980-01-04,15.875000,15.937500,15.750000,15.843750,6.225999,1891200
1980-01-07,15.843750,15.843750,15.656250,15.781250,6.201437,1415600
1980-01-08,15.781250,16.875000,15.656250,16.843750,6.618962,2837600
1980-01-09,16.843750,17.000000,16.343750,16.343750,6.422481,3232000
1980-01-10,16.500000,16.937500,16.500000,16.875000,6.631241,2121600
1980-01-11,16.875000,17.062500,16.406250,16.750000,6.582120,2180000
1980-01-14,16.750000,16.812500,16.562500,16.718750,6.569841,1590800
1980-01-15,16.718750,17.562500,16.625000,17.531250,6.889120,3750000
1980-01-16,17.531250,17.718750,17.437500,17.500000,6.876842,6008000
1980-01-17,17.500000,17.593750,17.312500,17.312500,6.803164,2452000
1980-01-18,17.312500,17.437500,17.156250,17.406250,6.840005,2612400
1980-01-21,17.406250,17.468750,17.250000,17.250000,6.778600,1488800
1980-01-22,17.250000,17.468750,17.250000,17.250000,6.778600,1688400
1980-01-23,17.250000,17.812500,17.250000,17.812500,6.999641,2120800
1980-01-24,17.812500,17.875000,17.531250,17.656250,6.938244,2190400
1980-01-25,17.656250,17.687500,17.468750,17.531250,6.889120,1343600
1980-01-28,17.531250,18.000000,17.531250,17.750000,6.975084,1456000
1980-01-29,17.750000,17.843750,17.343750,17.593750,6.913687,1430800
1980-01-30,17.593750,17.656250,17.406250,17.593750,6.913687,1388400
1980-01-31,17.593750,17.781250,17.062500,17.156250,6.741761,2344000
1980-02-01,17.156250,17.375000,17.093750,17.343750,6.815439,1446800
1980-02-04,17.343750,17.406250,17.156250,17.281250,6.790881,1152800
1980-02-05,17.281250,17.406250,17.187500,17.406250,6.840005,1525600
1980-02-06,17.250000,17.250000,16.937500,17.093750,6.801211,2039200
1980-02-07,17.062500,17.062500,16.781250,16.781250,6.676867,2051200
1980-02-08,16.781250,16.906250,16.562500,16.812500,6.689304,2515600
1980-02-11,16.812500,16.875000,16.625000,16.687500,6.639570,1590000
1980-02-12,16.687500,17.218750,16.593750,17.218750,6.850944,1548400
1980-02-13,17.312500,17.625000,17.312500,17.343750,6.900678,3228000
1980-02-14,17.343750,17.562500,17.031250,17.031250,6.776338,1920000
1980-02-15,17.000000,17.000000,16.781250,16.906250,6.726604,2331200
1980-02-19,16.906250,16.937500,16.593750,16.750000,6.664438,1796000
1980-02-20,16.781250,16.937500,16.781250,16.812500,6.689304,1064000
1980-02-21,16.781250,16.781250,16.468750,16.562500,6.589837,1436000
1980-02-22,16.562500,16.562500,16.375000,16.500000,6.564968,1826800
1980-02-25,16.468750,16.468750,16.218750,16.281250,6.477934,2173200
1980-02-26,16.281250,16.343750,16.156250,16.250000,6.465503,2112000
1980-02-27,16.250000,16.281250,15.500000,15.500000,6.167092,2754800
1980-02-28,15.531250,16.000000,15.531250,15.843750,6.303863,2758800
1980-02-29,15.843750,15.937500,15.750000,15.875000,6.316299,2609200
1980-03-03,15.875000,15.875000,15.656250,15.687500,6.241690,1362000
1980-03-04,15.687500,15.843750,15.562500,15.812500,6.291426,1790800
1980-03-05,15.781250,15.781250,15.437500,15.500000,6.167092,1833600
1980-03-06,15.500000,15.562500,15.156250,15.281250,6.080053,2749600
1980-03-07,15.281250,15.468750,15.218750,15.250000,6.067622,2501200
1980-03-10,15.281250,15.562500,15.281250,15.406250,6.129791,1965200
1980-03-11,15.406250,15.562500,15.375000,15.562500,6.191960,2009200
1980-03-12,15.531250,15.531250,15.218750,15.343750,6.104922,1982400
1980-03-13,15.312500,15.312500,14.968750,15.031250,5.980589,2244000
1980-03-14,15.031250,15.187500,14.906250,14.968750,5.955719,1943600
1980-03-17,14.968750,15.093750,14.781250,14.781250,5.881117,1658800
1980-03-18,14.781250,15.062500,14.656250,14.906250,5.930852,1974400
1980-03-19,14.906250,14.937500,14.687500,14.718750,5.856249,1474000
1980-03-20,14.718750,14.812500,14.500000,14.562500,5.794084,1917200
1980-03-21,14.531250,14.531250,14.062500,14.187500,5.644880,5920000
1980-03-24,14.093750,14.093750,13.500000,13.531250,5.383773,2879200
1980-03-25,13.531250,13.781250,13.500000,13.687500,5.445941,3000800
1980-03-26,13.687500,13.968750,13.125000,13.250000,5.271869,3122400
1980-03-27,13.250000,14.375000,12.843750,14.375000,5.719479,3421200
1980-03-28,14.093750,14.093750,13.531250,13.968750,5.557843,2313600
1980-03-31,13.968750,13.968750,13.656250,13.937500,5.545407,1556000
1980-04-01,13.937500,13.937500,13.625000,13.718750,5.458375,2158000
1980-04-02,13.718750,14.000000,13.656250,13.875000,5.520544,14942000
1980-04-03,13.875000,13.968750,13.656250,13.718750,5.458375,1355200
1980-04-07,13.718750,13.718750,13.343750,13.343750,5.309170,2193200
1980-04-08,13.343750,13.937500,13.250000,13.375000,5.321604,2088000
1980-04-09,13.375000,13.687500,13.343750,13.656250,5.433506,2051600
1980-04-10,13.656250,13.812500,13.500000,13.562500,5.396206,2019600
1980-04-11,13.562500,13.750000,13.375000,13.375000,5.321604,2606800
1980-04-14,13.375000,13.437500,13.187500,13.250000,5.271869,1336400
1980-04-15,13.250000,13.375000,12.968750,13.000000,5.172400,2319600
1980-04-16,13.000000,13.218750,12.750000,12.781250,5.085365,2689200
1980-04-17,12.781250,12.906250,12.593750,12.812500,5.097799,1804000
1980-04-18,12.812500,12.937500,12.718750,12.812500,5.097799,1647600
1980-04-21,12.812500,12.906250,12.625000,12.812500,5.097799,2655200
1980-04-22,13.000000,13.625000,13.000000,13.468750,5.358905,3287200
1980-04-23,13.468750,13.593750,13.312500,13.375000,5.321604,3045600
1980-04-24,13.375000,13.562500,13.312500,13.437500,5.346472,1488000
1980-04-25,13.437500,13.843750,13.218750,13.843750,5.508109,1631200
1980-04-28,13.843750,13.843750,13.593750,13.625000,5.421072,1856000
1980-04-29,13.625000,13.781250,13.531250,13.718750,5.458375,1195600
1980-04-30,13.718750,13.781250,13.406250,13.718750,5.458375,1403200
1980-05-01,13.718750,13.718750,13.437500,13.593750,5.408638,1167600
1980-05-02,13.593750,13.593750,13.468750,13.500000,5.371337,975200
1980-05-05,13.500000,13.937500,13.437500,13.843750,5.508109,1379200
1980-05-06,13.843750,13.937500,13.687500,13.718750,5.458375,1418400
1980-05-07,13.718750,13.937500,13.687500,13.781250,5.483242,1659200
1980-05-08,13.593750,13.593750,13.375000,13.468750,5.443835,1553200
1980-05-09,13.437500,13.437500,13.000000,13.031250,5.267004,4180000
1980-05-12,13.031250,13.250000,13.031250,13.062500,5.279634,1241600
1980-05-13,13.093750,13.312500,13.093750,13.312500,5.380681,1758800
1980-05-14,13.312500,13.375000,13.250000,13.250000,5.355420,1717200
1980-05-15,13.250000,13.312500,13.125000,13.125000,5.304896,1702000
1980-05-16,13.125000,13.250000,13.125000,13.250000,5.355420,1220000
1980-05-19,13.250000,13.437500,13.218750,13.343750,5.393312,1998800
1980-05-20,13.343750,13.375000,13.156250,13.187500,5.330156,2470800
1980-05-21,13.187500,13.218750,13.031250,13.218750,5.342790,1300400
1980-05-22,13.218750,13.531250,13.187500,13.437500,5.431205,2283200
1980-05-23,13.468750,13.750000,13.468750,13.687500,5.532249,3206000
1980-05-27,13.718750,13.906250,13.718750,13.812500,5.582774,2623200
1980-05-28,13.812500,14.156250,13.781250,14.093750,5.696449,2527200
1980-05-29,14.031250,14.031250,13.593750,13.593750,5.494356,1849200
1980-05-30,13.593750,13.875000,13.531250,13.843750,5.595403,1763200
1980-06-02,13.843750,14.343750,13.812500,14.000000,5.658556,2727600
1980-06-03,14.000000,14.281250,14.000000,14.093750,5.696449,2618400
1980-06-04,14.125000,14.531250,14.125000,14.531250,5.873275,3623600
1980-06-05,14.531250,14.593750,14.218750,14.250000,5.759598,2614800
1980-06-06,14.281250,14.468750,14.281250,14.281250,5.772230,1293600
1980-06-09,14.281250,14.375000,14.156250,14.187500,5.734338,1271600
1980-06-10,14.187500,14.437500,14.156250,14.375000,5.810123,1480000
1980-06-11,14.375000,14.593750,14.312500,14.500000,5.860646,2044800
1980-06-12,14.500000,14.593750,14.312500,14.500000,5.860646,2094400
1980-06-13,14.500000,14.781250,14.468750,14.718750,5.949063,1805200
1980-06-16,14.718750,15.093750,14.687500,15.093750,6.100628,3239600
1980-06-17,15.093750,15.093750,14.718750,14.718750,5.949063,2148400
1980-06-18,14.718750,14.937500,14.718750,14.906250,6.024849,1978000
1980-06-19,14.906250,14.937500,14.406250,14.468750,5.848013,1340800
1980-06-20,14.468750,14.593750,14.437500,14.468750,5.848013,1177200
1980-06-23,14.468750,14.812500,14.468750,14.718750,5.949063,2190000
1980-06-24,14.718750,14.843750,14.625000,14.843750,5.999584,1778800
1980-06-25,14.843750,15.062500,14.750000,14.937500,6.037477,2288400
1980-06-26,14.937500,15.062500,14.781250,14.812500,5.986954,1948800
1980-06-27,14.812500,15.000000,14.687500,14.937500,6.037477,1364400
1980-06-30,14.875000,14.875000,14.593750,14.687500,5.936432,1212400
1980-07-01,14.687500,14.906250,14.593750,14.875000,6.012216,1628000
1980-07-02,14.875000,15.250000,14.843750,15.156250,6.125891,2556400
1980-07-03,15.156250,15.375000,15.156250,15.281250,6.176413,1863200
1980-07-07,15.281250,15.562500,15.250000,15.500000,6.264828,2354000
1980-07-08,15.500000,15.562500,15.312500,15.437500,6.239568,2012000
1980-07-09,15.437500,15.718750,15.312500,15.375000,6.214310,1911200
1980-07-10,15.375000,15.593750,15.312500,15.406250,6.226941,1407600
1980-07-11,15.406250,15.718750,15.406250,15.687500,6.340612,1725200
1980-07-14,15.687500,16.250000,15.687500,16.250000,6.567969,2019200
1980-07-15,16.250000,16.312500,15.937500,15.937500,6.441658,2213200
1980-07-16,15.937500,16.156250,15.906250,16.062500,6.492182,2113200
1980-07-17,16.062500,16.406250,16.000000,16.406250,6.631123,1220000
1980-07-18,16.406250,16.437500,16.218750,16.281250,6.580603,1752400
1980-07-21,16.281250,16.500000,16.062500,16.500000,6.669010,1748800
1980-07-22,16.500000,16.531250,16.187500,16.281250,6.580603,2212000
1980-07-23,16.281250,16.343750,16.093750,16.218750,6.555338,1796000
1980-07-24,16.218750,16.250000,16.062500,16.187500,6.542709,1589600
1980-07-25,16.156250,16.156250,15.968750,16.093750,6.504815,1503200
1980-07-28,16.093750,16.312500,16.000000,16.250000,6.567969,1083200
1980-07-29,16.250000,16.375000,16.093750,16.281250,6.580603,1642400
1980-07-30,16.281250,16.500000,16.281250,16.375000,6.618487,2222800
1980-07-31,16.343750,16.343750,16.093750,16.312500,6.593229,2576400
1980-08-01,16.312500,16.343750,16.093750,16.281250,6.580603,1802800
1980-08-04,16.250000,16.250000,16.125000,16.187500,6.542709,1494400
1980-08-05,16.187500,16.343750,16.031250,16.062500,6.492182,1263200
1980-08-06,16.062500,16.406250,16.000000,16.406250,6.631123,1603200
1980-08-07,16.406250,16.437500,16.187500,16.437500,6.731972,2045600
1980-08-08,16.437500,16.562500,16.312500,16.312500,6.680778,2981200
1980-08-11,16.312500,16.687500,16.281250,16.687500,6.834355,1697600
1980-08-12,16.687500,17.000000,16.593750,16.687500,6.834355,2811600
1980-08-13,16.687500,16.875000,16.625000,16.687500,6.834355,1808800
1980-08-14,16.687500,17.281250,16.687500,17.218750,7.051933,1890800
1980-08-15,17.218750,17.281250,17.062500,17.187500,7.039134,2068000
1980-08-18,17.000000,17.000000,16.593750,16.593750,6.795961,2203600
1980-08-19,16.593750,16.750000,16.468750,16.500000,6.757564,1808000
1980-08-20,16.500000,16.968750,16.468750,16.718750,6.847158,1359200
1980-08-21,16.718750,16.937500,16.656250,16.875000,6.911148,1094400
