Date,Open,High,Low,Close,Adj Close,Volume
2005-11-16,7.800000,8.842000,7.712000,7.850000,7.487934,97759000
2005-11-17,8.060000,8.350000,6.800000,7.050000,6.724832,34308500
2005-11-18,7.240000,7.390000,6.912000,7.000000,6.677137,12810000
2005-11-21,7.050000,7.192000,6.964000,7.180000,6.848835,6404000
2005-11-22,7.090000,7.092000,6.860000,6.990000,6.667599,6533000
2005-11-23,6.940000,6.990000,6.310000,6.790000,6.476824,12421000
2005-11-25,6.750000,6.890000,6.730000,6.830000,6.514978,1316000
2005-11-28,6.780000,6.780000,6.510000,6.660000,6.352819,3155000
2005-11-29,6.660000,6.698000,6.254000,6.394000,6.099089,4477500
2005-11-30,6.420000,6.482000,6.320000,6.460000,6.162045,3894500
2005-12-01,6.460000,7.040000,6.430000,7.000000,6.677137,5688500
2005-12-02,7.000000,7.260000,6.980000,7.220000,6.886991,5120000
2005-12-05,7.236000,7.490000,7.236000,7.362000,7.022441,4592500
2005-12-06,7.362000,7.522000,7.290000,7.316000,6.978563,3202500
2005-12-07,7.330000,7.330000,6.900000,7.090000,6.762987,2473000
2005-12-08,7.140000,7.256000,7.110000,7.200000,6.867914,1823500
2005-12-09,7.200000,7.292000,7.156000,7.240000,6.906068,808000
2005-12-12,7.290000,7.300000,7.210000,7.290000,6.953762,953500
2005-12-13,7.288000,7.288000,7.102000,7.118000,6.789696,1843000
2005-12-14,7.100000,7.140000,6.960000,7.000000,6.677137,1422000
2005-12-15,6.990000,6.990000,6.730000,6.800000,6.486362,3273000
2005-12-16,6.770000,6.898000,6.700000,6.838000,6.522609,8170500
2005-12-19,6.800000,6.880000,6.772000,6.874000,6.556949,2242000
2005-12-20,6.924000,7.082000,6.880000,6.988000,6.665691,2423500
2005-12-21,6.980000,7.000000,6.910000,6.958000,6.637075,916500
2005-12-22,6.958000,6.958000,6.860000,6.940000,6.619905,1171000
2005-12-23,6.890000,6.938000,6.812000,6.850000,6.534056,985000
2005-12-27,6.900000,7.090000,6.900000,7.050000,6.724832,1214000
2005-12-28,7.050000,7.090000,7.006000,7.016000,6.692400,581000
2005-12-29,6.980000,7.244000,6.980000,7.228000,6.894622,1076500
2005-12-30,7.250000,7.270000,7.090000,7.270000,6.934684,923500
2006-01-03,7.300000,7.650000,7.200000,7.572000,7.222755,2993000
2006-01-04,7.580000,7.580000,7.272000,7.380000,7.039612,1196500
2006-01-05,7.640000,7.948000,7.640000,7.862000,7.499381,3478500
2006-01-06,7.850000,8.080000,7.820000,8.064000,7.692063,2306500
2006-01-09,8.200000,8.858000,8.180000,8.722000,8.319715,8702000
2006-01-10,8.672000,9.360000,8.672000,9.202000,8.777574,8667500
2006-01-11,9.298000,9.640000,9.070000,9.384000,8.951179,7560000
2006-01-12,9.468000,9.570000,8.652000,8.792000,8.386484,4841500
2006-01-13,8.742000,8.922000,8.600000,8.910000,8.499044,2010500
2006-01-17,9.100000,9.400000,9.000000,9.276000,8.848159,2609500
2006-01-18,9.270000,9.270000,9.000000,9.156000,8.733697,1397500
2006-01-19,9.140000,9.560000,8.800000,9.490000,9.052291,3307000
2006-01-20,9.600000,9.682000,9.248000,9.260000,8.832900,2309500
2006-01-23,9.260000,9.564000,9.226000,9.554000,9.113339,1744500
2006-01-24,9.548000,10.678000,9.382000,10.556000,10.069122,5615000
2006-01-25,10.700000,11.034000,10.030000,10.600000,10.111094,7019000
2006-01-26,10.650000,10.830000,10.442000,10.490000,10.006166,2424000
2006-01-27,10.010000,10.516000,9.712000,10.202000,9.731451,6929000
2006-01-30,10.050000,10.240000,9.660000,9.824000,9.370886,2970000
2006-01-31,9.824000,10.200000,9.214000,10.164000,9.695205,6552500
2006-02-01,10.500000,11.404000,10.380000,11.126000,10.612833,7184500
2006-02-02,11.080000,11.598000,10.612000,11.040000,10.530800,10589500
2006-02-03,11.240000,11.680000,11.062000,11.102000,10.589939,5790500
2006-02-06,11.460000,11.460000,10.944000,11.142000,10.628096,3958000
2006-02-07,11.110000,11.230000,10.282000,10.690000,10.196944,3575000
2006-02-08,10.900000,10.960000,10.520000,10.696000,10.202668,1954000
2006-02-09,10.746000,10.866000,10.556000,10.598000,10.109185,2131500
2006-02-10,10.648000,10.648000,9.792000,10.346000,9.868811,3580500
2006-02-13,10.200000,10.730000,10.200000,10.548000,10.061494,1660500
2006-02-14,10.548000,10.598000,10.342000,10.396000,9.916505,1478000
2006-02-15,10.400000,10.462000,10.316000,10.396000,9.916505,882000
2006-02-16,10.446000,10.470000,10.216000,10.314000,9.838284,848000
2006-02-17,10.350000,10.386000,10.030000,10.272000,9.798223,1626500
2006-02-21,10.274000,10.278000,9.750000,9.928000,9.470093,2389500
2006-02-22,9.828000,9.968000,9.630000,9.846000,9.391870,3314500
2006-02-23,10.040000,10.380000,9.798000,9.980000,9.519691,7781500
2006-02-24,10.360000,11.150000,10.360000,10.900000,10.397256,11018000
2006-02-27,11.000000,11.440000,10.864000,11.370000,10.845578,4822000
2006-02-28,11.320000,11.580000,10.810000,10.950000,10.444952,4038000
2006-03-01,11.000000,11.370000,11.000000,11.352000,10.828409,3081000
2006-03-02,11.320000,11.884000,11.158000,11.872000,11.324428,4253000
2006-03-03,12.100000,12.592000,12.000000,12.120000,11.560987,6878500
2006-03-06,12.300000,12.600000,12.014000,12.262000,11.696438,4600500
2006-03-07,12.262000,12.262000,11.834000,12.000000,11.446523,3193000
2006-03-08,12.200000,12.204000,11.750000,11.838000,11.291994,5132500
2006-03-09,11.888000,12.900000,11.888000,12.798000,12.207716,5446500
2006-03-10,12.798000,13.476000,12.536000,13.428000,12.808659,7088000
2006-03-13,13.650000,14.300000,13.484000,14.256000,13.598470,9415500
2006-03-14,14.300000,14.440000,13.606000,13.724000,13.091006,9242500
2006-03-15,13.750000,14.218000,13.500000,13.858000,13.218826,5496000
2006-03-16,13.860000,14.038000,13.020000,13.358000,12.741887,7085500
2006-03-17,13.358000,13.682000,12.880000,13.620000,12.991800,5977000
2006-03-20,13.810000,14.234000,13.810000,14.234000,13.577481,5575500
2006-03-21,14.340000,14.718000,13.922000,14.050000,13.401972,6876500
2006-03-22,13.706000,13.810000,13.132000,13.598000,12.970818,6843500
2006-03-23,13.550000,13.860000,13.260000,13.410000,12.791488,2925500
2006-03-24,13.200000,13.658000,13.154000,13.440000,12.820105,2114000
2006-03-27,13.570000,14.136000,13.452000,13.970000,13.325658,5238500
2006-03-28,13.970000,14.152000,13.540000,13.720000,13.087190,3080000
2006-03-29,13.720000,13.940000,13.502000,13.550000,12.925031,1981000
2006-03-30,13.900000,14.362000,13.854000,14.264000,13.606099,5514000
2006-03-31,14.350000,14.628000,13.464000,13.810000,13.173039,9687000
2006-04-03,13.990000,14.020000,12.432000,12.620000,12.037926,10266000
2006-04-04,12.810000,13.244000,12.124000,13.000000,12.400399,9966500
2006-04-05,13.150000,13.176000,12.382000,12.566000,11.986416,9132500
2006-04-06,12.566000,12.890000,11.746000,11.960000,11.408365,12852000
2006-04-07,11.600000,11.600000,10.470000,10.600000,10.111094,24447000
2006-04-10,10.650000,10.980000,10.522000,10.912000,10.408705,7960000
2006-04-11,10.970000,11.350000,10.932000,11.322000,10.799794,9023500
2006-04-12,11.372000,11.574000,10.910000,11.528000,10.996294,7027000
2006-04-13,11.528000,11.838000,11.320000,11.750000,11.208052,4786000
2006-04-17,11.850000,11.990000,11.504000,11.574000,11.040172,4060000
2006-04-18,11.800000,13.280000,11.784000,13.232000,12.621698,13185500
2006-04-19,13.252000,13.914000,12.882000,13.856000,13.216919,11672500
2006-04-20,13.906000,14.080000,13.456000,14.000000,13.354275,8156500
2006-04-21,14.000000,14.100000,13.680000,13.800000,13.163499,4925500
2006-04-24,13.620000,13.680000,13.350000,13.450000,12.829645,6188500
2006-04-25,13.300000,13.962000,13.272000,13.962000,13.318027,5205000
2006-04-26,13.950000,14.096000,13.724000,14.062000,13.413416,4119000
2006-04-27,13.962000,14.550000,13.656000,14.320000,13.659515,4162500
2006-04-28,14.200000,14.466000,14.124000,14.262000,13.604192,4768000
2006-05-01,14.264000,14.264000,13.160000,13.392000,12.774319,7722000
2006-05-02,13.892000,13.900000,13.110000,13.540000,12.915495,7205500
2006-05-03,13.500000,14.140000,13.460000,14.028000,13.380984,3033500
2006-05-04,13.976000,14.038000,13.796000,13.802000,13.165408,3575000
2006-05-05,13.804000,15.000000,13.700000,14.842000,14.157442,8049000
2006-05-08,14.898000,15.906000,14.610000,15.770000,15.042637,9139000
2006-05-09,15.610000,16.112000,15.400000,15.442000,14.729768,6700500
2006-05-10,15.402000,15.916000,15.150000,15.562000,14.844231,3869500
2006-05-11,15.800000,16.480000,15.422000,15.834000,15.103686,6002500
2006-05-12,15.876000,15.876000,15.020000,15.116000,14.418800,4223000
2006-05-15,14.990000,15.560000,14.822000,15.282000,14.577147,5013000
2006-05-16,15.290000,15.444000,14.866000,15.156000,14.456957,2744000
2006-05-17,15.000000,15.010000,13.840000,14.000000,13.354275,8265500
2006-05-18,14.048000,14.430000,13.346000,13.588000,12.961280,7894500
2006-05-19,13.788000,14.170000,13.384000,14.004000,13.358091,6728500
2006-05-22,13.588000,13.588000,11.452000,11.926000,11.375935,24043000
2006-05-23,12.126000,12.380000,11.786000,11.788000,11.244303,11621500
2006-05-24,11.822000,11.884000,10.636000,10.862000,10.361012,12526000
2006-05-25,10.998000,11.280000,10.480000,11.200000,10.683420,10506000
2006-05-26,11.418000,11.548000,11.140000,11.488000,10.958138,6745000
2006-05-30,11.408000,11.408000,10.576000,10.628000,10.137805,6343500
2006-05-31,10.722000,11.158000,10.700000,11.140000,10.626191,8712500
