Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.875399,2.961928,2.875399,2.875399,1.221609,687300
1980-03-18,2.875399,2.928648,2.875399,2.915335,1.238575,1104200
1980-03-19,2.915335,2.928648,2.888711,2.888711,1.227264,1367100
1980-03-20,2.875399,2.875399,2.822151,2.822151,1.198986,484500
1980-03-21,2.815495,2.815495,2.762247,2.762247,1.173536,489700
1980-03-24,2.755591,2.755591,2.662407,2.662407,1.131119,463400
1980-03-25,2.649095,2.649095,2.609159,2.622471,1.114153,529500
1980-03-26,2.635783,2.662407,2.635783,2.642439,1.122636,170500
1980-03-27,2.642439,2.649095,2.555911,2.582535,1.097186,452200
1980-03-28,2.609159,2.768903,2.609159,2.768903,1.176363,1019300
1980-03-31,2.768903,2.768903,2.728967,2.762247,1.173536,643700
1980-04-01,2.762247,2.762247,2.662407,2.662407,1.131119,1398700
1980-04-02,2.689031,2.715655,2.689031,2.708999,1.150913,244100
1980-04-03,2.708999,2.715655,2.669063,2.669063,1.133946,117900
1980-04-07,2.669063,2.675719,2.642439,2.649095,1.125464,1342300
1980-04-08,2.649095,2.695687,2.649095,2.662407,1.131119,232800
1980-04-09,2.662407,2.669063,2.649095,2.649095,1.125464,512300
1980-04-10,2.649095,2.662407,2.635783,2.642439,1.122636,268100
1980-04-11,2.642439,2.655751,2.609159,2.609159,1.108497,634700
1980-04-14,2.609159,2.622471,2.602503,2.609159,1.108497,97600
1980-04-15,2.622471,2.629127,2.622471,2.622471,1.114153,305700
1980-04-16,2.622471,2.662407,2.609159,2.622471,1.114153,845100
1980-04-17,2.622471,2.635783,2.595847,2.622471,1.114153,255400
1980-04-18,2.622471,2.635783,2.615815,2.615815,1.111324,692600
1980-04-21,2.615815,2.629127,2.582535,2.589191,1.100013,129200
1980-04-22,2.589191,2.622471,2.562567,2.562567,1.088702,815000
1980-04-23,2.562567,2.575879,2.542598,2.542598,1.080219,842800
1980-04-24,2.542598,2.582535,2.529286,2.575879,1.094358,307900
1980-04-25,2.562567,2.562567,2.535943,2.535943,1.077391,200500
1980-04-28,2.535943,2.562567,2.522630,2.522630,1.071734,564900
1980-04-29,2.522630,2.535943,2.509318,2.509318,1.066079,125400
1980-04-30,2.509318,2.522630,2.496006,2.502662,1.063252,285400
1980-05-01,2.509318,2.555911,2.509318,2.555911,1.085875,446900
1980-05-02,2.549254,2.549254,2.529286,2.535943,1.077391,383100
1980-05-05,2.522630,2.522630,2.489350,2.489350,1.057597,135200
1980-05-06,2.496006,2.522630,2.496006,2.502662,1.063252,317000
1980-05-07,2.502662,2.569223,2.496006,2.569223,1.091530,788700
1980-05-08,2.569223,2.615815,2.562567,2.562567,1.088702,1785600
1980-05-09,2.555911,2.555911,2.509318,2.515975,1.068908,503300
1980-05-12,2.476038,2.476038,2.442758,2.469382,1.049113,484500
1980-05-13,2.469382,2.502662,2.469382,2.502662,1.063252,217800
1980-05-14,2.515975,2.555911,2.515975,2.535943,1.077391,315500
1980-05-15,2.535943,2.595847,2.535943,2.582535,1.097186,219300
1980-05-16,2.582535,2.595847,2.569223,2.589191,1.100013,317000
1980-05-19,2.589191,2.622471,2.582535,2.602503,1.105669,405600
1980-05-20,2.595847,2.595847,2.569223,2.569223,1.091530,123900
1980-05-21,2.575879,2.609159,2.575879,2.595847,1.102841,330500
1980-05-22,2.595847,2.728967,2.595847,2.728967,1.159397,835300
1980-05-23,2.742279,2.921992,2.742279,2.882055,1.224437,970500
1980-05-27,2.828807,2.828807,2.782215,2.782215,1.182019,459700
1980-05-28,2.782215,2.795527,2.755591,2.768903,1.176363,390600
1980-05-29,2.795527,2.842119,2.795527,2.802183,1.190503,304200
1980-05-30,2.802183,2.862087,2.782215,2.848775,1.210297,221600
1980-06-02,2.842119,2.842119,2.768903,2.808839,1.193330,718800
1980-06-03,2.808839,2.808839,2.755591,2.768903,1.176363,880400
1980-06-04,2.768903,2.788871,2.768903,2.775559,1.179191,91600
1980-06-05,2.782215,2.815495,2.782215,2.795527,1.187675,199000
1980-06-06,2.802183,2.828807,2.802183,2.802183,1.190503,82600
1980-06-09,2.802183,2.815495,2.782215,2.782215,1.182019,180200
1980-06-10,2.802183,2.842119,2.802183,2.828807,1.201814,215500
1980-06-11,2.848775,2.888711,2.848775,2.868743,1.218781,497200
1980-06-12,2.868743,2.895367,2.862087,2.875399,1.221609,323000
1980-06-13,2.875399,2.902023,2.862087,2.862087,1.215953,120100
1980-06-16,2.862087,2.868743,2.848775,2.848775,1.210297,112600
1980-06-17,2.848775,2.868743,2.848775,2.868743,1.218781,116400
1980-06-18,2.862087,2.862087,2.788871,2.822151,1.198986,358300
1980-06-19,2.848775,2.895367,2.848775,2.848775,1.210297,916400
1980-06-20,2.848775,2.855431,2.842119,2.842119,1.207469,97600
1980-06-23,2.842119,2.848775,2.828807,2.828807,1.201814,151700
1980-06-24,2.842119,2.902023,2.842119,2.902023,1.232919,195300
1980-06-25,2.902023,3.001864,2.902023,2.975240,1.264026,349300
1980-06-26,2.975240,3.101704,2.975240,3.075080,1.306442,478500
1980-06-27,3.075080,3.095048,3.061768,3.088392,1.312098,585900
1980-06-30,3.088392,3.101704,3.055112,3.061768,1.300786,463400
1980-07-01,3.061768,3.061768,3.035144,3.055112,1.297959,262900
1980-07-02,3.055112,3.055112,3.041800,3.048456,1.295131,120100
1980-07-03,3.048456,3.048456,3.008520,3.028488,1.286649,756400
1980-07-07,3.028488,3.041800,3.008520,3.021832,1.283821,1030600
1980-07-08,3.008520,3.008520,2.995208,3.008520,1.278165,286900
