Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,5.018518,5.129630,5.018518,5.037037,1.308982,62400
1980-03-18,5.037037,5.111111,5.037037,5.074074,1.318607,63900
1980-03-19,5.111111,5.166667,5.111111,5.148148,1.337857,40500
1980-03-20,5.148148,5.148148,5.092593,5.111111,1.328231,18900
1980-03-21,5.111111,5.222222,5.111111,5.222222,1.357107,97200
1980-03-24,5.185185,5.185185,5.092593,5.092593,1.323419,90300
1980-03-25,5.092593,5.111111,5.055555,5.074074,1.318607,72000
1980-03-26,5.074074,5.148148,5.037037,5.111111,1.328231,31500
1980-03-27,5.092593,5.092593,4.925926,5.074074,1.318607,62100
1980-03-28,5.074074,5.074074,4.925926,5.018518,1.304170,84000
1980-03-31,5.074074,5.185185,5.074074,5.166667,1.342669,55200
1980-04-01,5.166667,5.259259,5.074074,5.111111,1.328231,126000
1980-04-02,5.148148,5.296296,5.148148,5.296296,1.376356,58500
1980-04-03,5.407407,5.555555,5.407407,5.500000,1.429294,310800
1980-04-07,5.500000,5.629630,5.481482,5.537037,1.438918,115200
1980-04-08,5.500000,5.500000,5.444445,5.444445,1.414856,217800
1980-04-09,5.407407,5.407407,5.259259,5.370370,1.395606,181200
1980-04-10,5.370370,5.518518,5.370370,5.481482,1.424480,191700
1980-04-11,5.481482,5.592593,5.462963,5.481482,1.424480,111900
1980-04-14,5.481482,5.481482,5.425926,5.462963,1.419668,18900
1980-04-15,5.425926,5.425926,5.333333,5.333333,1.385981,63300
1980-04-16,5.370370,5.425926,5.370370,5.425926,1.410044,30000
1980-04-17,5.388889,5.388889,5.314815,5.333333,1.385981,43500
1980-04-18,5.333333,5.388889,5.296296,5.296296,1.376356,27300
1980-04-21,5.277778,5.277778,5.111111,5.166667,1.342669,83700
1980-04-22,5.166667,5.333333,5.111111,5.333333,1.385981,122700
1980-04-23,5.333333,5.333333,5.203704,5.333333,1.385981,132300
1980-04-24,5.333333,5.333333,5.222222,5.296296,1.376356,209100
1980-04-25,5.277778,5.277778,5.203704,5.222222,1.357107,21600
1980-04-28,5.277778,5.370370,5.277778,5.333333,1.385981,141600
1980-04-29,5.333333,5.370370,5.314815,5.351852,1.390793,45000
1980-04-30,5.351852,5.425926,5.296296,5.407407,1.405231,84900
1980-05-01,5.425926,5.537037,5.425926,5.500000,1.429294,48600
1980-05-02,5.500000,5.592593,5.462963,5.555555,1.443730,49800
1980-05-05,5.629630,5.851852,5.629630,5.851852,1.520730,621300
1980-05-06,5.851852,5.962963,5.759259,5.759259,1.496667,143400
1980-05-07,5.759259,5.925926,5.759259,5.851852,1.520730,483600
1980-05-08,5.851852,5.907407,5.796296,5.833333,1.515916,36300
1980-05-09,5.796296,5.796296,5.722222,5.796296,1.506292,24600
1980-05-12,5.796296,5.796296,5.648148,5.777778,1.501480,27000
1980-05-13,5.777778,5.833333,5.722222,5.759259,1.496667,40500
1980-05-14,5.777778,5.851852,5.777778,5.777778,1.501480,61200
1980-05-15,5.777778,5.814815,5.722222,5.759259,1.496667,36900
1980-05-16,5.759259,5.759259,5.703704,5.740741,1.491854,11100
1980-05-19,5.740741,5.925926,5.740741,5.870370,1.525542,51300
1980-05-20,5.870370,5.870370,5.759259,5.759259,1.496667,85500
1980-05-21,5.759259,5.777778,5.685185,5.722222,1.487043,40500
1980-05-22,5.722222,5.814815,5.666667,5.777778,1.501480,143400
1980-05-23,5.796296,5.888889,5.796296,5.851852,1.520730,113400
1980-05-27,5.851852,5.851852,5.796296,5.796296,1.506292,57000
1980-05-28,5.814815,5.888889,5.814815,5.888889,1.530354,135000
1980-05-29,5.888889,5.907407,5.722222,5.814815,1.511104,108300
1980-05-30,5.796296,5.796296,5.685185,5.796296,1.506292,80100
1980-06-02,5.796296,5.870370,5.722222,5.759259,1.496667,107100
1980-06-03,5.759259,5.814815,5.740741,5.796296,1.506292,101100
1980-06-04,5.796296,5.944445,5.777778,5.944445,1.544791,143100
1980-06-05,5.944445,6.000000,5.925926,5.925926,1.539979,95700
1980-06-06,5.925926,6.222222,5.907407,6.222222,1.616978,205500
1980-06-09,6.055555,6.055555,5.888889,5.925926,1.539979,150300
1980-06-10,5.925926,6.037037,5.870370,6.018518,1.564041,110700
1980-06-11,6.018518,6.259259,5.962963,6.129630,1.592915,140400
1980-06-12,6.111111,6.111111,5.962963,6.111111,1.588103,178200
1980-06-13,6.111111,6.370370,6.111111,6.370370,1.655478,196200
1980-06-16,6.296296,6.296296,6.111111,6.148148,1.597728,298200
1980-06-17,6.148148,6.148148,6.074074,6.148148,1.597728,344100
1980-06-18,6.148148,6.148148,5.981482,6.018518,1.564041,129600
1980-06-19,5.981482,5.981482,5.759259,5.814815,1.511104,82800
1980-06-20,5.814815,5.851852,5.740741,5.777778,1.501480,207000
1980-06-23,5.777778,5.870370,5.685185,5.759259,1.496667,557400
1980-06-24,5.777778,5.925926,5.777778,5.925926,1.539979,174000
1980-06-25,5.925926,5.962963,5.870370,5.944445,1.544791,294300
1980-06-26,5.944445,5.962963,5.907407,5.925926,1.539979,791400
1980-06-27,5.925926,5.962963,5.907407,5.944445,1.544791,104400
1980-06-30,5.944445,5.962963,5.814815,5.925926,1.539979,84900
1980-07-01,5.925926,5.944445,5.870370,5.925926,1.539979,89100
1980-07-02,5.925926,5.944445,5.888889,5.944445,1.544791,89100
1980-07-03,5.944445,5.962963,5.925926,5.962963,1.549604,549900
1980-07-07,5.962963,6.000000,5.925926,5.962963,1.549604,144300
1980-07-08,5.962963,6.000000,5.907407,5.962963,1.549604,148500
1980-07-09,5.962963,6.055555,5.944445,5.944445,1.544791,89100
1980-07-10,5.944445,6.055555,5.925926,6.000000,1.559229,39000
1980-07-11,6.000000,6.055555,6.000000,6.018518,1.564041,33600
1980-07-14,6.018518,6.222222,6.000000,6.222222,1.616978,90300
1980-07-15,6.222222,6.240741,6.129630,6.148148,1.597728,289200
1980-07-16,6.148148,6.240741,6.074074,6.240741,1.621791,103800
1980-07-17,6.240741,6.277778,6.222222,6.277778,1.631416,58500
1980-07-18,6.277778,6.333333,6.259259,6.333333,1.645853,127200
1980-07-21,6.333333,6.648148,6.314815,6.648148,1.727664,816600
1980-07-22,6.648148,6.648148,6.407407,6.407407,1.665102,253800
1980-07-23,6.370370,6.370370,6.222222,6.240741,1.621791,111900
1980-07-24,6.259259,6.296296,6.259259,6.277778,1.631416,43500
1980-07-25,6.277778,6.277778,6.166667,6.203704,1.612165,182700
1980-07-28,6.203704,6.222222,6.148148,6.148148,1.597728,28800
1980-07-29,6.148148,6.203704,6.148148,6.185185,1.607353,81300
1980-07-30,6.185185,6.203704,6.148148,6.203704,1.612165,52500
1980-07-31,6.203704,6.203704,6.148148,6.203704,1.612165,125400
1980-08-01,6.203704,6.222222,6.148148,6.148148,1.597728,72900
1980-08-04,6.129630,6.129630,6.018518,6.092593,1.583291,100200
1980-08-05,6.092593,6.111111,6.018518,6.018518,1.564041,17400
1980-08-06,6.018518,6.074074,6.018518,6.055555,1.573666,41700
1980-08-07,6.055555,6.166667,6.037037,6.148148,1.597728,136800
1980-08-08,6.148148,6.222222,6.111111,6.111111,1.588103,126000
1980-08-11,6.074074,6.074074,6.018518,6.074074,1.578478,63300
1980-08-12,6.074074,6.166667,6.074074,6.092593,1.583291,84900
1980-08-13,6.092593,6.092593,6.037037,6.055555,1.573666,73200
1980-08-14,6.055555,6.074074,5.981482,6.074074,1.578478,127200
1980-08-15,6.111111,6.222222,6.111111,6.222222,1.616978,167400
1980-08-18,6.222222,6.222222,6.111111,6.148148,1.597728,148800
1980-08-19,6.129630,6.129630,6.055555,6.129630,1.592915,70200
1980-08-20,6.111111,6.111111,6.055555,6.111111,1.588103,16500
1980-08-21,6.111111,6.148148,6.055555,6.129630,1.592915,64800
1980-08-22,6.129630,6.148148,6.111111,6.148148,1.597728,45900
1980-08-25,6.148148,6.203704,6.129630,6.148148,1.597728,24300
1980-08-26,6.148148,6.259259,6.148148,6.222222,1.616978,50400
1980-08-27,6.166667,6.166667,6.092593,6.092593,1.583291,96300
1980-08-28,6.092593,6.148148,6.037037,6.037037,1.568853,113700
1980-08-29,6.037037,6.148148,6.000000,6.074074,1.578478,20700
1980-09-02,6.074074,6.185185,6.074074,6.166667,1.602541,28800
1980-09-03,6.222222,6.388889,6.222222,6.388889,1.660290,125400
1980-09-04,6.388889,6.388889,6.314815,6.314815,1.641040,45900
1980-09-05,6.314815,6.333333,6.277778,6.277778,1.631416,84000
1980-09-08,6.277778,6.333333,6.277778,6.314815,1.641040,63300
1980-09-09,6.240741,6.240741,6.166667,6.166667,1.602541,95700
1980-09-10,6.185185,6.296296,6.185185,6.222222,1.616978,151200
