Date,Open,High,Low,Close,Adj Close,Volume
1980-10-08,1.156250,1.177083,1.156250,1.156250,0.696692,2889600
1980-10-09,1.166667,1.177083,1.166667,1.166667,0.702969,1176000
1980-10-10,1.270833,1.302083,1.270833,1.270833,0.765733,1824000
1980-10-13,1.364583,1.385417,1.364583,1.364583,0.822222,679200
1980-10-14,1.302083,1.302083,1.281250,1.281250,0.772010,640800
1980-10-15,1.322917,1.354167,1.322917,1.322917,0.797116,408000
1980-10-16,1.312500,1.312500,1.291667,1.291667,0.778287,554400
1980-10-17,1.302083,1.322917,1.302083,1.302083,0.784563,456000
1980-10-20,1.343750,1.364583,1.343750,1.343750,0.809669,213600
1980-10-21,1.302083,1.302083,1.281250,1.281250,0.772010,405600
1980-10-22,1.302083,1.322917,1.302083,1.302083,0.784563,141600
1980-10-23,1.302083,1.312500,1.281250,1.281250,0.772010,180000
1980-10-24,1.312500,1.343750,1.312500,1.312500,0.790839,115200
1980-10-27,1.312500,1.322917,1.291667,1.291667,0.778287,136800
1980-10-28,1.291667,1.291667,1.270833,1.270833,0.765733,168000
1980-10-29,1.281250,1.302083,1.281250,1.281250,0.772010,144000
1980-10-30,1.250000,1.250000,1.229167,1.229167,0.740627,163200
1980-10-31,1.239583,1.270833,1.239583,1.239583,0.746904,124800
1980-11-03,1.250000,1.281250,1.250000,1.250000,0.753181,74400
1980-11-05,1.260417,1.291667,1.260417,1.260417,0.759457,105600
1980-11-06,1.239583,1.239583,1.208333,1.208333,0.728074,72000
1980-11-07,1.208333,1.208333,1.177083,1.177083,0.709245,139200
1980-11-10,1.229167,1.260417,1.229167,1.229167,0.740627,105600
1980-11-11,1.333333,1.343750,1.333333,1.333333,0.803393,134400
1980-11-12,1.385417,1.427083,1.385417,1.385417,0.834775,84000
1980-11-13,1.395833,1.427083,1.395833,1.395833,0.841052,88800
1980-11-14,1.437500,1.468750,1.437500,1.437500,0.866158,172800
1980-11-17,1.520833,1.552083,1.520833,1.520833,0.916370,112800
1980-11-18,1.562500,1.593750,1.562500,1.562500,0.941476,206400
1980-11-19,1.572917,1.593750,1.572917,1.572917,0.947752,55200
1980-11-20,1.531250,1.531250,1.500000,1.500000,0.903817,132000
1980-11-21,1.500000,1.531250,1.500000,1.500000,0.903817,64800
1980-11-24,1.500000,1.531250,1.489583,1.489583,0.897540,57600
1980-11-25,1.604167,1.635417,1.604167,1.604167,0.966582,50400
1980-11-26,1.604167,1.625000,1.593750,1.593750,0.960305,50400
1980-11-28,1.593750,1.625000,1.593750,1.593750,0.960305,64800
1980-12-01,1.583333,1.583333,1.562500,1.562500,0.941476,88800
1980-12-02,1.562500,1.583333,1.552083,1.552083,0.935199,67200
1980-12-03,1.552083,1.583333,1.552083,1.552083,0.935199,93600
1980-12-04,1.552083,1.583333,1.552083,1.552083,0.935199,72000
1980-12-05,1.552083,1.572917,1.531250,1.531250,0.922646,81600
1980-12-08,1.437500,1.437500,1.354167,1.354167,0.815946,105600
1980-12-09,1.354167,1.437500,1.354167,1.354167,0.815946,50400
1980-12-10,1.375000,1.458333,1.375000,1.375000,0.828499,256800
1980-12-11,1.375000,1.437500,1.354167,1.354167,0.815946,120000
1980-12-12,1.354167,1.437500,1.354167,1.354167,0.815946,55200
1980-12-15,1.354167,1.416667,1.343750,1.343750,0.809669,86400
1980-12-16,1.343750,1.427083,1.343750,1.343750,0.809669,36000
1980-12-17,1.343750,1.416667,1.343750,1.343750,0.809669,9600
1980-12-18,1.343750,1.416667,1.343750,1.343750,0.809669,91200
1980-12-19,1.343750,1.416667,1.333333,1.333333,0.803393,26400
1980-12-22,1.333333,1.416667,1.333333,1.333333,0.803393,12000
1980-12-23,1.333333,1.416667,1.333333,1.333333,0.803393,1063200
1980-12-24,1.333333,1.416667,1.333333,1.333333,0.803393,57600
1980-12-26,1.333333,1.416667,1.333333,1.333333,0.803393,28800
1980-12-29,1.333333,1.416667,1.333333,1.333333,0.803393,40800
1980-12-30,1.333333,1.416667,1.333333,1.333333,0.803393,40800
1980-12-31,1.333333,1.395833,1.333333,1.333333,0.803393,76800
1981-01-02,1.333333,1.395833,1.333333,1.333333,0.803393,16800
1981-01-05,1.333333,1.395833,1.312500,1.312500,0.790839,86400
1981-01-06,1.333333,1.416667,1.333333,1.333333,0.803393,144000
1981-01-07,1.312500,1.312500,1.229167,1.229167,0.740627,196800
1981-01-08,1.229167,1.281250,1.208333,1.208333,0.728074,55200
1981-01-09,1.208333,1.281250,1.208333,1.208333,0.728074,14400
1981-01-12,1.260417,1.333333,1.260417,1.260417,0.759457,93600
1981-01-13,1.260417,1.312500,1.250000,1.250000,0.753181,40800
1981-01-14,1.250000,1.312500,1.229167,1.229167,0.740627,24000
1981-01-15,1.229167,1.312500,1.229167,1.229167,0.740627,28800
1981-01-16,1.156250,1.156250,1.125000,1.125000,0.677863,86400
1981-01-19,1.229167,1.270833,1.229167,1.229167,0.740627,122400
1981-01-20,1.229167,1.250000,1.187500,1.187500,0.715522,153600
1981-01-21,1.229167,1.291667,1.229167,1.229167,0.740627,67200
1981-01-22,1.229167,1.229167,1.166667,1.166667,0.702969,52800
1981-01-23,1.187500,1.250000,1.187500,1.187500,0.715522,45600
1981-01-26,1.187500,1.229167,1.166667,1.166667,0.702969,38400
1981-01-27,1.166667,1.229167,1.166667,1.166667,0.702969,7200
1981-01-28,1.166667,1.229167,1.166667,1.166667,0.702969,21600
1981-01-29,1.166667,1.229167,1.166667,1.166667,0.702969,278400
1981-01-30,1.166667,1.229167,1.166667,1.166667,0.702969,652800
1981-02-02,1.166667,1.187500,1.125000,1.125000,0.677863,14400
1981-02-03,1.125000,1.145833,1.104167,1.104167,0.665309,16800
1981-02-04,1.104167,1.166667,1.104167,1.104167,0.665309,168000
1981-02-05,1.125000,1.187500,1.125000,1.125000,0.677863,43200
1981-02-06,1.125000,1.187500,1.125000,1.125000,0.677863,9600
1981-02-09,1.125000,1.187500,1.125000,1.125000,0.677863,7200
1981-02-10,1.125000,1.187500,1.125000,1.125000,0.677863,21600
1981-02-11,1.125000,1.166667,1.125000,1.125000,0.677863,86400
1981-02-12,1.125000,1.166667,1.083333,1.083333,0.652756,19200
1981-02-13,1.020833,1.020833,0.958333,0.958333,0.577438,741600
1981-02-17,1.000000,1.062500,1.000000,1.000000,0.602544,112800
1981-02-18,1.020833,1.093750,1.020833,1.020833,0.615098,103200
1981-02-19,1.104167,1.187500,1.104167,1.104167,0.665309,62400
1981-02-20,1.187500,1.260417,1.187500,1.187500,0.715522,163200
1981-02-23,1.114583,1.114583,1.041667,1.041667,0.627650,144000
1981-02-24,1.052083,1.125000,1.052083,1.052083,0.633927,117600
1981-02-25,1.052083,1.062500,1.031250,1.031250,0.621374,36000
1981-02-26,1.125000,1.166667,1.125000,1.125000,0.677863,52800
1981-02-27,1.145833,1.187500,1.145833,1.145833,0.690415,33600
1981-03-02,1.145833,1.177083,1.125000,1.125000,0.677863,52800
1981-03-03,1.125000,1.166667,1.083333,1.083333,0.652756,40800
1981-03-04,1.083333,1.145833,1.083333,1.083333,0.652756,21600
1981-03-05,1.093750,1.145833,1.093750,1.093750,0.659033,38400
1981-03-06,1.093750,1.114583,1.052083,1.052083,0.633927,9600
1981-03-09,1.052083,1.083333,1.020833,1.020833,0.615098,40800
1981-03-10,1.020833,1.083333,1.020833,1.020833,0.615098,28800
1981-03-11,1.041667,1.104167,1.041667,1.041667,0.627650,76800
1981-03-12,1.041667,1.104167,1.041667,1.041667,0.627650,74400
1981-03-13,1.156250,1.229167,1.156250,1.156250,0.696692,427200
1981-03-16,1.229167,1.270833,1.229167,1.229167,0.740627,182400
1981-03-17,1.270833,1.322917,1.270833,1.270833,0.765733,249600
1981-03-18,1.312500,1.375000,1.312500,1.312500,0.790839,146400
1981-03-19,1.395833,1.437500,1.395833,1.395833,0.841052,117600
1981-03-20,1.479167,1.500000,1.479167,1.479167,0.891263,206400
1981-03-23,1.479167,1.489583,1.437500,1.437500,0.866158,292800
1981-03-24,1.395833,1.395833,1.322917,1.322917,0.797116,225600
1981-03-25,1.427083,1.489583,1.427083,1.427083,0.859881,136800
1981-03-26,1.427083,1.479167,1.416667,1.416667,0.853604,76800
1981-03-27,1.427083,1.500000,1.427083,1.427083,0.859881,84000
1981-03-30,1.437500,1.520833,1.437500,1.437500,0.866158,60000
1981-03-31,1.437500,1.458333,1.416667,1.416667,0.853604,122400
1981-04-01,1.416667,1.479167,1.395833,1.395833,0.841052,115200
1981-04-02,1.395833,1.437500,1.395833,1.395833,0.841052,165600
1981-04-03,1.416667,1.489583,1.416667,1.416667,0.853604,40800
1981-04-06,1.416667,1.458333,1.416667,1.416667,0.853604,55200
1981-04-07,1.416667,1.458333,1.416667,1.416667,0.853604,110400
1981-04-08,1.416667,1.416667,1.375000,1.375000,0.828499,134400
1981-04-09,1.375000,1.416667,1.375000,1.375000,0.828499,117600
