Date,Open,High,Low,Close,Adj Close,Volume
1997-02-04,11.000000,11.000000,10.312500,10.562500,10.562500,26677600
1997-02-05,10.625000,10.750000,10.125000,10.125000,10.125000,6762800
1997-02-06,10.187500,10.375000,10.125000,10.312500,10.312500,2238200
1997-02-07,10.250000,10.312500,10.250000,10.250000,10.250000,1405800
1997-02-10,10.250000,10.625000,10.250000,10.500000,10.500000,1666800
1997-02-11,10.500000,10.625000,10.437500,10.500000,10.500000,1444200
1997-02-12,10.500000,10.562500,10.312500,10.375000,10.375000,780000
1997-02-13,10.437500,10.437500,10.000000,10.000000,10.000000,1518600
1997-02-14,10.062500,10.125000,10.000000,10.000000,10.000000,511600
1997-02-18,10.062500,10.062500,10.000000,10.062500,10.062500,746000
1997-02-19,10.000000,10.062500,10.000000,10.000000,10.000000,1593000
1997-02-20,10.000000,10.062500,10.000000,10.000000,10.000000,614000
1997-02-21,10.000000,10.062500,10.000000,10.000000,10.000000,756400
1997-02-24,10.000000,10.062500,10.000000,10.000000,10.000000,244400
1997-02-25,10.000000,10.062500,10.000000,10.000000,10.000000,836800
1997-02-26,10.000000,10.187500,10.000000,10.125000,10.125000,2607200
1997-02-27,10.125000,10.125000,10.000000,10.000000,10.000000,2115000
1997-02-28,10.000000,10.062500,10.000000,10.062500,10.062500,188400
1997-03-03,10.062500,10.062500,10.000000,10.000000,10.000000,2307000
1997-03-04,10.000000,10.062500,9.375000,9.500000,9.500000,1624600
1997-03-05,9.500000,9.625000,9.437500,9.562500,9.562500,795800
1997-03-06,9.562500,9.687500,9.562500,9.687500,9.687500,1049000
1997-03-07,9.625000,9.812500,9.562500,9.812500,9.812500,417000
1997-03-10,9.812500,10.000000,9.750000,9.812500,9.812500,567000
1997-03-11,9.812500,9.812500,9.562500,9.625000,9.625000,438800
1997-03-12,9.687500,9.687500,9.500000,9.500000,9.500000,72200
1997-03-13,9.500000,9.500000,8.750000,8.812500,8.812500,269200
1997-03-14,8.875000,8.875000,8.375000,8.437500,8.437500,322200
1997-03-17,8.500000,8.500000,8.312500,8.437500,8.437500,445800
1997-03-18,8.437500,8.500000,8.312500,8.312500,8.312500,397200
1997-03-19,8.312500,8.437500,8.250000,8.250000,8.250000,215800
1997-03-20,8.250000,8.437500,8.250000,8.437500,8.437500,182600
