Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,3.527607,3.578732,3.374233,3.399796,1.382194,628800
1980-01-03,3.399796,3.617076,3.310327,3.617076,1.470530,3201800
1980-01-04,3.706544,3.898262,3.706544,3.885481,1.579650,2665000
1980-01-07,4.051636,4.217792,4.051636,4.102761,1.667986,4585800
1980-01-08,4.141104,4.498978,4.141104,4.473415,1.818675,4110400
1980-01-09,4.396728,4.396728,4.141104,4.179448,1.699163,1594000
1980-01-10,4.179448,4.345603,4.166667,4.205010,1.709556,1901200
1980-01-11,4.205010,4.256135,4.051636,4.115542,1.673182,992600
1980-01-14,4.115542,4.153885,4.064417,4.141104,1.683575,619000
1980-01-15,4.153885,4.332822,4.153885,4.320041,1.756321,1154000
1980-01-16,4.345603,4.435071,4.345603,4.358385,1.771910,860600
1980-01-17,4.358385,4.383947,4.243354,4.256135,1.730340,556400
1980-01-18,4.256135,4.268916,4.179448,4.217792,1.714752,1268400
1980-01-21,4.230573,4.320041,4.230573,4.281697,1.740733,583800
1980-01-22,4.281697,4.358385,4.166667,4.217792,1.714752,720600
1980-01-23,4.217792,4.345603,4.141104,4.345603,1.766714,895800
1980-01-24,4.460634,4.614008,4.460634,4.562883,1.855049,2504600
1980-01-25,4.562883,4.665133,4.550102,4.626790,1.881031,1135400
1980-01-28,4.626790,4.831288,4.626790,4.792945,1.948581,1269400
1980-01-29,4.792945,4.933538,4.716258,4.767383,1.938188,1200800
1980-01-30,4.767383,4.856851,4.741820,4.856851,1.974562,903600
1980-01-31,4.856851,4.895194,4.562883,4.601227,1.870638,1272200
1980-02-01,4.524540,4.524540,4.396728,4.447853,1.808283,1537400
1980-02-04,4.447853,4.460634,4.243354,4.243354,1.725144,995600
1980-02-05,4.243354,4.332822,4.243354,4.268916,1.735538,800000
1980-02-06,4.243354,4.243354,3.949387,4.115542,1.673182,2089800
1980-02-07,4.102761,4.102761,3.911043,3.936605,1.600435,2205200
1980-02-08,3.923824,3.923824,3.834356,3.834356,1.558864,1922600
1980-02-11,3.834356,3.923824,3.821575,3.872699,1.574454,1358400
1980-02-12,3.872699,4.051636,3.847137,4.013292,1.631612,1199000
1980-02-13,4.089980,4.281697,4.089980,4.166667,1.693966,2211200
1980-02-14,4.166667,4.230573,4.000511,4.000511,1.626416,1155800
1980-02-15,4.000511,4.026073,3.898262,4.000511,1.626416,627800
1980-02-19,4.000511,4.026073,3.936605,3.987730,1.621220,345200
1980-02-20,3.987730,4.115542,3.987730,4.102761,1.667986,573000
1980-02-21,4.089980,4.089980,3.898262,3.923824,1.595238,701200
1980-02-22,3.923824,3.962168,3.859918,3.859918,1.569258,414600
1980-02-25,3.885481,3.936605,3.885481,3.923824,1.595238,211200
1980-02-26,3.923824,4.026073,3.898262,3.936605,1.600435,623800
1980-02-27,3.936605,3.936605,3.399796,3.399796,1.382194,2543600
1980-02-28,3.438139,3.540389,3.438139,3.450920,1.402979,1951000
1980-02-29,3.450920,3.476483,3.450920,3.476483,1.413371,399000
1980-03-03,3.502045,3.591513,3.502045,3.540389,1.439352,674800
1980-03-04,3.540389,3.617076,3.527607,3.604295,1.465333,1073800
1980-03-05,3.604295,3.617076,3.310327,3.335890,1.356213,935800
1980-03-06,3.335890,3.348671,3.182515,3.271984,1.330232,1043400
1980-03-07,3.271984,3.399796,3.259202,3.310327,1.345821,795000
1980-03-10,3.310327,3.438139,3.310327,3.374233,1.371801,479200
1980-03-11,3.374233,3.489264,3.348671,3.463701,1.408175,334400
1980-03-12,3.463701,3.553170,3.425358,3.553170,1.444548,711800
1980-03-13,3.553170,3.617076,3.502045,3.514826,1.428960,1019000
1980-03-14,3.514826,3.553170,3.412577,3.438139,1.397782,623800
1980-03-17,3.387014,3.387014,3.105828,3.144172,1.278269,436000
1980-03-18,3.144172,3.182515,2.926892,3.169734,1.288662,1050200
1980-03-19,3.169734,3.195297,3.041922,3.118609,1.267877,407800
1980-03-20,3.118609,3.156953,3.029141,3.054703,1.241896,232600
1980-03-21,3.029141,3.029141,2.875767,2.914110,1.184737,709000
1980-03-24,2.875767,2.875767,2.607362,2.658487,1.080813,913400
1980-03-25,2.658487,2.760736,2.453988,2.709611,1.101599,1231200
1980-03-26,2.709611,2.799080,2.517894,2.517894,1.023655,608200
1980-03-27,2.517894,2.556237,2.262270,2.415644,0.982085,1250800
1980-03-28,2.441206,2.658487,2.441206,2.658487,1.080813,573000
1980-03-31,2.671268,2.888548,2.671268,2.862986,1.163953,1143200
1980-04-01,2.875767,3.016360,2.875767,2.888548,1.174345,1073800
1980-04-02,2.888548,3.118609,2.862986,2.965235,1.205522,340200
1980-04-03,2.965235,2.990798,2.888548,2.978016,1.210719,359800
1980-04-07,2.952454,2.952454,2.786299,2.799080,1.137972,181800
1980-04-08,2.799080,2.875767,2.773517,2.875767,1.169149,248400
1980-04-09,2.901329,3.067485,2.901329,3.067485,1.247092,431200
1980-04-10,3.067485,3.131391,3.067485,3.093047,1.257485,440000
1980-04-11,3.144172,3.259202,3.144172,3.233640,1.314643,512400
1980-04-14,3.208078,3.208078,3.093047,3.208078,1.304250,120200
1980-04-15,3.208078,3.220859,3.118609,3.118609,1.267877,311000
1980-04-16,3.118609,3.182515,2.965235,3.003579,1.221111,259000
1980-04-17,3.003579,3.156953,2.952454,3.093047,1.257485,683600
1980-04-18,3.093047,3.118609,2.990798,2.990798,1.215915,239600
1980-04-21,2.990798,3.003579,2.914110,2.965235,1.205522,340200
1980-04-22,3.118609,3.297546,3.118609,3.246421,1.319840,1155800
1980-04-23,3.246421,3.259202,3.169734,3.208078,1.304250,295200
1980-04-24,3.169734,3.169734,3.093047,3.093047,1.257485,414600
1980-04-25,3.118609,3.310327,3.118609,3.310327,1.345821,540800
1980-04-28,3.310327,3.412577,3.284765,3.310327,1.345821,380400
1980-04-29,3.310327,3.399796,3.246421,3.374233,1.371801,259000
