Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,9.125000,9.187500,9.125000,9.125000,3.353837,41600
1980-03-18,9.125000,9.125000,9.093750,9.093750,3.342351,29200
1980-03-19,9.093750,9.250000,9.093750,9.250000,3.399782,25600
1980-03-20,9.250000,9.406250,9.250000,9.281250,3.411268,48000
1980-03-21,9.281250,9.343750,9.125000,9.156250,3.365326,87600
1980-03-24,9.156250,9.218750,9.125000,9.125000,3.353837,25600
1980-03-25,9.093750,9.093750,9.062500,9.062500,3.330868,72400
1980-03-26,9.062500,9.062500,8.843750,8.906250,3.273438,20400
1980-03-27,8.750000,8.750000,8.250000,8.312500,3.055209,44800
1980-03-28,8.375000,8.500000,8.375000,8.375000,3.078181,40000
1980-03-31,8.375000,8.437500,8.187500,8.437500,3.101153,48400
1980-04-01,8.437500,8.562500,8.312500,8.562500,3.147095,60000
1980-04-02,8.562500,8.750000,8.531250,8.718750,3.204525,42000
1980-04-03,8.625000,8.625000,8.500000,8.593750,3.158584,20800
1980-04-07,8.593750,8.687500,8.500000,8.500000,3.124123,32400
1980-04-08,8.500000,8.687500,8.500000,8.687500,3.193037,27600
1980-04-09,8.687500,8.718750,8.593750,8.718750,3.204525,18000
1980-04-10,8.812500,8.937500,8.812500,8.906250,3.273438,29200
1980-04-11,8.906250,9.062500,8.906250,9.062500,3.330868,28000
1980-04-14,9.062500,9.062500,8.875000,8.875000,3.261955,29200
1980-04-15,8.875000,8.875000,8.625000,8.687500,3.193037,25600
1980-04-16,8.687500,8.687500,8.562500,8.562500,3.147095,40400
1980-04-17,8.562500,8.687500,8.437500,8.687500,3.193037,29200
1980-04-18,8.687500,8.875000,8.656250,8.750000,3.216011,30400
1980-04-21,8.750000,8.875000,8.750000,8.750000,3.216011,8800
1980-04-22,8.750000,9.031250,8.750000,9.031250,3.319382,26400
1980-04-23,9.031250,9.125000,9.000000,9.062500,3.330868,5600
1980-04-24,9.062500,9.250000,9.000000,9.218750,3.388295,86800
1980-04-25,9.218750,9.218750,9.156250,9.218750,3.388295,4800
1980-04-28,9.156250,9.156250,9.000000,9.062500,3.330868,15200
1980-04-29,9.062500,9.187500,9.000000,9.093750,3.342351,17600
1980-04-30,9.093750,9.156250,9.031250,9.093750,3.342351,29600
1980-05-01,9.093750,9.156250,8.906250,8.906250,3.273438,19200
1980-05-02,8.906250,9.062500,8.906250,9.000000,3.307896,83200
1980-05-05,9.000000,9.000000,8.937500,9.000000,3.307896,79600
1980-05-06,9.031250,9.250000,9.031250,9.250000,3.399782,79200
1980-05-07,9.343750,9.656250,9.343750,9.562500,3.514641,173600
1980-05-08,9.562500,9.593750,9.312500,9.406250,3.457210,112400
1980-05-09,9.406250,9.406250,9.093750,9.093750,3.342351,34400
1980-05-12,9.093750,9.187500,9.062500,9.125000,3.353837,12800
1980-05-13,9.125000,9.218750,9.062500,9.062500,3.330868,34800
1980-05-14,9.062500,9.281250,9.031250,9.250000,3.399782,48400
1980-05-15,9.250000,9.250000,9.218750,9.250000,3.399782,26400
1980-05-16,9.250000,9.250000,9.125000,9.218750,3.388295,30800
1980-05-19,9.218750,9.218750,9.156250,9.156250,3.365326,20800
1980-05-20,9.218750,9.250000,9.218750,9.218750,3.388295,65600
1980-05-21,9.218750,9.312500,9.187500,9.218750,3.388295,47200
1980-05-22,9.218750,9.312500,9.218750,9.281250,3.411268,32800
1980-05-23,9.375000,9.625000,9.375000,9.593750,3.526127,46000
1980-05-27,9.593750,9.750000,9.562500,9.625000,3.537611,76400
1980-05-28,9.625000,9.687500,9.625000,9.656250,3.549098,72000
