Date,Open,High,Low,Close,Adj Close,Volume
1994-03-10,19.375000,19.625000,19.375000,19.500000,4.785378,2952400
1994-03-11,19.500000,19.750000,19.500000,19.750000,4.846727,294600
1994-03-14,19.750000,19.750000,19.500000,19.750000,4.846727,346400
1994-03-15,19.750000,19.750000,19.500000,19.625000,4.816054,274100
1994-03-16,19.625000,19.750000,19.500000,19.625000,4.816054,218500
1994-03-17,19.625000,19.750000,19.500000,19.625000,4.816054,171500
1994-03-18,19.625000,20.000000,19.625000,19.875000,4.877404,187500
1994-03-21,19.875000,20.000000,19.750000,20.000000,4.908078,135600
1994-03-22,19.875000,20.000000,19.875000,20.000000,4.908078,97600
1994-03-23,20.000000,20.250000,19.875000,20.250000,4.969431,213000
1994-03-24,20.250000,20.500000,20.250000,20.375000,5.000106,253000
1994-03-25,20.250000,20.500000,20.250000,20.375000,5.000106,127000
1994-03-28,20.250000,20.500000,20.250000,20.500000,5.030781,162500
1994-03-29,20.375000,20.500000,19.625000,19.625000,4.816054,113100
1994-03-30,19.500000,19.625000,19.250000,19.500000,4.785378,223200
1994-03-31,19.375000,19.500000,19.000000,19.500000,4.785378,231400
1994-04-04,18.500000,19.000000,18.125000,19.000000,4.662675,86800
1994-04-05,19.125000,19.500000,19.125000,19.500000,4.785378,98900
1994-04-06,19.500000,19.625000,19.375000,19.625000,4.816054,121700
1994-04-07,19.750000,19.750000,19.375000,19.375000,4.754702,41600
1994-04-08,19.500000,19.500000,19.375000,19.375000,4.754702,9800
1994-04-11,19.375000,19.500000,19.250000,19.500000,4.785378,35300
1994-04-12,19.500000,19.625000,19.375000,19.500000,4.785378,71400
1994-04-13,19.625000,19.875000,19.375000,19.500000,4.785378,77900
1994-04-14,19.500000,19.625000,19.250000,19.625000,4.816054,27300
1994-04-15,19.625000,19.625000,19.125000,19.250000,4.724028,72300
1994-04-18,19.375000,19.375000,19.125000,19.125000,4.693350,48700
1994-04-19,19.125000,19.250000,19.125000,19.125000,4.693350,20000
1994-04-20,19.125000,19.125000,18.875000,19.125000,4.693350,25700
1994-04-21,19.250000,19.250000,19.000000,19.125000,4.693350,65100
1994-04-22,19.250000,19.500000,19.250000,19.500000,4.785378,30700
1994-04-25,19.375000,19.500000,19.375000,19.500000,4.785378,13300
1994-04-26,19.500000,19.625000,19.500000,19.625000,4.816054,13700
1994-04-28,19.500000,19.500000,19.375000,19.375000,4.754702,19300
1994-04-29,19.250000,19.625000,19.250000,19.625000,4.816054,35500
1994-05-02,19.500000,19.625000,19.500000,19.500000,4.785378,54100
1994-05-03,19.500000,19.750000,19.500000,19.750000,4.846727,31500
1994-05-04,19.500000,19.750000,19.500000,19.500000,4.785378,16400
1994-05-05,19.500000,19.500000,19.375000,19.500000,4.785378,44100
1994-05-06,19.250000,19.375000,19.250000,19.375000,4.771832,30900
1994-05-09,19.250000,19.375000,19.125000,19.125000,4.710260,38800
1994-05-10,19.125000,19.250000,19.000000,19.000000,4.679474,56300
1994-05-11,19.000000,19.125000,18.875000,19.125000,4.710260,16700
1994-05-12,19.250000,19.250000,19.125000,19.250000,4.741046,25100
1994-05-13,19.125000,19.250000,19.125000,19.250000,4.741046,30900
1994-05-16,19.250000,19.375000,19.125000,19.125000,4.710260,16200
1994-05-17,19.375000,19.375000,19.250000,19.250000,4.741046,21800
1994-05-18,19.250000,19.375000,19.125000,19.250000,4.741046,42500
1994-05-19,19.125000,19.125000,18.875000,19.000000,4.679474,54500
1994-05-20,19.000000,19.375000,19.000000,19.250000,4.741046,47200
1994-05-23,19.125000,19.250000,19.000000,19.250000,4.741046,10200
1994-05-24,19.000000,19.125000,18.875000,19.000000,4.679474,22200
1994-05-25,19.000000,19.000000,18.875000,19.000000,4.679474,8800
1994-05-26,19.000000,19.000000,18.750000,18.750000,4.617901,57100
1994-05-27,18.750000,18.875000,18.750000,18.750000,4.617901,14500
1994-05-31,18.750000,19.000000,18.750000,19.000000,4.679474,18900
1994-06-01,19.375000,19.375000,19.250000,19.375000,4.771832,125000
1994-06-02,19.375000,19.500000,19.375000,19.500000,4.802616,22400
1994-06-03,19.500000,19.625000,19.500000,19.500000,4.802616,15700
1994-06-06,19.625000,20.250000,19.500000,20.125000,4.956549,162100
1994-06-07,20.125000,20.125000,19.875000,19.875000,4.894976,31100
1994-06-08,20.000000,20.000000,19.750000,19.750000,4.864190,21700
1994-06-09,19.750000,19.875000,19.375000,19.500000,4.802616,13200
1994-06-10,19.500000,20.125000,19.500000,20.000000,4.925761,118700
1994-06-13,20.125000,20.250000,20.000000,20.000000,4.925761,66100
1994-06-14,20.125000,20.250000,20.000000,20.125000,4.956549,29100
1994-06-15,20.000000,20.250000,20.000000,20.125000,4.956549,46400
1994-06-16,20.125000,20.125000,19.875000,19.875000,4.894976,87100
1994-06-17,20.125000,20.125000,20.000000,20.000000,4.925761,18800
1994-06-20,20.000000,20.000000,19.500000,19.625000,4.833405,121300
1994-06-21,20.000000,20.000000,19.500000,19.500000,4.802616,16700
1994-06-22,19.750000,19.750000,19.500000,19.625000,4.833405,6900
1994-06-23,19.750000,19.875000,19.500000,19.500000,4.802616,21300
1994-06-24,19.500000,19.750000,19.500000,19.750000,4.864190,68300
1994-06-27,19.750000,19.750000,19.500000,19.625000,4.833405,56500
1994-06-28,19.625000,19.750000,19.375000,19.500000,4.802616,17700
1994-06-29,19.000000,19.500000,19.000000,19.500000,4.802616,19100
1994-06-30,19.500000,19.500000,19.375000,19.500000,4.802616,12000
1994-07-01,19.625000,19.625000,19.500000,19.625000,4.833405,7700
1994-07-05,19.625000,19.750000,19.500000,19.750000,4.864190,10100
1994-07-06,19.500000,19.625000,19.375000,19.500000,4.802616,41500
1994-07-07,19.250000,19.750000,19.250000,19.750000,4.864190,88400
1994-07-08,19.750000,19.750000,19.437500,19.625000,4.833405,19000
1994-07-11,19.500000,19.625000,19.500000,19.500000,4.802616,27200
1994-07-12,19.500000,19.750000,19.500000,19.625000,4.833405,31000
1994-07-13,19.750000,19.875000,19.750000,19.750000,4.864190,28900
1994-07-14,19.750000,19.875000,19.750000,19.875000,4.894976,21200
1994-07-15,19.875000,19.875000,19.750000,19.875000,4.894976,17600
1994-07-18,19.875000,19.875000,19.375000,19.625000,4.833405,153400
1994-07-19,19.625000,19.750000,19.625000,19.625000,4.833405,13900
1994-07-20,19.625000,19.750000,19.500000,19.625000,4.833405,12800
1994-07-21,19.625000,19.750000,19.375000,19.375000,4.771832,30300
1994-07-22,19.375000,19.625000,19.375000,19.375000,4.771832,109800
1994-07-25,19.375000,19.625000,19.375000,19.375000,4.771832,9900
1994-07-26,19.625000,19.750000,19.500000,19.625000,4.833405,19600
1994-07-27,19.625000,19.750000,19.500000,19.500000,4.802616,17500
1994-07-28,19.625000,19.625000,19.500000,19.625000,4.833405,11800
1994-07-29,19.750000,19.875000,19.625000,19.625000,4.833405,34900
1994-08-01,19.750000,19.750000,19.625000,19.750000,4.864190,28000
1994-08-02,19.750000,19.750000,19.375000,19.625000,4.833405,10300
1994-08-03,19.625000,19.750000,19.625000,19.750000,4.864190,12500
1994-08-04,19.250000,19.500000,19.250000,19.375000,4.870474,14600
1994-08-05,19.500000,19.500000,19.250000,19.250000,4.839052,24800
1994-08-08,19.250000,19.250000,18.875000,19.125000,4.807626,34000
1994-08-09,19.250000,19.250000,19.000000,19.000000,4.776207,7400
1994-08-10,19.125000,19.250000,18.750000,18.875000,4.744784,9800
1994-08-11,18.875000,19.125000,18.875000,18.875000,4.744784,7800
1994-08-12,19.000000,19.125000,18.750000,19.125000,4.807626,28800
1994-08-15,19.250000,19.500000,19.125000,19.500000,4.901896,115400
1994-08-16,19.625000,19.625000,19.500000,19.625000,4.933321,78200
1994-08-17,19.625000,19.625000,19.500000,19.625000,4.933321,7400
1994-08-18,19.625000,19.625000,19.500000,19.500000,4.901896,8800
1994-08-19,19.500000,19.500000,19.250000,19.375000,4.870474,34600
1994-08-22,19.500000,19.625000,19.500000,19.625000,4.933321,14000
1994-08-23,19.625000,19.625000,19.375000,19.500000,4.901896,35400
