Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.402790,2.443981,2.402790,2.402790,1.112226,181100
1980-03-18,2.402790,2.471441,2.402790,2.471441,1.144003,42700
1980-03-19,2.471441,2.498902,2.457711,2.457711,1.137648,40900
1980-03-20,2.457711,2.498902,2.457711,2.457711,1.137648,545300
1980-03-21,2.430250,2.430250,2.389060,2.402790,1.112226,29100
1980-03-24,2.389060,2.389060,2.306678,2.306678,1.067736,247600
1980-03-25,2.320409,2.375329,2.320409,2.375329,1.099514,78200
1980-03-26,2.361599,2.361599,2.306678,2.306678,1.067736,217500
1980-03-27,2.279218,2.279218,2.169376,2.169376,1.004180,201100
1980-03-28,2.196836,2.251757,2.196836,2.224297,1.029603,120100
1980-03-31,2.238027,2.306678,2.238027,2.238027,1.035958,91900
1980-04-01,2.238027,2.292948,2.238027,2.279218,1.055025,159300
1980-04-02,2.279218,2.320409,2.251757,2.306678,1.067736,203900
1980-04-03,2.306678,2.306678,2.292948,2.306678,1.067736,38200
1980-04-07,2.306678,2.320409,2.292948,2.306678,1.067736,82800
1980-04-08,2.306678,2.347869,2.292948,2.347869,1.086803,50000
1980-04-09,2.347869,2.375329,2.320409,2.347869,1.086803,55500
1980-04-10,2.347869,2.402790,2.347869,2.402790,1.112226,17200
1980-04-11,2.443981,2.526362,2.443981,2.471441,1.144003,39100
1980-04-14,2.471441,2.512632,2.443981,2.457711,1.137648,756500
1980-04-15,2.443981,2.443981,2.416520,2.443981,1.131292,303100
1980-04-16,2.443981,2.485171,2.430250,2.443981,1.131292,390500
1980-04-17,2.443981,2.471441,2.375329,2.375329,1.099514,446000
1980-04-18,2.375329,2.375329,2.361599,2.375329,1.099514,200200
1980-04-21,2.375329,2.375329,2.334139,2.375329,1.099514,69100
1980-04-22,2.375329,2.375329,2.347869,2.347869,1.086803,358600
1980-04-23,2.347869,2.375329,2.334139,2.347869,1.086803,69100
1980-04-24,2.347869,2.402790,2.334139,2.402790,1.112226,62800
1980-04-25,2.402790,2.402790,2.361599,2.389060,1.105869,21800
1980-04-28,2.389060,2.402790,2.375329,2.402790,1.112226,77300
1980-04-29,2.402790,2.443981,2.375329,2.443981,1.131292,185700
1980-04-30,2.443981,2.443981,2.375329,2.389060,1.105869,99200
1980-05-01,2.402790,2.443981,2.402790,2.402790,1.112226,196600
1980-05-02,2.402790,2.430250,2.375329,2.375329,1.099514,150200
1980-05-05,2.375329,2.457711,2.375329,2.443981,1.131292,414200
1980-05-06,2.443981,2.595013,2.443981,2.567553,1.188492,171100
1980-05-07,2.567553,2.636204,2.540092,2.636204,1.220269,213000
1980-05-08,2.649934,2.691125,2.649934,2.677395,1.239336,60900
1980-05-09,2.718585,2.773506,2.718585,2.746046,1.271114,173800
1980-05-12,2.746046,2.746046,2.704855,2.718585,1.258403,90100
1980-05-13,2.718585,2.718585,2.663664,2.718585,1.258403,120100
1980-05-14,2.704855,2.704855,2.581283,2.581283,1.194848,205700
1980-05-15,2.581283,2.636204,2.581283,2.581283,1.194848,167500
1980-05-16,2.581283,2.608743,2.553823,2.608743,1.207558,436900
1980-05-19,2.608743,2.649934,2.595013,2.636204,1.220269,162000
1980-05-20,2.636204,2.718585,2.636204,2.691125,1.245693,82800
1980-05-21,2.691125,2.828427,2.677395,2.759776,1.277470,279400
1980-05-22,2.759776,2.800967,2.746046,2.787236,1.290181,32700
1980-05-23,2.800967,2.828427,2.800967,2.814697,1.302892,97400
1980-05-27,2.814697,2.842157,2.773506,2.773506,1.283825,45500
1980-05-28,2.773506,2.828427,2.732316,2.828427,1.309248,111000
1980-05-29,2.828427,2.883348,2.828427,2.842157,1.315604,147400
1980-05-30,2.842157,2.897078,2.828427,2.897078,1.341025,620800
1980-06-02,2.897078,2.924539,2.883348,2.883348,1.334670,150200
1980-06-03,2.883348,2.938269,2.869618,2.883348,1.334670,196600
1980-06-04,2.883348,2.965729,2.869618,2.965729,1.372804,138300
1980-06-05,2.965729,3.116762,2.965729,3.116762,1.442716,329500
1980-06-06,3.116762,3.130492,3.034380,3.034380,1.404581,506100
1980-06-09,3.048111,3.075571,3.048111,3.048111,1.410936,585300
1980-06-10,3.048111,3.075571,3.020650,3.020650,1.398226,63700
1980-06-11,3.020650,3.034380,3.006920,3.034380,1.404581,1214400
1980-06-12,3.034380,3.048111,2.993190,3.048111,1.410936,583500
1980-06-13,2.993190,2.993190,2.965729,2.993190,1.385515,991400
1980-06-16,2.993190,2.993190,2.938269,2.951999,1.366449,243000
1980-06-17,2.951999,2.951999,2.910808,2.910808,1.347381,71900
