Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.048000,2.150400,2.048000,2.048000,1.002328,106200
1980-03-18,2.013867,2.013867,1.911467,2.013867,0.985622,159500
1980-03-19,2.013867,2.116267,1.979733,2.013867,0.985622,144700
1980-03-20,2.013867,2.048000,1.979733,2.013867,0.985622,82500
1980-03-21,2.082133,2.252800,2.082133,2.150400,1.052444,240800
1980-03-24,2.150400,2.184533,1.979733,2.013867,0.985622,170000
1980-03-25,2.013867,2.013867,1.945600,1.979733,0.968917,165800
1980-03-26,1.979733,2.013867,1.979733,1.979733,0.968917,90700
1980-03-27,1.979733,2.013867,1.740800,1.877333,0.918800,279600
1980-03-28,1.877333,1.979733,1.877333,1.979733,0.968917,300300
1980-03-31,1.979733,2.082133,1.911467,1.979733,0.968917,223100
1980-04-01,2.013867,2.150400,2.013867,2.048000,1.002328,115000
1980-04-02,2.048000,2.082133,2.013867,2.082133,1.019033,86800
1980-04-03,2.048000,2.048000,2.013867,2.013867,0.985622,50200
1980-04-07,2.013867,2.048000,1.945600,1.945600,0.952211,78100
1980-04-08,1.945600,1.979733,1.945600,1.979733,0.968917,41000
1980-04-09,1.979733,2.013867,1.945600,1.979733,0.968917,65000
1980-04-10,1.979733,2.082133,1.979733,2.013867,0.985622,73300
1980-04-11,2.013867,2.013867,1.979733,2.013867,0.985622,29300
1980-04-14,1.979733,1.979733,1.945600,1.979733,0.968917,54000
1980-04-15,1.979733,1.979733,1.911467,1.911467,0.935506,81300
1980-04-16,1.911467,1.945600,1.843200,1.877333,0.918800,160100
1980-04-17,1.877333,1.877333,1.809067,1.843200,0.902095,97200
1980-04-18,1.843200,1.843200,1.774933,1.809067,0.885389,67500
1980-04-21,1.809067,2.048000,1.774933,1.809067,0.885389,57500
1980-04-22,1.877333,1.945600,1.877333,1.945600,0.952211,173300
1980-04-23,1.945600,1.979733,1.945600,1.979733,0.968917,77700
1980-04-24,1.979733,2.048000,1.945600,2.048000,1.002328,136000
1980-04-25,1.979733,1.979733,1.877333,1.945600,0.952211,82700
1980-04-28,1.945600,1.979733,1.945600,1.945600,0.952211,43200
1980-04-29,1.945600,2.013867,1.945600,2.013867,0.985622,29100
1980-04-30,2.013867,2.013867,1.945600,1.979733,0.968917,56200
1980-05-01,1.979733,2.013867,1.979733,1.979733,0.968917,119500
1980-05-02,1.979733,1.979733,1.945600,1.945600,0.952211,100100
1980-05-05,1.945600,1.979733,1.945600,1.945600,0.952211,73100
1980-05-06,1.979733,2.013867,1.979733,1.979733,0.968917,120700
1980-05-07,1.979733,2.184533,1.979733,2.150400,1.052444,252500
1980-05-08,2.150400,2.218667,2.116267,2.150400,1.052444,162500
1980-05-09,2.150400,2.150400,2.082133,2.116267,1.035739,34500
1980-05-12,2.116267,2.116267,2.013867,2.048000,1.002328,43200
1980-05-13,2.048000,2.116267,2.048000,2.082133,1.019033,89700
1980-05-14,2.082133,2.150400,2.082133,2.116267,1.035739,68100
1980-05-15,2.116267,2.218667,2.116267,2.218667,1.085855,128800
1980-05-16,2.218667,2.218667,2.150400,2.184533,1.069149,42600
1980-05-19,2.184533,2.286933,2.184533,2.252800,1.102561,126600
1980-05-20,2.252800,2.252800,2.218667,2.218667,1.085855,42600
1980-05-21,2.184533,2.184533,2.150400,2.184533,1.069149,37000
1980-05-22,2.184533,2.218667,2.150400,2.150400,1.052444,57500
1980-05-23,2.150400,2.321067,2.150400,2.286933,1.119265,291600
1980-05-27,2.321067,2.355200,2.321067,2.321067,1.135972,175100
1980-05-28,2.321067,2.389333,2.321067,2.389333,1.169382,94100
1980-05-29,2.355200,2.355200,2.252800,2.252800,1.102561,121800
1980-05-30,2.252800,2.286933,2.184533,2.286933,1.119265,119500
1980-06-02,2.286933,2.286933,2.218667,2.218667,1.085855,60800
1980-06-03,2.218667,2.218667,2.150400,2.150400,1.052444,65700
1980-06-04,2.150400,2.184533,2.116267,2.184533,1.069149,109600
1980-06-05,2.184533,2.218667,2.150400,2.184533,1.069149,111800
1980-06-06,2.218667,2.321067,2.218667,2.286933,1.119265,269600
1980-06-09,2.286933,2.286933,2.252800,2.252800,1.102561,81300
1980-06-10,2.321067,2.423467,2.321067,2.423467,1.186087,306300
1980-06-11,2.423467,2.423467,2.355200,2.355200,1.152677,232100
1980-06-12,2.355200,2.389333,2.252800,2.252800,1.102561,94500
1980-06-13,2.252800,2.286933,2.252800,2.286933,1.119265,126500
1980-06-16,2.286933,2.286933,2.252800,2.252800,1.102561,38500
1980-06-17,2.252800,2.252800,2.184533,2.184533,1.069149,35600
1980-06-18,2.184533,2.184533,2.150400,2.184533,1.069149,204300
1980-06-19,2.184533,2.184533,2.116267,2.116267,1.035739,718300
1980-06-20,2.116267,2.150400,2.082133,2.150400,1.052444,187800
1980-06-23,2.150400,2.184533,2.116267,2.184533,1.069149,94100
1980-06-24,2.150400,2.150400,2.116267,2.150400,1.052444,163300
1980-06-25,2.150400,2.218667,2.150400,2.184533,1.069149,241500
1980-06-26,2.184533,2.252800,2.184533,2.184533,1.069149,197600
1980-06-27,2.184533,2.218667,2.150400,2.184533,1.069149,272800
1980-06-30,2.150400,2.150400,2.082133,2.116267,1.035739,176200
1980-07-01,2.116267,2.150400,2.082133,2.116267,1.035739,37500
1980-07-02,2.116267,2.116267,2.082133,2.082133,1.019033,129600
1980-07-03,2.082133,2.184533,2.082133,2.184533,1.069149,150700
1980-07-07,2.218667,2.252800,2.218667,2.252800,1.102561,219600
1980-07-08,2.252800,2.286933,2.184533,2.184533,1.069149,129600
1980-07-09,2.184533,2.252800,2.184533,2.218667,1.085855,250800
1980-07-10,2.218667,2.252800,2.150400,2.218667,1.085855,340200
1980-07-11,2.218667,2.218667,2.150400,2.218667,1.085855,86600
1980-07-14,2.218667,2.389333,2.184533,2.389333,1.169382,507200
1980-07-15,2.389333,2.457600,2.389333,2.389333,1.169382,435200
1980-07-16,2.389333,2.525867,2.321067,2.457600,1.202793,250800
1980-07-17,2.457600,2.594133,2.423467,2.525867,1.236204,665700
1980-07-18,2.525867,2.628267,2.457600,2.525867,1.236204,207800
1980-07-21,2.525867,2.525867,2.457600,2.491733,1.219498,294600
1980-07-22,2.491733,2.525867,2.457600,2.525867,1.236204,524300
1980-07-23,2.525867,2.560000,2.491733,2.491733,1.219498,293300
1980-07-24,2.491733,2.594133,2.491733,2.594133,1.269615,458200
1980-07-25,2.594133,2.696533,2.594133,2.662400,1.303026,685300
1980-07-28,2.628267,2.628267,2.560000,2.594133,1.269615,197800
1980-07-29,2.628267,2.730667,2.628267,2.730667,1.336436,536200
1980-07-30,2.730667,2.764800,2.696533,2.730667,1.336436,644600
1980-07-31,2.730667,2.798933,2.662400,2.798933,1.369848,822100
1980-08-01,2.798933,3.242667,2.798933,3.072000,1.503491,2700000
1980-08-04,3.072000,3.072000,2.969600,3.037867,1.486785,869500
1980-08-05,3.037867,3.037867,2.901333,2.935467,1.436669,750100
1980-08-06,2.935467,3.106133,2.867200,3.106133,1.520197,741600
1980-08-07,3.106133,3.242667,3.037867,3.140267,1.536902,2469600
1980-08-08,3.140267,3.174400,3.072000,3.106133,1.520197,2167200
1980-08-11,3.106133,3.140267,3.003733,3.003733,1.470081,584700
1980-08-12,3.003733,3.208533,2.833067,2.867200,1.403258,538300
1980-08-13,2.867200,3.106133,2.867200,3.037867,1.486785,1813300
1980-08-14,3.072000,3.140267,3.072000,3.072000,1.503491,489100
1980-08-15,3.072000,3.106133,3.003733,3.072000,1.503491,192600
