Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,1.070988,1.070988,1.055556,1.055556,0.552826,2153600
1980-01-03,1.055556,1.055556,1.040123,1.052469,0.551210,2640000
1980-01-04,1.052469,1.067901,1.052469,1.067901,0.559292,1068800
1980-01-07,1.064815,1.064815,1.052469,1.058642,0.554442,881600
1980-01-08,1.058642,1.074074,1.055556,1.074074,0.562524,4802400
1980-01-09,1.092593,1.111111,1.092593,1.092593,0.572223,9818400
1980-01-10,1.098765,1.129630,1.098765,1.123457,0.588388,8036000
1980-01-11,1.123457,1.123457,1.104938,1.108025,0.580306,7085600
1980-01-14,1.108025,1.114197,1.104938,1.104938,0.578689,2909600
1980-01-15,1.104938,1.108025,1.089506,1.095679,0.573840,1814400
1980-01-16,1.098765,1.111111,1.098765,1.101852,0.577073,2712000
1980-01-17,1.101852,1.104938,1.067901,1.070988,0.560909,3441600
1980-01-18,1.061728,1.061728,1.037037,1.058642,0.554442,3970400
1980-01-21,1.058642,1.064815,1.052469,1.061728,0.556059,2991200
1980-01-22,1.061728,1.080247,1.040123,1.043210,0.546360,4680800
1980-01-23,1.043210,1.058642,1.043210,1.055556,0.552826,3636000
1980-01-24,1.061728,1.117284,1.061728,1.101852,0.577073,4600800
1980-01-25,1.101852,1.104938,1.092593,1.098765,0.575456,1480800
1980-01-28,1.098765,1.123457,1.092593,1.117284,0.585155,2156000
1980-01-29,1.114197,1.114197,1.101852,1.101852,0.577073,1076000
1980-01-30,1.101852,1.108025,1.098765,1.101852,0.577073,752000
1980-01-31,1.101852,1.104938,1.064815,1.064815,0.557675,3662400
1980-02-01,1.064815,1.080247,1.064815,1.077160,0.564141,1376000
1980-02-04,1.077160,1.080247,1.055556,1.058642,0.554442,1750400
1980-02-05,1.058642,1.058642,1.052469,1.058642,0.554442,1646400
1980-02-06,1.058642,1.058642,1.043210,1.052469,0.551210,3679200
1980-02-07,1.052469,1.058642,1.043210,1.058642,0.554442,2964000
1980-02-08,1.049383,1.049383,1.040123,1.043210,0.546360,5086400
1980-02-11,1.043210,1.052469,1.043210,1.046296,0.547977,5810400
1980-02-12,1.040123,1.040123,1.006173,1.030864,0.539894,7527200
1980-02-13,1.033951,1.055556,1.033951,1.043210,0.546360,14306400
1980-02-14,1.043210,1.067901,1.043210,1.064815,0.557675,6333600
1980-02-15,1.064815,1.080247,1.058642,1.067901,0.559292,3914400
1980-02-19,1.067901,1.067901,1.046296,1.046296,0.547977,3499200
1980-02-20,1.046296,1.055556,1.043210,1.055556,0.552826,4688000
1980-02-21,1.055556,1.055556,1.027778,1.027778,0.538278,3780800
1980-02-22,1.024691,1.024691,1.015432,1.018519,0.533429,3201600
1980-02-25,1.015432,1.015432,0.993827,1.000000,0.525515,6490400
1980-02-26,0.993827,0.993827,0.972222,0.972222,0.510917,6393600
1980-02-27,0.972222,0.972222,0.959877,0.962963,0.506051,4267200
1980-02-28,0.962963,0.981481,0.962963,0.981481,0.515783,3305600
1980-02-29,0.990741,1.006173,0.990741,0.990741,0.520649,1840800
1980-03-03,0.996914,1.006173,0.996914,0.996914,0.523893,2748000
1980-03-04,0.996914,1.006173,0.987654,1.006173,0.528759,2172000
1980-03-05,1.006173,1.006173,0.975309,0.978395,0.514161,5595200
1980-03-06,0.978395,0.990741,0.972222,0.978395,0.514161,3506400
1980-03-07,0.978395,0.987654,0.950617,0.959877,0.504430,6069600
1980-03-10,0.956790,0.956790,0.938272,0.944444,0.496320,2415200
1980-03-11,0.947531,0.962963,0.947531,0.953704,0.501186,6333600
1980-03-12,0.953704,0.956790,0.922840,0.941358,0.494698,3790400
1980-03-13,0.941358,0.941358,0.910494,0.916667,0.481722,3417600
1980-03-14,0.919753,0.932099,0.919753,0.929012,0.488210,3424800
1980-03-17,0.929012,0.929012,0.907407,0.913580,0.480100,4796000
1980-03-18,0.913580,0.932099,0.910494,0.925926,0.486588,11868800
1980-03-19,0.925926,0.941358,0.922840,0.935185,0.491454,3639200
1980-03-20,0.935185,0.941358,0.916667,0.925926,0.486588,2528000
1980-03-21,0.925926,0.929012,0.916667,0.916667,0.481722,1977600
1980-03-24,0.916667,0.922840,0.895062,0.895062,0.470368,2067200
1980-03-25,0.895062,0.916667,0.895062,0.910494,0.478478,2268000
1980-03-26,0.916667,0.935185,0.916667,0.919753,0.483344,3250400
1980-03-27,0.919753,0.932099,0.916667,0.925926,0.486588,1152000
1980-03-28,0.972222,0.993827,0.972222,0.984568,0.517405,4368000
1980-03-31,0.984568,1.024691,0.975309,1.024691,0.538491,2074400
1980-04-01,1.024691,1.024691,1.015432,1.018519,0.535247,1857600
1980-04-02,1.018519,1.030864,1.000000,1.024691,0.538491,2253600
1980-04-03,1.024691,1.037037,1.018519,1.037037,0.544978,1598400
1980-04-07,1.030864,1.030864,1.015432,1.015432,0.533625,3830400
1980-04-08,1.015432,1.024691,1.006173,1.021605,0.536869,1652000
1980-04-09,1.021605,1.030864,1.015432,1.024691,0.538491,2261600
1980-04-10,1.024691,1.027778,1.018519,1.021605,0.536869,4116000
1980-04-11,1.021605,1.024691,1.009259,1.009259,0.530381,2760800
1980-04-14,1.006173,1.006173,0.996914,1.000000,0.525515,1313600
1980-04-15,1.000000,1.003086,0.990741,0.996914,0.523893,2301600
1980-04-16,0.996914,1.006173,0.996914,0.996914,0.523893,3149600
1980-04-17,0.996914,0.996914,0.987654,0.996914,0.523893,1274400
1980-04-18,0.996914,1.009259,0.993827,0.996914,0.523893,1448000
1980-04-21,0.996914,1.000000,0.987654,0.993827,0.522271,2383200
1980-04-22,1.006173,1.040123,1.006173,1.037037,0.544978,5104800
1980-04-23,1.055556,1.086420,1.055556,1.058642,0.556332,5223200
1980-04-24,1.058642,1.070988,1.055556,1.055556,0.554710,4665600
1980-04-25,1.043210,1.043210,1.030864,1.043210,0.548223,4692000
1980-04-28,1.040123,1.040123,1.021605,1.021605,0.536869,237600
1980-04-29,1.021605,1.030864,1.015432,1.024691,0.538491,1716800
1980-04-30,1.024691,1.055556,1.024691,1.052469,0.553088,8974400
1980-05-01,1.052469,1.061728,1.052469,1.061728,0.557954,3363200
1980-05-02,1.061728,1.086420,1.055556,1.083333,0.569308,1556000
1980-05-05,1.083333,1.108025,1.074074,1.108025,0.582284,3484800
1980-05-06,1.108025,1.114197,1.092593,1.095679,0.575796,9309600
1980-05-07,1.095679,1.114197,1.086420,1.104938,0.580662,4072800
1980-05-08,1.104938,1.111111,1.080247,1.086420,0.570930,3849600
