Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,2.006944,2.017361,1.961806,1.965278,0.602369,4014000
1980-01-03,1.965278,1.993056,1.930556,1.993056,0.610883,2077200
1980-01-04,2.000000,2.034722,2.000000,2.006944,0.615140,1926000
1980-01-07,2.006944,2.052083,2.006944,2.024306,0.620461,1818000
1980-01-08,2.024306,2.090278,2.017361,2.083333,0.638554,3114000
1980-01-09,2.083333,2.093750,2.062500,2.069444,0.634297,3099600
1980-01-10,2.069444,2.097222,2.069444,2.090278,0.640682,2858400
1980-01-11,2.090278,2.100694,2.020833,2.027778,0.621526,2660400
1980-01-14,2.041667,2.069444,2.041667,2.041667,0.625783,1418400
1980-01-15,2.041667,2.045139,2.020833,2.020833,0.619397,1461600
1980-01-16,2.020833,2.041667,2.010417,2.017361,0.618333,1839600
1980-01-17,2.017361,2.027778,1.972222,1.972222,0.604498,1962000
1980-01-18,1.965278,1.965278,1.937500,1.958333,0.600240,5446800
1980-01-21,1.958333,1.968750,1.951389,1.961806,0.601305,2073600
1980-01-22,1.961806,1.965278,1.927083,1.944444,0.595984,8535600
1980-01-23,1.944444,1.965278,1.934028,1.951389,0.598112,3214800
1980-01-24,1.951389,1.975694,1.930556,1.951389,0.598112,3121200
1980-01-25,1.951389,1.954861,1.937500,1.944444,0.595984,1378800
1980-01-28,1.940972,1.940972,1.895833,1.934028,0.592791,2242800
1980-01-29,1.930556,1.930556,1.895833,1.913194,0.586405,2577600
1980-01-30,1.913194,1.937500,1.902778,1.937500,0.593855,1713600
1980-01-31,1.937500,1.958333,1.902778,1.902778,0.583212,2264400
1980-02-01,1.892361,1.892361,1.850694,1.878472,0.575763,3481200
1980-02-04,1.881944,1.895833,1.881944,1.895833,0.581084,2710800
1980-02-05,1.895833,1.916667,1.895833,1.899306,0.582148,3250800
1980-02-06,1.899306,1.923611,1.875000,1.895833,0.581084,4302000
1980-02-07,1.895833,1.899306,1.843750,1.843750,0.565120,4082400
1980-02-08,1.843750,1.881944,1.819444,1.833333,0.561928,5295600
1980-02-11,1.833333,1.868056,1.833333,1.868056,0.572570,3056400
