Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,5.138116,5.150678,4.824050,4.824050,2.932581,1043700
1980-01-03,4.811487,4.811487,4.673298,4.723549,2.871484,1015900
1980-01-04,4.723549,4.924551,4.723549,4.874300,2.963128,501400
1980-01-07,4.874300,5.075303,4.874300,4.999927,3.039497,305400
1980-01-08,5.100428,5.477307,5.100428,5.452181,3.314426,709400
1980-01-09,5.452181,5.477307,5.376806,5.401931,3.283880,1220800
1980-01-10,5.401931,5.489870,5.364243,5.477307,3.329702,541200
1980-01-11,5.477307,5.502432,5.351680,5.376806,3.268607,556100
1980-01-14,5.376806,5.414494,5.326555,5.414494,3.291516,554200
1980-01-15,5.414494,5.514995,5.364243,5.514995,3.352613,1300400
1980-01-16,5.628058,5.690872,5.628058,5.653183,3.436618,1689500
1980-01-17,5.653183,5.678309,5.565245,5.602933,3.406071,662600
1980-01-18,5.602933,5.628058,5.577808,5.590371,3.398434,497400
1980-01-21,5.590371,5.715997,5.577808,5.715997,3.474805,414900
1980-01-22,5.715997,5.803935,5.640621,5.640621,3.428982,973100
1980-01-23,5.640621,5.690872,5.602933,5.665746,3.444253,788000
1980-01-24,5.665746,5.665746,5.540120,5.552682,3.375523,2635700
1980-01-25,5.552682,5.628058,5.489870,5.628058,3.421347,795900
1980-01-28,5.653183,5.954687,5.653183,5.954687,3.619902,2721300
1980-01-29,5.954687,6.130564,5.904436,6.004937,3.650454,2321300
1980-01-30,6.004937,6.004937,5.879311,5.879311,3.574085,1912400
1980-01-31,5.904436,6.030063,5.904436,5.904436,3.589357,1474600
1980-02-01,5.904436,5.954687,5.829061,5.929562,3.604631,1370100
1980-02-04,5.929562,5.979812,5.929562,5.954687,3.619902,603900
1980-02-05,5.954687,5.979812,5.904436,5.967249,3.627540,535300
1980-02-06,5.992374,6.205939,5.992374,6.205939,3.772645,1119300
1980-02-07,6.218502,6.394379,6.218502,6.218502,3.780282,1533300
1980-02-08,6.218502,6.268753,6.143126,6.193377,3.765005,464600
1980-02-11,6.193377,6.231065,6.042625,6.055188,3.680997,307400
1980-02-12,6.055188,6.067750,5.879311,5.942124,3.612267,938200
1980-02-13,6.105438,6.243627,6.105438,6.180814,3.757369,1492500
1980-02-14,6.180814,6.268753,5.929562,5.979812,3.635177,2148200
1980-02-15,5.979812,5.992374,5.904436,5.929562,3.604631,591000
1980-02-19,5.916999,5.916999,5.791372,5.829061,3.543537,996900
1980-02-20,5.829061,5.854186,5.778810,5.803935,3.528262,479500
1980-02-21,5.829061,5.954687,5.829061,5.854186,3.558809,1395000
1980-02-22,5.866748,5.967249,5.866748,5.929562,3.604631,259600
1980-02-25,5.891873,5.891873,5.829061,5.829061,3.543537,668600
1980-02-26,5.829061,5.841623,5.778810,5.791372,3.520625,525300
1980-02-27,5.791372,5.829061,5.628058,5.628058,3.421347,490500
1980-02-28,5.628058,5.678309,5.552682,5.615496,3.413707,388000
1980-02-29,5.615496,5.653183,5.540120,5.653183,3.436618,445700
1980-03-03,5.653183,5.678309,5.577808,5.577808,3.390797,527300
1980-03-04,5.577808,5.602933,5.489870,5.527557,3.360249,1105400
1980-03-05,5.527557,5.527557,5.389369,5.389369,3.276241,1188000
1980-03-06,5.389369,5.439619,5.364243,5.414494,3.291516,376100
1980-03-07,5.427056,5.502432,5.427056,5.477307,3.329702,869600
1980-03-10,5.489870,5.577808,5.489870,5.577808,3.390797,332300
1980-03-11,5.615496,5.841623,5.615496,5.841623,3.551170,238700
1980-03-12,5.841623,5.879311,5.653183,5.690872,3.459530,318300
1980-03-13,5.690872,5.778810,5.590371,5.628058,3.421347,341200
1980-03-14,5.628058,5.803935,5.527557,5.653183,3.436618,494500
1980-03-17,5.628058,5.628058,5.414494,5.427056,3.299154,1149200
