Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.718750,3.812500,3.718750,3.718750,2.789433,363200
1980-03-18,4.031250,4.125000,4.031250,4.031250,3.023839,602400
1980-03-19,4.031250,4.125000,4.031250,4.031250,3.023839,246400
1980-03-20,4.031250,4.125000,4.031250,4.031250,3.023839,190400
1980-03-21,4.031250,4.062500,3.968750,3.968750,2.976958,232800
1980-03-24,3.875000,3.875000,3.781250,3.781250,2.836314,282400
1980-03-25,3.781250,3.843750,3.750000,3.750000,2.812874,267200
1980-03-26,3.843750,3.937500,3.843750,3.843750,2.883195,427200
1980-03-27,3.718750,3.718750,3.625000,3.625000,2.719110,541600
1980-03-28,3.750000,3.843750,3.750000,3.750000,2.812874,669600
1980-03-31,3.937500,4.031250,3.937500,3.937500,2.953517,308000
1980-04-01,4.093750,4.187500,4.093750,4.093750,3.070721,638400
1980-04-02,4.093750,4.187500,4.093750,4.093750,3.070721,207200
1980-04-03,4.093750,4.156250,4.062500,4.062500,3.047280,360000
1980-04-07,4.000000,4.000000,3.906250,3.906250,2.930078,208800
1980-04-08,3.937500,4.031250,3.937500,3.937500,2.953517,484800
1980-04-09,4.000000,4.093750,4.000000,4.000000,3.000398,400800
1980-04-10,4.062500,4.156250,4.062500,4.062500,3.047280,340000
1980-04-11,4.062500,4.156250,4.062500,4.062500,3.047280,382400
1980-04-14,4.062500,4.125000,4.031250,4.031250,3.023839,175200
1980-04-15,4.062500,4.156250,4.062500,4.062500,3.047280,262400
1980-04-16,4.062500,4.125000,4.031250,4.031250,3.023839,422400
1980-04-17,4.031250,4.062500,3.968750,3.968750,2.976958,211200
1980-04-18,4.000000,4.093750,4.000000,4.000000,3.000398,149600
1980-04-21,4.000000,4.000000,3.906250,3.906250,2.930078,108000
1980-04-22,4.156250,4.250000,4.156250,4.156250,3.117602,436800
1980-04-23,4.156250,4.250000,4.156250,4.156250,3.117602,348000
1980-04-24,4.218750,4.312500,4.218750,4.218750,3.164482,210400
1980-04-25,4.218750,4.281250,4.187500,4.187500,3.141041,242400
1980-04-28,4.281250,4.375000,4.281250,4.281250,3.211366,206400
1980-04-29,4.375000,4.468750,4.375000,4.375000,3.281686,312800
1980-04-30,4.375000,4.437500,4.343750,4.343750,3.258246,380800
1980-05-01,4.375000,4.468750,4.375000,4.375000,3.281686,608800
1980-05-02,4.437500,4.531250,4.437500,4.437500,3.328569,376800
1980-05-05,4.500000,4.593750,4.500000,4.500000,3.375449,260000
1980-05-06,4.500000,4.562500,4.468750,4.468750,3.352009,389600
1980-05-07,4.500000,4.593750,4.500000,4.500000,3.375449,409600
1980-05-08,4.500000,4.531250,4.437500,4.437500,3.328569,534400
1980-05-09,4.375000,4.375000,4.281250,4.281250,3.211366,212800
1980-05-12,4.281250,4.281250,4.187500,4.187500,3.141041,292800
1980-05-13,4.250000,4.343750,4.250000,4.250000,3.187924,320800
1980-05-14,4.312500,4.406250,4.312500,4.312500,3.234803,152000
1980-05-15,4.531250,4.625000,4.531250,4.531250,3.398890,622400
1980-05-16,4.562500,4.656250,4.562500,4.562500,3.422332,458400
1980-05-19,4.593750,4.687500,4.593750,4.593750,3.445769,185600
1980-05-20,4.656250,4.750000,4.656250,4.656250,3.492653,477600
1980-05-21,4.687500,4.781250,4.687500,4.687500,3.516091,184000
1980-05-22,4.812500,4.906250,4.812500,4.812500,3.609854,303200
1980-05-23,4.812500,4.875000,4.781250,4.781250,3.586412,96800
1980-05-27,4.875000,4.968750,4.875000,4.875000,3.656736,147200
1980-05-28,4.875000,4.906250,4.812500,4.812500,3.609854,375200
1980-05-29,4.812500,4.875000,4.781250,4.781250,3.586412,330400
1980-05-30,4.843750,4.937500,4.843750,4.843750,3.633295,394400
1980-06-02,4.843750,4.843750,4.750000,4.750000,3.562971,276000
1980-06-03,4.781250,4.875000,4.781250,4.781250,3.586412,348800
1980-06-04,4.843750,4.937500,4.843750,4.843750,3.633295,478400
1980-06-05,4.875000,4.968750,4.875000,4.875000,3.656736,431200
1980-06-06,4.968750,5.062500,4.968750,4.968750,3.727057,429600
1980-06-09,5.000000,5.093750,5.000000,5.000000,3.750499,573600
1980-06-10,5.000000,5.218750,5.000000,5.187500,3.891143,253600
1980-06-11,5.187500,5.437500,5.156250,5.296875,3.973185,279200
1980-06-12,5.296875,5.359375,5.218750,5.218750,3.914582,145600
1980-06-13,5.187500,5.187500,5.062500,5.125000,3.844260,91200
1980-06-16,5.125000,5.218750,4.984375,5.046875,3.785658,136000
1980-06-17,5.156250,5.406250,5.156250,5.343750,4.008347,189600
1980-06-18,5.343750,5.531250,5.296875,5.328125,3.996626,236000
1980-06-19,5.375000,5.484375,5.375000,5.375000,4.031785,174400
1980-06-20,5.359375,5.359375,5.250000,5.281250,3.961463,82400
1980-06-23,5.281250,5.312500,5.250000,5.250000,3.938025,111200
1980-06-24,5.312500,5.578125,5.312500,5.515625,4.137270,331200
1980-06-25,5.531250,5.859375,5.531250,5.625000,4.219310,376800
1980-06-26,5.625000,5.687500,5.609375,5.687500,4.266192,90400
1980-06-27,5.687500,5.734375,5.500000,5.578125,4.184150,110400
1980-06-30,5.578125,5.625000,5.343750,5.343750,4.008347,87200
1980-07-01,5.343750,5.437500,5.312500,5.343750,4.008347,130400
1980-07-02,5.343750,5.375000,5.281250,5.343750,4.008347,105600
1980-07-03,5.343750,5.500000,5.265625,5.500000,4.125546,143200
1980-07-07,5.562500,5.718750,5.562500,5.687500,4.266192,204800
1980-07-08,5.687500,5.843750,5.640625,5.750000,4.313072,328800
1980-07-09,5.750000,6.000000,5.750000,5.937500,4.453716,324800
1980-07-10,5.953125,6.156250,5.953125,5.953125,4.465436,377600
1980-07-11,5.953125,6.125000,5.953125,6.062500,4.547477,135200
1980-07-14,6.062500,6.156250,6.000000,6.000000,4.500598,192800
1980-07-15,6.000000,6.156250,5.968750,6.078125,4.559200,126400
1980-07-16,6.078125,6.093750,6.000000,6.078125,4.559200,165600
1980-07-17,6.078125,6.156250,5.953125,6.062500,4.547477,278400
1980-07-18,6.062500,6.140625,5.937500,5.937500,4.453716,260800
1980-07-21,5.937500,6.000000,5.937500,5.937500,4.453716,81600
1980-07-22,5.843750,5.843750,5.531250,5.687500,4.266192,204800
1980-07-23,5.687500,5.843750,5.312500,5.593750,4.195869,364000
1980-07-24,5.593750,5.656250,5.468750,5.562500,4.172431,171200
1980-07-25,5.562500,5.578125,5.453125,5.500000,4.125546,61600
1980-07-28,5.500000,5.562500,5.406250,5.546875,4.160707,92800
1980-07-29,5.546875,5.843750,5.500000,5.812500,4.359953,200000
1980-07-30,5.875000,6.062500,5.875000,5.937500,4.453716,131200
1980-07-31,5.937500,5.984375,5.593750,5.796875,4.348232,144800
1980-08-01,5.796875,5.859375,5.765625,5.796875,4.348232,21600
1980-08-04,5.765625,5.765625,5.406250,5.562500,4.172431,116800
1980-08-05,5.562500,5.578125,5.390625,5.390625,4.043507,704000
1980-08-06,5.390625,5.531250,5.375000,5.468750,4.102107,363200
1980-08-07,5.468750,5.593750,5.437500,5.593750,4.195869,596800
1980-08-08,5.593750,5.640625,5.500000,5.531250,4.148987,473600
1980-08-11,5.531250,5.593750,5.500000,5.562500,4.172431,223200
1980-08-12,5.562500,5.671875,5.562500,5.609375,4.207590,594400
1980-08-13,5.609375,5.687500,5.578125,5.671875,4.254474,259200
1980-08-14,5.671875,5.812500,5.671875,5.812500,4.359953,268000
1980-08-15,5.828125,5.968750,5.828125,5.953125,4.465436,710400
1980-08-18,5.906250,5.906250,5.750000,5.781250,4.336513,308000
1980-08-19,5.781250,5.843750,5.593750,5.718750,4.289632,210400
1980-08-20,5.718750,5.796875,5.656250,5.750000,4.313072,100000
1980-08-21,5.750000,5.843750,5.718750,5.812500,4.359953,164800
1980-08-22,5.812500,5.906250,5.781250,5.781250,4.336513,195200
1980-08-25,5.781250,5.843750,5.781250,5.828125,4.371677,89600
1980-08-26,5.843750,6.031250,5.843750,5.890625,4.418555,619200
1980-08-27,5.890625,5.937500,5.812500,5.859375,4.395114,150400
1980-08-28,5.859375,5.937500,5.750000,5.812500,4.359953,231200
1980-08-29,5.812500,5.828125,5.562500,5.593750,4.195869,86400
1980-09-02,5.687500,5.796875,5.687500,5.765625,4.324794,90400
1980-09-03,5.812500,5.875000,5.812500,5.812500,4.359953,122400
1980-09-04,5.812500,5.890625,5.765625,5.843750,4.383394,184800
1980-09-05,5.843750,5.937500,5.828125,5.937500,4.453716,163200
1980-09-08,6.000000,6.046875,6.000000,6.000000,4.500598,212000
1980-09-09,6.000000,6.031250,5.937500,5.953125,4.465436,164800
1980-09-10,5.968750,6.218750,5.968750,6.218750,4.664685,236800
1980-09-11,6.250000,6.406250,6.250000,6.312500,4.735003,248000
1980-09-12,6.312500,6.468750,6.281250,6.421875,4.817044,192000
1980-09-15,6.421875,6.421875,6.250000,6.328125,4.746722,101600
1980-09-16,6.437500,6.750000,6.437500,6.625000,4.969411,273600
1980-09-17,6.625000,6.750000,6.578125,6.593750,4.945970,281600
1980-09-18,6.593750,6.734375,6.578125,6.625000,4.969411,95200
1980-09-19,6.625000,6.718750,6.546875,6.625000,4.969411,84000
1980-09-22,6.625000,6.812500,6.625000,6.812500,5.110054,70400
1980-09-23,6.812500,6.812500,6.562500,6.578125,4.934249,67200
1980-09-24,6.578125,6.593750,6.515625,6.578125,4.934249,52800
1980-09-25,6.578125,6.703125,6.531250,6.531250,4.899088,45600
1980-09-26,6.484375,6.484375,6.156250,6.203125,4.652963,144000
1980-09-29,6.031250,6.031250,5.812500,5.937500,4.453716,240000
1980-09-30,5.937500,6.171875,5.937500,6.125000,4.594363,120800
1980-10-01,6.187500,6.500000,6.187500,6.468750,4.852208,132000
1980-10-02,6.468750,6.703125,6.375000,6.468750,4.852208,126400
1980-10-03,6.468750,6.812500,6.453125,6.812500,5.110054,259200
1980-10-06,6.812500,6.875000,6.703125,6.812500,5.110054,116800
1980-10-07,6.812500,6.875000,6.656250,6.656250,4.992851,78400
1980-10-08,6.656250,6.859375,6.609375,6.734375,5.051450,121600
1980-10-09,6.687500,6.687500,6.593750,6.625000,4.969411,100800
1980-10-10,6.593750,6.593750,6.406250,6.437500,4.828767,84800
1980-10-13,6.437500,6.500000,6.375000,6.500000,4.875648,107200
1980-10-14,6.625000,6.718750,6.625000,6.625000,4.969411,304000
1980-10-15,6.625000,6.796875,6.531250,6.703125,5.028011,361600
1980-10-16,6.734375,6.937500,6.734375,6.781250,5.086615,628800
1980-10-17,6.781250,6.921875,6.718750,6.843750,5.133495,157600
1980-10-20,6.843750,6.906250,6.812500,6.875000,5.156937,144800
1980-10-21,6.921875,7.093750,6.921875,6.937500,5.203815,475200
1980-10-22,6.937500,7.093750,6.921875,7.000000,5.250696,160800
1980-10-23,6.968750,6.968750,6.687500,6.687500,5.016293,116800
1980-10-24,6.687500,6.687500,6.453125,6.640625,4.981131,136000
1980-10-27,6.515625,6.515625,6.312500,6.406250,4.805325,149600
1980-10-28,6.406250,6.421875,6.250000,6.375000,4.781885,162400
1980-10-29,6.375000,6.421875,6.250000,6.281250,4.711563,94400
1980-10-30,6.281250,6.281250,5.906250,6.156250,4.617802,220800
1980-10-31,6.156250,6.250000,5.921875,6.109375,4.582641,422400
1980-11-03,6.187500,6.546875,6.187500,6.531250,4.899088,86400
1980-11-05,6.687500,7.156250,6.687500,6.734375,5.051450,351200
1980-11-06,6.734375,6.781250,6.593750,6.656250,4.992851,167200
1980-11-07,6.593750,6.593750,6.421875,6.484375,4.863927,74400
1980-11-10,6.484375,6.734375,6.453125,6.734375,5.051450,242400
1980-11-11,6.765625,6.875000,6.765625,6.875000,5.156937,138400
1980-11-12,6.875000,6.906250,6.750000,6.906250,5.180373,95200
1980-11-13,6.906250,7.187500,6.812500,7.156250,5.367898,444800
1980-11-14,7.203125,7.656250,7.203125,7.437500,5.578865,367200
1980-11-17,7.437500,7.500000,7.250000,7.421875,5.567144,139200
1980-11-18,7.421875,7.609375,7.375000,7.531250,5.649189,234400
1980-11-19,7.531250,7.609375,7.390625,7.390625,5.543705,176800
1980-11-20,7.390625,7.500000,7.218750,7.500000,5.625748,157600
1980-11-21,7.500000,7.703125,7.468750,7.625000,5.719512,163200
1980-11-24,7.609375,7.609375,7.515625,7.609375,5.707789,68800
1980-11-25,7.609375,8.000000,7.609375,7.968750,5.977359,88800
1980-11-26,8.000000,8.203125,8.000000,8.000000,6.000796,122400
1980-11-28,7.968750,7.968750,7.765625,7.765625,5.824994,66400
1980-12-01,7.765625,7.843750,7.640625,7.734375,5.801552,31200
1980-12-02,7.734375,7.781250,7.500000,7.609375,5.707789,149600
1980-12-03,7.546875,7.546875,7.500000,7.515625,5.637466,104800
1980-12-04,7.515625,7.625000,7.500000,7.531250,5.649189,112000
1980-12-05,7.437500,7.437500,7.156250,7.218750,5.414781,140800
1980-12-08,7.156250,7.156250,6.812500,7.000000,5.250696,144000
1980-12-09,6.968750,6.968750,6.562500,6.656250,4.992851,236800
1980-12-10,6.656250,6.843750,6.500000,6.531250,4.899088,648000
1980-12-11,6.531250,6.531250,6.250000,6.343750,4.758447,268800
1980-12-12,6.500000,6.687500,6.500000,6.687500,5.016293,201600
1980-12-15,6.750000,6.906250,6.750000,6.843750,5.133495,169600
1980-12-16,6.843750,6.859375,6.656250,6.750000,5.063170,166400
1980-12-17,6.750000,7.000000,6.718750,7.000000,5.250696,768000
1980-12-18,7.000000,7.078125,6.890625,6.984375,5.238975,249600
1980-12-19,6.984375,7.062500,6.968750,7.015625,5.262420,143200
1980-12-22,7.015625,7.187500,7.000000,7.187500,5.391339,89600
1980-12-23,7.187500,7.234375,6.875000,6.890625,5.168656,48800
1980-12-24,6.906250,6.937500,6.906250,6.937500,5.203815,4000
1980-12-26,6.953125,7.000000,6.953125,7.000000,5.250696,15200
1980-12-29,7.000000,7.046875,6.937500,6.984375,5.238975,56000
1980-12-30,6.984375,6.984375,6.890625,6.906250,5.180373,16800
1980-12-31,6.906250,6.921875,6.718750,6.718750,5.039733,202400
1981-01-02,6.718750,6.984375,6.687500,6.953125,5.215537,29600
1981-01-05,6.953125,7.031250,6.953125,7.000000,5.250696,133600
1981-01-06,7.000000,7.078125,6.843750,6.859375,5.145215,487200
1981-01-07,6.859375,6.968750,6.265625,6.968750,5.227258,1041600
1981-01-08,6.968750,7.031250,6.656250,6.781250,5.086615,307200
1981-01-09,6.781250,6.906250,6.656250,6.875000,5.156937,232800
1981-01-12,6.875000,6.906250,6.781250,6.781250,5.086615,158400
1981-01-13,6.718750,6.718750,6.593750,6.593750,4.945970,235200
1981-01-14,6.593750,6.843750,6.593750,6.765625,5.074892,296800
1981-01-15,6.781250,7.000000,6.781250,6.937500,5.203815,481600
1981-01-16,7.000000,7.250000,7.000000,7.250000,5.438221,135200
1981-01-19,7.250000,7.250000,7.140625,7.140625,5.356178,40800
1981-01-20,7.140625,7.250000,6.875000,6.875000,5.156937,131200
1981-01-21,6.750000,6.750000,6.593750,6.656250,4.992851,308800
1981-01-22,6.656250,6.671875,6.468750,6.671875,5.004569,91200
1981-01-23,6.671875,6.859375,6.593750,6.593750,4.945970,505600
1981-01-26,6.578125,6.578125,6.406250,6.500000,4.875648,92000
1981-01-27,6.500000,6.687500,6.484375,6.625000,4.969411,118400
1981-01-28,6.625000,6.625000,6.500000,6.515625,4.887367,56000
1981-01-29,6.515625,6.718750,6.453125,6.453125,4.840487,202400
1981-01-30,6.453125,6.500000,6.125000,6.125000,4.594363,113600
1981-02-02,6.125000,6.250000,5.953125,6.000000,4.500598,204000
1981-02-03,6.000000,6.031250,5.812500,5.937500,4.453716,212800
1981-02-04,5.937500,5.984375,5.843750,5.875000,4.406836,178400
1981-02-05,5.875000,6.031250,5.875000,6.000000,4.500598,426400
1981-02-06,6.000000,6.250000,5.953125,6.250000,4.688124,300800
1981-02-09,6.250000,6.343750,6.156250,6.218750,4.664685,75200
1981-02-10,6.171875,6.171875,5.968750,6.062500,4.547477,97600
1981-02-11,6.062500,6.125000,6.000000,6.125000,4.594363,184800
1981-02-12,6.078125,6.078125,5.953125,6.015625,4.512321,182400
1981-02-13,6.015625,6.031250,5.906250,5.937500,4.453716,264000
1981-02-17,5.937500,6.000000,5.906250,5.984375,4.488878,93600
