Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,7.886802,7.905625,7.867979,7.886802,2.842565,33800
1982-01-04,7.867979,7.886802,7.849156,7.849156,2.828997,65000
1982-01-05,7.867979,7.886802,7.849156,7.849156,2.828997,318000
1982-01-06,7.660927,7.811511,7.491521,7.585635,2.734019,369200
1982-01-07,7.397406,7.453875,7.322114,7.453875,2.686531,151400
1982-01-08,7.604458,7.755042,7.453875,7.717396,2.781508,305400
1982-01-11,7.303292,7.679750,6.908010,6.908010,2.489789,687300
1982-01-12,6.851542,6.926833,6.757427,6.757427,2.435515,238400
1982-01-13,6.569198,6.700958,6.437438,6.437438,2.320184,478100
1982-01-14,6.512729,6.550375,6.475083,6.475083,2.333754,130100
1982-01-15,6.588021,6.663312,6.512729,6.663312,2.401593,564400
1982-01-18,6.569198,6.606844,6.512729,6.531552,2.354105,813500
1982-01-19,6.550375,6.588021,6.493906,6.550375,2.360888,345300
1982-01-20,6.644490,6.757427,6.531552,6.719781,2.421948,763000
1982-01-21,6.870365,6.945656,6.776250,6.926833,2.496573,56400
1982-01-22,7.039771,7.115063,6.964479,7.115063,2.564415,82300
1982-01-25,7.265646,7.303292,7.228000,7.265646,2.618688,70300
1982-01-26,7.322114,7.378583,7.265646,7.322114,2.639041,292800
1982-01-27,7.322114,7.322114,7.303292,7.322114,2.639041,95600
1982-01-28,7.322114,7.340938,7.303292,7.340938,2.645824,67000
1982-01-29,7.397406,7.453875,7.322114,7.397406,2.666178,115500
1982-02-01,7.453875,7.529167,7.378583,7.453875,2.686531,320700
1982-02-02,7.491521,7.566813,7.416229,7.566813,2.727234,79600
1982-02-03,7.698573,7.980917,7.416229,7.491521,2.700099,929700
1982-02-04,7.491521,7.604458,7.378583,7.435052,2.679745,195200
1982-02-05,7.491521,7.566813,7.397406,7.529167,2.713666,132800
1982-02-08,7.435052,7.529167,7.322114,7.322114,2.639041,71000
1982-02-09,7.228000,7.303292,7.133885,7.171531,2.584766,156700
1982-02-10,7.020948,7.115063,6.926833,6.926833,2.496573,39100
1982-02-11,6.889187,6.926833,6.851542,6.908010,2.489789,61000
1982-02-12,6.870365,6.908010,6.813896,6.813896,2.455868,51100
1982-02-16,6.870365,6.964479,6.776250,6.964479,2.510140,71000
1982-02-17,7.039771,7.058594,7.002125,7.002125,2.523710,35100
1982-02-18,7.058594,7.133885,6.983302,7.115063,2.564415,161300
1982-02-19,7.096240,7.115063,7.077417,7.096240,2.557631,94200
1982-02-22,7.039771,7.152709,6.926833,6.926833,2.496573,146700
1982-02-23,6.851542,6.889187,6.813896,6.832719,2.486982,71700
1982-02-24,6.870365,6.908010,6.832719,6.851542,2.493832,67700
1982-02-25,6.908010,6.926833,6.870365,6.889187,2.507535,71000
1982-02-26,6.889187,6.889187,6.889187,6.889187,2.507535,4600
1982-03-01,6.889187,6.889187,6.889187,6.889187,2.507535,17900
1982-03-02,6.908010,6.926833,6.889187,6.889187,2.507535,19200
1982-03-03,6.945656,7.002125,6.889187,6.945656,2.528089,108900
1982-03-04,6.945656,6.964479,6.926833,6.945656,2.528089,182600
1982-03-05,6.945656,6.964479,6.926833,6.926833,2.521238,102200
1982-03-08,6.813896,6.964479,6.663312,6.663312,2.425319,222400
1982-03-09,6.418614,6.569198,6.249208,6.437438,2.343104,230400
1982-03-10,6.475083,6.512729,6.437438,6.475083,2.356808,183200
1982-03-11,6.362146,6.512729,6.192739,6.192739,2.254041,389800
1982-03-12,6.004510,6.098625,5.910396,5.985688,2.178678,312100
1982-03-15,5.985688,6.004510,5.948041,5.985688,2.178678,303400
1982-03-16,5.985688,6.004510,5.966865,5.985688,2.178678,309400
1982-03-17,6.023334,6.042156,5.985688,6.042156,2.199230,250300
1982-03-18,6.192739,6.249208,6.117448,6.249208,2.274593,261600
1982-03-19,6.362146,6.380969,6.324500,6.380969,2.322552,87600
1982-03-22,6.531552,6.569198,6.475083,6.569198,2.391064,29200
1982-03-23,6.663312,6.776250,6.550375,6.776250,2.466427,102900
1982-03-24,6.795073,6.813896,6.776250,6.813896,2.480128,34500
1982-03-25,6.908010,7.002125,6.813896,6.926833,2.521238,110200
1982-03-26,6.945656,7.002125,6.889187,6.964479,2.534939,115500
1982-03-29,6.983302,7.002125,6.964479,7.002125,2.548641,117500
1982-03-30,7.058594,7.077417,7.020948,7.077417,2.576046,33200
1982-03-31,7.058594,7.115063,7.002125,7.002125,2.548641,141400
1982-04-01,6.964479,7.002125,6.926833,6.945656,2.528089,140100
1982-04-02,7.096240,7.228000,6.945656,7.152709,2.603451,624900
1982-04-05,6.945656,7.115063,6.776250,6.795073,2.473278,454200
1982-04-06,6.832719,6.851542,6.795073,6.851542,2.493832,154000
1982-04-07,6.889187,6.926833,6.851542,6.870365,2.500683,238400
1982-04-08,6.870365,6.889187,6.851542,6.870365,2.500683,75000
1982-04-12,7.058594,7.152709,6.964479,7.115063,2.589749,253000
1982-04-13,7.435052,7.529167,7.340938,7.340938,2.671962,272200
1982-04-14,7.322114,7.359760,7.265646,7.303292,2.658260,118200
1982-04-15,7.303292,7.340938,7.265646,7.303292,2.658260,164600
1982-04-16,7.322114,7.359760,7.265646,7.303292,2.658260,178600
1982-04-19,7.322114,7.340938,7.303292,7.303292,2.658260,27800
1982-04-20,7.284469,7.303292,7.265646,7.284469,2.651409,65700
1982-04-21,7.209177,7.228000,7.171531,7.209177,2.624005,67000
1982-04-22,7.209177,7.265646,7.152709,7.228000,2.630857,278200
