Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,11.437500,11.562500,11.437500,11.500000,1.437626,209000
1980-01-03,11.500000,11.562500,11.437500,11.500000,1.437626,92000
1980-01-04,11.500000,11.625000,11.500000,11.562500,1.445440,102400
1980-01-07,11.562500,11.562500,11.500000,11.500000,1.437626,93000
1980-01-08,11.500000,11.562500,11.375000,11.375000,1.422000,115000
1980-01-09,11.375000,11.437500,11.375000,11.375000,1.422000,165400
1980-01-10,11.375000,11.437500,11.375000,11.375000,1.422000,193400
1980-01-11,11.375000,11.437500,11.250000,11.312500,1.414187,60000
1980-01-14,11.312500,11.312500,11.187500,11.250000,1.406374,69600
1980-01-15,11.250000,11.312500,11.187500,11.250000,1.406374,77600
1980-01-16,11.250000,11.312500,11.125000,11.187500,1.398560,148200
1980-01-17,11.187500,11.187500,11.000000,11.062500,1.382934,114600
1980-01-18,11.062500,11.187500,11.000000,11.187500,1.398560,138400
1980-01-21,11.187500,11.187500,10.937500,11.000000,1.375121,142400
1980-01-22,11.000000,11.000000,10.687500,11.000000,1.375121,88200
1980-01-23,11.000000,11.062500,10.937500,10.937500,1.367309,89200
1980-01-24,10.937500,11.125000,10.937500,11.062500,1.382934,233400
1980-01-25,11.062500,11.062500,10.937500,11.000000,1.375121,96800
1980-01-28,10.937500,10.937500,10.750000,10.750000,1.343869,126200
1980-01-29,10.750000,10.875000,10.750000,10.875000,1.359495,106600
1980-01-30,10.875000,10.875000,10.625000,10.687500,1.336055,245600
1980-01-31,10.687500,10.687500,10.625000,10.687500,1.336055,104200
1980-02-01,10.625000,10.625000,10.500000,10.625000,1.328242,234200
1980-02-04,10.625000,10.812500,10.562500,10.562500,1.320429,151000
1980-02-05,10.562500,10.687500,10.500000,10.500000,1.312616,511000
1980-02-06,10.500000,10.687500,10.500000,10.500000,1.312616,207600
1980-02-07,10.500000,10.562500,10.437500,10.500000,1.312616,123400
1980-02-08,10.500000,10.562500,10.437500,10.500000,1.312616,148800
1980-02-11,10.500000,10.937500,10.437500,10.500000,1.312616,175400
1980-02-12,10.500000,10.562500,10.437500,10.500000,1.312616,78000
1980-02-13,10.500000,10.500000,10.375000,10.500000,1.312616,263800
1980-02-14,10.500000,10.750000,10.437500,10.562500,1.320429,120600
1980-02-15,10.500000,10.500000,10.375000,10.437500,1.304803,107600
1980-02-19,10.437500,10.437500,10.062500,10.187500,1.273550,358200
1980-02-20,10.187500,10.187500,10.000000,10.000000,1.250110,193000
1980-02-21,10.000000,10.187500,10.000000,10.187500,1.273550,220400
1980-02-22,10.187500,10.187500,10.062500,10.187500,1.273550,159400
1980-02-25,10.187500,10.375000,10.187500,10.375000,1.296989,139600
1980-02-26,10.375000,10.375000,10.312500,10.375000,1.296989,90600
1980-02-27,10.375000,10.875000,10.125000,10.437500,1.304803,136600
1980-02-28,10.437500,10.437500,10.375000,10.437500,1.304803,84600
1980-02-29,10.437500,10.937500,10.375000,10.937500,1.367309,119800
1980-03-03,10.937500,10.937500,10.750000,10.750000,1.343869,183600
