Date,Open,High,Low,Close,Adj Close,Volume
1985-07-01,6.543210,6.716050,6.543210,6.716050,3.483221,200700
1985-07-02,6.716050,6.790120,6.691360,6.790120,3.521637,271300
1985-07-03,6.790120,6.814810,6.716050,6.716050,3.483221,263200
1985-07-05,6.740740,6.839510,6.740740,6.839510,3.547251,102600
1985-07-08,6.765430,6.765430,6.716050,6.765430,3.508831,72900
1985-07-09,6.765430,6.765430,6.666670,6.691360,3.470415,137700
1985-07-10,6.666670,6.666670,6.592590,6.641980,3.444804,81900
1985-07-11,6.641980,6.716050,6.641980,6.666670,3.457611,136500
1985-07-12,6.666670,6.716050,6.567900,6.641980,3.444804,610300
1985-07-15,6.617280,6.617280,6.518520,6.567900,3.406384,392100
1985-07-16,6.567900,6.617280,6.493830,6.617280,3.431996,353200
1985-07-17,6.617280,6.765430,6.617280,6.641980,3.444804,374500
1985-07-18,6.641980,6.691360,6.543210,6.592590,3.419190,125500
1985-07-19,6.592590,6.666670,6.592590,6.617280,3.431996,222000
1985-07-22,6.617280,6.617280,6.567900,6.592590,3.419190,82900
1985-07-23,6.592590,6.617280,6.567900,6.592590,3.419190,180100
1985-07-24,6.592590,6.592590,6.567900,6.592590,3.419190,64900
1985-07-25,6.592590,6.617280,6.543210,6.592590,3.419190,599500
1985-07-26,6.617280,6.666670,6.617280,6.617280,3.431996,107500
1985-07-29,6.617280,6.691360,6.617280,6.691360,3.470415,148000
1985-07-30,6.691360,6.691360,6.641980,6.666670,3.457611,58000
1985-07-31,6.666670,6.691360,6.641980,6.666670,3.457611,54600
1985-08-01,6.666670,6.765430,6.641980,6.740740,3.496026,191200
1985-08-02,6.740740,6.814810,6.740740,6.740740,3.496026,64000
1985-08-05,6.740740,6.765430,6.666670,6.691360,3.470415,173400
1985-08-06,6.691360,6.740740,6.617280,6.666670,3.457611,373500
1985-08-07,6.666670,6.716050,6.666670,6.666670,3.457611,193600
1985-08-08,6.666670,6.740740,6.666670,6.740740,3.496026,155800
1985-08-09,6.740740,6.790120,6.716050,6.716050,3.483221,64800
1985-08-12,6.716050,6.765430,6.691360,6.691360,3.470415,98100
1985-08-13,6.691360,6.691360,6.641980,6.641980,3.444804,118800
1985-08-14,6.617280,6.617280,6.518520,6.543210,3.422077,158100
1985-08-15,6.543210,6.567900,6.543210,6.543210,3.422077,38700
1985-08-16,6.543210,6.567900,6.518520,6.518520,3.409165,38700
1985-08-19,6.518520,6.592590,6.493830,6.592590,3.447901,257400
1985-08-20,6.592590,6.592590,6.543210,6.543210,3.422077,45900
1985-08-21,6.543210,6.592590,6.543210,6.592590,3.447901,374800
1985-08-22,6.641980,6.691360,6.641980,6.641980,3.473733,95400
1985-08-23,6.666670,6.716050,6.666670,6.691360,3.499559,47400
1985-08-26,6.691360,6.814810,6.691360,6.716050,3.512470,214600
1985-08-27,6.716050,6.740740,6.666670,6.740740,3.525383,54000
1985-08-28,6.740740,6.740740,6.666670,6.691360,3.499559,60900
1985-08-29,6.691360,6.716050,6.666670,6.666670,3.486646,114700
1985-08-30,6.666670,6.691360,6.592590,6.641980,3.473733,75100
1985-09-03,6.592590,6.592590,6.493830,6.493830,3.396249,75700
1985-09-04,6.518520,6.641980,6.518520,6.567900,3.434988,262500
1985-09-05,6.567900,6.592590,6.469140,6.493830,3.396249,117600
1985-09-06,6.493830,6.567900,6.493830,6.567900,3.434988,295800
1985-09-09,6.567900,6.641980,6.567900,6.641980,3.473733,620500
1985-09-10,6.641980,6.666670,6.617280,6.617280,3.460812,123400
1985-09-11,6.617280,6.666670,6.518520,6.518520,3.409165,152100
1985-09-12,6.518520,6.567900,6.370370,6.370370,3.331683,201300
1985-09-13,6.370370,6.444440,6.197530,6.320990,3.305857,113500
1985-09-16,6.296300,6.296300,6.197530,6.197530,3.241287,64800
1985-09-17,6.197530,6.296300,6.148150,6.148150,3.215461,99100
