Date,Open,High,Low,Close,Adj Close,Volume
1985-07-01,2.046880,2.109380,2.046880,2.062500,1.615731,178400
1985-07-02,2.062500,2.062500,2.015620,2.031250,1.591250,337600
1985-07-03,2.046880,2.093750,2.046880,2.093750,1.640211,1909600
1985-07-05,2.093750,2.093750,2.078120,2.078120,1.627966,116800
1985-07-08,2.078120,2.093750,2.062500,2.093750,1.640211,158400
1985-07-09,2.093750,2.093750,2.031250,2.062500,1.615731,261600
1985-07-10,2.062500,2.062500,1.984380,2.015620,1.579006,1311200
1985-07-11,2.015620,2.093750,2.015620,2.062500,1.615731,1032800
1985-07-12,2.062500,2.093750,2.046880,2.062500,1.615731,1602400
1985-07-15,2.062500,2.125000,2.062500,2.125000,1.664692,782400
1985-07-16,2.125000,2.187500,2.109380,2.187500,1.713653,472800
1985-07-17,2.203120,2.281250,2.203120,2.265620,1.774851,1344000
1985-07-18,2.265620,2.281250,2.218750,2.234380,1.750378,608800
1985-07-19,2.234380,2.281250,2.234380,2.250000,1.762615,1107200
1985-07-22,2.250000,2.250000,2.218750,2.250000,1.762615,449600
1985-07-23,2.250000,2.250000,2.203120,2.234380,1.750378,228000
1985-07-24,2.234380,2.234380,2.171880,2.187500,1.713653,293600
1985-07-25,2.187500,2.187500,2.156250,2.156250,1.689172,116800
1985-07-26,2.156250,2.171880,2.125000,2.140620,1.676928,529600
1985-07-29,2.140620,2.140620,2.062500,2.093750,1.640211,158400
1985-07-30,2.078120,2.078120,1.968750,2.000000,1.566769,301600
1985-07-31,2.000000,2.031250,1.984380,2.000000,1.566769,252000
1985-08-01,2.000000,2.031250,1.984380,2.015620,1.579006,217600
1985-08-02,2.015620,2.015620,1.984380,1.984380,1.554532,313600
1985-08-05,1.968750,1.968750,1.890620,1.921880,1.505571,208800
1985-08-06,1.921880,1.921880,1.796880,1.875000,1.468845,649600
1985-08-07,1.875000,1.875000,1.859380,1.875000,1.468845,155200
1985-08-08,1.875000,1.875000,1.750000,1.812500,1.419884,1389600
1985-08-09,1.828120,1.875000,1.828120,1.875000,1.468845,577600
1985-08-12,1.875000,1.890620,1.843750,1.843750,1.444366,57600
1985-08-13,1.843750,1.843750,1.828120,1.828120,1.432120,336800
1985-08-14,1.828120,1.828120,1.812500,1.812500,1.419884,112800
1985-08-15,1.812500,1.843750,1.796880,1.828120,1.432120,34400
1985-08-16,1.828120,1.843750,1.781250,1.781250,1.395403,68800
1985-08-19,1.781250,1.812500,1.750000,1.750000,1.370923,334400
1985-08-20,1.750000,1.781250,1.750000,1.750000,1.370923,911200
1985-08-21,1.750000,1.765620,1.734380,1.750000,1.370923,513600
1985-08-22,1.750000,1.796880,1.750000,1.765620,1.383159,130400
1985-08-23,1.765620,1.781250,1.750000,1.781250,1.395403,81600
1985-08-26,1.781250,1.796880,1.750000,1.750000,1.370923,69600
1985-08-27,1.750000,1.765620,1.750000,1.765620,1.383159,130400
1985-08-28,1.765620,1.765620,1.703120,1.703120,1.334198,258400
1985-08-29,1.703120,1.734380,1.703120,1.718750,1.346442,772000
1985-08-30,1.750000,1.796880,1.750000,1.796880,1.407647,383200
1985-09-03,1.796880,1.828120,1.750000,1.781250,1.395403,148800
1985-09-04,1.781250,1.812500,1.765620,1.796880,1.407647,159200
1985-09-05,1.796880,1.796880,1.703120,1.750000,1.370923,127200
1985-09-06,1.734380,1.734380,1.687500,1.734380,1.358686,158400
1985-09-09,1.718750,1.718750,1.671880,1.703120,1.337089,79200
1985-09-10,1.703120,1.718750,1.671880,1.687500,1.324826,77600
1985-09-11,1.671880,1.671880,1.609380,1.609380,1.263495,193600
1985-09-12,1.609380,1.609380,1.531250,1.531250,1.202156,200800
1985-09-13,1.531250,1.546880,1.484380,1.500000,1.177623,352000
1985-09-16,1.484380,1.484380,1.375000,1.437500,1.128555,292800
1985-09-17,1.437500,1.500000,1.406250,1.500000,1.177623,172000
1985-09-18,1.500000,1.562500,1.484380,1.500000,1.177623,443200
1985-09-19,1.500000,1.562500,1.500000,1.546880,1.214427,252800
1985-09-20,1.546880,1.593750,1.531250,1.531250,1.202156,258400
1985-09-23,1.531250,1.593750,1.531250,1.562500,1.226690,304800
1985-09-24,1.562500,1.562500,1.531250,1.546880,1.214427,73600
1985-09-25,1.546880,1.546880,1.515620,1.515620,1.189886,43200
1985-09-26,1.515620,1.531250,1.515620,1.531250,1.202156,152000
1985-09-30,1.531250,1.546880,1.500000,1.546880,1.214427,160800
1985-10-01,1.515620,1.546880,1.515620,1.531250,1.202156,292800
1985-10-02,1.546880,1.593750,1.546880,1.578120,1.238953,323200
1985-10-03,1.578120,1.609380,1.562500,1.562500,1.226690,138400
1985-10-04,1.562500,1.593750,1.562500,1.593750,1.251225,825600
1985-10-07,1.578120,1.578120,1.562500,1.578120,1.238953,58400
1985-10-08,1.578120,1.578120,1.546880,1.562500,1.226690,48000
1985-10-09,1.562500,1.578120,1.546880,1.562500,1.226690,121600
1985-10-10,1.562500,1.562500,1.500000,1.500000,1.177623,1608800
1985-10-11,1.500000,1.515620,1.453120,1.468750,1.153089,104800
1985-10-14,1.468750,1.484380,1.421880,1.453120,1.140818,352800
1985-10-15,1.453120,1.468750,1.406250,1.421880,1.116292,174400
1985-10-16,1.421880,1.484380,1.390620,1.406250,1.104022,161600
1985-10-17,1.406250,1.406250,1.312500,1.312500,1.030419,1176800
1985-10-18,1.312500,1.343750,1.296880,1.328120,1.042683,724000
1985-10-21,1.328120,1.343750,1.312500,1.343750,1.054953,629600
1985-10-22,1.343750,1.375000,1.312500,1.328120,1.042683,3619200
1985-10-23,1.343750,1.406250,1.343750,1.390620,1.091750,1214400
1985-10-24,1.390620,1.390620,1.375000,1.390620,1.091750,395200
1985-10-25,1.390620,1.406250,1.375000,1.375000,1.079487,192800
1985-10-28,1.375000,1.406250,1.375000,1.390620,1.091750,152800
1985-10-29,1.390620,1.406250,1.390620,1.406250,1.104022,244800
1985-10-30,1.406250,1.421880,1.390620,1.390620,1.091750,248000
1985-10-31,1.390620,1.406250,1.359380,1.375000,1.079487,150400
1985-11-01,1.375000,1.375000,1.343750,1.359380,1.067225,87200
1985-11-04,1.359380,1.390620,1.359380,1.375000,1.079487,632000
