Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,2.770830,2.854170,2.770830,2.770830,0.652170,123600
1980-01-03,2.729170,2.791670,2.729170,2.729170,0.642365,27600
1980-01-04,2.729170,2.833330,2.729170,2.729170,0.642365,26800
1980-01-07,2.729170,2.833330,2.729170,2.729170,0.642365,8800
1980-01-08,2.770830,2.854170,2.770830,2.770830,0.652170,7200
1980-01-09,2.791670,2.875000,2.791670,2.791670,0.657076,19200
1980-01-10,2.791670,2.875000,2.791670,2.791670,0.657076,57600
1980-01-11,2.791670,2.875000,2.791670,2.791670,0.657076,54400
1980-01-14,2.791670,2.895830,2.791670,2.791670,0.657076,19200
1980-01-15,2.833330,2.916670,2.833330,2.833330,0.666881,31200
1980-01-16,3.083330,3.166670,3.083330,3.083330,0.725724,295600
1980-01-17,3.125000,3.208330,3.125000,3.125000,0.735532,159600
1980-01-18,3.166670,3.250000,3.166670,3.166670,0.745340,66400
1980-01-21,3.270830,3.354170,3.270830,3.270830,0.769856,87600
1980-01-22,3.333330,3.395830,3.333330,3.333330,0.784566,71200
1980-01-23,3.416670,3.520830,3.416670,3.416670,0.804182,107200
1980-01-24,3.375000,3.479170,3.375000,3.375000,0.794374,61200
1980-01-25,3.354170,3.458330,3.354170,3.354170,0.789472,31200
1980-01-28,3.333330,3.395830,3.333330,3.333330,0.784566,50400
1980-01-29,3.291670,3.375000,3.291670,3.291670,0.774761,52000
1980-01-30,3.333330,3.395830,3.333330,3.333330,0.784566,40800
1980-01-31,3.291670,3.375000,3.291670,3.291670,0.774761,80800
1980-02-01,3.270830,3.354170,3.270830,3.270830,0.769856,54400
1980-02-04,3.270830,3.354170,3.270830,3.270830,0.769856,63600
1980-02-05,3.250000,3.333330,3.250000,3.250000,0.764953,30000
1980-02-06,3.270830,3.354170,3.270830,3.270830,0.769856,49200
1980-02-07,3.270830,3.354170,3.270830,3.270830,0.769856,36000
1980-02-08,3.250000,3.333330,3.250000,3.250000,0.764953,78400
1980-02-11,3.250000,3.333330,3.250000,3.250000,0.764953,42400
1980-02-12,3.270830,3.354170,3.270830,3.270830,0.769856,21600
1980-02-13,3.270830,3.354170,3.270830,3.270830,0.769856,37200
1980-02-14,3.250000,3.333330,3.250000,3.250000,0.764953,22800
1980-02-15,3.229170,3.333330,3.229170,3.229170,0.760050,18000
1980-02-19,3.208330,3.291670,3.208330,3.208330,0.755145,25600
1980-02-20,3.187500,3.270830,3.187500,3.187500,0.750242,18400
1980-02-21,3.145830,3.229170,3.145830,3.145830,0.740434,80800
1980-02-22,3.104170,3.187500,3.104170,3.104170,0.730629,48400
1980-02-25,3.104170,3.187500,3.104170,3.104170,0.730629,22800
1980-02-26,3.104170,3.187500,3.104170,3.104170,0.730629,19200
1980-02-27,3.083330,3.166670,3.083330,3.083330,0.725724,159600
1980-02-28,3.208330,3.291670,3.208330,3.208330,0.755145,103600
1980-02-29,3.208330,3.291670,3.208330,3.208330,0.755145,49600
1980-03-03,3.145830,3.229170,3.145830,3.145830,0.740434,80400
1980-03-04,3.145830,3.229170,3.145830,3.145830,0.740434,12400
1980-03-05,3.125000,3.208330,3.125000,3.125000,0.735532,85600
1980-03-06,3.104170,3.187500,3.104170,3.104170,0.730629,92800
1980-03-07,3.104170,3.187500,3.104170,3.104170,0.730629,58800
1980-03-10,3.083330,3.166670,3.083330,3.083330,0.725724,34000
1980-03-11,3.083330,3.166670,3.083330,3.083330,0.725724,35200
1980-03-12,3.041670,3.145830,3.041670,3.041670,0.715918,58800
1980-03-13,3.041670,3.145830,3.041670,3.041670,0.715918,8400
1980-03-14,3.041670,3.145830,3.041670,3.041670,0.715918,14800
1980-03-17,2.958330,3.041670,2.958330,2.958330,0.696302,102400
1980-03-18,2.895830,3.000000,2.895830,2.895830,0.681592,68800
1980-03-19,2.916670,3.000000,2.916670,2.916670,0.686497,14800
1980-03-20,2.916670,3.000000,2.916670,2.916670,0.686497,18400
1980-03-21,2.916670,3.000000,2.916670,2.916670,0.686497,53200
1980-03-24,2.833330,2.916670,2.833330,2.833330,0.666881,46000
1980-03-25,2.770830,2.854170,2.770830,2.770830,0.652170,58800
