Date,Open,High,Low,Close,Adj Close,Volume
1983-04-06,3.843750,3.859375,3.812500,3.843750,1.424035,960000
1983-04-07,3.859375,3.859375,3.828125,3.843750,1.424035,464000
1983-04-08,3.843750,3.843750,3.750000,3.765625,1.395090,219200
1983-04-11,3.765625,3.796875,3.750000,3.765625,1.395090,387200
1983-04-12,3.796875,3.828125,3.781250,3.828125,1.418245,313600
1983-04-13,3.843750,3.906250,3.843750,3.906250,1.447190,401600
1983-04-14,3.937500,3.953125,3.914060,3.937500,1.458767,316800
1983-04-15,3.953125,3.960940,3.914060,3.914060,1.450083,286400
1983-04-18,3.914060,3.929690,3.888670,3.929690,1.455874,337600
1983-04-19,3.929690,3.976560,3.898440,3.976560,1.473238,494400
1983-04-20,3.976560,3.992190,3.968750,3.984375,1.476133,198400
1983-04-21,3.984375,4.015625,3.953125,3.953125,1.464556,465600
1983-04-22,3.960940,4.000000,3.937500,3.953125,1.464556,182400
1983-04-25,3.953125,4.000000,3.906250,3.968750,1.470344,468800
1983-04-26,3.992190,4.015625,3.968750,4.000000,1.481921,272000
1983-04-27,4.046875,4.093750,4.000000,4.023440,1.490607,387200
1983-04-28,4.031250,4.046875,4.015625,4.039060,1.496393,571200
1983-04-29,4.062500,4.085940,4.039060,4.085940,1.513760,619200
1983-05-02,4.085940,4.117190,4.046875,4.054690,1.502183,670400
1983-05-03,4.023440,4.039060,4.000000,4.039060,1.496393,428800
1983-05-04,4.007810,4.031250,3.976560,3.992190,1.492657,451200
1983-05-05,3.968750,4.007810,3.921875,3.937500,1.472209,740800
1983-05-06,3.953125,4.078125,3.953125,4.046875,1.513104,803200
1983-05-09,4.015625,4.062500,4.000000,4.054690,1.516026,553600
1983-05-10,4.070310,4.070310,4.031250,4.031250,1.507262,492800
1983-05-11,4.039060,4.046875,4.000000,4.023440,1.504341,252800
1983-05-12,4.023440,4.031250,3.968750,3.976560,1.486814,396800
1983-05-13,3.992190,3.992190,3.960940,3.984375,1.489736,225600
1983-05-16,3.968750,4.000000,3.937500,4.000000,1.495577,356800
1983-05-17,4.000000,4.015625,3.976560,4.015625,1.501420,288000
1983-05-18,4.007810,4.140625,4.007810,4.031250,1.507262,825600
1983-05-19,3.984375,3.984375,3.921875,3.953125,1.478051,1417600
1983-05-20,3.953125,4.007810,3.937500,4.007810,1.498497,321600
1983-05-23,4.015625,4.062500,4.007810,4.039060,1.510182,488000
1983-05-24,4.046875,4.117190,4.046875,4.117190,1.539395,355200
1983-05-25,4.093750,4.117190,4.078125,4.109375,1.536472,580800
1983-05-26,4.093750,4.250000,4.078125,4.203125,1.571525,1388800
1983-05-27,4.203125,4.203125,4.156250,4.164060,1.556919,209600
1983-05-31,4.164060,4.171875,4.078125,4.093750,1.530631,601600
1983-06-01,4.062500,4.101560,4.062500,4.101560,1.533550,488000
1983-06-02,4.109375,4.117190,3.984375,4.031250,1.507262,366400
1983-06-03,4.015625,4.046875,3.968750,4.031250,1.507262,1065600
1983-06-06,4.062500,4.078125,4.054690,4.070310,1.521866,5444800
1983-06-07,4.085940,4.085940,4.031250,4.046875,1.513104,457600
1983-06-08,4.046875,4.054690,4.007810,4.007810,1.498497,444800
1983-06-09,4.015625,4.023440,3.984375,4.007810,1.498497,427200
1983-06-10,4.023440,4.062500,4.015625,4.062500,1.518947,1878400
1983-06-13,4.062500,4.093750,4.062500,4.078125,1.524788,1062400
1983-06-14,4.078125,4.109375,4.078125,4.109375,1.536472,272000
1983-06-15,4.109375,4.125000,4.101560,4.117190,1.539395,592000
1983-06-16,4.125000,4.156250,4.125000,4.156250,1.553998,628800
1983-06-17,4.156250,4.164060,4.125000,4.125000,1.542315,1081600
1983-06-20,4.109375,4.140625,4.101560,4.117190,1.539395,222400
1983-06-21,4.101560,4.117190,4.046875,4.093750,1.530631,340800
1983-06-22,4.085940,4.109375,4.062500,4.093750,1.530631,435200
1983-06-23,4.093750,4.109375,4.070310,4.070310,1.521866,145600
1983-06-24,4.070310,4.093750,4.062500,4.093750,1.530631,212800
1983-06-27,4.070310,4.085940,4.062500,4.078125,1.524788,609600
1983-06-28,4.093750,4.109375,4.046875,4.046875,1.513104,428800
1983-06-29,4.039060,4.039060,3.937500,3.937500,1.472209,1552000
1983-06-30,3.937500,3.984375,3.921875,3.968750,1.483894,534400
1983-07-01,3.953125,4.023440,3.953125,4.023440,1.504341,947200
1983-07-05,4.007810,4.007810,3.968750,3.992190,1.492657,155200
1983-07-06,3.968750,3.992190,3.937500,3.984375,1.489736,217600
1983-07-07,3.984375,3.984375,3.921875,3.968750,1.483894,452800
1983-07-08,3.968750,3.984375,3.960940,3.984375,1.489736,152000
1983-07-11,3.984375,3.992190,3.976560,3.976560,1.486814,395200
1983-07-12,3.976560,3.976560,3.906250,3.906250,1.460525,569600
