Date,Open,High,Low,Close,Adj Close,Volume
1985-04-08,5.821250,5.821250,5.704825,5.763038,1.033524,4659700
1985-04-09,5.763038,5.850356,5.733931,5.821250,1.043964,2293800
1985-04-10,5.821250,6.024994,5.821250,5.995887,1.075282,1964800
1985-04-11,5.995887,6.024994,5.966781,5.995887,1.075282,1061600
1985-04-12,5.995887,6.054100,5.850356,5.879463,1.054403,1269100
1985-04-15,5.908569,5.937675,5.879463,5.908569,1.059623,575000
1985-04-16,5.908569,5.966781,5.821250,5.850356,1.049184,741200
1985-04-17,5.792144,5.879463,5.792144,5.821250,1.043964,1139800
1985-04-18,5.792144,5.821250,5.763038,5.792144,1.038744,1379000
1985-04-19,5.792144,5.821250,5.763038,5.792144,1.038744,466400
1985-04-22,5.763038,5.792144,5.733931,5.733931,1.028304,505900
1985-04-23,5.733931,5.821250,5.733931,5.821250,1.043964,404600
1985-04-24,5.792144,5.821250,5.763038,5.792144,1.038744,317400
1985-04-25,5.792144,5.821250,5.704825,5.763038,1.033524,697400
1985-04-26,5.617506,5.733931,5.559294,5.675719,1.017864,1498000
1985-04-29,5.617506,5.646613,5.617506,5.617506,1.007425,551400
1985-04-30,5.617506,5.646613,5.588400,5.617506,1.007425,738200
1985-05-01,5.617506,5.646613,5.588400,5.617506,1.007425,421300
1985-05-02,5.646613,5.675719,5.588400,5.646613,1.012644,482700
1985-05-03,5.704825,5.704825,5.588400,5.704825,1.023084,366300
1985-05-06,5.675719,5.879463,5.675719,5.850356,1.049184,653600
1985-05-07,5.850356,5.937675,5.850356,5.908569,1.059623,487900
1985-05-08,5.908569,5.937675,5.850356,5.879463,1.054403,146400
1985-05-09,5.850356,5.908569,5.821250,5.879463,1.054403,451400
1985-05-10,5.879463,6.054100,5.850356,6.024994,1.080502,288200
1985-05-13,5.966781,5.995887,5.937675,5.937675,1.064843,294200
1985-05-14,5.995887,5.995887,5.966781,5.995887,1.075282,203600
1985-05-15,5.966781,5.995887,5.937675,5.966781,1.070062,639000
1985-05-16,5.966781,5.995887,5.937675,5.966781,1.070062,311400
1985-05-17,5.937675,6.024994,5.937675,5.995887,1.075282,529100
1985-05-20,6.054100,6.170525,6.054100,6.141419,1.101382,630000
1985-05-21,6.112312,6.199631,6.083206,6.112312,1.096162,614600
1985-05-22,5.995887,6.083206,5.966781,5.995887,1.075282,444100
1985-05-23,5.995887,5.995887,5.937675,5.966781,1.070062,273600
1985-05-24,5.937675,6.054100,5.937675,5.995887,1.075282,200600
1985-05-28,5.995887,6.112312,5.995887,6.112312,1.096162,206600
1985-05-29,6.083206,6.170525,6.083206,6.170525,1.106601,302800
1985-05-30,6.141419,6.170525,6.112312,6.170525,1.106601,195000
1985-05-31,6.112312,6.228737,6.112312,6.228737,1.117041,3565400
1985-06-03,6.286950,6.286950,6.228737,6.257844,1.122260,4337600
1985-06-04,6.112312,6.112312,6.024994,6.112312,1.122902,455200
1985-06-05,6.083206,6.228737,6.054100,6.083206,1.117555,646300
1985-06-06,6.083206,6.170525,6.054100,6.141419,1.128249,880800
1985-06-07,6.141419,6.170525,6.141419,6.141419,1.128249,520100
1985-06-10,6.141419,6.199631,6.141419,6.170525,1.133596,573800
1985-06-11,6.170525,6.199631,6.141419,6.170525,1.133596,475000
1985-06-12,6.170525,6.199631,6.141419,6.199631,1.138943,723600
1985-06-13,6.170525,6.199631,6.054100,6.112312,1.122902,457400
1985-06-14,6.112312,6.141419,6.083206,6.141419,1.128249,278700
1985-06-17,6.141419,6.199631,6.141419,6.199631,1.138943,447100
1985-06-18,6.170525,6.228737,6.170525,6.228737,1.144290,516600
1985-06-19,6.228737,6.257844,6.228737,6.228737,1.144290,348700
1985-06-20,6.199631,6.257844,6.199631,6.257844,1.149638,406700
1985-06-21,6.170525,6.170525,6.170525,6.170525,1.133596,241800
1985-06-24,6.170525,6.228737,6.170525,6.228737,1.144290,274900
1985-06-25,6.199631,6.345162,6.199631,6.286950,1.154984,740800
1985-06-26,6.286950,6.316056,6.257844,6.316056,1.160332,633000
1985-06-27,6.286950,6.316056,6.199631,6.257844,1.149638,700000
1985-06-28,6.257844,6.286950,6.257844,6.257844,1.149638,152000
1985-07-01,6.228737,6.257844,6.141419,6.199631,1.138943,237500
1985-07-02,6.170525,6.199631,6.083206,6.141419,1.128249,393400
1985-07-03,6.141419,6.141419,6.083206,6.141419,1.128249,271800
1985-07-05,6.170525,6.199631,6.170525,6.170525,1.133596,606400
1985-07-08,6.170525,6.199631,6.141419,6.199631,1.138943,266300
1985-07-09,6.199631,6.286950,6.199631,6.286950,1.154984,373200
1985-07-10,6.257844,6.316056,6.228737,6.286950,1.154984,309600
1985-07-11,6.286950,6.345162,6.257844,6.345162,1.165679,329800
1985-07-12,6.345162,6.403375,6.345162,6.403375,1.176373,287700
1985-07-15,6.374269,6.432481,6.316056,6.432481,1.181720,386900
1985-07-16,6.490694,6.490694,6.345162,6.490694,1.192414,307500
1985-07-17,6.461587,6.490694,6.403375,6.461587,1.187067,790200
1985-07-18,6.432481,6.490694,6.432481,6.432481,1.181720,896300
1985-07-19,6.461587,6.461587,6.432481,6.461587,1.187067,875200
1985-07-22,6.403375,6.461587,6.257844,6.257844,1.149638,535100
1985-07-23,6.199631,6.199631,6.112312,6.112312,1.122902,385200
1985-07-24,5.995887,6.054100,5.879463,5.995887,1.101513,904400
1985-07-25,6.054100,6.054100,5.966781,6.024994,1.106860,225900
1985-07-26,6.024994,6.024994,5.966781,5.995887,1.101513,429900
1985-07-29,5.792144,5.995887,5.704825,5.792144,1.064083,469800
1985-07-30,5.850356,5.937675,5.821250,5.879463,1.080124,420000
1985-07-31,5.879463,5.937675,5.850356,5.850356,1.074778,283900
