Date,Open,High,Low,Close,Adj Close,Volume
1992-06-17,8.500000,8.750000,7.750000,7.937500,5.195191,902000
1992-06-18,7.937500,7.937500,7.500000,7.812500,5.113373,421400
1992-06-19,7.812500,7.937500,7.750000,7.875000,5.154282,453400
1992-06-22,7.875000,7.875000,7.562500,7.625000,4.990655,597200
1992-06-23,7.625000,7.750000,7.625000,7.687500,5.031560,853800
1992-06-24,7.687500,7.750000,7.500000,7.562500,4.949748,357600
1992-06-25,7.687500,7.812500,7.687500,7.687500,5.031560,785000
1992-06-26,7.687500,7.750000,7.625000,7.750000,5.072468,435000
1992-06-29,7.687500,7.812500,7.625000,7.812500,5.113373,386600
1992-06-30,7.812500,8.062500,7.812500,8.062500,5.277006,884400
1992-07-01,7.875000,7.937500,7.812500,7.875000,5.154282,552600
1992-07-02,7.937500,8.062500,7.687500,8.062500,5.277006,1788200
1992-07-06,7.937500,7.937500,7.687500,7.750000,5.072468,580400
1992-07-07,7.812500,7.812500,7.187500,7.312500,4.786118,1147000
1992-07-08,7.375000,7.375000,6.812500,6.937500,4.540678,1192800
1992-07-09,6.937500,7.312500,6.937500,7.312500,4.786118,2136600
1992-07-10,7.187500,7.250000,7.062500,7.125000,4.663399,866200
1992-07-13,7.125000,7.250000,7.125000,7.187500,4.704306,846600
1992-07-14,7.125000,7.250000,7.125000,7.250000,4.745213,990000
1992-07-15,7.250000,7.375000,7.250000,7.312500,4.786118,1080400
1992-07-16,7.250000,7.312500,7.125000,7.187500,4.704306,2689000
1992-07-17,7.062500,7.312500,7.062500,7.312500,4.786118,840400
1992-07-20,6.937500,7.187500,6.875000,7.125000,4.663399,1228200
1992-07-21,7.000000,7.250000,7.000000,7.125000,4.663399,1279600
1992-07-22,6.937500,7.562500,6.937500,7.375000,4.827026,2743000
1992-07-23,7.312500,7.500000,7.312500,7.312500,4.786118,2203800
1992-07-24,7.250000,7.500000,7.250000,7.437500,4.867934,1404000
1992-07-27,7.437500,7.562500,7.312500,7.500000,4.908839,1308000
1992-07-28,7.437500,7.562500,7.375000,7.500000,4.908839,1134400
1992-07-29,7.500000,7.562500,7.250000,7.375000,4.827026,1697600
1992-07-30,7.437500,7.500000,7.250000,7.500000,4.908839,912800
1992-07-31,7.437500,7.562500,7.437500,7.562500,4.949748,1303000
1992-08-03,7.500000,7.687500,7.437500,7.687500,5.031560,1616800
1992-08-04,7.687500,7.812500,7.687500,7.750000,5.072468,1457000
1992-08-05,7.750000,7.812500,7.750000,7.750000,5.072468,492000
1992-08-06,7.687500,7.750000,7.500000,7.625000,4.990655,1277800
1992-08-07,7.437500,7.562500,7.437500,7.500000,4.908839,306200
