Date,Open,High,Low,Close,Adj Close,Volume
1999-06-01,4.015625,4.250000,4.015625,4.015625,1.331759,1863200
1999-06-02,4.015625,4.015625,3.906250,4.015625,1.331759,2673600
1999-06-03,4.015625,4.046875,4.015625,4.031250,1.336941,1793600
1999-06-04,4.031250,4.062500,4.031250,4.062500,1.347305,4088000
1999-06-07,4.062500,4.093750,4.046875,4.062500,1.347305,1609600
1999-06-08,4.046875,4.046875,4.000000,4.015625,1.331759,9968800
1999-06-09,4.062500,4.109375,4.062500,4.078125,1.352487,3097600
1999-06-10,4.078125,4.234375,4.078125,4.156250,1.378397,2355200
1999-06-11,4.156250,4.187500,4.093750,4.140625,1.373215,1560000
1999-06-14,4.140625,4.140625,3.937500,4.015625,1.331759,34048800
1999-06-15,4.015625,4.093750,3.984375,4.046875,1.342123,35851200
1999-06-16,4.070313,4.078125,3.960938,4.031250,1.336941,14152800
1999-06-17,4.000000,4.046875,3.976563,4.031250,1.336941,6240000
1999-06-18,4.007813,4.015625,3.968750,3.984375,1.321396,5632000
1999-06-21,3.937500,3.976563,3.914063,3.953125,1.311031,13520000
1999-06-22,3.953125,3.960938,3.796875,3.812500,1.264394,30824800
1999-06-23,3.812500,4.015625,3.796875,3.953125,1.311031,17687200
1999-06-24,3.953125,4.015625,3.921875,3.976563,1.318804,4419200
1999-06-25,3.976563,4.039063,3.968750,4.031250,1.336941,6022400
1999-06-28,4.015625,4.117188,4.015625,4.070313,1.349895,6233600
1999-06-29,3.968750,4.015625,3.937500,4.000000,1.326577,11170400
1999-06-30,4.000000,4.015625,3.921875,3.968750,1.316213,12585600
1999-07-01,3.960938,4.062500,3.953125,4.062500,1.347305,6097600
1999-07-02,4.109375,4.109375,4.039063,4.046875,1.342123,3256800
1999-07-06,4.062500,4.070313,3.992188,4.007813,1.329168,3855200
1999-07-07,3.953125,3.968750,3.781250,3.859375,1.279940,6241600
1999-07-08,3.625000,3.773438,3.625000,3.765625,1.248848,7117600
1999-07-09,3.781250,3.781250,3.578125,3.625000,1.202210,7378400
1999-07-12,3.625000,3.640625,3.593750,3.593750,1.191847,5721600
1999-07-13,3.593750,3.632813,3.554688,3.601563,1.194438,9185600
1999-07-14,3.578125,3.679688,3.578125,3.617188,1.199620,8331200
1999-07-15,3.640625,3.664063,3.617188,3.656250,1.212574,9793600
1999-07-16,3.703125,3.703125,3.632813,3.648438,1.209983,2060800
1999-07-19,3.648438,3.648438,3.578125,3.578125,1.186665,5459200
1999-07-20,3.570313,3.617188,3.570313,3.570313,1.184074,4518400
1999-07-21,3.578125,3.601563,3.562500,3.578125,1.186665,3432000
1999-07-22,3.570313,3.656250,3.562500,3.617188,1.199620,3892800
1999-07-23,3.609375,3.617188,3.546875,3.585938,1.189255,5260000
1999-07-26,3.554688,3.554688,3.453125,3.500000,1.160755,2332000
1999-07-27,3.546875,3.554688,3.484375,3.507813,1.163346,1609600
1999-07-28,3.507813,3.539063,3.429688,3.437500,1.140027,5281600
1999-07-29,3.382813,3.406250,3.351563,3.390625,1.124481,8338400
1999-07-30,3.390625,3.421875,3.382813,3.421875,1.134845,3200000
1999-08-02,3.437500,3.437500,3.398438,3.421875,1.134845,2364800
1999-08-03,3.421875,3.421875,3.320313,3.320313,1.101162,7121600
1999-08-04,3.320313,3.343750,3.296875,3.335938,1.106345,2873600
1999-08-05,3.351563,3.359375,3.101563,3.210938,1.064889,5187200
1999-08-06,3.242188,3.296875,3.234375,3.281250,1.088208,18079200
1999-08-09,3.281250,3.304688,3.250000,3.296875,1.093390,1631200
1999-08-10,3.289063,3.398438,3.289063,3.382813,1.121891,18192000
1999-08-11,3.375000,3.398438,3.351563,3.382813,1.121891,2552800
1999-08-12,3.375000,3.398438,3.351563,3.398438,1.127072,1483200
1999-08-13,3.398438,3.398438,3.359375,3.367188,1.116709,2175200
1999-08-16,3.367188,3.390625,3.359375,3.359375,1.114117,3092000
1999-08-17,3.375000,3.375000,3.296875,3.296875,1.093390,1390400
1999-08-18,3.296875,3.367188,3.281250,3.335938,1.106345,1463200
1999-08-19,3.312500,3.359375,3.265625,3.351563,1.111527,1310400
1999-08-20,3.343750,3.359375,3.296875,3.304688,1.095981,760800
1999-08-23,3.304688,3.460938,3.304688,3.421875,1.134845,4116000
1999-08-24,3.421875,3.460938,3.375000,3.445313,1.142618,2163200
1999-08-25,3.429688,3.437500,3.390625,3.390625,1.124481,1860800
1999-08-26,3.414063,3.500000,3.406250,3.484375,1.155573,2040800
1999-08-27,3.492188,3.531250,3.476563,3.515625,1.165937,1968000
1999-08-30,3.484375,3.609375,3.468750,3.500000,1.160755,2639200
1999-08-31,3.531250,3.554688,3.429688,3.437500,1.140027,2295200
1999-09-01,3.429688,3.500000,3.414063,3.492188,1.158164,12140800
1999-09-02,3.429688,3.484375,3.406250,3.453125,1.145209,10753600
1999-09-03,3.445313,3.562500,3.445313,3.546875,1.176301,3497600
1999-09-07,3.531250,3.531250,3.476563,3.500000,1.160755,6140800
1999-09-08,3.421875,3.515625,3.414063,3.500000,1.193800,4648800
1999-09-09,3.476563,3.492188,3.437500,3.468750,1.183141,6271200
1999-09-10,3.484375,3.492188,3.468750,3.484375,1.188470,6949600
1999-09-13,3.460938,3.500000,3.453125,3.500000,1.193800,2739200
1999-09-14,3.484375,3.507813,3.468750,3.500000,1.193800,2836800
1999-09-15,3.500000,3.539063,3.460938,3.515625,1.199129,2480800
1999-09-16,3.546875,3.546875,3.468750,3.500000,1.193800,3794400
1999-09-17,3.437500,3.640625,3.437500,3.617188,1.233770,5818400
1999-09-20,3.617188,3.703125,3.609375,3.703125,1.263083,3007200
1999-09-21,3.703125,3.703125,3.492188,3.562500,1.215117,5133600
1999-09-22,3.500000,3.500000,3.343750,3.414063,1.164487,3535200
1999-09-23,3.437500,3.460938,3.406250,3.445313,1.175146,2315200
1999-09-24,3.468750,3.570313,3.468750,3.515625,1.199129,1973600
1999-09-27,3.562500,3.562500,3.460938,3.500000,1.193800,2283200
1999-09-28,3.468750,3.500000,3.445313,3.468750,1.183141,2516800
1999-09-29,3.445313,3.515625,3.398438,3.445313,1.175146,2617600
1999-09-30,3.453125,3.453125,3.343750,3.375000,1.151164,2718400
1999-10-01,3.406250,3.546875,3.406250,3.453125,1.177811,2248800
1999-10-04,3.484375,3.539063,3.453125,3.492188,1.191135,1466400
1999-10-05,3.507813,3.546875,3.398438,3.437500,1.172481,3460000
1999-10-06,3.437500,3.445313,3.351563,3.367188,1.148499,4194400
1999-10-07,3.367188,3.414063,3.367188,3.406250,1.161822,1025600
1999-10-08,3.375000,3.390625,3.367188,3.367188,1.148499,881600
1999-10-11,3.390625,3.406250,3.351563,3.375000,1.151164,765600
1999-10-12,3.328125,3.375000,3.304688,3.359375,1.145834,5432000
1999-10-13,3.367188,3.375000,3.312500,3.335938,1.137840,2064000
1999-10-14,3.328125,3.375000,3.328125,3.375000,1.151164,2192000
1999-10-15,3.375000,3.375000,3.250000,3.296875,1.124516,4524800
1999-10-18,3.250000,3.281250,3.218750,3.218750,1.097869,8240000
1999-10-19,3.250000,3.257813,3.203125,3.242188,1.105863,4753600
1999-10-20,3.234375,3.250000,2.843750,2.867188,0.977956,12081600
1999-10-21,2.656250,2.671875,2.375000,2.406250,0.820737,29671200
1999-10-22,2.437500,2.507813,2.414063,2.468750,0.842055,13027200
1999-10-25,2.437500,2.546875,2.421875,2.500000,0.852714,10226400
1999-10-26,2.500000,2.546875,2.492188,2.546875,0.868702,8592800
1999-10-27,2.531250,2.593750,2.523438,2.570313,0.876696,4091200
1999-10-28,2.570313,2.710938,2.570313,2.687500,0.916668,4364800
1999-10-29,2.687500,2.796875,2.687500,2.710938,0.924662,3122400
1999-11-01,2.710938,2.710938,2.546875,2.562500,0.874031,4825600
1999-11-02,2.562500,2.562500,2.406250,2.507813,0.855379,6976000
1999-11-03,2.515625,2.734375,2.515625,2.734375,0.932655,9034400
1999-11-04,2.765625,2.796875,2.750000,2.765625,0.943315,4534400
1999-11-05,2.750000,2.765625,2.617188,2.632813,0.898014,3208800
1999-11-08,2.625000,2.679688,2.609375,2.664063,0.908673,1644000
1999-11-09,2.632813,2.664063,2.562500,2.562500,0.874031,1904000
1999-11-10,2.531250,2.570313,2.531250,2.570313,0.876696,1504800
1999-11-11,2.562500,2.679688,2.531250,2.671875,0.911338,2408800
1999-11-12,2.656250,2.796875,2.609375,2.750000,0.937985,3413600
1999-11-15,2.734375,2.796875,2.726563,2.796875,0.953973,1534400
1999-11-16,2.796875,2.906250,2.796875,2.890625,0.985950,2304800
1999-11-17,2.890625,2.906250,2.843750,2.867188,0.977956,1942400
1999-11-18,2.843750,2.882813,2.820313,2.828125,0.964633,1413600
1999-11-19,2.820313,2.851563,2.750000,2.812500,0.959303,2183200
1999-11-22,2.812500,2.968750,2.796875,2.937500,1.001938,2433600
1999-11-23,2.968750,2.968750,2.781250,2.812500,0.959303,1721600
1999-11-24,2.781250,2.820313,2.765625,2.773438,0.945979,1415200
1999-11-26,2.820313,2.890625,2.750000,2.765625,0.943315,1492800
1999-11-29,2.734375,2.757813,2.671875,2.687500,0.916668,3964800
1999-11-30,2.687500,2.710938,2.640625,2.664063,0.908673,4293600
1999-12-01,2.664063,2.796875,2.632813,2.703125,0.921997,5348800
1999-12-02,2.703125,2.718750,2.671875,2.687500,0.916668,3529600
1999-12-03,2.687500,2.687500,2.656250,2.664063,0.908673,3162400
1999-12-06,2.671875,2.718750,2.640625,2.664063,0.908673,3758400
