Date,Open,High,Low,Close,Adj Close,Volume
1988-07-14,90.833336,90.833336,90.833336,90.833336,65.834297,100
1988-07-15,88.333336,88.333336,88.333336,88.333336,64.022339,300
1988-07-18,85.833336,85.833336,85.833336,85.833336,62.210369,300
1988-07-19,86.666664,86.666664,86.666664,86.666664,62.814346,300
1988-07-20,86.666664,86.666664,85.833336,86.666664,62.814346,300
1988-07-21,86.666664,86.666664,86.666664,86.666664,62.814346,600
1988-07-22,85.833336,85.833336,85.833336,85.833336,62.210369,600
1988-07-25,85.833336,85.833336,85.833336,85.833336,62.210369,0
1988-07-26,85.833336,85.833336,85.833336,85.833336,62.210369,0
1988-07-27,85.833336,85.833336,85.833336,85.833336,62.210369,0
1988-07-28,85.833336,85.833336,85.833336,85.833336,62.210369,0
1988-07-29,85.833336,85.833336,85.000000,85.833336,62.210369,300
1988-08-01,86.666664,86.666664,86.666664,86.666664,62.814346,0
1988-08-02,85.000000,85.000000,85.000000,85.000000,61.606388,400
1988-08-03,85.000000,85.000000,85.000000,85.000000,61.606388,0
1988-08-04,86.666664,86.666664,86.666664,86.666664,62.814346,0
1988-08-05,86.666664,86.666664,86.666664,86.666664,62.814346,0
1988-08-08,86.666664,86.666664,86.666664,86.666664,62.814346,0
1988-08-09,84.166664,84.166664,83.333336,83.333336,60.398415,1600
1988-08-10,81.666664,81.666664,80.833336,80.833336,58.586464,300
1988-08-11,81.666664,81.666664,81.666664,81.666664,59.190437,300
1988-08-12,81.666664,81.666664,81.666664,81.666664,59.190437,100
1988-08-15,80.000000,80.000000,80.000000,80.000000,57.982487,300
1988-08-16,80.000000,80.000000,80.000000,80.000000,57.982487,0
1988-08-17,80.000000,80.833336,80.000000,80.000000,57.982487,900
1988-08-18,80.000000,80.000000,80.000000,80.000000,57.982487,0
1988-08-19,80.000000,80.000000,80.000000,80.000000,57.982487,0
1988-08-22,80.000000,80.000000,80.000000,80.000000,57.982487,0
1988-08-23,80.833336,80.833336,80.833336,80.833336,58.586464,0
1988-08-24,80.833336,80.833336,80.833336,80.833336,58.586464,0
1988-08-25,80.833336,80.833336,80.833336,80.833336,58.586464,0
1988-08-26,80.833336,80.833336,80.833336,80.833336,58.586464,0
1988-08-29,80.833336,80.833336,80.833336,80.833336,58.586464,0
1988-08-30,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-08-31,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-09-01,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-09-02,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-09-06,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-09-07,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-09-08,73.333336,73.333336,73.333336,73.333336,53.150604,0
1988-09-09,71.666664,71.666664,71.666664,71.666664,51.942638,300
1988-09-12,71.666664,71.666664,71.666664,71.666664,51.942638,0
1988-09-13,71.666664,71.666664,71.666664,71.666664,51.942638,0
1988-09-14,71.666664,71.666664,71.666664,71.666664,51.942638,0
1988-09-15,71.666664,71.666664,71.666664,71.666664,51.942638,0
1988-09-16,74.166664,74.166664,74.166664,74.166664,53.754604,0
1988-09-19,74.166664,74.166664,74.166664,74.166664,53.754604,0
1988-09-20,74.166664,74.166664,74.166664,74.166664,53.754604,0
1988-09-21,74.166664,74.166664,74.166664,74.166664,53.754604,0
1988-09-22,74.166664,74.166664,74.166664,74.166664,53.754604,0
1988-09-23,74.166664,74.166664,74.166664,74.166664,53.754604,0
1988-09-26,71.666664,71.666664,71.666664,71.666664,51.942638,0
1988-09-27,71.666664,71.666664,71.666664,71.666664,51.942638,0
1988-09-28,70.833336,70.833336,70.000000,70.000000,50.734661,0
1988-09-29,70.000000,70.000000,70.000000,70.000000,50.734661,0
1988-09-30,70.000000,70.833336,70.000000,70.000000,50.734661,700
1988-10-03,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-10-04,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-10-05,71.666664,71.666664,71.666664,71.666664,51.950050,0
1988-10-06,71.666664,71.666664,71.666664,71.666664,51.950050,0
1988-10-07,71.666664,71.666664,71.666664,71.666664,51.950050,0
1988-10-10,73.333336,73.333336,73.333336,73.333336,53.158192,0
1988-10-11,67.500000,67.500000,67.500000,67.500000,48.929680,100
1988-10-12,67.500000,67.500000,67.500000,67.500000,48.929680,0
1988-10-13,67.500000,67.500000,67.500000,67.500000,48.929680,0
1988-10-14,68.333336,68.333336,68.333336,68.333336,49.533764,300
1988-10-17,68.333336,68.333336,68.333336,68.333336,49.533764,0
1988-10-18,69.166664,70.833336,69.166664,70.833336,51.345982,1000
1988-10-19,70.833336,70.833336,70.833336,70.833336,51.345982,300
1988-10-20,70.833336,70.833336,70.833336,70.833336,51.345982,0
1988-10-21,71.666664,71.666664,71.666664,71.666664,51.950050,100
1988-10-24,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-10-25,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-10-26,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-10-27,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-10-28,69.166664,69.166664,69.166664,69.166664,50.137836,100
1988-10-31,69.166664,69.166664,69.166664,69.166664,50.137836,0
1988-11-01,70.000000,70.000000,70.000000,70.000000,50.741909,100
1988-11-02,70.000000,70.833336,69.166664,70.000000,50.741909,300
1988-11-03,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-04,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-07,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-08,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-09,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-10,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-11,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-14,70.000000,70.000000,70.000000,70.000000,50.741909,0
1988-11-15,70.833336,70.833336,70.833336,70.833336,51.345982,0
1988-11-16,70.833336,70.833336,70.833336,70.833336,51.345982,0
1988-11-17,73.333336,73.333336,73.333336,73.333336,53.158192,0
1988-11-18,73.333336,74.166664,73.333336,73.333336,53.158192,100
1988-11-21,73.333336,73.333336,73.333336,73.333336,53.158192,0
1988-11-22,73.333336,73.333336,73.333336,73.333336,53.158192,0
1988-11-23,75.000000,75.000000,75.000000,75.000000,54.366344,0
1988-11-25,75.000000,75.000000,75.000000,75.000000,54.366344,0
1988-11-28,75.000000,75.000000,75.000000,75.000000,54.366344,0
1988-11-29,69.166664,69.166664,69.166664,69.166664,50.137836,100
1988-11-30,69.166664,69.166664,69.166664,69.166664,50.137836,0
1988-12-01,67.500000,67.500000,67.500000,67.500000,48.929680,100
1988-12-02,67.500000,68.333336,67.500000,68.333336,49.533764,300
1988-12-05,68.333336,68.333336,68.333336,68.333336,49.533764,0
1988-12-06,68.333336,68.333336,68.333336,68.333336,49.533764,0
1988-12-07,68.333336,68.333336,68.333336,68.333336,49.555672,0
1988-12-08,68.333336,68.333336,68.333336,68.333336,49.555672,0
1988-12-09,63.333332,63.333332,63.333332,63.333332,45.929646,100
1988-12-12,63.333332,63.333332,63.333332,63.333332,45.929646,0
1988-12-13,60.833332,60.833332,60.833332,60.833332,44.116631,300
1988-12-14,60.833332,60.833332,60.833332,60.833332,44.116631,0
1988-12-15,60.000000,60.000000,57.500000,59.166668,42.907959,400
1988-12-16,59.166668,59.166668,59.166668,59.166668,42.907959,0
