Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,5.083333,5.177083,5.083333,5.135417,1.050942,3910800
1983-11-22,5.135417,5.135417,5.093750,5.093750,1.042416,2934000
1983-11-23,5.093750,5.104167,5.052083,5.072917,1.038152,1618800
1983-11-25,5.072917,5.104167,5.072917,5.083333,1.040284,3380400
1983-11-28,5.083333,5.093750,5.031250,5.031250,1.029625,4315200
1983-11-29,5.020833,5.020833,4.947917,4.947917,1.012571,2295600
1983-11-30,4.947917,4.968750,4.906250,4.916667,1.006177,3908400
1983-12-01,4.927083,4.979167,4.927083,4.968750,1.016835,9553200
1983-12-02,4.968750,4.968750,4.937500,4.947917,1.012571,1928400
1983-12-05,4.947917,4.958333,4.927083,4.927083,1.008308,1501200
1983-12-06,4.927083,4.937500,4.906250,4.906250,1.004045,2966400
1983-12-07,4.906250,4.927083,4.854167,4.885417,0.999781,6301200
1983-12-08,4.885417,4.906250,4.875000,4.885417,0.999781,6476400
1983-12-09,4.885417,4.885417,4.843750,4.854167,0.993386,6897600
1983-12-12,4.854167,4.875000,4.854167,4.864583,0.995517,3379200
1983-12-13,4.864583,4.927083,4.854167,4.906250,1.004045,7300800
1983-12-14,4.906250,4.979167,4.906250,4.916667,1.006177,4986000
1983-12-15,4.916667,4.927083,4.875000,4.885417,0.999781,3711600
1983-12-16,4.885417,4.916667,4.854167,4.885417,0.999781,3331200
1983-12-19,4.885417,4.895833,4.875000,4.885417,0.999781,3752400
1983-12-20,4.885417,4.906250,4.875000,4.906250,1.004045,2410800
1983-12-21,4.906250,4.916667,4.875000,4.916667,1.006177,7482000
1983-12-22,4.916667,4.927083,4.885417,4.885417,0.999781,7561200
1983-12-23,4.885417,4.895833,4.854167,4.895833,1.001913,3861600
1983-12-27,4.895833,4.895833,4.864583,4.885417,0.999781,2546400
1983-12-28,4.885417,4.937500,4.885417,4.937500,1.010439,5358000
1983-12-29,4.937500,4.937500,4.916667,4.927083,1.008308,4488000
1983-12-30,4.927083,4.958333,4.906250,4.906250,1.004045,2923200
1984-01-03,4.916667,5.093750,4.916667,5.083333,1.040284,2491200
1984-01-04,5.135417,5.375000,5.135417,5.333333,1.091446,6492000
1984-01-05,5.333333,5.427083,5.291667,5.312500,1.087182,4051200
1984-01-06,5.312500,5.333333,5.177083,5.187500,1.061601,4563600
1984-01-09,5.187500,5.197917,5.135417,5.166667,1.057337,3231600
1984-01-10,5.166667,5.187500,5.135417,5.166667,1.057337,3289200
1984-01-11,5.177083,5.239583,5.177083,5.197917,1.063732,4245600
1984-01-12,5.197917,5.229167,5.177083,5.208333,1.065865,2680800
1984-01-13,5.208333,5.291667,5.208333,5.291667,1.082919,4046400
1984-01-16,5.291667,5.447917,5.250000,5.395833,1.104236,3388800
1984-01-17,5.395833,5.416667,5.364583,5.416667,1.108499,2637600
1984-01-18,5.416667,5.500000,5.416667,5.489583,1.123421,4465200
1984-01-19,5.489583,5.500000,5.427083,5.427083,1.110631,3014400
1984-01-20,5.427083,5.437500,5.385417,5.427083,1.110631,2479200
1984-01-23,5.427083,5.437500,5.395833,5.416667,1.108499,1770000
1984-01-24,5.416667,5.458333,5.395833,5.395833,1.104236,2148000
1984-01-25,5.395833,5.406250,5.302083,5.312500,1.087182,1590000
1984-01-26,5.291667,5.291667,5.197917,5.208333,1.065865,3070800
1984-01-27,5.208333,5.229167,5.145833,5.197917,1.063732,4377600
1984-01-30,5.197917,5.302083,5.187500,5.281250,1.080787,4933200
1984-01-31,5.281250,5.302083,5.239583,5.239583,1.072260,2198400
1984-02-01,5.239583,5.270833,5.208333,5.208333,1.065865,1904400
1984-02-02,5.208333,5.218750,5.177083,5.177083,1.059469,4267200
1984-02-03,5.177083,5.208333,5.166667,5.187500,1.061601,3247200
1984-02-06,5.187500,5.187500,5.135417,5.135417,1.050942,2737200
1984-02-07,5.135417,5.208333,5.072917,5.114583,1.046679,3242400
1984-02-08,5.114583,5.145833,5.083333,5.093750,1.042416,2004000
1984-02-09,5.072917,5.072917,5.000000,5.000000,1.023230,2665200
1984-02-10,5.000000,5.010417,4.958333,4.979167,1.018967,2204400
1984-02-13,4.979167,5.093750,4.979167,5.083333,1.040284,3345600
1984-02-14,5.083333,5.187500,5.072917,5.114583,1.046679,3244800
1984-02-15,5.114583,5.135417,5.062500,5.093750,1.042416,4076400
1984-02-16,5.093750,5.114583,5.000000,5.072917,1.038152,3710400
1984-02-17,5.072917,5.083333,5.031250,5.041667,1.031756,1302000
1984-02-21,5.041667,5.062500,5.020833,5.041667,1.031756,3312000
1984-02-22,5.041667,5.104167,5.031250,5.062500,1.036020,3346800
1984-02-23,5.041667,5.041667,4.968750,4.989583,1.021099,5638800
1984-02-24,4.989583,5.010417,4.916667,4.958333,1.014704,5305200
1984-02-27,4.958333,5.010417,4.947917,4.979167,1.018967,3411600
1984-02-28,4.979167,4.989583,4.937500,4.937500,1.010439,1876800
1984-02-29,4.937500,5.010417,4.916667,5.010417,1.025362,4678800
1984-03-01,5.010417,5.104167,5.000000,5.104167,1.044547,3324000
1984-03-02,5.104167,5.114583,5.041667,5.062500,1.036020,2580000
1984-03-05,5.052083,5.052083,5.010417,5.020833,1.027494,1556400
1984-03-06,5.020833,5.020833,4.979167,5.000000,1.023230,2224800
1984-03-07,4.989583,4.989583,4.916667,4.937500,1.010439,2346000
1984-03-08,4.937500,5.000000,4.916667,5.000000,1.023230,2277600
1984-03-09,4.989583,4.989583,4.927083,4.968750,1.016835,1920000
1984-03-12,4.968750,4.989583,4.927083,4.937500,1.010439,2688000
1984-03-13,4.937500,4.968750,4.916667,4.958333,1.014704,3648000
1984-03-14,4.958333,4.979167,4.906250,4.968750,1.016835,3463200
1984-03-15,4.968750,5.010417,4.947917,4.958333,1.014704,3889200
1984-03-16,4.958333,4.989583,4.885417,4.895833,1.001913,3477600
1984-03-19,4.895833,4.906250,4.843750,4.895833,1.001913,2739600
1984-03-20,4.895833,4.895833,4.843750,4.864583,0.995517,6548400
1984-03-21,4.864583,4.885417,4.854167,4.885417,0.999781,3799200
1984-03-22,4.885417,4.906250,4.833333,4.843750,0.991253,8347200
1984-03-23,4.843750,4.885417,4.781250,4.885417,0.999781,4560000
1984-03-26,4.885417,4.895833,4.729167,4.770833,1.000219,3309600
1984-03-27,4.770833,4.812500,4.760417,4.770833,1.000219,4227600
1984-03-28,4.770833,4.802083,4.770833,4.781250,1.002402,2638800
1984-03-29,4.781250,4.822917,4.781250,4.791667,1.004586,1622400
1984-03-30,4.791667,4.802083,4.770833,4.770833,1.000219,4440000
1984-04-02,4.770833,4.791667,4.697917,4.708333,0.987115,4334400
1984-04-03,4.708333,4.729167,4.625000,4.666667,0.978380,4257600
1984-04-04,4.666667,4.718750,4.666667,4.666667,0.978380,4326000
1984-04-05,4.666667,4.687500,4.625000,4.635417,0.971827,2527200
1984-04-06,4.635417,4.645833,4.625000,4.635417,0.971827,1822800
1984-04-09,4.635417,4.656250,4.625000,4.625000,0.969644,1861200
1984-04-10,4.625000,4.666667,4.625000,4.625000,0.969644,3592800
1984-04-11,4.625000,4.666667,4.625000,4.625000,0.969644,2761200
1984-04-12,4.625000,4.708333,4.625000,4.687500,0.982747,3166800
1984-04-13,4.687500,4.697917,4.645833,4.666667,0.978380,4197600
1984-04-16,4.666667,4.677083,4.645833,4.666667,0.978380,2085600
1984-04-17,4.677083,4.708333,4.677083,4.687500,0.982747,2576400
1984-04-18,4.687500,4.750000,4.687500,4.687500,0.982747,3544800
1984-04-19,4.687500,4.739583,4.687500,4.708333,0.987115,2980800
1984-04-23,4.708333,4.750000,4.697917,4.739583,0.993667,1884000
1984-04-24,4.770833,4.864583,4.770833,4.854167,1.017689,3385200
1984-04-25,4.875000,4.916667,4.875000,4.906250,1.028609,2996400
1984-04-26,4.906250,4.958333,4.906250,4.937500,1.035161,2436000
1984-04-27,4.927083,4.927083,4.895833,4.916667,1.030792,1627200
1984-04-30,4.916667,4.979167,4.906250,4.958333,1.039529,2308800
1984-05-01,4.968750,5.041667,4.968750,5.010417,1.050448,3415200
1984-05-02,4.916667,4.916667,4.843750,4.885417,1.024241,10460400
1984-05-03,4.895833,4.958333,4.895833,4.927083,1.032977,4290000
1984-05-04,4.927083,4.947917,4.916667,4.916667,1.030792,3362400
1984-05-07,4.916667,4.927083,4.895833,4.906250,1.028609,3511200
1984-05-08,4.906250,4.927083,4.864583,4.895833,1.026425,1801200
1984-05-09,4.895833,4.937500,4.895833,4.906250,1.028609,1840800
1984-05-10,4.906250,4.916667,4.875000,4.875000,1.022057,3462000
1984-05-11,4.864583,4.864583,4.812500,4.812500,1.008954,2439600
1984-05-14,4.802083,4.802083,4.718750,4.718750,0.989298,2594400
1984-05-15,4.718750,4.718750,4.687500,4.708333,0.987115,2156400
1984-05-16,4.708333,4.729167,4.687500,4.697917,0.984931,2817600
1984-05-17,4.697917,4.718750,4.666667,4.666667,0.978380,1989600
1984-05-18,4.666667,4.677083,4.625000,4.656250,0.976195,1236000
1984-05-21,4.656250,4.677083,4.625000,4.645833,0.974012,1215600
1984-05-22,4.645833,4.656250,4.604167,4.635417,0.971827,2030400
1984-05-23,4.645833,4.708333,4.645833,4.697917,0.984931,1275600
1984-05-24,4.697917,4.697917,4.666667,4.666667,0.978380,2202000
1984-05-25,4.666667,4.697917,4.635417,4.635417,0.971827,1608000
1984-05-29,4.635417,4.645833,4.604167,4.604167,0.965276,1185600
1984-05-30,4.604167,4.625000,4.583333,4.593750,0.963092,1212000
1984-05-31,4.593750,4.625000,4.593750,4.614583,0.967460,1089600
1984-06-01,4.625000,4.750000,4.625000,4.739583,0.993667,1441200
1984-06-04,4.739583,4.802083,4.729167,4.739583,0.993667,3991200
1984-06-05,4.739583,4.750000,4.708333,4.729167,0.991482,1424400
1984-06-06,4.729167,4.760417,4.718750,4.750000,0.995850,2431200
1984-06-07,4.750000,4.802083,4.718750,4.750000,0.995850,3222000
1984-06-08,4.760417,4.822917,4.760417,4.802083,1.006770,4544400
1984-06-11,4.802083,4.812500,4.781250,4.802083,1.006770,2343600
1984-06-12,4.802083,4.843750,4.791667,4.812500,1.008954,1866000
1984-06-13,4.812500,4.822917,4.791667,4.802083,1.006770,1479600
1984-06-14,4.802083,4.802083,4.739583,4.739583,0.993667,1820400
1984-06-15,4.739583,4.760417,4.718750,4.760417,0.998034,2128800
1984-06-18,4.760417,4.822917,4.708333,4.781250,1.002402,2834400
1984-06-19,4.781250,4.833333,4.770833,4.822917,1.011137,6900000
1984-06-20,4.822917,4.875000,4.760417,4.854167,1.017689,1722000
1984-06-21,4.854167,4.906250,4.822917,4.906250,1.028609,4527600
1984-06-22,4.895833,4.895833,4.854167,4.864583,1.019873,15819600
1984-06-25,4.781250,4.781250,4.739583,4.739583,1.018084,2133600
1984-06-26,4.739583,4.760417,4.718750,4.739583,1.018084,810000
1984-06-27,4.739583,4.750000,4.656250,4.666667,1.002422,1641600
1984-06-28,4.666667,4.697917,4.666667,4.677083,1.004659,788400
1984-06-29,4.677083,4.687500,4.625000,4.656250,1.000183,2590800
1984-07-02,4.656250,4.656250,4.625000,4.656250,1.000183,1419600
1984-07-03,4.656250,4.697917,4.656250,4.687500,1.006896,1486800
1984-07-05,4.687500,4.697917,4.666667,4.677083,1.004659,1468800
1984-07-06,4.677083,4.687500,4.656250,4.666667,1.002422,1519200
1984-07-09,4.666667,4.729167,4.666667,4.708333,1.011371,979200
1984-07-10,4.708333,4.770833,4.697917,4.718750,1.013609,1827600
1984-07-11,4.729167,4.812500,4.729167,4.781250,1.027034,4344000
1984-07-12,4.791667,4.864583,4.791667,4.843750,1.040460,3856800
1984-07-13,4.864583,4.927083,4.864583,4.895833,1.051647,1550400
1984-07-16,4.895833,4.947917,4.885417,4.895833,1.051647,1900800
1984-07-17,4.895833,4.968750,4.864583,4.937500,1.060598,1459200
1984-07-18,4.937500,4.989583,4.937500,4.968750,1.067310,4106400
1984-07-19,4.979167,4.989583,4.947917,4.947917,1.062835,934800
1984-07-20,4.968750,5.000000,4.937500,4.958333,1.065072,1557600
1984-07-23,4.937500,4.979167,4.895833,4.958333,1.065072,3313200
1984-07-24,4.979167,5.031250,4.968750,5.000000,1.074023,1549200
1984-07-25,5.000000,5.114583,4.989583,5.062500,1.087448,1828800
1984-07-26,5.062500,5.166667,5.031250,5.041667,1.082973,4942800
1984-07-27,5.031250,5.031250,4.989583,4.989583,1.071785,1039200
1984-07-30,4.979167,5.020833,4.958333,4.989583,1.071785,1165200
1984-07-31,4.989583,5.062500,4.979167,5.062500,1.087448,1059600
1984-08-01,5.041667,5.187500,5.031250,5.187500,1.114298,2842800
1984-08-02,5.166667,5.406250,5.041667,5.354167,1.150100,3843600
1984-08-03,5.333333,5.395833,5.270833,5.312500,1.141149,3099600
1984-08-06,5.291667,5.291667,5.166667,5.166667,1.109823,2974800
1984-08-07,5.156250,5.229167,5.145833,5.166667,1.109823,3500400
1984-08-08,5.177083,5.197917,5.145833,5.145833,1.105348,2011200
1984-08-09,5.156250,5.229167,5.145833,5.197917,1.116536,1474800
1984-08-10,5.208333,5.270833,5.208333,5.229167,1.123249,2324400
1984-08-13,5.229167,5.239583,5.187500,5.229167,1.123249,1255200
1984-08-14,5.208333,5.250000,5.208333,5.218750,1.121011,1123200
1984-08-15,5.197917,5.260417,5.187500,5.208333,1.118774,1593600
1984-08-16,5.187500,5.250000,5.177083,5.229167,1.123249,748800
1984-08-17,5.239583,5.270833,5.187500,5.229167,1.123249,841200
1984-08-20,5.229167,5.302083,5.229167,5.302083,1.138911,1508400
1984-08-21,5.281250,5.395833,5.270833,5.364583,1.152337,2520000
1984-08-22,5.343750,5.375000,5.333333,5.354167,1.150100,916800
1984-08-23,5.333333,5.343750,5.312500,5.322917,1.143386,1303200
1984-08-24,5.322917,5.322917,5.291667,5.302083,1.138911,3434400
1984-08-27,5.281250,5.312500,5.260417,5.281250,1.134436,800400
1984-08-28,5.281250,5.312500,5.281250,5.291667,1.136674,672000
1984-08-29,5.291667,5.322917,5.291667,5.291667,1.136674,1238400
1984-08-30,5.270833,5.291667,5.260417,5.281250,1.134436,860400
1984-08-31,5.270833,5.291667,5.270833,5.291667,1.136674,1142400
1984-09-04,5.281250,5.291667,5.260417,5.270833,1.132199,488400
1984-09-05,5.250000,5.260417,5.229167,5.229167,1.123249,1646400
1984-09-06,5.260417,5.312500,5.250000,5.291667,1.136674,9136800
1984-09-07,5.302083,5.312500,5.270833,5.270833,1.132199,850800
1984-09-10,5.250000,5.302083,5.239583,5.291667,1.136674,5924400
1984-09-11,5.260417,5.281250,5.260417,5.260417,1.129961,4959600
1984-09-12,5.260417,5.291667,5.260417,5.281250,1.134436,520800
1984-09-13,5.302083,5.354167,5.270833,5.333333,1.145624,8888400
1984-09-14,5.375000,5.385417,5.343750,5.364583,1.152337,1719600
1984-09-17,5.343750,5.385417,5.322917,5.354167,1.150100,8122800
1984-09-18,5.364583,5.375000,5.343750,5.343750,1.147862,1195200
1984-09-19,5.343750,5.447917,5.333333,5.406250,1.161287,10376400
1984-09-20,5.406250,5.489583,5.395833,5.447917,1.170237,4149600
1984-09-21,5.447917,5.500000,5.447917,5.468750,1.174712,17424000
1984-09-24,5.364583,5.395833,5.354167,5.354167,1.175170,4518000
1984-09-25,5.343750,5.385417,5.312500,5.364583,1.177457,1038000
1984-09-26,5.354167,5.395833,5.343750,5.364583,1.177457,882000
1984-09-27,5.375000,5.395833,5.354167,5.364583,1.177457,2452800
1984-09-28,5.375000,5.395833,5.364583,5.385417,1.182029,1099200
1984-10-01,5.385417,5.406250,5.375000,5.385417,1.182029,2667600
1984-10-02,5.375000,5.395833,5.364583,5.385417,1.182029,2679600
1984-10-03,5.385417,5.385417,5.364583,5.364583,1.177457,1186800
1984-10-04,5.375000,5.375000,5.354167,5.364583,1.177457,645600
1984-10-05,5.364583,5.375000,5.322917,5.333333,1.170597,1424400
1984-10-08,5.343750,5.343750,5.281250,5.291667,1.161452,387600
1984-10-09,5.302083,5.322917,5.270833,5.281250,1.159166,697200
1984-10-10,5.291667,5.302083,5.270833,5.291667,1.161452,1156800
1984-10-11,5.302083,5.333333,5.291667,5.312500,1.166026,945600
1984-10-12,5.333333,5.385417,5.333333,5.375000,1.179743,1153200
1984-10-15,5.375000,5.468750,5.364583,5.458333,1.198034,2437200
1984-10-16,5.458333,5.500000,5.458333,5.500000,1.207179,1532400
1984-10-17,5.500000,5.583333,5.489583,5.562500,1.220896,1105200
1984-10-18,5.593750,5.666667,5.583333,5.656250,1.241473,2139600
1984-10-19,5.708333,5.770833,5.687500,5.729167,1.257477,2269200
1984-10-22,5.718750,5.729167,5.645833,5.656250,1.241473,918000
1984-10-23,5.625000,5.625000,5.416667,5.468750,1.200320,4645200
1984-10-24,5.479167,5.489583,5.416667,5.416667,1.188888,2960400
1984-10-25,5.437500,5.510417,5.416667,5.500000,1.207179,3832800
1984-10-26,5.468750,5.479167,5.447917,5.458333,1.198034,1412400
1984-10-29,5.437500,5.468750,5.416667,5.468750,1.200320,1432800
1984-10-30,5.437500,5.479167,5.427083,5.458333,1.198034,1582800
1984-10-31,5.437500,5.479167,5.427083,5.458333,1.198034,1681200
1984-11-01,5.437500,5.479167,5.437500,5.458333,1.198034,2248800
1984-11-02,5.447917,5.500000,5.447917,5.479167,1.202606,1880400
1984-11-05,5.458333,5.500000,5.458333,5.468750,1.200320,1656000
1984-11-06,5.468750,5.541667,5.468750,5.531250,1.214038,2364000
1984-11-07,5.541667,5.552083,5.489583,5.500000,1.207179,2061600
1984-11-08,5.479167,5.489583,5.437500,5.458333,1.198034,1171200
1984-11-09,5.468750,5.500000,5.437500,5.437500,1.193461,1527600
1984-11-12,5.437500,5.437500,5.416667,5.416667,1.188888,607200
1984-11-13,5.395833,5.406250,5.354167,5.364583,1.177457,708000
1984-11-14,5.364583,5.375000,5.322917,5.364583,1.177457,2053200
1984-11-15,5.385417,5.447917,5.385417,5.427083,1.191175,2473200
1984-11-16,5.437500,5.458333,5.427083,5.437500,1.193461,2316000
1984-11-19,5.437500,5.447917,5.406250,5.406250,1.186601,1629600
1984-11-20,5.427083,5.458333,5.416667,5.458333,1.198034,1586400
1984-11-21,5.458333,5.510417,5.447917,5.489583,1.204893,1113600
1984-11-23,5.510417,5.666667,5.510417,5.645833,1.239187,1538400
1984-11-26,5.666667,5.687500,5.635417,5.645833,1.239187,2275200
1984-11-27,5.656250,5.708333,5.645833,5.677083,1.246046,2329200
1984-11-28,5.677083,5.781250,5.656250,5.656250,1.241473,3546000
1984-11-29,5.645833,5.666667,5.604167,5.614583,1.232329,2065200
1984-11-30,5.604167,5.604167,5.552083,5.552083,1.218611,1332000
1984-12-03,5.562500,5.583333,5.552083,5.572917,1.223182,1128000
1984-12-04,5.552083,5.572917,5.541667,5.541667,1.216324,1030800
1984-12-05,5.552083,5.562500,5.541667,5.541667,1.216324,1162800
1984-12-06,5.541667,5.583333,5.541667,5.541667,1.216324,874800
1984-12-07,5.531250,5.562500,5.520833,5.531250,1.214038,556800
1984-12-10,5.531250,5.552083,5.500000,5.552083,1.218611,1146000
1984-12-11,5.562500,5.583333,5.552083,5.572917,1.223182,698400
1984-12-12,5.572917,5.583333,5.541667,5.552083,1.218611,1358400
1984-12-13,5.531250,5.583333,5.531250,5.552083,1.218611,1278000
1984-12-14,5.552083,5.666667,5.552083,5.645833,1.239187,1268400
1984-12-17,5.645833,5.739583,5.645833,5.739583,1.259764,2233200
1984-12-18,5.833333,5.916667,5.812500,5.906250,1.296346,3314400
