Date,Open,High,Low,Close,Adj Close,Volume
1987-06-26,1.468750,1.500000,1.437500,1.484375,0.840290,23086400
1987-06-29,1.484375,1.492188,1.476563,1.484375,0.840290,3148800
1987-06-30,1.507813,1.585938,1.507813,1.546875,0.875671,7664000
1987-07-01,1.546875,1.570313,1.531250,1.562500,0.884516,2894400
1987-07-02,1.562500,1.578125,1.562500,1.570313,0.888938,1435200
1987-07-06,1.578125,1.671875,1.578125,1.640625,0.928742,4800000
1987-07-07,1.640625,1.671875,1.601563,1.601563,0.906629,3593600
1987-07-08,1.601563,1.617188,1.578125,1.593750,0.902206,696000
1987-07-09,1.593750,1.718750,1.593750,1.671875,0.946433,3961600
1987-07-10,1.671875,1.750000,1.656250,1.695313,0.959700,2057600
1987-07-13,1.695313,1.695313,1.679688,1.679688,0.950855,398400
1987-07-14,1.679688,1.687500,1.632813,1.648438,0.933164,1016000
1987-07-15,1.648438,1.648438,1.593750,1.593750,0.902206,1004800
1987-07-16,1.593750,1.609375,1.578125,1.601563,0.906629,748800
1987-07-17,1.601563,1.601563,1.554688,1.578125,0.893361,542400
1987-07-20,1.578125,1.601563,1.500000,1.531250,0.866826,672000
1987-07-21,1.531250,1.546875,1.507813,1.531250,0.866826,2732800
1987-07-22,1.531250,1.546875,1.523438,1.539063,0.871248,1110400
1987-07-23,1.539063,1.546875,1.515625,1.515625,0.857981,659200
1987-07-24,1.515625,1.539063,1.507813,1.531250,0.866826,1108800
1987-07-27,1.531250,1.578125,1.523438,1.578125,0.893361,385600
1987-07-28,1.578125,1.601563,1.546875,1.546875,0.875671,755200
1987-07-29,1.546875,1.562500,1.492188,1.515625,0.857981,1360000
1987-07-30,1.515625,1.562500,1.515625,1.562500,0.884516,2062400
1987-07-31,1.562500,1.578125,1.531250,1.531250,0.866826,577600
1987-08-03,1.531250,1.546875,1.515625,1.539063,0.871248,1032000
1987-08-04,1.539063,1.539063,1.523438,1.539063,0.871248,396800
1987-08-05,1.539063,1.585938,1.539063,1.585938,0.897783,550400
1987-08-06,1.585938,1.609375,1.554688,1.609375,0.911052,1315200
1987-08-07,1.609375,1.625000,1.593750,1.625000,0.923483,505600
1987-08-10,1.625000,1.625000,1.578125,1.617188,0.919043,2540800
1987-08-11,1.617188,1.625000,1.562500,1.609375,0.917264,417600
1987-08-12,1.609375,1.617188,1.570313,1.585938,0.903905,427200
1987-08-13,1.585938,1.601563,1.562500,1.570313,0.895000,371200
1987-08-14,1.562500,1.562500,1.531250,1.554688,0.886094,710400
