Date,Open,High,Low,Close,Adj Close,Volume
1980-10-01,2.833333,2.851852,2.833333,2.833333,1.457296,566100
1980-10-02,2.814815,2.814815,2.796296,2.796296,1.438246,106600
1980-10-03,2.796296,2.814815,2.777778,2.777778,1.428721,34200
1980-10-06,2.759259,2.759259,2.740741,2.740741,1.409672,194400
1980-10-07,2.703704,2.703704,2.685185,2.685185,1.381097,423900
1980-10-08,2.722222,2.740741,2.722222,2.722222,1.400147,249700
1980-10-09,2.722222,2.740741,2.722222,2.722222,1.400147,93100
1980-10-10,2.722222,2.759259,2.722222,2.722222,1.400147,186700
1980-10-13,2.740741,2.759259,2.740741,2.740741,1.409672,121500
1980-10-14,2.740741,2.759259,2.722222,2.722222,1.400147,198900
1980-10-15,2.722222,2.740741,2.703704,2.703704,1.390622,264600
1980-10-16,2.703704,2.722222,2.703704,2.703704,1.390622,157900
1980-10-17,2.703704,2.722222,2.703704,2.703704,1.390622,74700
1980-10-20,2.703704,2.703704,2.666667,2.666667,1.371573,86400
1980-10-21,2.666667,2.666667,2.648148,2.648148,1.362048,403600
1980-10-22,2.648148,2.666667,2.648148,2.648148,1.362048,135000
1980-10-23,2.629630,2.629630,2.611111,2.611111,1.342999,599400
1980-10-24,2.611111,2.629630,2.611111,2.611111,1.342999,98500
1980-10-27,2.611111,2.611111,2.592592,2.592592,1.333473,96300
1980-10-28,2.592592,2.611111,2.592592,2.592592,1.333473,64800
1980-10-29,2.592592,2.592592,2.574074,2.574074,1.323948,56700
1980-10-30,2.574074,2.611111,2.574074,2.574074,1.323948,182700
1980-10-31,2.574074,2.592592,2.574074,2.574074,1.323948,263200
1980-11-03,2.574074,2.574074,2.555556,2.555556,1.314425,73300
1980-11-05,2.555556,2.574074,2.555556,2.555556,1.314425,107100
1980-11-06,2.555556,2.555556,2.537037,2.537037,1.304899,150300
1980-11-07,2.537037,2.537037,2.518518,2.518518,1.295374,309100
1980-11-10,2.518518,2.555556,2.518518,2.518518,1.295374,105700
1980-11-11,2.629630,2.666667,2.629630,2.629630,1.352522,271300
1980-11-12,2.666667,2.685185,2.666667,2.666667,1.371573,447300
1980-11-13,2.685185,2.722222,2.685185,2.685185,1.381097,83700
1980-11-14,2.703704,2.722222,2.703704,2.703704,1.390622,174600
1980-11-17,2.703704,2.722222,2.685185,2.685185,1.381097,75600
1980-11-18,2.666667,2.666667,2.648148,2.648148,1.362048,217800
1980-11-19,2.648148,2.666667,2.629630,2.629630,1.352522,220000
1980-11-20,2.648148,2.666667,2.648148,2.648148,1.362048,531900
1980-11-21,2.648148,2.648148,2.629630,2.629630,1.352522,130900
1980-11-24,2.648148,2.685185,2.648148,2.648148,1.362048,1187100
