Date,Open,High,Low,Close,Adj Close,Volume
1994-02-17,0.437500,0.437500,0.437500,0.437500,0.408495,48000
1994-02-18,1.421875,1.437500,1.312500,1.421875,1.327609,39870400
1994-02-22,1.406250,1.437500,1.359375,1.421875,1.327609,9164800
1994-02-23,1.390625,1.421875,1.359375,1.375000,1.283842,5124800
1994-02-24,1.375000,1.375000,1.312500,1.312500,1.225486,2246400
1994-02-25,1.359375,1.375000,1.312500,1.359375,1.269253,2414400
1994-02-28,1.343750,1.375000,1.343750,1.343750,1.254664,1006400
1994-03-01,1.375000,1.375000,1.343750,1.359375,1.269253,952000
1994-03-02,1.359375,1.359375,1.312500,1.343750,1.254664,2105600
1994-03-03,1.359375,1.359375,1.328125,1.359375,1.269253,680000
1994-03-04,1.328125,1.484375,1.328125,1.484375,1.385966,1984000
1994-03-07,1.484375,1.531250,1.468750,1.515625,1.415144,1929600
1994-03-08,1.515625,1.515625,1.468750,1.500000,1.400555,1313600
1994-03-09,1.468750,1.515625,1.468750,1.515625,1.415144,2572800
1994-03-10,1.468750,1.515625,1.453125,1.453125,1.356788,2112000
1994-03-11,1.453125,1.484375,1.437500,1.484375,1.385966,260800
1994-03-14,1.484375,1.484375,1.437500,1.476563,1.378671,81600
1994-03-15,1.484375,1.484375,1.390625,1.390625,1.298431,1931200
1994-03-16,1.390625,1.437500,1.390625,1.421875,1.327609,211200
1994-03-17,1.437500,1.468750,1.406250,1.468750,1.371377,528000
1994-03-18,1.468750,1.515625,1.453125,1.484375,1.385966,1096000
1994-03-21,1.484375,1.546875,1.484375,1.546875,1.444322,920000
1994-03-22,1.531250,1.578125,1.531250,1.562500,1.458912,1142400
1994-03-23,1.531250,1.578125,1.531250,1.578125,1.473501,635200
1994-03-24,1.578125,1.578125,1.500000,1.546875,1.444322,2140800
1994-03-25,1.484375,1.484375,1.484375,1.484375,1.385966,11200
1994-03-28,1.484375,1.531250,1.453125,1.453125,1.356788,1056000
1994-03-29,1.437500,1.468750,1.437500,1.437500,1.342198,182400
1994-03-30,1.437500,1.468750,1.421875,1.468750,1.371377,387200
1994-03-31,1.406250,1.437500,1.359375,1.437500,1.342198,1528000
1994-04-04,1.421875,1.437500,1.375000,1.375000,1.283842,2270400
1994-04-05,1.421875,1.468750,1.406250,1.453125,1.356788,872000
1994-04-06,1.468750,1.468750,1.468750,1.468750,1.371377,8000
1994-04-07,1.421875,1.468750,1.421875,1.468750,1.371377,166400
1994-04-08,1.421875,1.421875,1.421875,1.421875,1.327609,3200
1994-04-11,1.437500,1.468750,1.421875,1.468750,1.371377,230400
1994-04-12,1.445313,1.445313,1.437500,1.437500,1.342198,76800
1994-04-13,1.437500,1.445313,1.421875,1.421875,1.327609,219200
1994-04-14,1.453125,1.453125,1.406250,1.453125,1.356788,145600
1994-04-15,1.421875,1.453125,1.421875,1.453125,1.356788,16000
1994-04-18,1.453125,1.500000,1.421875,1.421875,1.327609,784000
1994-04-19,1.453125,1.453125,1.406250,1.406250,1.313020,89600
1994-04-20,1.437500,1.437500,1.437500,1.437500,1.342198,80000
1994-04-21,1.453125,1.453125,1.406250,1.453125,1.356788,17600
1994-04-22,1.406250,1.453125,1.375000,1.421875,1.327609,182400
1994-04-25,1.421875,1.421875,1.375000,1.375000,1.283842,200000
1994-04-26,1.359375,1.375000,1.359375,1.367188,1.276548,1544000
1994-04-28,1.359375,1.437500,1.359375,1.406250,1.313020,388800
1994-04-29,1.437500,1.515625,1.437500,1.515625,1.415144,2176000
1994-05-02,1.515625,1.515625,1.453125,1.515625,1.415144,4124800
1994-05-03,1.468750,1.484375,1.468750,1.484375,1.385966,137600
1994-05-04,1.468750,1.484375,1.468750,1.476563,1.378671,428800
