Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.687500,3.031250,2.687500,2.687500,1.339837,208800
1980-03-18,2.687500,2.687500,2.609375,2.687500,1.339837,308000
1980-03-19,2.703125,2.781250,2.703125,2.718750,1.355417,1064000
1980-03-20,2.718750,2.750000,2.671875,2.750000,1.370996,370400
1980-03-21,2.750000,2.859375,2.750000,2.750000,1.370996,256800
1980-03-24,2.750000,2.750000,2.718750,2.750000,1.370996,242400
1980-03-25,2.750000,2.843750,2.750000,2.843750,1.417734,43200
1980-03-26,2.859375,2.921875,2.859375,2.921875,1.456683,59200
1980-03-27,2.921875,3.000000,2.890625,2.953125,1.472263,420000
1980-03-28,2.968750,3.109375,2.968750,3.109375,1.550161,71200
1980-03-31,3.109375,3.156250,3.062500,3.156250,1.573529,526400
1980-04-01,3.140625,3.140625,3.109375,3.109375,1.550161,50400
1980-04-02,3.109375,3.109375,2.984375,2.984375,1.487842,55200
1980-04-03,2.984375,2.984375,2.890625,2.890625,1.441103,353600
1980-04-07,2.890625,2.906250,2.859375,2.859375,1.425524,494400
1980-04-08,2.859375,2.859375,2.765625,2.781250,1.386576,148800
1980-04-09,2.796875,2.875000,2.796875,2.828125,1.409945,127200
1980-04-10,2.828125,2.875000,2.828125,2.828125,1.409945,49600
1980-04-11,2.828125,2.937500,2.812500,2.875000,1.433314,156000
1980-04-14,2.875000,2.890625,2.843750,2.859375,1.425524,64800
1980-04-15,2.859375,2.859375,2.812500,2.828125,1.409945,106400
1980-04-16,2.828125,2.875000,2.828125,2.828125,1.409945,96000
1980-04-17,2.828125,2.859375,2.796875,2.796875,1.394366,124000
1980-04-18,2.812500,2.843750,2.812500,2.812500,1.402155,27200
1980-04-21,2.812500,2.859375,2.781250,2.781250,1.386576,190400
1980-04-22,2.781250,2.812500,2.687500,2.750000,1.370996,306400
1980-04-23,2.750000,2.781250,2.687500,2.687500,1.339837,352000
1980-04-24,2.687500,2.703125,2.625000,2.625000,1.308679,148800
1980-04-25,2.625000,2.734375,2.578125,2.734375,1.363206,138400
1980-04-28,2.781250,2.843750,2.781250,2.812500,1.402155,120000
1980-04-29,2.812500,2.921875,2.812500,2.875000,1.433314,620000
1980-04-30,2.875000,2.937500,2.828125,2.875000,1.433314,208000
1980-05-01,2.875000,2.875000,2.828125,2.828125,1.409945,70400
1980-05-02,2.828125,2.843750,2.796875,2.828125,1.409945,105600
1980-05-05,2.828125,2.843750,2.765625,2.812500,1.402155,105600
1980-05-06,2.843750,2.859375,2.843750,2.843750,1.417734,110400
1980-05-07,2.875000,2.937500,2.875000,2.906250,1.448894,78400
1980-05-08,2.906250,2.984375,2.906250,2.953125,1.472263,174400
1980-05-09,2.953125,2.984375,2.906250,2.906250,1.448894,503200
1980-05-12,2.906250,2.937500,2.859375,2.890625,1.441103,58400
1980-05-13,2.859375,2.859375,2.796875,2.843750,1.417734,51200
1980-05-14,2.843750,2.906250,2.843750,2.890625,1.441103,404000
1980-05-15,2.890625,2.953125,2.875000,2.890625,1.441103,118400
1980-05-16,2.890625,2.906250,2.875000,2.875000,1.433314,98400
1980-05-19,2.906250,2.984375,2.906250,2.921875,1.456683,68800
1980-05-20,2.953125,3.000000,2.953125,2.953125,1.472263,200800
1980-05-21,2.953125,2.984375,2.937500,2.937500,1.464473,56000
1980-05-22,2.937500,2.984375,2.937500,2.984375,1.487842,160000
1980-05-23,2.984375,2.984375,2.906250,2.906250,1.448894,43200
1980-05-27,2.937500,3.093750,2.937500,3.093750,1.542370,134400
1980-05-28,3.093750,3.109375,3.062500,3.109375,1.550161,216000
1980-05-29,3.109375,3.140625,3.000000,3.000000,1.495632,313600
1980-05-30,3.015625,3.125000,3.015625,3.062500,1.526791,224800
1980-06-02,3.062500,3.078125,3.031250,3.078125,1.534581,352800
1980-06-03,3.078125,3.109375,3.015625,3.078125,1.534581,219200
1980-06-04,3.078125,3.093750,3.015625,3.078125,1.534581,111200
1980-06-05,3.093750,3.156250,3.093750,3.093750,1.542370,253600
1980-06-06,3.093750,3.093750,3.015625,3.031250,1.511211,299200
1980-06-09,2.968750,2.968750,2.906250,2.953125,1.472263,144000
1980-06-10,2.953125,2.953125,2.890625,2.890625,1.441103,114400
1980-06-11,2.890625,2.921875,2.875000,2.875000,1.433314,535200
1980-06-12,2.875000,3.000000,2.843750,3.000000,1.495632,620000
1980-06-13,3.000000,3.046875,2.984375,3.015625,1.503422,96000
1980-06-16,3.046875,3.109375,3.046875,3.093750,1.542370,199200
1980-06-17,3.093750,3.109375,3.031250,3.031250,1.511211,70400
1980-06-18,3.031250,3.046875,2.984375,3.015625,1.503422,75200
1980-06-19,3.015625,3.031250,2.937500,2.937500,1.464473,131200
1980-06-20,2.937500,3.015625,2.906250,2.968750,1.480053,580800
1980-06-23,2.968750,3.031250,2.968750,2.984375,1.487842,59200
1980-06-24,2.984375,3.046875,2.984375,3.000000,1.495632,144800
1980-06-25,3.031250,3.062500,3.031250,3.062500,1.526791,96000
1980-06-26,3.062500,3.109375,3.062500,3.078125,1.534581,96800
1980-06-27,3.093750,3.140625,3.093750,3.109375,1.550161,180800
1980-06-30,3.109375,3.125000,3.078125,3.109375,1.550161,225600
1980-07-01,3.109375,3.109375,3.062500,3.078125,1.534581,231200
