Date,Open,High,Low,Close,Adj Close,Volume
2005-11-18,3.812500,3.875000,3.048750,3.162500,3.162500,143706400
2005-11-21,3.253750,3.368750,3.187500,3.268750,3.268750,33676800
2005-11-22,3.187500,3.231250,2.843750,2.937500,2.937500,25755200
2005-11-23,2.992500,3.012500,2.938750,2.975000,2.975000,8253600
2005-11-25,2.978750,3.000000,2.937500,2.960000,2.960000,2330400
2005-11-28,2.960000,3.025000,2.947500,2.962500,2.962500,6484800
2005-11-29,2.945000,2.956250,2.635000,2.668750,2.668750,16241600
2005-11-30,2.666250,2.838750,2.658750,2.813750,2.813750,6432800
2005-12-01,2.856250,2.966250,2.825000,2.893750,2.893750,5836800
2005-12-02,2.963750,3.125000,2.906250,3.082500,3.082500,9434400
2005-12-05,3.140000,3.237500,3.068750,3.207500,3.207500,5653600
2005-12-06,3.257500,3.270000,3.065000,3.087500,3.087500,4617600
2005-12-07,3.113750,3.206250,3.113750,3.206250,3.206250,3523200
2005-12-08,3.187500,3.235000,3.162500,3.187500,3.187500,1992800
2005-12-09,3.200000,3.230000,3.100000,3.125000,3.125000,1599200
2005-12-12,3.125000,3.197500,3.093750,3.186250,3.186250,2622400
2005-12-13,3.220000,3.237500,3.156250,3.198750,3.198750,2128800
2005-12-14,3.250000,3.406250,3.233750,3.375000,3.375000,8248800
2005-12-15,3.375000,3.456250,3.350000,3.423750,3.423750,4250400
2005-12-16,3.422500,3.455000,3.313750,3.455000,3.455000,8036800
2005-12-19,3.448750,3.450000,3.143750,3.311250,3.311250,7141600
2005-12-20,3.442500,3.536250,3.356250,3.508750,3.508750,11580800
2005-12-21,3.518750,3.600000,3.486250,3.568750,3.568750,9884800
2005-12-22,3.572500,3.603750,3.498750,3.587500,3.587500,4285600
2005-12-23,3.587500,3.965000,3.568750,3.902500,3.902500,15113600
2005-12-27,3.987500,4.365000,3.940000,4.157500,4.157500,33193600
2005-12-28,4.251250,4.592500,4.212500,4.543750,4.543750,29310400
2005-12-29,4.868750,5.000000,4.785000,4.982500,4.982500,36177600
2005-12-30,4.953750,4.967500,4.651250,4.788750,4.788750,29355200
2006-01-03,4.648750,4.673750,4.147500,4.170000,4.170000,32660800
2006-01-04,4.092500,4.148750,3.910000,3.958750,3.958750,30113600
2006-01-05,4.065000,4.462500,4.021250,4.453750,4.453750,28586400
2006-01-06,4.400000,4.546250,4.206250,4.433750,4.433750,22208800
2006-01-09,4.491250,4.496250,4.346250,4.478750,4.478750,8494400
2006-01-10,4.522500,4.811250,4.442500,4.687500,4.687500,23698400
2006-01-11,4.785000,4.818750,4.562500,4.711250,4.711250,10361600
2006-01-12,4.642500,4.925000,4.642500,4.813750,4.813750,12392800
2006-01-13,4.851250,5.042500,4.813750,4.877500,4.877500,8647200
2006-01-17,4.895000,4.926250,4.631250,4.771250,4.771250,7448800
2006-01-18,4.582500,4.943750,4.562500,4.818750,4.818750,8061600
2006-01-19,4.787500,4.962500,4.775000,4.847500,4.847500,5005600
2006-01-20,4.868750,4.906250,4.687500,4.785000,4.785000,5359200
2006-01-23,4.775000,4.812500,4.561250,4.665000,4.665000,7585600
2006-01-24,4.666250,4.731250,4.568750,4.587500,4.587500,5939200
