Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,3.750000,3.812500,3.750000,3.781250,3.781250,12706000
1995-11-20,3.750000,3.781250,3.750000,3.750000,3.750000,1213200
1995-11-21,3.750000,3.781250,3.750000,3.750000,3.750000,909600
1995-11-22,3.750000,3.781250,3.750000,3.750000,3.750000,1314800
1995-11-24,3.750000,3.781250,3.750000,3.750000,3.750000,275200
1995-11-27,3.750000,3.781250,3.750000,3.750000,3.750000,1011600
1995-11-28,3.625000,3.625000,3.312500,3.531250,3.531250,3952000
1995-11-29,3.500000,3.562500,3.343750,3.437500,3.437500,708400
1995-11-30,3.437500,3.750000,3.406250,3.687500,3.687500,1346000
1995-12-01,3.687500,3.687500,3.531250,3.562500,3.562500,790800
1995-12-04,3.531250,3.750000,3.500000,3.718750,3.718750,548000
1995-12-05,3.750000,3.781250,3.687500,3.750000,3.750000,892800
1995-12-06,3.781250,3.906250,3.781250,3.812500,3.812500,521200
1995-12-07,3.812500,3.812500,3.718750,3.718750,3.718750,217600
1995-12-08,3.687500,3.781250,3.593750,3.750000,3.750000,265200
1995-12-11,3.750000,3.781250,3.718750,3.750000,3.750000,392400
1995-12-12,3.781250,3.843750,3.718750,3.781250,3.781250,1363200
1995-12-13,3.906250,4.093750,3.843750,4.031250,4.031250,1664000
1995-12-14,4.062500,4.218750,4.062500,4.187500,4.187500,1551600
1995-12-15,4.187500,4.312500,4.156250,4.250000,4.250000,902800
1995-12-18,4.250000,4.281250,3.968750,4.156250,4.156250,646400
1995-12-19,4.125000,4.125000,4.000000,4.125000,4.125000,324400
1995-12-20,4.125000,4.250000,4.125000,4.156250,4.156250,274000
1995-12-21,4.281250,4.500000,4.218750,4.375000,4.375000,660000
1995-12-22,4.406250,4.500000,4.375000,4.406250,4.406250,422800
1995-12-26,4.437500,4.500000,4.406250,4.406250,4.406250,156800
1995-12-27,4.437500,4.531250,4.375000,4.500000,4.500000,230400
1995-12-28,4.500000,4.500000,4.437500,4.468750,4.468750,213200
1995-12-29,4.500000,4.562500,4.437500,4.562500,4.562500,179600
1996-01-02,4.500000,4.531250,4.281250,4.343750,4.343750,456800
1996-01-03,4.281250,4.406250,4.187500,4.406250,4.406250,147600
1996-01-04,4.468750,4.687500,4.468750,4.562500,4.562500,385200
1996-01-05,4.500000,4.812500,4.500000,4.687500,4.687500,620800
1996-01-08,4.656250,4.812500,4.656250,4.781250,4.781250,67600
1996-01-09,4.750000,4.750000,4.718750,4.718750,4.718750,192400
1996-01-10,4.718750,4.750000,4.593750,4.593750,4.593750,305600
1996-01-11,4.625000,4.656250,4.562500,4.562500,4.562500,369600
1996-01-12,4.593750,4.593750,4.250000,4.375000,4.375000,232000
1996-01-15,4.375000,4.562500,4.375000,4.500000,4.500000,158400
1996-01-16,4.500000,4.562500,4.437500,4.437500,4.437500,52000
1996-01-17,4.375000,4.437500,4.281250,4.375000,4.375000,117600
1996-01-18,4.375000,4.437500,4.312500,4.437500,4.437500,56000
1996-01-19,4.468750,4.687500,4.468750,4.687500,4.687500,1279200
1996-01-22,4.750000,4.968750,4.750000,4.750000,4.750000,1138400
1996-01-23,4.750000,4.843750,4.750000,4.781250,4.781250,170400
1996-01-24,4.843750,5.031250,4.812500,5.031250,5.031250,371200
1996-01-25,5.000000,5.281250,5.000000,5.062500,5.062500,771200
1996-01-26,5.062500,5.062500,4.812500,4.937500,4.937500,776400
1996-01-29,4.968750,5.156250,4.875000,5.156250,5.156250,970800
1996-01-30,5.156250,5.218750,5.062500,5.125000,5.125000,222400
1996-01-31,5.156250,5.250000,4.968750,4.968750,4.968750,294000
1996-02-01,4.968750,4.968750,4.906250,4.968750,4.968750,273600
1996-02-02,4.968750,4.968750,4.687500,4.812500,4.812500,175600
1996-02-05,4.781250,4.875000,4.750000,4.875000,4.875000,80400
1996-02-06,4.875000,4.875000,4.687500,4.718750,4.718750,898400
1996-02-07,4.750000,4.750000,4.593750,4.687500,4.687500,900800
1996-02-08,4.625000,4.718750,4.593750,4.625000,4.625000,136800
1996-02-09,4.687500,4.781250,4.687500,4.750000,4.750000,302800
1996-02-12,4.781250,4.875000,4.750000,4.875000,4.875000,122800
1996-02-13,4.843750,4.968750,4.750000,4.906250,4.906250,122400
1996-02-14,4.937500,4.937500,4.875000,4.906250,4.906250,41200
1996-02-15,4.906250,4.906250,4.687500,4.750000,4.750000,83600
1996-02-16,4.781250,4.812500,4.656250,4.812500,4.812500,138000
1996-02-20,4.781250,4.937500,4.750000,4.906250,4.906250,168400
1996-02-21,4.937500,5.187500,4.937500,5.093750,5.093750,284800
1996-02-22,5.156250,5.250000,5.093750,5.218750,5.218750,472800
1996-02-23,5.218750,5.250000,5.093750,5.156250,5.156250,694400
1996-02-26,5.187500,5.375000,5.156250,5.312500,5.312500,184400
1996-02-27,5.375000,5.375000,5.125000,5.187500,5.187500,131200
