Date,Open,High,Low,Close,Adj Close,Volume
1991-07-19,15.000000,15.312500,14.812500,15.000000,7.350693,13808200
1991-07-22,14.937500,15.000000,14.812500,15.000000,7.350693,4531800
1991-07-23,14.937500,15.000000,14.875000,15.000000,7.350693,2028200
1991-07-24,14.937500,15.125000,14.937500,15.125000,7.411951,805800
1991-07-25,15.062500,15.562500,15.062500,15.437500,7.565092,969600
1991-07-26,15.500000,15.625000,15.375000,15.437500,7.565092,781400
1991-07-29,15.375000,15.437500,15.187500,15.250000,7.473210,467400
1991-07-30,15.312500,15.500000,15.312500,15.500000,7.595720,660800
1991-07-31,15.562500,16.000000,15.562500,15.812500,7.748857,835200
1991-08-01,15.812500,16.000000,15.812500,15.812500,7.748857,1643200
1991-08-02,16.000000,16.000000,15.625000,15.875000,7.779486,1237400
1991-08-05,15.812500,15.812500,15.437500,15.500000,7.595720,566600
1991-08-06,15.437500,15.750000,15.437500,15.750000,7.718232,423400
1991-08-07,15.750000,15.937500,15.500000,15.500000,7.595720,654600
1991-08-08,15.500000,15.500000,15.250000,15.312500,7.503832,294000
1991-08-09,15.312500,15.375000,15.125000,15.125000,7.411951,277000
1991-08-12,15.125000,15.125000,15.000000,15.000000,7.350693,304800
1991-08-13,15.000000,15.250000,14.937500,14.937500,7.320065,546400
1991-08-14,15.000000,15.062500,14.875000,15.062500,7.381325,301600
1991-08-15,14.937500,15.125000,14.687500,14.687500,7.197553,783600
1991-08-16,14.812500,14.937500,14.687500,14.937500,7.320065,117400
1991-08-19,14.125000,14.562500,13.687500,14.437500,7.075043,399600
1991-08-20,14.500000,14.625000,14.375000,14.562500,7.136302,151600
1991-08-21,15.375000,15.500000,15.125000,15.250000,7.473210,308400
1991-08-22,15.250000,15.500000,15.187500,15.500000,7.595720,219800
1991-08-23,15.375000,15.562500,15.187500,15.250000,7.473210,83200
1991-08-26,15.250000,15.250000,14.937500,14.937500,7.320065,108600
1991-08-27,15.062500,15.062500,14.812500,14.875000,7.289442,335800
1991-08-28,14.937500,15.062500,14.812500,15.000000,7.350693,243200
