Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,3.445313,3.453125,3.351563,3.367188,0.705763,6622400
1980-01-03,3.320313,3.320313,3.250000,3.281250,0.687751,7222400
1980-01-04,3.281250,3.328125,3.281250,3.312500,0.694301,4780800
1980-01-07,3.312500,3.359375,3.289063,3.296875,0.691026,8331200
1980-01-08,3.296875,3.328125,3.273438,3.320313,0.695938,8048000
1980-01-09,3.320313,3.343750,3.273438,3.289063,0.689388,9168000
1980-01-10,3.289063,3.304688,3.257813,3.281250,0.687751,7560000
1980-01-11,3.281250,3.289063,3.257813,3.273438,0.686113,7094400
1980-01-14,3.281250,3.320313,3.281250,3.320313,0.695938,10396800
1980-01-15,3.320313,3.414063,3.312500,3.406250,0.713951,6331200
1980-01-16,3.429688,3.515625,3.429688,3.437500,0.720500,8476800
1980-01-17,3.437500,3.484375,3.437500,3.460938,0.725413,6035200
1980-01-18,3.460938,3.492188,3.453125,3.453125,0.723776,4153600
1980-01-21,3.468750,3.507813,3.468750,3.484375,0.730326,6017600
1980-01-22,3.484375,3.523438,3.484375,3.500000,0.733600,6196800
1980-01-23,3.500000,3.632813,3.476563,3.632813,0.761438,5747200
1980-01-24,3.648438,3.703125,3.648438,3.671875,0.769625,6774400
1980-01-25,3.664063,3.664063,3.625000,3.625000,0.759801,5083200
1980-01-28,3.625000,3.765625,3.625000,3.726563,0.781088,5344000
1980-01-29,3.726563,3.757813,3.679688,3.726563,0.781088,6707200
1980-01-30,3.726563,3.804688,3.710938,3.804688,0.797463,5769600
1980-01-31,3.804688,3.960938,3.804688,3.804688,0.797463,11438400
1980-02-01,3.804688,3.953125,3.789063,3.945313,0.826938,7140800
1980-02-04,3.929688,3.929688,3.812500,3.820313,0.816255,9422400
1980-02-05,3.820313,3.835938,3.781250,3.804688,0.812916,5499200
1980-02-06,3.820313,3.921875,3.820313,3.921875,0.837955,5908800
1980-02-07,3.953125,4.046875,3.953125,4.015625,0.857986,12708800
1980-02-08,4.015625,4.148438,4.000000,4.140625,0.884694,7692800
1980-02-11,4.140625,4.195313,4.132813,4.148438,0.886363,10456000
1980-02-12,4.148438,4.156250,4.070313,4.156250,0.888032,5816000
1980-02-13,4.156250,4.218750,4.007813,4.179688,0.893040,6456000
1980-02-14,4.179688,4.226563,4.046875,4.054688,0.866332,6931200
1980-02-15,4.046875,4.046875,3.976563,4.000000,0.854647,4710400
1980-02-19,3.960938,3.960938,3.882813,3.929688,0.839624,5350400
1980-02-20,3.945313,4.039063,3.945313,4.039063,0.862994,8136000
1980-02-21,4.039063,4.156250,3.945313,4.007813,0.856317,7070400
1980-02-22,4.007813,4.156250,3.960938,4.078125,0.871340,6259200
1980-02-25,4.078125,4.093750,4.000000,4.085938,0.873009,5352000
1980-02-26,4.085938,4.156250,4.054688,4.140625,0.884694,5841600
1980-02-27,4.140625,4.234375,4.132813,4.132813,0.883024,8889600
1980-02-28,4.132813,4.171875,4.070313,4.085938,0.873009,5049600
1980-02-29,4.085938,4.101563,4.046875,4.085938,0.873009,2785600
1980-03-03,4.085938,4.109375,4.031250,4.031250,0.861324,4555200
1980-03-04,4.031250,4.078125,3.992188,4.070313,0.869670,4915200
1980-03-05,4.070313,4.179688,4.023438,4.039063,0.862994,8313600
1980-03-06,4.039063,4.054688,3.906250,3.945313,0.842963,5091200
1980-03-07,3.898438,3.898438,3.789063,3.804688,0.812916,8468800
1980-03-10,3.789063,3.789063,3.710938,3.789063,0.809579,11979200
1980-03-11,3.789063,3.835938,3.781250,3.820313,0.816255,6320000
1980-03-12,3.820313,3.851563,3.773438,3.843750,0.821263,4924800
1980-03-13,3.843750,3.859375,3.796875,3.796875,0.811247,4590400
1980-03-14,3.789063,3.789063,3.734375,3.750000,0.801232,5987200
1980-03-17,3.703125,3.703125,3.601563,3.601563,0.769516,4883200
1980-03-18,3.601563,3.695313,3.585938,3.687500,0.787878,8656000
1980-03-19,3.687500,3.718750,3.664063,3.679688,0.786209,5798400
1980-03-20,3.679688,3.695313,3.617188,3.617188,0.772855,6958400
1980-03-21,3.632813,3.718750,3.632813,3.656250,0.781201,4691200
1980-03-24,3.640625,3.640625,3.554688,3.562500,0.761171,4334400
1980-03-25,3.562500,3.570313,3.453125,3.492188,0.746147,7790400
1980-03-26,3.492188,3.570313,3.492188,3.500000,0.747817,5332800
1980-03-27,3.476563,3.476563,3.382813,3.460938,0.739470,6822400
1980-03-28,3.460938,3.578125,3.460938,3.562500,0.761171,4688000
1980-03-31,3.562500,3.617188,3.546875,3.617188,0.772855,3510400
1980-04-01,3.617188,3.617188,3.546875,3.546875,0.757832,6774400
1980-04-02,3.546875,3.570313,3.531250,3.531250,0.754494,4169600
1980-04-03,3.531250,3.546875,3.500000,3.546875,0.757832,5262400
1980-04-07,3.546875,3.546875,3.468750,3.468750,0.741139,3865600
1980-04-08,3.460938,3.460938,3.406250,3.437500,0.734463,6232000
1980-04-09,3.468750,3.593750,3.468750,3.593750,0.767848,4276800
1980-04-10,3.593750,3.617188,3.562500,3.601563,0.769516,3849600
1980-04-11,3.601563,3.617188,3.578125,3.578125,0.764509,4086400
1980-04-14,3.562500,3.562500,3.539063,3.554688,0.759501,3366400
1980-04-15,3.554688,3.609375,3.554688,3.585938,0.766178,2838400
1980-04-16,3.585938,3.640625,3.523438,3.531250,0.754494,8502400
1980-04-17,3.546875,3.601563,3.546875,3.570313,0.762840,4472000
1980-04-18,3.570313,3.585938,3.531250,3.539063,0.756163,2883200
1980-04-21,3.539063,3.578125,3.539063,3.570313,0.762840,2670400
1980-04-22,3.617188,3.695313,3.617188,3.695313,0.789548,7102400
1980-04-23,3.695313,3.734375,3.687500,3.710938,0.792886,4412800
1980-04-24,3.710938,3.734375,3.679688,3.703125,0.791216,8118400
1980-04-25,3.703125,3.734375,3.687500,3.734375,0.797894,2923200
1980-04-28,3.734375,3.796875,3.726563,3.757813,0.802901,5628800
